Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,10.64,10.8,10.39,10.62,43520,0
2015-01-05,10.58,11.0,10.37,10.94,168239,0
2015-01-06,10.86,10.92,10.6,10.6,78916,0
2015-01-07,10.71,10.71,10.5,10.57,215038,0
2015-01-08,10.67,11.0,10.66,10.98,62157,0
2015-01-09,10.88,10.93,10.61,10.67,86300,0
2015-01-12,10.64,11.03,10.6,11.0,50375,0
2015-01-13,11.03,11.34,11.02,11.21,108705,0
2015-01-14,11.11,11.27,11.04,11.08,41539,0
2015-01-15,11.13,11.2,10.73,10.87,115751,0
2015-01-16,10.81,11.07,10.3,10.8,206515,0
2015-01-20,10.78,11.25,10.78,11.13,186926,0
2015-01-21,11.12,11.16,10.83,10.9,52573,0
2015-01-22,10.99,11.13,10.82,11.03,65149,0
2015-01-23,11.03,11.05,10.9,11.0,24547,0
2015-01-26,11.0,11.15,10.92,11.02,94637,0
2015-01-27,11.04,11.04,10.85,10.94,109513,0
2015-01-28,10.98,11.03,10.5,10.55,97595,0
2015-01-29,10.59,10.96,10.54,10.92,218616,0
2015-01-30,10.8,10.89,10.69,10.7,80273,0
2015-02-02,10.75,10.79,10.6,10.76,92901,0
2015-02-03,10.77,11.19,10.77,11.14,152984,0
2015-02-04,11.04,11.19,11.01,11.04,40562,0
2015-02-05,11.1,11.28,11.1,11.25,130213,0
2015-02-06,11.29,11.33,11.17,11.2,120541,0
2015-02-09,11.12,11.29,11.09,11.18,134383,0
2015-02-10,11.34,11.75,10.84,11.3,263397,0
2015-02-11,11.25,11.35,11.04,11.29,95826,0
2015-02-12,11.29,11.78,11.27,11.65,140725,0
2015-02-13,11.63,11.73,11.61,11.64,73342,0
2015-02-17,11.49,11.62,11.46,11.52,91013,0
2015-02-18,11.52,11.56,11.31,11.5,104871,0
2015-02-19,11.45,12.27,11.45,12.06,253378,0
2015-02-20,12.07,12.27,11.96,12.17,85562,0
2015-02-23,12.17,12.17,11.79,11.93,185265,0
2015-02-24,11.91,12.06,11.88,12.03,108914,0
2015-02-25,12.0,12.41,12.0,12.33,112392,0
2015-02-26,12.27,12.44,12.27,12.38,51295,0
2015-02-27,12.32,12.45,12.29,12.37,55453,0
2015-03-02,12.3,12.57,12.3,12.51,93300,0
2015-03-03,12.5,12.5,12.21,12.27,68200,0
2015-03-04,12.11,12.32,11.89,12.12,81100,0
2015-03-05,12.15,12.35,11.93,12.01,166700,0
2015-03-06,11.9,12.0,11.81,11.82,39200,0
2015-03-09,11.79,11.8,11.57,11.6,49600,0
2015-03-10,11.45,11.54,11.27,11.36,106500,0
2015-03-11,11.35,11.36,11.15,11.18,72100,0
2015-03-12,11.17,11.56,11.17,11.56,158400,0
2015-03-13,11.46,11.77,11.4,11.72,105200,0
2015-03-16,11.86,11.9,11.74,11.8,40900,0
2015-03-17,11.82,11.97,11.78,11.89,49100,0
2015-03-18,11.9,12.0,11.78,11.97,46300,0
2015-03-19,12.0,12.08,11.89,11.97,81000,0
2015-03-20,12.06,12.09,11.91,12.04,106700,0
2015-03-23,11.99,12.13,11.93,12.11,65100,0
2015-03-24,12.09,12.24,11.98,12.08,38000,0
2015-03-25,12.08,12.08,11.82,11.9,78800,0
2015-03-26,11.86,12.1,11.78,12.04,23400,0
2015-03-27,12.01,12.04,11.89,11.99,60800,0
2015-03-30,12.0,12.08,11.84,11.92,53400,0
2015-03-31,11.87,11.99,11.86,11.96,27300,0
2015-04-01,11.91,12.27,11.69,12.13,113900,0
2015-04-02,12.16,12.35,12.04,12.07,75100,0
2015-04-06,12.0,12.18,11.95,12.04,42800,0
2015-04-07,12.07,12.23,12.04,12.21,41246,0
2015-04-08,12.2,12.5,12.18,12.37,33500,0
2015-04-09,12.35,12.43,12.0,12.43,44009,0
2015-04-10,12.43,12.5,12.23,12.46,49300,0
2015-04-13,12.49,12.5,12.35,12.43,83000,0
2015-04-14,12.43,12.57,12.24,12.53,32500,0
2015-04-15,12.5,12.7,12.31,12.51,210978,0
2015-04-16,12.51,12.51,12.34,12.47,11225,0
2015-04-17,12.4,12.4,12.16,12.28,92100,0
2015-04-20,12.37,12.54,12.14,12.28,77961,0
2015-04-21,12.33,12.4,12.24,12.25,38668,0
2015-04-22,12.25,12.25,12.0,12.21,75690,0
2015-04-23,12.13,12.52,12.0,12.44,63300,0
2015-04-24,12.42,12.5,12.14,12.16,45200,0
2015-04-27,12.16,12.3,12.0,12.02,37100,0
2015-04-28,12.06,12.19,11.93,12.14,47000,0
2015-04-29,12.07,12.17,11.93,12.0,33700,0
2015-04-30,11.96,11.98,11.62,11.75,108500,0
2015-05-01,11.73,12.15,11.57,11.95,94300,0
2015-05-04,11.95,12.04,11.72,11.77,75800,0
2015-05-05,11.75,11.8,11.6,11.72,132500,0
2015-05-06,11.72,11.8,11.52,11.61,63217,0
2015-05-07,11.57,11.71,11.48,11.58,52210,0
2015-05-08,11.65,11.7,11.48,11.53,66500,0
2015-05-11,11.5,11.57,11.29,11.48,168700,0
2015-05-12,11.48,11.63,11.0,11.27,236588,0
2015-05-13,11.32,11.37,11.0,11.22,90400,0
2015-05-14,11.34,11.51,11.15,11.44,98300,0
2015-05-15,11.37,11.62,11.26,11.35,54715,0
2015-05-18,11.31,11.55,11.31,11.48,33892,0
2015-05-19,11.4,11.43,11.17,11.33,111900,0
2015-05-20,11.33,11.33,11.04,11.18,79700,0
2015-05-21,11.12,11.3,11.05,11.19,84300,0
2015-05-22,11.19,11.26,11.12,11.2,65500,0
2015-05-26,11.11,11.25,11.08,11.13,89158,0
2015-05-27,11.09,11.41,10.98,11.36,62300,0
2015-05-28,11.35,11.99,11.25,11.93,213787,0
2015-05-29,11.77,11.93,11.48,11.56,185500,0
2015-06-01,11.67,11.77,11.34,11.66,133052,0
2015-06-02,11.58,11.77,11.52,11.54,38260,0
2015-06-03,11.49,11.65,11.49,11.61,121600,0
2015-06-04,11.52,11.56,11.25,11.38,117600,0
2015-06-05,11.32,11.54,11.25,11.29,168500,0
2015-06-08,11.34,11.49,11.2,11.29,57800,0
2015-06-09,11.26,11.33,11.14,11.19,66240,0
2015-06-10,11.22,11.48,11.22,11.34,44881,0
2015-06-11,11.28,11.34,11.15,11.2,59571,0
2015-06-12,11.21,11.62,11.2,11.6,167100,0
2015-06-15,11.46,12.3,11.46,12.25,121000,0
2015-06-16,12.2,12.34,12.01,12.06,111800,0
2015-06-17,12.14,12.28,11.95,11.98,30000,0
2015-06-18,12.03,12.26,11.87,12.21,88700,0
2015-06-19,12.26,12.31,12.08,12.27,143400,0
2015-06-22,12.28,12.39,12.14,12.32,36000,0
2015-06-23,12.35,12.47,12.31,12.41,17148,0
2015-06-24,12.42,12.44,12.08,12.26,42500,0
2015-06-25,12.27,12.35,12.12,12.19,33400,0
2015-06-26,12.23,12.44,11.86,12.42,215600,0
2015-06-29,12.2,12.2,11.71,11.8,58800,0
2015-06-30,11.83,11.94,11.7,11.91,55927,0
2015-07-01,12.0,12.24,11.93,11.98,93100,0
2015-07-02,12.05,12.05,11.75,11.78,33300,0
2015-07-06,11.74,11.86,11.56,11.61,73500,0
2015-07-07,11.78,11.89,11.55,11.67,47600,0
2015-07-08,11.55,11.99,11.55,11.91,51600,0
2015-07-09,12.0,12.22,11.91,12.01,51900,0
2015-07-10,12.11,12.19,11.99,12.1,46500,0
2015-07-13,12.11,12.17,12.02,12.04,32400,0
2015-07-14,11.95,12.07,11.93,12.06,66668,0
2015-07-15,12.03,12.19,11.92,11.94,42555,0
2015-07-16,11.97,12.21,11.97,12.1,66600,0
2015-07-17,12.09,12.09,11.51,11.77,57200,0
2015-07-20,11.81,11.88,11.72,11.73,31000,0
2015-07-21,11.7,12.19,11.51,11.71,186600,0
2015-07-22,11.67,11.93,11.64,11.88,41600,0
2015-07-23,11.86,12.01,11.55,11.65,39500,0
2015-07-24,11.6,11.8,11.38,11.54,79400,0
2015-07-27,11.43,11.73,11.34,11.47,57100,0
2015-07-28,11.54,11.81,11.22,11.51,128200,0
2015-07-29,11.64,11.64,11.21,11.22,26100,0
2015-07-30,11.17,11.46,11.04,11.38,61000,0
2015-07-31,11.36,11.42,11.25,11.36,56100,0
2015-08-03,11.39,11.43,11.19,11.29,24588,0
2015-08-04,11.33,11.56,11.26,11.32,19400,0
2015-08-05,11.36,11.42,11.27,11.38,47600,0
2015-08-06,11.4,11.5,11.15,11.17,36724,0
2015-08-07,11.09,11.36,11.04,11.08,61100,0
2015-08-10,11.18,11.21,10.87,10.98,174100,0
2015-08-11,10.99,11.33,10.24,10.7,134597,0
2015-08-12,10.59,10.65,10.43,10.53,56900,0
2015-08-13,10.5,10.5,10.27,10.3,47400,0
2015-08-14,10.21,10.43,10.04,10.23,95200,0
2015-08-17,10.26,10.26,10.08,10.13,31300,0
2015-08-18,10.07,10.15,9.99,10.01,39000,0
2015-08-19,9.92,10.08,9.9,10.05,66800,0
2015-08-20,10.0,10.13,9.96,10.09,59600,0
2015-08-21,9.91,10.38,9.83,10.26,74400,0
2015-08-24,9.9,10.54,9.85,10.1,143121,0
2015-08-25,10.2,10.48,10.09,10.2,95200,0
2015-08-26,10.37,10.37,9.97,10.26,56100,0
2015-08-27,10.25,10.33,10.17,10.29,77100,0
2015-08-28,10.23,10.37,10.16,10.31,149600,0
2015-08-31,10.2,10.43,10.18,10.3,42300,0
2015-09-01,10.14,10.31,9.93,9.98,60400,0
2015-09-02,10.08,10.08,9.97,10.05,28600,0
2015-09-03,10.02,10.1,9.96,10.0,41100,0
2015-09-04,9.87,10.01,9.87,9.99,34100,0
2015-09-08,10.11,10.39,10.07,10.34,26400,0
2015-09-09,10.44,10.44,10.09,10.2,71100,0
2015-09-10,10.18,10.49,10.18,10.41,24159,0
2015-09-11,10.33,10.47,10.28,10.36,29300,0
2015-09-14,10.42,10.54,10.34,10.34,14200,0
2015-09-15,10.34,10.47,10.34,10.46,23946,0
2015-09-16,10.45,10.46,10.1,10.15,26700,0
2015-09-17,10.15,10.4,10.14,10.23,258808,0
2015-09-18,10.11,10.62,10.11,10.29,88000,0
2015-09-21,10.42,10.5,10.25,10.34,18500,0
2015-09-22,10.1,10.3,10.1,10.22,57400,0
2015-09-23,10.18,10.46,10.1,10.17,77700,0
2015-09-24,10.33,10.34,10.06,10.28,108550,0
2015-09-25,10.37,10.37,9.94,10.0,118500,0
2015-09-28,10.01,10.12,9.91,10.05,102947,0
2015-09-29,10.04,10.06,9.89,10.05,49700,0
2015-09-30,10.15,10.15,9.75,10.01,78800,0
2015-10-01,9.98,10.07,9.8,9.89,32000,0
2015-10-02,9.86,10.16,9.85,10.1,40300,0
2015-10-05,10.18,10.42,10.12,10.41,45640,0
2015-10-06,10.35,10.53,9.92,10.05,43000,0
2015-10-07,10.06,10.45,9.97,10.43,43600,0
2015-10-08,10.37,10.51,10.19,10.31,23200,0
2015-10-09,10.34,10.39,9.98,10.07,47400,0
2015-10-12,10.09,10.35,10.06,10.19,32505,0
2015-10-13,10.16,10.21,9.97,10.01,121900,0
2015-10-14,10.11,10.12,9.79,9.9,55900,0
2015-10-15,9.9,10.2,9.9,10.15,38900,0
2015-10-16,10.2,10.2,9.96,10.03,35800,0
2015-10-19,10.03,10.12,9.97,10.04,19900,0
2015-10-20,10.04,10.26,10.0,10.03,70661,0
2015-10-21,10.05,10.1,9.95,10.05,31600,0
2015-10-22,10.06,10.32,10.05,10.12,77900,0
2015-10-23,10.3,10.35,10.21,10.3,54900,0
2015-10-26,10.34,10.34,10.25,10.3,12800,0
2015-10-27,10.28,10.3,10.0,10.08,41000,0
2015-10-28,10.08,10.14,9.98,10.05,313000,0
2015-10-29,10.12,10.12,10.0,10.06,29000,0
2015-10-30,10.08,10.11,10.02,10.1,48800,0
2015-11-02,10.1,10.5,10.08,10.14,336440,0
2015-11-03,10.1,10.39,10.1,10.27,63500,0
2015-11-04,10.19,10.75,10.17,10.62,60408,0
2015-11-05,10.64,10.72,10.41,10.59,96300,0
2015-11-06,10.54,10.64,10.43,10.61,46200,0
2015-11-09,10.56,10.75,10.46,10.53,102998,0
2015-11-10,10.1,10.18,9.76,10.05,686800,0
2015-11-11,10.0,10.11,9.97,10.1,343100,0
2015-11-12,10.03,10.37,10.03,10.27,303900,0
2015-11-13,10.14,10.5,10.1,10.38,205200,0
2015-11-16,10.34,10.4,10.14,10.33,129500,0
2015-11-17,10.29,10.59,10.23,10.5,125300,0
2015-11-18,10.43,10.59,10.43,10.57,73000,0
2015-11-19,10.54,10.85,10.54,10.81,181700,0
2015-11-20,10.88,11.14,10.81,10.98,151700,0
2015-11-23,10.87,11.13,10.87,11.03,189000,0
2015-11-24,10.88,10.95,10.45,10.64,406200,0
2015-11-25,10.56,11.3,10.56,11.21,325100,0
2015-11-27,11.17,11.78,11.17,11.74,66700,0
2015-11-30,11.73,11.84,11.63,11.64,141900,0
2015-12-01,11.63,11.74,11.48,11.69,120182,0
2015-12-02,11.65,11.72,11.6,11.67,49436,0
2015-12-03,11.63,11.74,11.22,11.22,77976,0
2015-12-04,11.27,11.42,11.14,11.38,48300,0
2015-12-07,11.4,11.4,11.18,11.36,175500,0
2015-12-08,11.26,11.43,11.26,11.29,80806,0
2015-12-09,11.22,11.31,10.94,10.99,136200,0
2015-12-10,10.95,11.12,10.95,11.02,171700,0
2015-12-11,10.85,11.19,10.85,11.09,149900,0
2015-12-14,11.06,11.18,10.85,10.88,55475,0
2015-12-15,10.99,11.06,10.91,11.04,40100,0
