Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,12.814,13.158,12.211,12.385,70163,0
2015-01-05,12.357,12.66,11.998,12.022,117126,0
2015-01-06,11.985,12.559,11.704,11.85,169989,0
2015-01-07,11.881,12.581,11.844,12.546,77211,0
2015-01-08,12.47,12.868,12.47,12.637,83025,0
2015-01-09,12.561,12.929,12.501,12.831,109706,0
2015-01-12,12.861,13.116,12.538,12.918,91653,0
2015-01-13,12.994,13.266,12.117,12.248,171057,0
2015-01-14,12.022,12.953,12.022,12.444,135157,0
2015-01-15,12.503,12.57,11.941,12.268,179340,0
2015-01-16,12.179,12.912,12.148,12.881,82828,0
2015-01-20,12.818,12.829,12.357,12.438,101852,0
2015-01-21,12.472,12.592,12.115,12.275,117822,0
2015-01-22,12.435,12.894,12.296,12.751,81317,0
2015-01-23,12.651,12.822,12.507,12.646,50022,0
2015-01-26,12.516,12.892,12.516,12.79,45137,0
2015-01-27,12.794,13.077,12.552,12.601,52771,0
2015-01-28,12.501,12.886,12.031,12.111,150273,0
2015-01-29,12.242,12.616,12.111,12.577,90125,0
2015-01-30,12.446,12.616,11.97,11.974,103997,0
2015-02-02,12.115,12.233,11.746,12.209,73744,0
2015-02-03,12.268,12.957,12.174,12.712,57429,0
2015-02-04,12.751,12.785,12.29,12.685,181270,0
2015-02-05,12.716,13.029,12.716,12.953,60804,0
2015-02-06,12.727,13.049,12.727,12.847,48009,0
2015-02-09,13.079,13.127,12.912,12.923,28559,0
2015-02-10,12.701,13.114,12.568,12.89,117739,0
2015-02-11,12.914,13.138,12.575,12.577,44016,0
2015-02-12,12.646,12.646,12.475,12.516,21524,0
2015-02-13,12.611,12.614,12.331,12.438,44962,0
2015-02-17,12.3,12.668,12.296,12.392,63120,0
2015-02-18,12.398,12.459,12.22,12.287,102535,0
2015-02-19,12.287,12.418,11.963,12.398,42335,0
2015-02-20,12.42,12.507,12.176,12.331,138475,0
2015-02-23,12.316,12.316,11.941,12.065,30547,0
2015-02-24,12.181,12.366,12.144,12.205,30533,0
2015-02-25,12.06,12.593,12.06,12.287,44909,0
2015-02-26,12.37,12.528,12.163,12.416,46520,0
2015-02-27,12.337,12.558,12.106,12.204,107443,0
2015-03-02,12.254,12.668,12.211,12.589,57210,0
2015-03-03,12.41,12.589,12.41,12.434,27911,0
2015-03-04,12.495,12.532,12.314,12.379,34316,0
2015-03-05,12.48,12.534,12.222,12.261,27911,0
2015-03-06,12.202,12.583,11.846,11.855,89236,0
2015-03-09,11.643,11.957,11.601,11.665,53082,0
2015-03-10,11.411,11.894,11.389,11.71,60410,0
2015-03-11,11.582,11.678,11.121,11.219,102509,0
2015-03-12,11.241,11.302,10.581,10.677,81002,0
2015-03-13,10.762,11.044,10.65,10.945,175268,0
2015-03-16,11.046,11.634,11.046,11.459,110748,0
2015-03-17,11.337,11.787,11.337,11.512,103879,0
