Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,12.378,12.564,12.339,12.339,1236,0
2015-01-05,12.339,12.579,12.339,12.579,1847,0
2015-01-06,12.662,12.83,12.662,12.754,5463,0
2015-01-07,13.232,14.223,13.232,14.146,28681,0
2015-01-08,14.108,14.17,13.861,14.062,13227,0
2015-01-09,13.854,13.992,13.854,13.915,2201,0
2015-01-12,14.215,14.238,14.108,14.108,2766,0
2015-01-13,14.108,14.3,14.108,14.177,4823,0
2015-01-14,14.116,14.116,14.108,14.108,1332,0
2015-01-15,14.376,14.376,14.146,14.146,1515,0
2015-01-16,14.146,14.215,14.038,14.215,5770,0
2015-01-20,14.031,14.131,14.031,14.031,4478,0
2015-01-21,14.146,14.146,14.146,14.146,1023,0
2015-01-22,14.146,14.284,14.016,14.016,2090,0
2015-01-23,14.031,14.192,14.031,14.031,2779,0
2015-01-26,14.393,14.393,14.323,14.323,287,0
2015-01-27,14.453,14.453,14.284,14.284,650,0
2015-01-28,14.223,14.262,14.223,14.262,791,0
2015-01-29,14.192,14.192,14.185,14.185,960,0
2015-02-02,14.038,14.438,14.023,14.208,1431,0
2015-02-03,14.33,14.33,14.238,14.284,1523,0
2015-02-04,14.315,14.323,14.315,14.323,521,0
2015-02-05,14.339,14.576,14.246,14.522,10691,0
2015-02-06,14.522,14.56,14.262,14.56,4054,0
2015-02-09,14.56,14.56,14.268,14.415,3660,0
2015-02-10,14.554,14.761,14.492,14.723,10591,0
2015-02-11,14.799,14.799,14.483,14.789,5150,0
2015-02-12,14.774,14.799,14.726,14.726,2944,0
2015-02-13,14.805,15.13,14.805,15.016,14141,0
2015-02-17,15.162,15.34,14.799,15.34,1112,0
2015-02-18,15.283,15.283,15.05,15.17,1730,0
2015-02-19,15.251,15.324,14.822,15.283,3245,0
2015-02-20,15.308,15.308,14.766,15.089,10436,0
2015-02-23,15.292,15.292,14.805,15.219,2288,0
2015-02-24,14.967,15.13,14.854,14.928,4106,0
2015-02-25,15.283,15.283,14.935,15.267,7174,0
2015-02-26,15.298,15.308,15.13,15.308,4198,0
2015-02-27,14.789,15.298,14.644,15.298,12198,0
2015-03-02,15.219,15.251,15.113,15.113,4821,0
2015-03-03,14.91,14.993,14.878,14.888,5933,0
2015-03-04,15.113,15.113,15.089,15.113,1607,0
2015-03-05,14.872,15.105,14.766,15.105,3708,0
2015-03-06,14.951,14.951,14.709,14.831,5686,0
2015-03-10,14.644,14.961,14.644,14.961,3460,0
2015-03-11,14.644,14.742,14.644,14.742,1236,0
2015-03-12,14.742,14.977,14.742,14.967,2596,0
2015-03-13,14.838,14.838,14.644,14.644,1976,0
2015-03-16,14.726,14.726,14.726,14.726,1607,0
2015-03-17,14.571,14.571,14.522,14.522,740,0
2015-03-18,14.483,14.522,14.483,14.483,1730,0
2015-03-19,14.685,14.91,14.401,14.782,2720,0
2015-03-20,14.983,15.008,14.531,14.531,495,0
2015-03-23,14.531,14.531,14.531,14.531,124,0
2015-03-24,14.588,15.0,14.588,15.0,1607,0
2015-03-25,14.612,14.612,14.571,14.571,1112,0
2015-03-26,14.531,14.66,14.401,14.401,10012,0
2015-03-27,14.434,14.45,14.434,14.45,1236,0
2015-03-30,14.467,14.604,14.467,14.604,989,0
2015-03-31,14.522,14.685,14.499,14.644,3924,0
2015-04-01,14.571,14.838,14.563,14.612,1359,0
2015-04-02,14.92,14.977,14.774,14.888,1854,0
2015-04-06,15.298,15.298,14.967,15.024,3832,0
2015-04-07,14.961,15.17,14.961,15.008,1608,0
2015-04-08,14.967,15.283,14.733,15.283,7787,0
2015-04-09,15.05,15.251,15.008,15.21,3426,0
2015-04-10,15.105,15.276,15.105,15.251,6797,0
2015-04-13,15.17,15.187,15.17,15.17,2596,0
2015-04-14,15.17,15.17,15.13,15.17,5810,0
2015-04-15,15.21,15.21,15.073,15.073,3837,0
2015-04-16,15.057,15.292,15.057,15.276,3473,0
2015-04-17,15.21,15.333,15.21,15.333,4450,0
2015-04-20,15.356,15.371,15.292,15.371,1853,0
2015-04-21,15.371,15.494,15.371,15.494,2893,0
2015-04-22,15.494,15.494,15.316,15.494,1983,0
2015-04-23,15.333,15.704,15.316,15.671,6797,0
2015-04-24,15.566,15.566,15.559,15.559,489,0
2015-04-27,15.566,15.616,15.55,15.616,1112,0
2015-04-28,15.616,15.616,15.599,15.599,495,0
2015-04-29,15.599,15.599,15.381,15.381,1359,0
2015-04-30,15.371,15.413,15.371,15.413,1112,0
2015-05-01,15.371,15.616,15.371,15.55,10877,0
2015-05-04,15.534,15.591,15.494,15.494,2720,0
2015-05-05,15.607,15.607,15.543,15.543,4326,0
2015-05-06,15.494,15.494,15.413,15.413,1298,0
2015-05-07,15.371,15.534,15.292,15.397,11729,0
2015-05-08,15.566,15.566,15.388,15.55,1484,0
2015-05-11,15.454,15.616,15.381,15.607,4326,0
2015-05-12,15.566,15.664,15.566,15.566,4326,0
2015-05-13,15.566,15.655,15.454,15.575,3708,0
2015-05-14,15.534,15.874,15.494,15.76,28674,0
2015-05-15,15.842,15.939,15.744,15.777,21682,0
2015-05-18,16.133,16.133,15.728,15.85,4202,0
2015-05-19,15.858,16.076,15.655,15.696,18539,0
2015-05-20,15.655,15.858,15.632,15.842,13472,0
2015-05-21,15.616,16.076,15.616,15.923,9394,0
2015-05-22,16.012,16.012,15.769,15.996,5438,0
2015-05-26,15.785,15.979,15.737,15.826,19477,0
2015-05-27,15.817,15.931,15.777,15.842,13967,0
2015-05-28,15.842,15.931,15.817,15.931,2660,0
2015-05-29,15.794,15.89,15.794,15.89,740,0
2015-06-01,15.923,15.923,15.785,15.923,865,0
2015-06-02,15.85,15.882,15.842,15.882,1972,0
2015-06-03,15.858,15.858,15.858,15.858,495,0
2015-06-04,15.826,15.931,15.704,15.931,7787,0
2015-06-05,15.777,15.777,15.777,15.777,740,0
2015-06-08,15.712,15.712,15.712,15.712,371,0
2015-06-09,15.655,15.655,15.371,15.534,8314,0
2015-06-10,15.777,15.777,15.769,15.777,627,0
2015-06-11,15.728,15.728,15.21,15.21,23777,0
2015-06-12,15.371,15.599,15.34,15.534,3090,0
2015-06-15,15.607,15.607,15.397,15.607,4202,0
2015-06-16,15.623,15.623,15.623,15.623,371,0
2015-06-17,15.599,15.68,15.397,15.397,1730,0
2015-06-18,15.405,15.494,15.405,15.494,495,0
2015-06-19,15.55,15.639,15.55,15.639,495,0
2015-06-22,15.671,15.671,15.55,15.575,2472,0
2015-06-23,15.575,15.728,15.566,15.655,1992,0
2015-06-24,15.655,15.882,15.655,15.882,4696,0
2015-06-25,15.769,15.842,15.769,15.777,5933,0
2015-06-26,15.785,15.971,15.785,15.867,1854,0
2015-06-29,15.785,15.794,15.308,15.599,7046,0
2015-06-30,15.826,15.826,15.371,15.422,2545,0
2015-07-01,15.422,15.422,15.422,15.422,124,0
2015-07-02,15.444,15.444,15.292,15.371,2472,0
2015-07-06,15.477,15.728,15.477,15.502,4450,0
2015-07-07,15.534,15.737,15.21,15.722,10134,0
2015-07-08,15.744,15.744,15.461,15.704,4945,0
2015-07-09,15.534,15.68,15.534,15.575,2966,0
2015-07-10,15.769,15.931,15.744,15.882,5067,0
2015-07-13,15.632,15.85,15.632,15.777,1730,0
2015-07-14,15.777,16.076,15.777,15.874,4329,0
2015-07-15,15.785,16.06,15.785,16.06,1854,0
2015-07-16,16.116,16.116,15.785,15.931,10507,0
2015-07-17,15.963,16.076,15.867,15.939,8281,0
2015-07-20,15.939,15.939,15.842,15.842,1484,0
2015-07-21,15.882,15.939,15.882,15.899,2101,0
2015-07-22,16.02,16.085,15.899,16.085,4821,0
2015-07-23,15.906,16.142,15.906,15.939,2225,0
2015-07-24,15.939,15.939,15.899,15.899,2472,0
2015-07-27,15.979,15.979,15.979,15.979,495,0
2015-07-28,15.979,16.02,15.817,15.817,1854,0
2015-07-29,16.036,16.036,15.874,15.89,4450,0
2015-07-30,16.02,16.06,15.81,15.939,2596,0
2015-07-31,15.947,15.947,15.777,15.85,2841,0
2015-08-03,15.81,16.069,15.785,15.785,2216,0
2015-08-04,16.092,16.142,16.027,16.027,1607,0
2015-08-05,15.76,16.158,15.76,15.963,1730,0
2015-08-06,15.931,15.939,15.931,15.939,732,0
2015-08-07,15.947,16.1,15.939,16.1,618,0
2015-08-10,15.744,16.182,15.744,16.133,3585,0
2015-08-11,16.06,16.1,16.06,16.1,2685,0
2015-08-12,15.744,15.744,15.057,15.308,10259,0
2015-08-13,15.17,15.17,15.008,15.05,5067,0
2015-08-14,15.194,15.422,15.194,15.422,16686,0
2015-08-17,15.371,15.591,15.371,15.575,4202,0
2015-08-18,15.648,15.655,15.534,15.534,10999,0
2015-08-19,15.413,15.534,15.388,15.405,6551,0
2015-08-20,15.292,15.477,15.21,15.298,4450,0
2015-08-21,15.486,15.486,15.21,15.21,2966,0
2015-08-24,14.977,14.983,14.685,14.805,8242,0
2015-08-25,14.815,15.17,14.805,15.0,3460,0
2015-08-26,14.677,15.13,14.677,14.693,10012,0
2015-08-27,15.016,15.016,14.847,14.854,618,0
2015-08-28,14.805,15.17,14.805,15.154,1730,0
2015-08-31,15.17,15.283,14.838,15.17,7911,0
2015-09-01,15.04,15.68,14.894,15.388,8033,0
2015-09-02,15.534,15.534,15.21,15.371,1484,0
2015-09-03,15.371,15.696,15.371,15.671,3832,0
2015-09-04,15.648,15.655,15.267,15.655,3708,0
2015-09-08,15.381,15.413,15.381,15.413,618,0
2015-09-09,15.34,15.397,15.21,15.21,4696,0
2015-09-10,15.251,15.251,15.057,15.113,1236,0
2015-09-11,14.944,15.033,14.944,14.993,3337,0
2015-09-15,15.26,15.26,14.782,15.251,4696,0
2015-09-16,15.251,15.251,15.243,15.243,1236,0
2015-09-17,14.967,15.081,14.967,15.081,2724,0
2015-09-18,15.081,15.227,15.081,15.227,495,0
2015-09-21,15.243,15.243,15.243,15.243,1607,0
2015-09-22,15.097,15.17,14.847,14.967,16438,0
2015-09-23,14.951,14.977,14.726,14.805,13225,0
2015-09-24,14.782,15.057,14.522,14.604,9916,0
2015-09-25,14.588,14.604,14.086,14.604,23854,0
2015-09-28,14.677,14.928,14.49,14.556,10493,0
2015-09-29,14.288,14.669,14.029,14.345,12360,0
2015-09-30,14.45,14.45,13.876,14.281,23977,0
2015-10-01,14.888,14.888,14.321,14.483,8033,0
2015-10-02,14.805,14.805,14.329,14.669,6427,0
2015-10-05,14.961,14.961,14.442,14.872,5261,0
2015-10-06,14.636,14.888,14.522,14.588,5810,0
2015-10-07,14.878,15.04,14.774,14.92,4078,0
2015-10-08,14.847,15.008,14.652,15.008,12607,0
2015-10-09,14.944,15.371,14.944,15.26,14708,0
2015-10-12,15.13,15.371,14.894,15.365,4759,0
2015-10-13,15.333,15.494,15.154,15.486,6057,0
2015-10-14,15.388,15.543,15.17,15.17,740,0
2015-10-15,15.454,15.454,15.454,15.454,3337,0
2015-10-16,15.461,15.566,15.454,15.566,2225,0
2015-10-19,15.543,15.543,15.251,15.397,3823,0
2015-10-20,15.388,15.454,15.388,15.454,247,0
2015-10-21,15.534,15.534,15.34,15.388,7292,0
2015-10-22,15.454,15.566,15.454,15.566,740,0
2015-10-23,15.47,15.47,14.967,15.292,6427,0
2015-10-26,14.935,15.292,14.935,15.292,3460,0
2015-10-27,15.089,15.089,15.089,15.089,124,0
2015-10-28,15.178,15.243,14.774,15.13,10012,0
2015-10-29,15.008,15.146,14.993,15.146,989,0
2015-10-30,15.21,15.21,15.089,15.089,1484,0
2015-11-02,15.097,15.235,15.097,15.21,4614,0
2015-11-03,15.21,15.292,15.113,15.219,3832,0
2015-11-04,15.292,15.292,15.227,15.227,1489,0
2015-11-05,15.292,15.292,14.774,14.961,9516,0
2015-11-06,15.089,15.17,14.644,14.644,2720,0
2015-11-09,14.644,14.652,14.644,14.644,2436,0
2015-11-10,14.766,14.766,14.604,14.604,247,0
2015-11-11,14.983,15.13,14.604,14.644,6675,0
2015-11-12,14.766,14.805,14.563,14.805,3460,0
2015-11-13,14.483,14.685,14.208,14.677,5438,0
2015-11-16,14.726,14.847,14.377,14.847,6922,0
2015-11-17,14.644,14.693,14.612,14.612,1236,0
2015-11-18,14.644,14.862,14.62,14.782,2101,0
2015-11-19,14.629,14.92,14.629,14.92,2596,0
2015-11-20,14.604,14.726,14.434,14.596,9394,0
2015-11-23,14.393,14.467,14.393,14.393,2966,0
2015-11-24,14.483,14.483,14.321,14.321,6179,0
2015-11-25,14.483,14.563,14.321,14.411,2349,0
2015-11-27,14.281,14.596,14.281,14.312,1976,0
2015-11-30,14.248,14.515,14.248,14.515,6179,0
2015-12-01,14.483,14.571,14.24,14.321,2363,0
2015-12-02,14.321,14.321,14.321,14.321,20,0
2015-12-03,14.483,14.483,14.483,14.483,618,0
2015-12-04,14.782,14.782,14.644,14.644,1730,0
2015-12-07,14.321,14.411,14.321,14.321,1854,0
2015-12-08,14.321,14.321,14.126,14.256,9340,0
2015-12-09,14.506,14.506,14.167,14.265,6303,0
2015-12-10,14.361,14.483,14.223,14.232,5561,0
2015-12-11,14.369,14.369,14.223,14.24,1730,0
2015-12-14,14.417,14.417,13.568,13.754,8930,0
2015-12-15,14.038,14.038,13.147,13.495,15820,0
2015-12-16,13.511,13.553,13.156,13.553,10134,0
2015-12-17,13.593,13.747,13.375,13.56,5067,0
2015-12-18,13.438,13.884,13.349,13.349,13472,0
2015-12-21,13.349,13.52,13.349,13.52,6179,0
2015-12-22,13.292,13.407,12.971,13.349,7276,0
2015-12-23,13.325,13.349,13.091,13.302,6303,0
2015-12-24,13.343,13.343,13.342,13.342,563,0
2015-12-28,13.269,13.649,13.026,13.139,12086,0
2015-12-29,13.536,13.536,13.01,13.245,15679,0
2015-12-30,13.026,13.538,13.002,13.066,4326,0
2015-12-31,12.977,13.269,12.913,13.188,4427,0
2016-01-04,13.147,13.687,13.147,13.464,5564,0
2016-01-05,13.487,13.802,13.464,13.495,2104,0
2016-01-06,13.464,13.685,13.464,13.685,2492,0
