Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.52,12.16,11.44,12.16,17717,0
2015-01-05,12.24,12.4,12.0,12.08,21656,0
2015-01-06,12.24,12.32,11.36,11.36,27216,0
2015-01-07,11.68,11.68,11.28,11.6,3762,0
2015-01-08,11.76,11.76,11.36,11.68,5200,0
2015-01-09,11.92,12.16,11.68,12.08,6968,0
2015-01-12,12.08,12.12,11.6,11.6,3636,0
2015-01-13,11.68,12.0,11.52,11.6,6655,0
2015-01-14,11.36,11.68,11.36,11.36,4761,0
2015-01-15,11.918,11.918,10.96,11.12,5251,0
2015-01-16,10.8,11.04,10.64,10.88,6973,0
2015-01-20,10.96,11.12,10.8,10.8,2175,0
2015-01-21,11.119,11.12,10.56,10.64,4556,0
2015-01-22,10.8,11.04,10.8,10.88,4445,0
2015-01-23,10.72,10.72,10.4,10.48,4122,0
2015-01-26,10.482,10.482,10.24,10.24,3188,0
2015-01-27,10.0,10.72,10.0,10.4,4516,0
2015-01-28,10.328,10.352,10.08,10.08,3120,0
2015-01-29,10.16,10.4,9.92,10.4,3102,0
2015-01-30,10.24,10.4,9.92,10.0,10792,0
2015-02-02,10.0,10.08,9.92,9.92,3981,0
2015-02-03,10.08,10.32,10.0,10.32,2412,0
2015-02-04,10.16,10.4,10.0,10.16,4427,0
2015-02-05,10.08,10.08,10.0,10.08,9397,0
2015-02-06,9.84,10.24,9.84,9.92,3969,0
2015-02-09,10.08,10.4,10.064,10.4,4143,0
2015-02-10,10.4,10.4,10.0,10.24,2742,0
2015-02-11,10.226,10.4,10.226,10.32,2751,0
2015-02-12,10.32,10.4,10.16,10.16,4250,0
2015-02-13,9.92,10.4,9.92,10.4,1660,0
2015-02-17,10.4,10.8,10.204,10.72,4051,0
2015-02-18,10.72,11.04,10.72,10.96,1975,0
2015-02-19,10.96,11.52,10.64,10.64,21189,0
2015-02-20,10.72,10.72,9.84,10.24,6290,0
2015-02-23,10.288,10.307,9.84,10.24,7748,0
2015-02-24,10.24,10.24,9.92,10.0,4641,0
2015-02-25,10.16,10.16,9.92,10.08,5042,0
2015-02-26,10.0,10.16,9.92,10.0,5044,0
2015-02-27,10.08,10.08,9.92,10.0,5326,0
2015-03-02,9.92,10.0,9.68,9.84,5838,0
2015-03-03,9.68,9.76,9.52,9.52,2525,0
2015-03-04,9.36,10.0,9.36,9.76,2975,0
2015-03-05,10.16,10.32,9.84,10.08,2488,0
2015-03-06,10.08,10.24,9.6,9.76,2213,0
2015-03-09,10.0,10.0,9.52,9.6,2850,0
2015-03-10,9.6,10.0,9.52,9.6,1475,0
2015-03-11,9.68,9.68,9.36,9.36,1713,0
2015-03-12,9.52,10.0,9.44,9.92,1488,0
2015-03-13,10.16,10.16,9.6,9.76,5875,0
2015-03-16,9.92,9.92,9.6,9.6,12775,0
2015-03-17,9.6,9.92,9.6,9.76,1513,0
2015-03-18,10.0,10.0,9.68,9.76,3088,0
2015-03-19,9.76,10.0,9.76,9.92,1475,0
2015-03-20,9.92,10.32,9.76,9.92,32650,0
2015-03-23,10.08,10.32,10.08,10.16,4125,0
2015-03-24,10.24,10.8,10.08,10.08,7250,0
2015-03-25,10.16,10.32,9.92,9.92,4238,0
2015-03-26,10.08,10.08,9.92,9.92,1113,0
2015-03-27,9.92,10.08,9.92,10.08,1563,0
2015-03-30,10.08,10.16,9.92,10.0,27625,0
2015-03-31,10.16,10.16,9.84,10.08,3275,0
2015-04-01,10.4,10.4,9.36,9.6,6325,0
2015-04-02,9.68,9.84,9.36,9.6,40688,0
2015-04-06,9.76,10.16,9.68,9.92,4913,0
2015-04-07,9.68,10.08,9.68,10.08,10229,0
2015-04-08,10.24,10.4,10.16,10.32,11275,0
2015-04-09,10.399,10.399,10.0,10.0,2590,0
2015-04-10,10.16,10.32,10.0,10.0,6600,0
2015-04-13,10.32,10.32,10.0,10.0,4413,0
2015-04-14,10.0,10.08,9.92,9.92,13738,0
2015-04-15,10.0,10.32,9.84,10.08,6780,0
2015-04-16,10.16,10.16,9.92,10.0,4307,0
2015-04-17,10.0,10.4,9.92,10.24,11863,0
2015-04-20,10.16,10.4,10.0,10.32,3889,0
2015-04-21,10.56,10.72,10.32,10.4,9294,0
2015-04-22,10.4,10.4,10.08,10.32,2797,0
2015-04-23,10.24,10.32,9.44,10.08,15963,0
2015-04-24,10.0,10.24,9.84,10.08,6825,0
2015-04-27,9.76,10.08,9.76,10.0,5275,0
2015-04-28,10.0,10.08,9.92,9.92,1938,0
2015-04-29,10.0,10.08,9.76,10.0,5663,0
2015-04-30,9.84,9.84,9.52,9.68,5663,0
2015-05-01,9.6,10.08,9.52,9.92,4850,0
2015-05-04,10.0,10.0,9.6,9.68,1963,0
2015-05-05,9.6,9.68,9.44,9.52,6375,0
2015-05-06,9.44,9.6,9.44,9.52,4607,0
2015-05-07,9.6,10.4,9.36,10.0,7274,0
2015-05-08,10.32,10.32,9.52,9.68,3238,0
2015-05-11,9.76,9.76,9.52,9.6,8838,0
2015-05-12,9.36,9.76,9.36,9.76,5017,0
2015-05-13,9.76,9.76,9.44,9.52,1463,0
2015-05-14,9.76,10.0,9.6,10.0,2113,0
2015-05-15,10.0,10.0,9.44,9.6,3042,0
2015-05-18,9.789,9.96,8.88,9.36,11336,0
2015-05-19,9.52,9.52,8.96,9.2,11900,0
2015-05-20,9.52,9.52,9.04,9.04,10025,0
