Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,41.304,41.479,40.704,41.246,1451230,0
2015-01-05,40.891,41.21,40.261,40.657,1890474,0
2015-01-06,40.929,41.131,40.214,40.872,3376615,0
2015-01-07,41.19,41.459,40.832,40.929,3038602,0
2015-01-08,41.392,42.125,41.392,41.681,2794371,0
2015-01-09,41.778,41.991,40.984,41.024,1709910,0
2015-01-12,41.121,41.575,40.842,41.499,1309464,0
2015-01-13,41.691,42.173,41.131,41.44,2480164,0
2015-01-14,41.063,41.246,40.31,40.734,2681963,0
2015-01-15,40.812,40.92,40.078,40.185,2760838,0
2015-01-16,40.145,40.619,39.912,40.444,2764588,0
2015-01-20,40.647,40.872,39.846,40.185,1836430,0
2015-01-21,40.106,40.523,39.864,40.494,2001665,0
2015-01-22,40.571,41.623,40.387,41.584,3132495,0
2015-01-23,41.614,41.642,38.521,38.677,5858634,0
2015-01-26,38.773,38.85,37.826,38.079,4186531,0
2015-01-27,37.469,38.561,37.112,38.174,4733562,0
2015-01-28,38.63,38.677,37.935,38.087,1690064,0
2015-01-29,38.079,39.462,38.079,39.344,3828409,0
2015-01-30,38.9,39.534,38.87,39.123,2254730,0
2015-02-02,39.245,39.472,38.746,39.123,2846266,0
2015-02-03,39.285,40.194,39.113,40.097,2146879,0
2015-02-04,39.873,40.503,39.682,40.231,1786590,0
2015-02-05,40.434,41.092,40.33,40.542,2485762,0
2015-02-06,40.59,40.647,39.961,40.061,3139611,0
2015-02-09,39.78,40.051,39.189,39.534,4990949,0
2015-02-10,42.01,44.097,41.402,43.728,8419671,0
2015-02-11,43.738,44.23,43.256,43.68,3394451,0
2015-02-12,43.855,44.753,43.835,44.638,2913005,0
2015-02-13,44.79,44.839,44.221,44.483,2026521,0
2015-02-17,44.319,45.315,44.212,45.061,1954278,0
2015-02-18,45.169,45.488,44.688,45.448,1458959,0
2015-02-19,45.537,46.078,45.052,46.058,1746786,0
2015-02-20,45.883,46.79,45.564,46.539,1792190,0
2015-02-23,46.269,46.519,45.846,46.279,1505270,0
2015-02-24,45.979,46.79,45.939,46.658,1079596,0
2015-02-25,46.519,46.762,45.66,45.93,1510551,0
2015-02-26,45.939,46.698,45.827,46.462,1060802,0
2015-02-27,46.068,46.368,45.488,45.528,3285742,0
2015-03-02,45.63,46.249,45.594,45.892,2111361,0
2015-03-03,45.65,45.939,45.109,45.237,2130101,0
2015-03-04,44.897,45.41,44.276,45.119,1755735,0
