Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,6.9699,6.9699,6.57,6.62,10442,0
2015-01-05,6.6,6.75,6.59,6.63,6176,0
2015-01-06,6.65,6.66,6.6,6.6,2273,0
2015-01-07,6.62,6.69,6.62,6.69,1070,0
2015-01-08,6.75,6.75,6.53,6.62,17523,0
2015-01-09,6.62,6.62,6.53,6.59,3678,0
2015-01-12,6.58,6.58,6.5,6.51,2110,0
2015-01-13,6.51,6.58,6.5,6.5101,7926,0
2015-01-14,6.51,6.5201,6.37,6.41,14445,0
2015-01-15,6.38,6.52,6.37,6.37,10573,0
2015-01-16,6.36,6.36,6.0601,6.13,16742,0
2015-01-20,6.15,6.15,5.92,6.04,11566,0
2015-01-21,6.0218,6.1564,6.0218,6.11,8120,0
2015-01-22,6.05,6.1,5.9744,6.01,19783,0
2015-01-23,5.93,5.94,5.6031,5.77,28514,0
2015-01-26,5.7199,5.7199,5.55,5.7,15634,0
2015-01-27,5.68,6.1,5.6,6.1,13636,0
2015-01-28,6.11,6.16,5.975,5.975,6218,0
2015-01-29,5.95,6.05,5.95,6.05,1998,0
2015-01-30,6.08,6.1163,5.82,5.82,2572,0
2015-02-02,5.84,5.94,5.84,5.93,7131,0
2015-02-03,5.93,6.54,5.8635,6.39,15167,0
2015-02-04,6.03,6.46,6.03,6.35,5860,0
2015-02-05,6.4,6.59,6.39,6.57,3174,0
2015-02-06,6.41,6.49,6.39,6.41,2031,0
2015-02-09,6.39,6.589,6.381,6.45,7468,0
2015-02-10,6.54,6.62,6.44,6.57,5713,0
2015-02-11,6.61,6.61,6.28,6.5699,3206,0
2015-02-12,6.608,6.73,6.4101,6.71,8796,0
2015-02-13,6.61,6.723,6.61,6.61,1906,0
2015-02-17,6.69,6.78,6.69,6.7,6238,0
2015-02-18,6.68,6.712,6.5601,6.638,5575,0
2015-02-19,6.6075,6.79,6.6075,6.78,5330,0
2015-02-20,6.68,6.7,6.57,6.7,4283,0
2015-02-23,6.68,6.73,6.5839,6.73,4599,0
