Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,13.11,13.12,12.602,12.935,442709,0
2015-01-05,12.895,12.935,12.427,12.457,660896,0
2015-01-06,12.515,12.574,11.784,11.869,629461,0
2015-01-07,11.967,12.182,11.715,11.937,432650,0
2015-01-08,12.096,12.377,11.908,12.328,848409,0
2015-01-09,12.347,12.466,11.987,12.007,331604,0
2015-01-12,12.125,12.301,11.888,12.116,447482,0
2015-01-13,12.437,12.731,12.066,12.291,433677,0
2015-01-14,12.007,12.367,11.774,11.957,469227,0
2015-01-15,11.795,12.061,11.764,11.802,301658,0
2015-01-16,11.812,11.997,11.637,11.927,300629,0
2015-01-20,11.941,12.515,11.941,12.486,473585,0
2015-01-21,12.407,12.651,12.222,12.515,470041,0
2015-01-22,12.651,12.964,12.437,12.935,491815,0
2015-01-23,12.994,12.994,12.651,12.905,562625,0
2015-01-26,12.846,13.502,12.681,13.462,912752,0
2015-01-27,13.337,13.542,13.143,13.199,355700,0
2015-01-28,13.337,13.337,12.751,12.808,548787,0
2015-01-29,12.828,13.356,12.701,13.307,429933,0
2015-01-30,13.12,13.297,12.232,12.261,616743,0
2015-02-02,12.232,12.261,11.627,12.016,492757,0
2015-02-03,12.036,12.319,11.832,12.056,663630,0
2015-02-04,12.036,12.574,11.997,12.466,312412,0
2015-02-05,12.496,12.818,12.328,12.751,377024,0
2015-02-06,12.711,13.07,12.466,12.885,366386,0
2015-02-09,12.741,12.789,12.134,12.152,474697,0
2015-02-10,12.301,12.476,12.056,12.437,365837,0
2015-02-11,12.271,12.661,12.271,12.583,369185,0
2015-02-12,11.937,12.251,11.323,11.686,938587,0
2015-02-13,12.242,13.677,12.202,13.522,1592376,0
2015-02-17,13.492,13.657,13.061,13.199,951818,0
2015-02-18,13.18,13.443,12.994,13.443,414653,0
2015-02-19,13.542,13.677,13.356,13.443,434664,0
2015-02-20,13.453,13.677,13.22,13.627,468775,0
2015-02-23,13.608,14.527,13.522,14.497,758736,0
2015-02-24,14.342,15.348,14.245,15.163,1086816,0
2015-02-25,15.173,15.376,14.634,14.713,836606,0
2015-02-26,14.654,14.654,14.235,14.654,551324,0
2015-02-27,14.557,14.634,14.254,14.283,316483,0
2015-03-02,14.313,15.24,14.293,15.123,707811,0
2015-03-03,15.123,15.32,14.985,15.203,640152,0
2015-03-04,15.054,15.183,14.841,15.004,423049,0
2015-03-05,15.104,15.3,14.742,15.123,856025,0
2015-03-06,15.034,15.222,14.615,14.644,496133,0
2015-03-09,14.693,14.88,14.459,14.88,370334,0
2015-03-10,14.654,14.683,14.118,14.479,383437,0
2015-03-11,14.488,14.605,14.323,14.488,363578,0
2015-03-12,14.595,15.104,14.517,15.104,396027,0
2015-03-13,15.034,15.133,14.772,14.938,484567,0
2015-03-16,15.114,15.513,15.064,15.493,623877,0
2015-03-17,15.533,15.603,15.213,15.444,518550,0
2015-03-18,15.444,15.563,15.104,15.357,466655,0
2015-03-19,15.339,15.543,15.074,15.348,325912,0
2015-03-20,15.376,15.406,14.919,15.143,665231,0
2015-03-23,15.064,15.633,15.024,15.24,443727,0
2015-03-24,15.24,15.24,14.88,15.054,331540,0
2015-03-25,15.024,15.054,14.195,14.235,383743,0
2015-03-26,13.892,14.205,11.917,14.088,348384,0
2015-03-27,14.098,14.587,14.098,14.47,248408,0
2015-03-30,14.558,14.676,14.401,14.46,250798,0
2015-03-31,14.43,14.591,14.078,14.314,419569,0
2015-04-01,14.304,14.498,14.068,14.235,380332,0
2015-04-02,14.294,14.44,13.736,13.833,310307,0
2015-04-06,13.626,14.058,13.52,13.901,402380,0
2015-04-07,13.94,14.177,13.823,13.93,344186,0
2015-04-08,13.96,14.314,13.881,14.225,361958,0
2015-04-09,14.274,14.343,13.833,14.039,232741,0
2015-04-10,14.108,14.371,13.881,14.118,232118,0
2015-04-13,14.058,14.548,14.01,14.254,195268,0
2015-04-14,14.137,14.195,13.421,13.441,543958,0
2015-04-15,13.646,13.726,13.186,13.305,446013,0
2015-04-16,13.305,13.716,13.246,13.626,352264,0
2015-04-17,13.48,13.756,13.451,13.696,420956,0
2015-04-20,13.833,14.015,13.597,14.01,247167,0
2015-04-21,14.088,14.088,13.716,13.93,222845,0
2015-04-22,13.95,14.048,13.706,13.925,181403,0
2015-04-23,13.872,13.872,13.47,13.53,544978,0
2015-04-24,13.577,13.853,13.568,13.756,408302,0
2015-04-27,13.862,13.91,13.47,13.568,507924,0
2015-04-28,13.559,13.872,13.392,13.853,716105,0
2015-04-29,13.765,13.794,13.177,13.47,452600,0
2015-04-30,13.285,13.54,13.256,13.372,456988,0
2015-05-01,13.872,15.841,13.862,15.792,2028943,0
2015-05-04,15.792,16.126,15.647,15.686,554063,0
2015-05-05,15.457,15.764,15.352,15.39,541302,0
2015-05-06,15.38,15.419,14.798,15.067,543512,0
2015-05-07,15.116,15.919,15.116,15.725,700875,0
2015-05-08,15.88,16.057,15.686,15.88,651848,0
2015-05-11,15.899,16.852,15.871,16.537,765664,0
2015-05-12,16.459,16.606,16.135,16.165,592704,0
2015-05-13,16.272,16.499,15.725,15.822,380636,0
2015-05-14,15.889,16.204,15.792,16.067,278666,0
2015-05-15,16.057,16.126,15.861,16.067,326744,0
2015-05-18,16.067,16.342,15.878,16.223,337180,0
2015-05-19,16.371,16.752,16.242,16.566,638613,0
2015-05-20,16.566,16.636,15.39,15.754,741779,0
2015-05-21,15.764,16.087,15.027,15.027,729326,0
2015-05-22,15.136,15.293,14.508,14.558,576826,0
2015-05-26,14.666,14.715,14.088,14.324,677132,0
2015-05-27,14.41,14.636,14.274,14.538,487817,0
2015-05-28,14.401,14.616,14.352,14.381,553631,0
2015-05-29,14.401,14.636,14.167,14.498,898259,0
2015-06-01,14.73,14.887,14.46,14.764,1038552,0
2015-06-02,14.626,14.774,14.48,14.676,1335037,0
2015-06-03,14.695,14.803,14.489,14.636,987471,0
2015-06-04,14.577,15.087,14.167,14.225,762502,0
2015-06-05,14.245,14.528,14.098,14.528,347769,0
2015-06-08,14.43,14.43,13.597,13.833,603773,0
2015-06-09,13.686,13.823,13.177,13.686,575702,0
2015-06-10,13.862,14.508,13.716,14.157,651894,0
2015-06-11,14.186,14.371,14.029,14.186,418251,0
2015-06-12,14.108,14.587,14.039,14.46,380943,0
2015-06-15,14.391,14.391,13.853,14.058,346136,0
2015-06-16,14.048,14.118,13.736,13.843,324496,0
2015-06-17,13.794,14.078,13.656,13.91,321841,0
2015-06-18,13.91,14.577,13.833,14.47,424836,0
2015-06-19,14.616,15.313,14.391,15.243,788120,0
2015-06-22,15.429,15.725,15.37,15.547,499964,0
2015-06-23,15.587,15.822,15.448,15.537,251818,0
2015-06-24,15.537,15.647,15.4,15.517,263048,0
2015-06-25,15.637,15.705,15.361,15.547,338276,0
2015-06-26,15.507,15.715,15.086,15.242,681264,0
2015-06-29,15.076,15.195,14.321,14.331,491780,0
2015-06-30,14.535,14.831,14.388,14.772,549822,0
2015-07-01,14.987,15.096,14.074,14.417,542791,0
2015-07-02,14.398,14.703,14.045,14.457,403811,0
2015-07-06,14.398,14.644,14.016,14.331,351069,0
2015-07-07,14.378,14.594,13.956,14.555,435984,0
2015-07-08,14.133,14.457,13.761,13.839,407576,0
2015-07-09,14.124,14.173,13.554,13.661,473961,0
2015-07-10,13.839,14.427,13.631,14.064,489946,0
2015-07-13,14.358,14.604,14.094,14.467,389350,0
2015-07-14,14.417,14.575,14.182,14.271,339171,0
2015-07-15,14.232,14.467,13.887,14.143,420871,0
2015-07-16,14.232,14.368,13.996,14.025,482717,0
2015-07-17,14.084,14.565,14.025,14.515,426005,0
