Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,6.8974,6.9163,6.8314,6.8881,2874656,0
2015-01-05,6.7185,6.7468,6.6902,6.6902,3249925,0
2015-01-06,6.6807,6.6995,6.6242,6.6524,3913133,0
2015-01-07,6.6995,6.6995,6.5583,6.596,2904182,0
2015-01-08,6.596,6.6432,6.5677,6.6242,1189962,0
2015-01-09,6.5017,6.5017,6.4358,6.4829,2240119,0
2015-01-12,6.4358,6.5206,6.4075,6.4546,3553368,0
2015-01-13,6.5017,6.5395,6.4263,6.464,2204529,0
2015-01-14,6.3887,6.464,6.3887,6.4546,1681108,0
2015-01-15,6.464,6.4923,6.4263,6.4452,1939081,0
2015-01-16,6.5206,6.596,6.4923,6.5865,1476687,0
2015-01-20,6.5771,6.6054,6.5112,6.53,2828108,0
2015-01-21,6.5112,6.5771,6.4546,6.5487,5169565,0
2015-01-22,6.5395,6.6336,6.4923,6.6148,3458714,0
2015-01-23,6.5771,6.5865,6.53,6.5677,3194162,0
2015-01-26,6.5395,6.6148,6.4923,6.5771,2836574,0
2015-01-27,6.6432,6.7373,6.6432,6.6902,2203483,0
2015-01-28,6.596,6.596,6.4452,6.4452,2981579,0
2015-01-29,6.4263,6.4734,6.398,6.464,4514009,0
2015-01-30,6.398,6.4358,6.3509,6.3509,1928068,0
2015-02-02,6.3793,6.464,6.3605,6.4358,4576633,0
2015-02-03,6.3605,6.4452,6.3509,6.4263,3770883,0
2015-02-04,6.4923,6.6148,6.4734,6.5487,5124012,0
2015-02-05,6.5771,6.662,6.5771,6.6336,4276689,0
2015-02-06,6.6524,6.7373,6.6524,6.6714,3742135,0
2015-02-09,6.6714,6.6902,6.6242,6.6432,2204473,0
2015-02-10,6.6714,6.709,6.6336,6.6807,1619594,0
2015-02-11,6.6807,6.7279,6.6524,6.7185,2331748,0
2015-02-12,6.7373,6.7939,6.7373,6.7939,2535361,0
2015-02-13,6.8974,7.0106,6.8693,6.9729,4478267,0
2015-02-17,7.0671,7.1331,7.0577,7.1142,1772795,0
2015-02-18,7.2556,7.3121,7.2556,7.2933,2819611,0
2015-02-19,7.4628,7.5195,7.4346,7.4817,3285417,0
2015-02-20,7.4251,7.5005,7.3968,7.4912,1989965,0
2015-02-23,7.3497,7.3593,7.3214,7.3497,1446410,0
2015-02-24,7.3214,7.4158,7.3214,7.3968,1295107,0
2015-02-25,7.3497,7.4251,7.3214,7.3968,3821276,0
2015-02-26,7.4912,7.6513,7.4817,7.5571,6775883,0
2015-02-27,7.5665,7.6136,7.5571,7.576,2791751,0
2015-03-02,7.51,7.576,7.5005,7.5476,2007047,0
2015-03-03,7.4723,7.5195,7.4534,7.4817,1844780,0
