Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,4.37,4.37,4.04,4.05,3746,0
2015-01-05,4.05,4.2627,4.05,4.16,22871,0
2015-01-06,4.11,4.37,4.11,4.29,39616,0
2015-01-07,4.27,4.3,4.2,4.22,38530,0
2015-01-08,4.22,4.36,4.2,4.275,14679,0
2015-01-09,4.2,4.33,3.958,4.19,207255,0
2015-01-12,4.28,4.32,3.94,3.98,67756,0
2015-01-13,4.03,4.11,3.68,3.82,61822,0
2015-01-14,3.86,3.89,3.64,3.83,29862,0
2015-01-15,3.76,3.78,3.59,3.62,67669,0
2015-01-16,3.55,3.67,3.462,3.625,13557,0
2015-01-20,3.6,3.8,3.45,3.74,10555,0
2015-01-21,3.68,3.77,3.59,3.77,8700,0
2015-01-22,3.62,3.75,3.25,3.66,7627990,0
2015-01-23,3.796,3.989,3.71,3.93,26418,0
2015-01-26,3.89,4.25,3.8661,4.25,25695,0
2015-01-27,4.14,4.23,3.99,4.16,60042,0
2015-01-28,4.14,4.17,4.01,4.12,8349,0
2015-01-29,4.07,4.2,4.01,4.17,18474,0
2015-01-30,4.11,4.12,3.788,4.02,18048,0
2015-02-02,4.0,4.21,3.96,4.15,19292,0
2015-02-03,4.14,4.2,3.99,4.0,45872,0
2015-02-04,4.03,4.22,3.9,4.16,17088,0
2015-02-05,4.0501,4.21,4.0285,4.1499,21099,0
2015-02-06,4.21,4.21,4.01,4.21,33009,0
2015-02-09,4.15,4.24,4.01,4.08,15270,0
2015-02-10,4.05,4.2,4.0,4.05,36356,0
2015-02-11,4.11,4.2,4.0,4.15,23797,0
2015-02-12,4.1101,4.1726,4.03,4.03,10844,0
2015-02-13,4.07,4.18,4.02,4.07,19525,0
2015-02-17,4.04,4.2,4.02,4.11,7011,0
2015-02-18,4.13,4.24,4.03,4.14,15655,0
2015-02-19,4.15,4.24,4.1,4.23,31906,0
2015-02-20,4.11,4.23,4.05,4.15,18566,0
2015-02-23,4.1,4.21,4.1,4.11,3868,0
2015-02-24,4.19,4.2,4.08,4.1,9356,0
2015-02-25,4.11,4.15,4.11,4.13,2342,0
2015-02-26,4.13,4.166,4.09,4.1,42027,0
2015-02-27,4.1,4.15,4.04,4.1,15735,0
2015-03-02,4.1,4.2,4.06,4.17,15000,0
2015-03-03,4.16,4.17,4.1,4.12,6000,0
2015-03-04,4.11,4.19,4.1,4.13,8800,0
2015-03-05,4.17,4.2,4.11,4.14,1400,0
2015-03-06,4.1,4.18,4.1,4.16,6200,0
2015-03-09,4.15,4.21,4.15,4.2,11600,0
2015-03-10,4.21,4.24,4.15,4.22,26500,0
2015-03-11,4.24,4.25,4.1,4.2,18700,0
2015-03-12,4.18,4.24,4.15,4.19,9200,0
