Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,124.86,127.03,124.72,126.66,2067127,0
2015-01-05,125.85,127.68,124.71,124.92,2466056,0
2015-01-06,124.92,126.73,123.12,123.75,2555101,0
2015-01-07,125.11,127.51,124.51,127.47,2122381,0
2015-01-08,128.0,129.6,128.0,128.81,2553273,0
2015-01-09,129.3,129.65,127.87,128.29,1934360,0
2015-01-12,128.65,129.16,126.84,127.04,1831150,0
2015-01-13,128.1,128.85,125.66,126.88,2116932,0
2015-01-14,125.5,125.91,123.66,124.76,2884214,0
2015-01-15,124.86,125.1,122.69,122.71,2753924,0
2015-01-16,122.29,124.08,121.88,123.86,2057401,0
2015-01-20,124.79,125.05,122.67,123.81,2296154,0
2015-01-21,123.59,124.92,123.44,123.93,1382325,0
2015-01-22,124.91,126.11,123.95,125.55,2987642,0
2015-01-23,125.32,125.62,123.33,123.44,2016680,0
2015-01-26,123.14,124.34,121.86,124.21,2056109,0
2015-01-27,122.74,124.42,122.7,123.45,1915987,0
2015-01-28,124.27,124.45,122.58,122.92,2370011,0
2015-01-29,122.07,127.27,120.19,126.5,4959176,0
2015-01-30,125.32,126.16,123.58,123.78,3553350,0
2015-02-02,124.06,124.48,121.8,124.46,1856640,0
2015-02-03,124.98,126.01,123.95,125.87,1817571,0
2015-02-04,125.15,126.57,124.59,124.91,1548632,0
2015-02-05,125.31,126.03,124.44,125.59,1489637,0
2015-02-06,125.55,125.78,122.9,123.37,1591466,0
2015-02-09,122.44,123.32,121.53,121.99,1372767,0
2015-02-10,122.66,123.73,122.22,123.6,1246372,0
2015-02-11,123.84,124.75,123.43,123.99,1328702,0
2015-02-12,125.31,125.63,124.17,125.38,1386444,0
2015-02-13,125.36,126.25,124.23,126.15,1561279,0
2015-02-17,125.57,126.71,124.75,126.57,1397777,0
2015-02-18,126.54,127.4,125.4,126.54,1418183,0
2015-02-19,126.25,126.65,125.64,126.33,1280761,0
2015-02-20,125.95,129.75,125.7,129.7,2195620,0
2015-02-23,129.54,129.87,128.99,129.52,2110122,0
2015-02-24,129.36,130.48,128.81,130.37,1401551,0
2015-02-25,130.37,130.52,129.32,129.61,1300578,0
2015-02-26,129.3,129.68,128.34,128.68,1576270,0
