Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,37.251,37.341,36.03,36.546,111477,0
2015-01-05,36.188,36.337,34.686,35.234,103047,0
2015-01-06,35.214,35.421,33.991,34.428,95151,0
2015-01-07,34.816,35.054,33.881,34.468,75669,0
2015-01-08,35.303,35.303,34.308,34.428,156359,0
2015-01-09,34.308,34.706,33.017,33.423,152716,0
2015-01-12,33.304,33.314,31.823,32.379,157831,0
2015-01-13,32.728,33.571,32.15,32.788,113035,0
2015-01-14,32.13,32.369,31.088,31.543,105371,0
2015-01-15,31.533,32.05,30.988,31.444,191968,0
2015-01-16,31.346,32.04,31.286,31.593,313035,0
2015-01-20,31.633,31.712,29.467,29.812,324355,0
2015-01-21,29.566,30.37,29.199,30.3,149243,0
2015-01-22,30.569,31.296,30.37,31.098,153217,0
2015-01-23,30.968,31.424,30.539,31.286,169458,0
2015-01-26,31.405,31.891,30.978,31.752,83259,0
2015-01-27,31.326,31.822,31.078,31.613,108132,0
2015-01-28,31.395,31.752,31.158,31.395,140372,0
2015-01-29,31.365,31.862,31.217,31.792,211743,0
2015-01-30,31.405,31.583,30.41,30.46,88012,0
2015-02-02,30.649,31.882,30.649,31.852,93248,0
2015-02-03,32.24,33.057,32.1,32.438,100606,0
2015-02-04,32.25,32.478,31.941,31.99,96106,0
2015-02-05,32.19,32.818,31.931,32.468,67777,0
2015-02-06,32.558,33.284,32.535,32.877,85700,0
2015-02-09,32.658,33.931,32.32,33.324,75745,0
2015-02-10,33.274,33.581,32.508,32.877,98661,0
2015-02-11,32.887,32.967,31.563,32.399,117592,0
2015-02-12,32.758,33.571,32.708,33.531,136013,0
2015-02-13,34.218,35.024,34.011,34.507,98165,0
2015-02-17,34.696,35.495,34.408,35.174,130873,0
2015-02-18,35.154,35.78,35.154,35.641,111485,0
2015-02-19,35.441,36.03,35.174,35.332,108262,0
2015-02-20,35.323,36.268,32.877,34.001,213715,0
2015-02-23,34.001,35.362,33.661,34.706,139363,0
2015-02-24,34.666,35.73,34.666,35.671,149222,0
2015-02-25,35.651,35.89,35.104,35.352,90545,0
2015-02-26,35.294,36.486,35.294,36.446,94353,0
2015-02-27,36.466,37.491,36.466,37.083,143384,0
2015-03-02,36.815,37.581,36.079,36.815,140983,0
2015-03-03,36.586,37.123,36.386,36.566,106994,0
2015-03-04,36.706,36.706,35.491,36.386,136761,0
2015-03-05,36.337,36.746,35.89,36.746,65764,0
2015-03-06,36.367,36.903,36.158,36.616,168235,0
2015-03-09,36.776,36.776,34.985,35.064,100256,0
2015-03-10,34.537,34.756,33.344,33.611,83364,0
2015-03-11,33.503,34.051,33.007,33.991,81956,0
2015-03-12,34.318,34.796,33.931,34.676,90000,0
2015-03-13,34.527,34.876,34.12,34.746,104480,0
2015-03-16,35.054,35.621,34.836,35.273,97843,0
2015-03-17,34.896,36.307,34.756,36.03,115944,0
2015-03-18,35.84,36.766,35.391,36.576,67071,0
2015-03-19,36.347,36.636,34.936,35.074,87485,0
2015-03-20,35.381,36.317,35.381,36.168,156571,0
2015-03-23,35.85,37.211,35.85,36.776,211173,0
2015-03-24,36.666,37.211,35.9,36.238,127711,0
2015-03-25,36.218,36.536,35.69,35.78,102771,0
2015-03-26,35.571,36.02,35.174,35.83,94022,0
2015-03-27,35.78,36.646,35.154,36.456,156871,0
2015-03-30,36.726,37.888,36.288,37.819,114938,0
2015-03-31,37.441,37.868,37.271,37.689,205293,0
2015-04-01,37.461,37.491,36.864,37.431,85228,0
2015-04-02,37.301,37.749,37.063,37.601,139100,0
2015-04-06,37.281,38.754,37.281,38.614,152970,0
2015-04-07,38.864,38.934,38.307,38.526,112380,0
2015-04-08,37.997,38.427,37.719,38.087,116286,0
2015-04-09,38.137,38.869,37.967,38.814,78490,0
2015-04-10,38.814,39.251,38.634,38.804,136286,0
2015-04-13,38.576,39.141,38.576,38.894,78092,0
2015-04-14,38.874,39.073,38.644,38.924,57991,0
2015-04-15,39.053,40.486,38.954,39.759,100096,0
2015-04-16,39.779,39.909,39.33,39.75,122237,0
2015-04-17,39.32,39.799,38.894,39.57,141612,0
2015-04-20,39.819,40.436,39.45,39.829,135380,0
2015-04-21,40.097,40.117,39.59,39.829,173905,0
2015-04-22,39.789,39.928,39.073,39.809,65914,0
2015-04-23,40.117,41.271,39.65,41.201,106535,0
2015-04-24,44.764,48.256,43.56,45.112,349188,0
2015-04-27,45.271,47.123,45.261,46.246,244429,0
2015-04-28,46.446,47.898,46.256,47.143,214781,0
2015-04-29,47.023,47.023,46.416,46.744,143823,0
2015-04-30,45.917,46.545,44.267,44.784,173571,0
2015-05-01,44.823,45.759,44.744,45.102,127844,0
2015-05-04,44.793,45.61,44.793,45.231,144829,0
2015-05-05,45.003,45.61,44.534,44.654,119399,0
2015-05-06,44.883,45.102,43.869,44.098,118584,0
2015-05-07,43.979,45.34,43.645,45.271,154604,0
2015-05-08,45.867,46.426,44.774,44.833,114577,0
2015-05-11,44.614,44.943,44.177,44.465,69247,0
2015-05-12,44.187,44.789,43.381,44.356,60995,0
2015-05-13,44.614,44.803,44.267,44.624,47639,0
2015-05-14,44.674,45.112,44.494,44.843,82214,0
2015-05-15,44.614,45.271,43.819,44.287,95179,0
