v,vw,o,c,h,l,t,n
2577669.0,42.7109,42.77,42.73,43.12,42.08,1692936000000,39666
2110451.0,42.8875,42.92,42.9,43.44,42.53,1693195200000,30423
2896373.0,43.3252,42.9,43.57,43.67,42.625,1693281600000,35903
2589437.0,43.7995,43.82,43.72,44.06,43.55,1693368000000,28463
2777193.0,43.8271,43.93,43.84,44.0388,43.43,1693454400000,34764
3421329.0,45.0659,44.54,45.08,45.365,44.5,1693540800000,42112
4229425.0,45.6632,45.4,45.32,46.145,45.29,1693886400000,50415
3448408.0,44.6863,44.99,44.65,45.3788,44.36,1693972800000,45380
3805468.0,44.4087,44.4,44.37,44.98,44.09,1694059200000,36525
4311386.0,44.3448,44.65,44.26,44.76,44.1,1694145600000,50103
3557958.0,43.1918,44.63,42.89,44.74,42.71,1694404800000,48389
2914063.0,44.0587,43.55,44.2,44.3,43.46,1694491200000,37444
11134673.0,42.1805,44.34,42.1,44.37,41.1,1694577600000,95334
5219759.0,42.7721,42.85,42.98,43.31,42.33,1694664000000,54282
9349781.0,42.5303,42.76,42.46,43.245,42.04,1694750400000,59753
3345463.0,42.5427,42.96,42.71,42.97,41.94,1695009600000,40856
2466440.0,42.2737,43.26,42.17,43.33,41.76,1695096000000,31513
3288827.0,41.7751,41.9,41.28,42.5,41.23,1695182400000,39172
3039240.0,40.4951,41.2,40.14,41.44,39.97,1695268800000,38695
2197724.0,40.341,40.56,40.22,41.04,40.07,1695355200000,28867
1892657.0,40.8837,40.22,41.02,41.05,40.22,1695614400000,24095
2827731.0,41.0831,40.59,41.05,41.52,40.55,1695700800000,33602
4192183.0,42.4396,41.93,42.38,42.95,41.4,1695787200000,48843
2364951.0,42.334,42.4,42.23,42.72,41.985,1695873600000,32073
3231873.0,41.2907,42.33,41.1,42.43,41.01,1695960000000,37213
4081919.0,39.5926,41.1,39.53,41.15,39.05,1696219200000,44115
2724598.0,39.3912,39.43,39.66,39.76,38.88,1696305600000,33434
3884823.0,37.9471,38.99,38.01,38.99,37.385,1696392000000,45683
2787575.0,37.8029,37.47,37.73,38.28,37.37,1696478400000,36152
5666709.0,37.6558,38.04,37.59,38.201,36.85,1696564800000,59813
5709938.0,39.1274,38.93,39.17,39.47,38.53,1696824000000,60440
4050448.0,38.9176,39.17,38.89,39.34,38.61,1696910400000,38464
2961850.0,38.6384,38.51,38.93,39.0,37.96,1696996800000,35177
2670573.0,39.1359,39.5,39.22,39.5,38.69,1697083200000,37311
5201181.0,40.9509,40.0,41.25,41.41,39.6012,1697169600000,63950
3703334.0,41.957,41.66,42.19,42.27,41.0,1697428800000,41457
3653604.0,42.5046,42.1,42.43,42.9,42.02,1697515200000,41632
3288528.0,42.8792,42.78,42.99,43.3251,42.369,1697601600000,40897
4062674.0,43.1867,42.6,43.3,43.58,42.09,1697688000000,45400
4035177.0,42.2857,42.89,42.16,43.17,41.89,1697774400000,47426
3173340.0,41.3305,41.59,41.19,41.86,41.02,1698033600000,42164
3074713.0,41.1515,41.49,41.0,41.55,40.91,1698120000000,38403
2499118.0,40.9453,40.93,41.02,41.29,40.53,1698206400000,31273
2678063.0,40.327,40.42,40.42,40.76,39.77,1698292800000,37248
3287565.0,40.0292,40.48,40.13,40.66,39.345,1698379200000,37039
3323226.0,39.659,40.09,39.68,40.61,39.28,1698638400000,43468
3637984.0,39.6324,39.79,39.72,39.96,39.14,1698724800000,39039
2930812.0,39.7715,40.06,39.61,40.31,39.35,1698811200000,37721
7207457.0,39.3651,39.03,39.69,39.81,38.17,1698897600000,80530
4891645.0,39.9854,39.99,39.96,40.93,39.6,1698984000000,62780
3141544.0,39.6236,40.25,39.3,40.3,39.25,1699246800000,35698
3994711.0,37.996,38.52,38.08,38.65,37.45,1699333200000,46337
4417206.0,37.0524,37.9,36.71,38.02,36.64,1699419600000,54732
3833173.0,36.6264,37.03,36.36,37.3,36.285,1699506000000,46663
2501322.0,36.8439,36.67,36.92,37.07,36.44,1699592400000,31565
3169418.0,36.7327,37.18,36.65,37.18,36.475,1699851600000,38063
3475379.0,37.5469,36.81,37.57,37.825,36.75,1699938000000,40589
3379661.0,37.586,37.32,37.31,38.27,37.24,1700024400000,40558
6600113.0,35.8183,36.75,35.85,36.87,35.34,1700110800000,66364
5056333.0,36.7234,36.35,36.87,37.27,35.97,1700197200000,54395
3280737.0,37.1673,37.36,37.0,37.7,36.97,1700456400000,32294
2167023.0,36.6697,36.68,36.62,37.045,36.24,1700542800000,26234
4495894.0,36.0121,34.81,36.56,36.6081,34.65,1700629200000,48472
1600378.0,36.8818,36.47,36.88,37.07,36.47,1700802000000,18083
3670869.0,36.2547,36.47,36.34,36.6,35.995,1701061200000,36908
3073193.0,36.3768,36.43,36.38,36.74,36.12,1701147600000,27069
2557262.0,36.4216,36.63,36.31,36.785,36.185,1701234000000,36689
5839748.0,36.0518,36.73,36.0,37.13,35.56,1701320400000,51183
3209195.0,36.42,35.98,36.2,37.06,35.96,1701406800000,40283
3607608.0,35.7957,35.74,35.82,36.245,35.585,1701666000000,42143
3070948.0,35.1313,36.09,34.79,36.14,34.775,1701752400000,38455
4374937.0,34.2055,34.4,34.03,34.92,33.93,1701838800000,47890
4447618.0,33.8618,34.23,33.83,34.46,33.5801,1701925200000,41161
2732037.0,34.2907,34.05,34.47,34.52,33.8,1702011600000,30772
3434526.0,34.5945,34.43,34.7,34.82,34.36,1702270800000,39874
3859844.0,34.157,34.16,34.18,34.43,33.82,1702357200000,45457
5054067.0,34.3773,34.29,34.85,34.87,33.76,1702443600000,58664
5938676.0,35.7554,35.57,35.74,36.21,35.44,1702530000000,61668
9915245.0,35.3427,35.64,35.35,35.7315,34.96,1702616400000,49472
6081998.0,35.8238,36.15,35.64,36.39,35.61,1702875600000,53835
4168365.0,35.8827,35.55,36.01,36.175,35.33,1702962000000,36010
4384787.0,35.9189,36.13,35.52,36.365,35.475,1703048400000,42776
2551687.0,35.7395,35.74,35.94,35.96,35.41,1703134800000,29318
2498292.0,36.093,36.19,35.96,36.4,35.84,1703221200000,27309
3272576.0,37.0911,36.46,37.29,37.39,36.45,1703566800000,38778
3315802.0,37.3524,37.242,37.17,37.8161,37.08,1703653200000,38937
3483447.0,36.4787,36.99,36.1,37.09,36.08,1703739600000,39665
3671166.0,35.9146,36.31,35.88,36.35,35.765,1703826000000,39267
2838703.0,36.2329,36.14,36.11,36.64,35.91,1704171600000,36429
3007251.0,36.5239,35.99,36.75,36.905,35.6,1704258000000,36706
19132939.0,34.3038,34.75,34.05,35.13,33.97,1704344400000,187031
9353815.0,34.1666,34.31,34.34,34.48,33.79,1704430800000,65515
7849042.0,33.5291,33.59,33.73,33.79,33.18,1704690000000,62461
5460246.0,33.1157,33.87,32.97,33.94,32.9,1704776400000,45312
5385255.0,32.5668,32.91,32.57,32.91,32.33,1704862800000,53411
4322393.0,32.5302,32.83,32.46,33.0395,32.285,1704949200000,42515
4447499.0,32.6073,33.08,32.54,33.2008,32.3,1705035600000,42303
5331509.0,31.5513,32.1,31.27,32.2,31.22,1705381200000,53169
5162066.0,30.927,30.95,30.81,31.32,30.7,1705467600000,51530
5286512.0,30.5583,30.79,30.68,30.81,30.23,1705554000000,50349
6662236.0,30.2711,30.5,30.37,30.5468,29.95,1705640400000,61912
5194670.0,30.6418,30.37,30.71,30.91,30.09,1705899600000,50691
5540997.0,30.7619,30.53,30.85,31.1,30.45,1705986000000,44788
5783544.0,31.2188,31.11,31.37,31.48,30.795,1706072400000,55695
4761921.0,31.6393,31.49,32.04,32.05,31.1,1706158800000,47038
4159538.0,32.0295,32.07,32.11,32.265,31.63,1706245200000,40489
4862325.0,31.6827,32.05,31.87,32.12,31.39,1706504400000,46962
5113928.0,32.0844,31.45,32.42,32.475,31.36,1706590800000,53284
5400344.0,31.6941,32.47,31.33,32.52,31.29,1706677200000,50161
6403688.0,31.0623,31.44,30.8,31.71,30.61,1706763600000,63446
4652278.0,30.4215,30.76,30.24,30.76,30.16,1706850000000,45264
5603988.0,29.8336,30.02,29.81,30.2,29.47,1707109200000,51573
4671969.0,30.4784,30.01,30.52,30.77,29.82,1707195600000,51036
3937339.0,30.5122,30.58,30.55,30.86,30.17,1707282000000,47890
6213750.0,30.5232,30.59,30.47,30.81,30.3,1707368400000,52920
5287720.0,30.1771,30.52,29.87,30.69,29.8025,1707454800000,52112
6317483.0,30.5956,30.02,30.48,30.84,30.02,1707714000000,59683
6006504.0,29.7071,30.37,29.63,30.46,29.4697,1707800400000,62030
6141476.0,29.8787,29.75,29.8,30.35,29.655,1707886800000,53451
6701934.0,30.9987,29.99,31.25,31.47,29.96,1707973200000,66675
8155891.0,31.4796,31.31,31.57,31.91,30.94,1708059600000,54112
6566269.0,31.1736,31.5,30.98,31.64,30.94,1708405200000,60423
8277144.0,31.5803,31.12,31.44,31.99,31.08,1708491600000,77314
13861360.0,30.3593,31.19,30.22,31.2,29.94,1708578000000,124083
7868187.0,30.0871,29.76,30.03,30.475,29.58,1708664400000,69926
5751702.0,29.7881,29.97,29.62,30.315,29.595,1708923600000,53333
6607143.0,30.1411,29.85,30.2,30.47,29.7,1709010000000,57736
4815146.0,30.0268,30.18,29.95,30.49,29.72,1709096400000,49382
6496160.0,29.8481,30.09,29.79,30.3,29.625,1709182800000,47039
6266958.0,30.4153,30.21,30.41,30.665,29.935,1709269200000,64052
6582422.0,30.32,30.67,30.03,30.68,29.985,1709528400000,60119
5866639.0,30.4827,30.03,30.46,30.695,29.91,1709614800000,56443
4716074.0,30.6673,30.91,30.63,30.97,30.41,1709701200000,44388
4730966.0,30.6341,30.53,30.55,30.917,30.42,1709787600000,44537
5703651.0,30.8629,30.55,30.81,31.13,30.53,1709874000000,47478
4475626.0,31.0252,30.6,31.2,31.24,30.42,1710129600000,40510
4968992.0,31.3295,31.36,31.44,31.485,30.9,1710216000000,49222
7910417.0,32.5576,31.85,32.56,32.895,31.84,1710302400000,56728
8569089.0,32.5435,32.75,32.47,32.95,32.29,1710388800000,62041
22213285.0,32.0893,32.24,32.0,32.83,31.86,1710475200000,70782
5539904.0,32.5115,32.24,32.34,32.87,32.07,1710734400000,52994
7294834.0,33.0819,32.39,33.14,33.314,32.31,1710820800000,57853
5679225.0,33.5089,32.77,33.79,33.97,32.62,1710907200000,53358
4453324.0,33.7927,33.8,33.91,34.1194,33.46,1710993600000,45694
5746554.0,33.5658,33.85,33.46,34.03,33.405,1711080000000,44803
9654233.0,34.4887,33.66,34.59,34.745,33.62,1711339200000,66014
11751244.0,33.4185,34.52,32.88,34.8,32.805,1711425600000,96006
7795092.0,33.4372,32.73,33.71,33.74,32.55,1711512000000,72882
26801628.0,34.3888,34.1,34.38,34.73,33.91,1711598400000,102710
8326077.0,35.1375,34.53,35.43,35.485,34.305,1711944000000,65749
7179801.0,35.2421,35.56,35.34,35.715,34.8,1712030400000,59014
9794865.0,35.4204,35.57,35.21,35.91,34.875,1712116800000,78812
6932654.0,35.4709,35.37,35.43,35.8406,34.99,1712203200000,66300
6055803.0,35.5363,35.33,35.74,35.86,35.01,1712289600000,54459
6294686.0,35.2143,35.73,35.04,36.045,34.93,1712548800000,58426
6547839.0,34.8027,35.13,34.89,35.33,34.53,1712635200000,55483
5797112.0,34.801,34.48,35.05,35.175,34.38,1712721600000,59405
4740057.0,34.4559,35.23,34.4,35.24,34.14,1712808000000,44550
7068505.0,34.269,34.85,33.72,35.25,33.64,1712894400000,65775
7361917.0,33.3694,33.54,33.16,33.8798,33.0,1713153600000,61116
