v,vw,o,c,h,l,t,n
104330.0,35.4472,34.91,35.91,36.11,34.52,1712030400000,793
517351.0,36.0115,35.57,35.6828,36.7289,35.3,1712116800000,3299
708439.0,38.4262,37.21,38.44,39.355,37.0,1712203200000,4288
473612.0,37.3768,36.67,37.12,38.55,36.5268,1712289600000,5598
757151.0,41.9976,42.47,42.03,42.47,41.38,1712548800000,6408
792644.0,39.2301,40.75,38.72,41.04,37.85,1712635200000,11654
846645.0,38.3676,37.25,40.0,40.0,37.0,1712721600000,9399
589056.0,40.0406,40.72,40.39,40.81,39.25,1712808000000,7083
1045999.0,37.4509,39.88,36.2,40.1191,34.23,1712894400000,14357
1496271.0,33.6292,35.56,32.32,35.81,31.26,1713153600000,15732
722695.0,31.6208,32.1,31.71,32.2693,30.6205,1713240000000,8382
1148610.0,30.2919,31.26,29.92,31.94,28.55,1713326400000,12321
619390.0,31.86,31.25,32.41,33.0,30.75,1713412800000,7013
1153223.0,33.569,33.67,33.25,34.04,32.42,1713499200000,8810
632858.0,35.0994,35.02,35.51,35.84,34.57,1713758400000,7256
393736.0,35.4718,35.0,35.39,36.12,34.93,1713844800000,5232
719022.0,33.8042,34.91,32.6,35.17,32.29,1713931200000,8871
508019.0,32.5408,31.75,33.31,33.5,31.48,1714017600000,6873
357399.0,32.5836,32.47,32.37,33.415,31.87,1714104000000,5633
505362.0,31.0975,31.08,31.52,31.72,30.24,1714363200000,8623
981450.0,29.1203,29.7,27.91,29.94,27.7001,1714449600000,15916
1252742.0,26.1707,26.14,25.6,27.87,25.2,1714536000000,16014
456097.0,27.1555,27.19,27.7,27.9,26.7,1714622400000,4802
616848.0,29.8061,29.4,30.32,30.4,29.38,1714708800000,5935
802771.0,31.8801,31.74,31.27,32.36,30.92,1714968000000,7109
378941.0,31.6016,31.7,31.2,32.45,30.95,1715054400000,4097
332105.0,30.2124,30.06,30.25,30.87,29.87,1715140800000,4836
477202.0,29.908,29.45,30.52,30.8,28.9573,1715227200000,5125
740637.0,29.4993,30.83,28.77,31.2,28.275,1715313600000,8258
360352.0,30.8302,30.72,31.13,31.45,30.5671,1715572800000,3995
382738.0,29.6333,30.01,29.56,30.21,29.1,1715659200000,6861
1118565.0,32.7561,32.14,34.0,34.295,31.88,1715745600000,9504
736864.0,33.4025,33.82,32.95,34.29,32.31,1715832000000,6635
839060.0,34.5806,34.08,34.95,35.37,33.59,1715918400000,5908
985830.0,36.0898,34.77,37.98,38.07,34.5,1716177600000,8767
852052.0,38.0686,38.9,37.01,39.25,36.91,1716264000000,7259
551189.0,37.6733,37.62,37.46,38.56,36.98,1716350400000,5858
970326.0,35.6262,36.94,34.69,37.14,34.2,1716436800000,9990
519359.0,35.7751,34.95,36.76,37.01,34.45,1716523200000,5489
770699.0,35.4014,35.96,35.95,36.11,34.64,1716868800000,8757
514199.0,34.9971,35.33,34.67,35.43,34.53,1716955200000,5765
579814.0,36.1132,35.69,36.19,37.1199,35.52,1717041600000,4839
625321.0,35.1774,36.22,34.96,36.22,33.82,1717128000000,6306
783271.0,36.9229,37.2,36.52,37.763,35.93,1717387200000,6681
651997.0,37.6378,36.89,37.89,38.6999,36.64,1717473600000,6487
796893.0,38.7444,38.73,38.88,39.42,37.7799,1717560000000,6723
446721.0,38.6684,38.71,37.9,39.26,37.8224,1717646400000,5159
811990.0,37.5997,38.91,36.5,39.1899,35.445,1717732800000,8048
724598.0,36.8902,36.5,36.71,37.48,36.38,1717992000000,6377
1001088.0,33.9533,34.26,34.53,34.68,33.0,1718078400000,16871
1056583.0,36.1816,36.33,34.55,37.2,34.3,1718164800000,10252
742975.0,34.2026,35.24,33.6,35.42,33.15,1718251200000,10177
919377.0,32.8873,34.27,32.47,34.36,31.95,1718337600000,9915
611653.0,32.9324,32.61,33.6,34.23,31.95,1718596800000,8255
1028627.0,31.5762,31.76,31.27,32.22,30.85,1718683200000,13420
