v,vw,o,c,h,l,t,n
1369711.0,26.9044,26.98,26.97,27.045,26.6797,1692936000000,3890
2295951.0,27.1187,27.13,27.18,27.22,27.0519,1693195200000,3208
1270234.0,27.4177,27.17,27.52,27.525,27.12,1693281600000,3043
1107869.0,27.5965,27.55,27.6,27.66,27.5,1693368000000,2624
855596.0,27.6575,27.66,27.61,27.73,27.6,1693454400000,2557
1456021.0,27.6405,27.76,27.63,27.799,27.535,1693540800000,3066
1645666.0,27.469,27.61,27.41,27.61,27.39,1693886400000,2703
1650771.0,27.2841,27.37,27.32,27.39,27.18,1693972800000,3609
1338593.0,27.2779,27.23,27.28,27.32,27.19,1694059200000,2829
919999.0,27.3475,27.31,27.33,27.41,27.2793,1694145600000,2404
709615.0,27.3906,27.46,27.41,27.48,27.31,1694404800000,1848
1177447.0,27.385,27.36,27.32,27.48,27.285,1694491200000,2563
1211034.0,27.2762,27.47,27.27,27.47,27.182,1694577600000,2844
1013120.0,27.5069,27.44,27.55,27.57,27.3898,1694664000000,2169
908669.0,27.3071,27.46,27.28,27.46,27.225,1694750400000,2301
751436.0,27.3446,27.28,27.33,27.42,27.25,1695009600000,2003
944987.0,27.2431,27.28,27.29,27.3384,27.12,1695096000000,2161
1000752.0,27.2565,27.37,27.06,27.41,27.055,1695182400000,2739
941217.0,26.7741,26.91,26.67,26.92,26.66,1695268800000,2257
1112015.0,26.7092,26.74,26.64,26.7766,26.605,1695355200000,2666
1036799.0,26.6539,26.54,26.72,26.7299,26.5,1695614400000,2466
1272929.0,26.4747,26.56,26.43,26.64,26.3897,1695700800000,2952
1193865.0,26.5115,26.53,26.56,26.6453,26.3275,1695787200000,2695
31576565.0,26.665,26.45,26.63,26.79,26.4,1695873600000,5718
3729470.0,26.5051,26.81,26.47,26.81,26.38,1695960000000,6996
1020243.0,26.2491,26.36,26.29,26.445,26.12,1696219200000,3138
1388683.0,26.0021,26.18,25.98,26.29,25.89,1696305600000,3226
2016983.0,25.9718,26.01,26.06,26.09,25.8,1696392000000,3007
1044027.0,26.0068,26.03,26.02,26.13,25.88,1696478400000,2688
1223483.0,26.1759,25.91,26.33,26.4279,25.8,1696564800000,2884
1125418.0,26.4873,26.34,26.62,26.64,26.32,1696824000000,2456
1589602.0,26.8123,26.71,26.75,26.93,26.65,1696910400000,3213
1852248.0,26.7531,26.82,26.86,26.87,26.6731,1696996800000,2994
1837735.0,26.6892,26.89,26.65,26.89,26.4913,1697083200000,3450
1527948.0,26.631,26.78,26.56,26.84,26.47,1697169600000,2768
1067000.0,26.8141,26.74,26.83,26.896,26.69,1697428800000,2211
1698928.0,26.8067,26.67,26.85,26.9501,26.66,1697515200000,3402
1616131.0,26.6701,26.82,26.59,26.82,26.53,1697601600000,3436
2352619.0,26.51,26.62,26.36,26.72,26.3181,1697688000000,4008
1547146.0,26.2006,26.38,26.06,26.381,26.05,1697774400000,2987
1484491.0,26.06,26.01,25.95,26.1919,25.8875,1698033600000,2634
1124806.0,26.1755,26.15,26.19,26.28,26.07,1698120000000,3176
1857007.0,26.0727,26.17,25.99,26.2383,25.95,1698206400000,3362
1299446.0,25.8097,25.91,25.72,26.01,25.69,1698292800000,3521
2604294.0,25.6246,25.75,25.56,25.81,25.47,1698379200000,4510
1910423.0,25.7945,25.73,25.85,25.9092,25.67,1698638400000,3976
1765053.0,25.9564,25.94,26.02,26.04,25.81,1698724800000,3642
2159885.0,26.2009,26.07,26.31,26.365,26.01,1698811200000,4453
1974070.0,26.7121,26.52,26.78,26.809,26.52,1698897600000,3909
1456079.0,27.0864,27.0,27.03,27.14,26.97,1698984000000,3323
1100677.0,26.9687,27.04,27.0,27.07,26.9,1699246800000,2765
1322178.0,26.9623,26.96,26.97,27.02,26.85,1699333200000,3183
1573887.0,26.9179,27.01,26.94,27.01,26.81,1699419600000,3045
2116550.0,26.8876,27.03,26.74,27.03,26.71,1699506000000,4096
1427291.0,27.0254,26.87,27.17,27.195,26.79,1699592400000,3336
1397908.0,27.1381,27.1,27.13,27.2,27.0435,1699851600000,2611
2128679.0,27.652,27.48,27.65,27.72,27.45,1699938000000,4968
1408956.0,27.7222,27.7,27.69,27.81,27.66,1700024400000,2948
1952439.0,27.6817,27.69,27.76,27.76,27.59,1700110800000,2856
1828206.0,27.8768,27.8,27.9,27.9399,27.77,1700197200000,2587
1604779.0,28.0356,27.89,28.06,28.129,27.8463,1700456400000,3285
1622891.0,27.9675,28.02,27.96,28.02,27.92,1700542800000,2677
1773635.0,28.04,28.03,28.05,28.08,27.965,1700629200000,3171
676124.0,28.0899,28.05,28.12,28.12,28.04,1700802000000,1363
2445535.0,27.989,28.02,27.97,28.0434,27.935,1701061200000,3192
2181943.0,27.9247,27.92,27.93,28.05,27.865,1701147600000,3036
1442081.0,27.9983,28.04,27.96,28.1322,27.92,1701234000000,2498
1484775.0,27.9648,28.03,28.06,28.0756,27.9,1701320400000,2835
1451550.0,28.2121,28.05,28.28,28.3097,27.98,1701406800000,3042
1429329.0,28.1651,28.11,28.21,28.2239,28.07,1701666000000,2698
1620503.0,28.0726,28.13,28.04,28.13,28.013,1701752400000,2886
1739539.0,27.9987,28.11,27.94,28.11,27.905,1701838800000,3145
2139437.0,28.0054,28.02,28.05,28.0899,27.9366,1701925200000,3184
1197161.0,28.1991,28.1,28.27,28.32,28.08,1702011600000,3078
1893321.0,28.552,28.24,28.61,28.62,28.24,1702270800000,2827
1328726.0,28.7279,28.62,28.78,28.8218,28.55,1702357200000,2852
1728529.0,28.9024,28.77,29.16,29.17,28.695,1702443600000,3590
2662500.0,29.4912,29.31,29.53,29.5999,29.31,1702530000000,4332
1313226.0,29.4641,29.45,29.41,29.57,29.3682,1702616400000,3096
1194434.0,29.5226,29.49,29.51,29.569,29.4299,1702875600000,2861
1615994.0,29.6864,29.57,29.74,29.74,29.57,1702962000000,3116
1900780.0,29.5908,29.68,29.32,29.7999,29.305,1703048400000,4037
1364926.0,29.5736,29.57,29.69,29.69,29.444,1703134800000,2588
1780920.0,29.8218,29.75,29.81,29.909,29.69,1703221200000,3241
1209846.0,29.9973,29.84,30.04,30.09,29.84,1703566800000,2951
2238086.0,29.8729,29.87,29.91,29.93,29.8,1703653200000,3769
1656439.0,29.9285,29.92,29.91,29.96,29.88,1703739600000,3612
1651096.0,29.834,29.92,29.84,29.92,29.75,1703826000000,3699
1716503.0,29.697,29.59,29.69,29.8099,29.56,1704171600000,3382
1820903.0,29.4821,29.55,29.44,29.5862,29.3963,1704258000000,3084
1405700.0,29.5263,29.44,29.43,29.6499,29.42,1704344400000,2676
1028971.0,29.4706,29.42,29.48,29.61,29.38,1704430800000,2759
1249932.0,29.623,29.47,29.77,29.775,29.415,1704690000000,2711
1201064.0,29.6482,29.6,29.69,29.728,29.565,1704776400000,3389
1400962.0,29.6851,29.67,29.73,29.7752,29.5801,1704862800000,3053
1503073.0,29.6228,29.76,29.71,29.76,29.45,1704949200000,3000
1097604.0,29.7268,29.83,29.74,29.875,29.63,1705035600000,2567
1244156.0,29.5283,29.65,29.54,29.6699,29.43,1705381200000,3241
1680017.0,29.3129,29.4,29.33,29.42,29.2285,1705467600000,3782
1416431.0,29.477,29.41,29.58,29.615,29.34,1705554000000,2996
1990075.0,29.8078,29.69,29.95,29.995,29.575,1705640400000,3719
1745756.0,29.9907,30.0,29.99,30.08,29.9182,1705899600000,3124
1666555.0,29.9971,30.03,30.03,30.0555,29.93,1705986000000,3519
1581051.0,30.059,30.17,29.97,30.17,29.9499,1706072400000,3352
1653676.0,30.1154,30.16,30.18,30.2282,30.0414,1706158800000,2975
1610948.0,30.0563,30.16,30.04,30.16,29.9837,1706245200000,3071
1251005.0,30.1313,30.07,30.27,30.27,30.04,1706504400000,2696
1154085.0,30.2601,30.24,30.28,30.31,30.197,1706590800000,2669
1809142.0,30.096,30.28,29.89,30.28,29.88,1706677200000,3297
1548628.0,30.0912,29.99,30.22,30.22,29.85,1706763600000,3311
2041984.0,30.3087,30.21,30.34,30.445,30.08,1706850000000,3711
1307038.0,30.1481,30.21,30.12,30.22,30.0298,1707109200000,3040
1279238.0,30.2203,30.22,30.24,30.28,30.1499,1707195600000,3348
1318023.0,30.3423,30.37,30.35,30.3964,30.25,1707282000000,2570
1393825.0,30.3669,30.41,30.38,30.4153,30.2795,1707368400000,3431
1390138.0,30.3781,30.37,30.43,30.43,30.2871,1707454800000,2883
1095851.0,30.5665,30.45,30.55,30.68,30.425,1707714000000,2826
2263597.0,29.9944,30.16,30.06,30.19,29.86,1707800400000,4144
1781632.0,30.2489,30.28,30.36,30.38,30.115,1707886800000,3858
1506780.0,30.5936,30.46,30.67,30.6977,30.46,1707973200000,3234
