v,vw,o,c,h,l,t,n
175640.0,36.4077,36.74,36.43,36.78,36.035,1692936000000,2113
192672.0,36.8901,36.71,36.93,37.02,36.6,1693195200000,3025
546894.0,37.5418,37.16,37.93,37.95,36.865,1693281600000,5269
303064.0,38.0522,38.11,37.92,38.2,37.87,1693368000000,3205
358485.0,37.8213,37.86,37.86,38.0,37.68,1693454400000,3210
426492.0,38.3593,38.44,38.3,38.8,38.22,1693540800000,3812
706346.0,38.0271,38.37,37.91,38.48,37.85,1693886400000,5371
243575.0,37.715,37.75,37.8,38.04,37.4801,1693972800000,2409
278058.0,37.0752,37.29,36.99,37.29,36.84,1694059200000,1879
204021.0,36.6713,36.84,36.67,36.9499,36.545,1694145600000,1947
236187.0,37.7549,37.67,37.71,38.085,37.58,1694404800000,2534
230963.0,37.3029,37.46,37.2,37.63,37.14,1694491200000,2629
169490.0,36.9856,37.13,36.95,37.37,36.91,1694577600000,1166
395877.0,38.1334,37.73,38.14,38.2899,37.73,1694664000000,2917
241542.0,38.3974,38.43,38.3,38.66,38.19,1694750400000,2697
154159.0,37.9095,38.1,37.92,38.1,37.76,1695009600000,2245
141341.0,37.7818,37.97,37.52,38.27,37.42,1695096000000,1202
514823.0,37.7025,37.65,37.4,38.2998,37.4,1695182400000,5094
321443.0,36.6035,36.9,36.5,36.9,36.38,1695268800000,2741
196380.0,36.7536,37.36,36.45,37.36,36.41,1695355200000,2007
285148.0,36.054,36.0,36.32,36.35,35.78,1695614400000,2601
226746.0,35.7126,36.17,35.6,36.32,35.46,1695700800000,2148
360767.0,35.3579,35.72,35.4,35.9229,35.04,1695787200000,2516
266786.0,36.0199,35.68,36.15,36.24,35.61,1695873600000,2748
283892.0,36.5327,36.58,36.41,36.7885,36.2007,1695960000000,3116
525852.0,35.2067,36.1,35.13,36.1,34.98,1696219200000,5318
495355.0,34.4232,34.55,34.36,34.95,34.21,1696305600000,4984
415576.0,33.9884,34.28,34.0,34.31,33.695,1696392000000,4166
212963.0,33.975,34.19,34.05,34.19,33.77,1696478400000,2594
399705.0,34.8799,34.26,35.14,35.36,34.1001,1696564800000,3735
352394.0,35.1719,35.19,35.27,35.34,34.85,1696824000000,2219
247641.0,35.8288,35.67,35.93,36.0539,35.56,1696910400000,2762
214147.0,35.8518,36.09,35.73,36.24,35.5,1696996800000,2260
520075.0,34.8662,35.96,34.86,35.96,34.57,1697083200000,2766
179479.0,34.8566,35.07,34.76,35.22,34.7,1697169600000,1976
413580.0,35.4057,35.0,35.4,35.56,34.97,1697428800000,2042
324281.0,35.1497,34.74,35.39,35.55,34.58,1697515200000,2801
459543.0,34.6861,34.95,34.49,35.07,34.4346,1697601600000,3942
301818.0,34.3311,34.25,34.2,34.63,34.11,1697688000000,2625
472235.0,33.5895,33.72,33.41,33.95,33.3856,1697774400000,4798
245895.0,33.25,33.15,33.27,33.52,32.7613,1698033600000,2372
493818.0,33.6608,33.5,33.64,33.86,33.3,1698120000000,5224
461471.0,33.4352,33.45,33.17,33.79,33.15,1698206400000,4259
372326.0,33.2903,33.19,33.34,33.5828,32.92,1698292800000,2693
270836.0,33.7915,33.85,33.72,34.14,33.6401,1698379200000,2103
161384.0,33.5098,33.94,33.33,34.0,33.18,1698638400000,1793
592862.0,32.961,33.38,32.85,33.38,32.77,1698724800000,4587
847801.0,32.524,32.66,32.66,32.745,32.25,1698811200000,5587
483563.0,33.518,33.05,33.59,33.66,33.05,1698897600000,3405
254580.0,34.1438,33.99,34.04,34.32,33.81,1698984000000,2334
209784.0,33.9422,34.3,33.79,34.44,33.755,1699246800000,1740
357979.0,32.8497,33.38,32.82,33.38,32.709,1699333200000,2808
797135.0,32.037,32.68,31.94,32.68,31.8416,1699419600000,3948
582129.0,32.2184,32.4,32.05,32.78,31.99,1699506000000,3264
428117.0,31.9254,32.04,32.1,32.18,31.6488,1699592400000,2933
215243.0,32.307,32.14,32.27,32.47,32.09,1699851600000,2087
362375.0,33.5702,33.28,33.57,33.7999,33.25,1699938000000,3373
315416.0,34.1554,33.92,34.11,34.4,33.9,1700024400000,3055
273562.0,33.6402,33.8,33.59,34.01,33.41,1700110800000,3054
255257.0,34.0629,34.16,34.04,34.26,33.85,1700197200000,2362
442905.0,34.4989,34.1,34.52,34.71,33.91,1700456400000,3674
388491.0,34.8159,34.78,34.65,35.11,34.59,1700542800000,2925
734709.0,34.4139,34.34,34.44,34.73,34.32,1700629200000,2665
167658.0,34.5182,34.44,34.49,34.64,34.33,1700802000000,1296
330219.0,34.016,34.12,33.97,34.21,33.83,1701061200000,3709
711365.0,34.4845,33.88,34.7,34.75,33.84,1701147600000,3650
204338.0,34.4756,34.8,34.4,34.8,34.3001,1701234000000,2397
677897.0,34.1489,34.24,34.38,34.38,33.95,1701320400000,4005
448614.0,35.5686,34.91,35.88,35.8975,34.72,1701406800000,3187
2535071.0,35.1842,35.2,35.09,35.51,34.86,1701666000000,6201
200340.0,34.4103,34.77,34.33,34.78,34.25,1701752400000,2398
271422.0,34.7639,34.88,34.4,35.07,34.37,1701838800000,1803
233896.0,34.7218,34.93,34.82,34.93,34.55,1701925200000,1857
222272.0,35.2449,34.82,35.32,35.45,34.645,1702011600000,2031
550280.0,34.9127,35.15,34.95,35.15,34.731,1702270800000,3706
303896.0,34.5852,34.67,34.66,34.7899,34.43,1702357200000,2432
379899.0,35.3116,34.5,35.95,35.96,34.42,1702443600000,3985
1276487.0,37.0764,36.52,37.16,37.21,36.52,1702530000000,6816
510729.0,37.2697,37.4,37.16,37.5,37.06,1702616400000,3461
345242.0,37.2322,37.22,37.12,37.52,37.12,1702875600000,2812
369596.0,37.9762,37.42,38.05,38.16,37.42,1702962000000,3260
467487.0,37.8025,37.88,37.3,38.05,37.27,1703048400000,3911
232463.0,38.008,37.7,38.17,38.2199,37.7,1703134800000,1917
539572.0,38.2962,38.38,38.1,38.5,38.05,1703221200000,2795
345489.0,38.4657,38.29,38.47,38.55,38.26,1703566800000,2649
134480.0,38.761,38.56,38.84,38.9322,38.53,1703653200000,1342
3293741.0,37.9786,38.36,37.8,38.64,37.8,1703739600000,10813
3054375.0,37.4746,37.53,37.5,37.8,37.28,1703826000000,9435
725501.0,37.2679,37.19,37.21,37.575,37.11,1704171600000,4604
365387.0,36.6899,36.67,36.96,37.11,36.22,1704258000000,3283
233022.0,36.8486,36.73,36.88,37.04,36.56,1704344400000,2664
160226.0,37.0059,36.9,36.88,37.4369,36.66,1704430800000,1701
168219.0,36.9201,36.75,37.13,37.188,36.4462,1704690000000,2108
125773.0,36.5122,36.61,36.45,36.67,36.3553,1704776400000,1870
235287.0,36.5273,36.56,36.49,36.66,36.3501,1704862800000,2277
1958934.0,36.5109,36.68,36.56,36.68,36.1454,1704949200000,8542
1724953.0,36.917,36.97,36.86,37.2799,36.775,1705035600000,5586
257053.0,35.9241,36.42,35.74,36.42,35.61,1705381200000,3116
191138.0,34.844,35.1,34.89,35.15,34.66,1705467600000,2410
151191.0,34.7824,34.77,34.9,34.9299,34.61,1705554000000,1718
189035.0,34.933,34.63,35.29,35.32,34.49,1705640400000,2607
306373.0,34.6189,34.78,34.47,34.8597,34.3962,1705899600000,3057
293813.0,35.178,34.85,35.26,35.38,34.82,1705986000000,2781
818332.0,36.4259,36.58,36.35,36.75,36.255,1706072400000,3616
306643.0,36.6602,36.59,36.68,36.97,36.36,1706158800000,2755
761579.0,36.5869,36.6,36.49,36.98,36.27,1706245200000,4872
587115.0,36.5298,36.4,36.8,36.9,36.15,1706504400000,5211
679711.0,36.4956,36.28,36.72,36.76,36.255,1706590800000,5790
337684.0,36.7004,36.65,36.19,37.1199,36.15,1706677200000,2841
337528.0,36.576,36.47,36.71,36.82,36.3349,1706763600000,2969
831061.0,35.7909,36.09,35.8,36.165,35.63,1706850000000,4822
358565.0,34.9556,35.19,35.1,35.19,34.6301,1707109200000,2777
590589.0,35.5422,35.24,35.66,35.68,35.24,1707195600000,5347
478213.0,35.2513,35.66,35.25,35.66,35.11,1707282000000,3947
1447446.0,35.0941,35.02,35.04,35.355,35.0031,1707368400000,7443
1919977.0,34.5663,34.78,34.61,34.78,34.46,1707454800000,5258
196607.0,35.0936,34.61,35.19,35.34,34.61,1707714000000,1887
433104.0,34.2166,34.83,34.14,34.83,33.9,1707800400000,3736
432578.0,34.6105,34.28,34.81,34.8799,34.28,1707886800000,3324
227046.0,35.1237,34.96,35.24,35.31,34.95,1707973200000,2136
362445.0,36.0951,35.47,36.04,36.2714,35.39,1708059600000,3229
421314.0,36.0474,36.26,35.93,36.45,35.93,1708405200000,4789
311213.0,35.9185,35.85,35.97,36.1,35.72,1708491600000,2301
502310.0,36.0596,36.35,35.99,36.3799,35.91,1708578000000,4351
143694.0,36.3536,36.27,36.44,36.51,36.0966,1708664400000,1662
597691.0,35.8358,35.83,35.9,35.98,35.66,1708923600000,5966
298249.0,36.1754,36.04,36.24,36.32,36.0001,1709010000000,3084
215738.0,35.6089,35.94,35.55,35.94,35.49,1709096400000,2745
426751.0,35.9754,35.78,35.98,36.16,35.73,1709182800000,3560
268650.0,36.3323,36.04,36.45,36.6,35.85,1709269200000,2317
353053.0,36.5238,36.49,36.58,36.64,36.33,1709528400000,2475
1050028.0,36.0582,36.56,35.98,36.73,35.75,1709614800000,7688
1681832.0,37.4537,37.11,37.32,37.59,36.77,1709701200000,4346
5484355.0,38.1518,38.15,38.02,38.75,37.88,1709787600000,15545
397546.0,38.1111,38.38,38.04,38.47,37.87,1709874000000,4214
602333.0,38.1709,37.85,38.3,38.33,37.78,1710129600000,4153
390318.0,38.0064,38.3,38.11,38.4,37.765,1710216000000,3766
6224150.0,40.4062,38.99,40.41,40.73,38.9,1710302400000,19836
4652598.0,40.4142,40.85,40.58,40.95,40.17,1710388800000,13222
5208524.0,41.6317,41.26,41.59,41.85,41.01,1710475200000,16064
671652.0,41.4178,41.85,41.07,41.96,41.0356,1710734400000,6185
1619306.0,40.4933,40.5,40.49,40.845,40.23,1710820800000,9525
798991.0,41.1998,40.6,41.79,41.95,40.46,1710907200000,6527
2444853.0,41.7606,42.03,41.77,42.1299,41.41,1710993600000,4933
606197.0,41.3489,41.32,41.29,41.54,41.13,1711080000000,4363
731126.0,41.3789,41.36,41.1,41.745,41.07,1711339200000,5504
818303.0,40.8954,41.1,40.7,41.28,40.69,1711425600000,4100
663968.0,41.255,40.56,41.41,41.46,40.5,1711512000000,2873
