v,vw,o,c,h,l,t,n
7215144.0,33.8201,33.6,33.85,34.0,33.57,1692936000000,53382
5730093.0,33.8325,33.99,33.84,34.045,33.71,1693195200000,39339
6554727.0,33.7373,33.98,33.76,33.99,33.53,1693281600000,51124
6450896.0,33.7101,33.78,33.67,33.92,33.6,1693368000000,43372
14009173.0,33.1284,33.3,33.09,33.365,33.015,1693454400000,65591
7730365.0,32.6881,33.2,32.58,33.2,32.49,1693540800000,60726
7828793.0,32.6282,32.64,32.55,32.9488,32.42,1693886400000,62102
7067210.0,32.5955,32.57,32.57,32.685,32.46,1693972800000,49423
7472327.0,32.688,32.8,32.68,32.93,32.53,1694059200000,62256
8049107.0,32.9052,32.67,32.96,33.02,32.6421,1694145600000,53586
10683464.0,33.5515,33.07,33.63,33.67,33.04,1694404800000,58930
6726928.0,33.5822,33.64,33.56,33.75,33.46,1694491200000,50498
6994018.0,33.219,33.65,33.19,33.68,33.0,1694577600000,52101
6522854.0,33.732,33.4,33.77,33.85,33.3,1694664000000,42508
12095750.0,33.5396,33.6,33.45,33.8,33.405,1694750400000,64729
8084410.0,33.392,33.565,33.42,33.665,33.17,1695009600000,49775
9262297.0,33.7996,33.49,33.94,33.98,33.41,1695096000000,66042
7012942.0,34.0508,34.18,34.02,34.261,33.85,1695182400000,53542
11581591.0,34.4279,34.04,34.49,34.56,33.92,1695268800000,66310
9533875.0,34.3337,34.31,34.16,34.57,34.13,1695355200000,53308
6382812.0,34.2278,34.11,34.32,34.355,33.91,1695614400000,48078
8787826.0,34.4874,34.32,34.5,34.605,34.275,1695700800000,57279
13114386.0,34.1691,34.48,34.03,34.56,33.98,1695787200000,73835
11673403.0,33.7293,34.03,33.75,34.13,33.43,1695873600000,72075
5633342.0,33.6763,33.83,33.64,33.985,33.505,1695960000000,44751
7421870.0,33.1065,33.62,33.09,33.63,32.89,1696219200000,54430
6157345.0,33.0364,32.92,33.11,33.145,32.85,1696305600000,49192
5401377.0,33.1503,33.19,33.28,33.29,32.89,1696392000000,46908
6681095.0,32.5457,33.24,32.32,33.2994,32.24,1696478400000,60266
10106546.0,31.8088,32.13,32.03,32.21,31.12,1696564800000,76990
5565168.0,32.3578,32.09,32.49,32.565,32.0318,1696824000000,49556
6075658.0,32.4754,32.69,32.47,32.817,32.315,1696910400000,53813
7981583.0,32.4826,32.5,32.44,32.735,32.335,1696996800000,59744
13884062.0,30.9716,32.34,30.81,32.34,30.68,1697083200000,101716
9364332.0,31.2908,30.89,31.43,31.47,30.86,1697169600000,80019
7099047.0,31.6164,31.6,31.58,31.82,31.3689,1697428800000,52409
6768551.0,31.5042,31.5,31.51,31.7,31.285,1697515200000,54130
5653420.0,31.806,31.57,31.73,32.07,31.535,1697601600000,50294
6258673.0,31.5642,31.76,31.45,31.82,31.405,1697688000000,58721
6693409.0,31.4161,31.53,31.31,31.75,31.2,1697774400000,53374
5213331.0,31.237,31.31,31.12,31.495,31.105,1698033600000,44755
7251848.0,31.6434,31.25,31.71,31.77,31.25,1698120000000,58544
6616602.0,31.9294,31.61,32.08,32.115,31.51,1698206400000,57406
5876858.0,31.9857,32.22,31.86,32.33,31.83,1698292800000,54812
6053828.0,31.5402,31.77,31.44,31.94,31.355,1698379200000,54172
6628600.0,31.6092,31.61,31.62,31.7921,31.465,1698638400000,59471
10525696.0,31.4118,31.62,31.46,31.7,31.075,1698724800000,77783
16109365.0,32.4124,31.45,32.2,33.0776,31.1,1698811200000,125228
11280824.0,33.3373,32.38,33.51,33.705,32.18,1698897600000,95303
8384960.0,33.3915,33.7,33.27,33.8,33.225,1698984000000,74343
6880470.0,33.3198,33.33,33.29,33.48,32.975,1699246800000,57332
5879254.0,33.1788,33.29,33.09,33.395,33.07,1699333200000,51042
5985457.0,33.0966,33.1,33.17,33.34,32.87,1699419600000,47788
6038649.0,33.0334,33.22,32.95,33.25,32.94,1699506000000,52144
6562002.0,32.8534,32.87,32.89,33.02,32.75,1699592400000,53484
6532220.0,33.2477,32.9,33.24,33.48,32.775,1699851600000,52130
9084795.0,33.6209,33.92,33.58,34.105,33.48,1699938000000,65001
6432836.0,33.5614,33.58,33.56,33.77,33.33,1700024400000,50462
