v,vw,o,c,h,l,t,n
306936.0,29.381,29.46,29.24,30.015,29.15,1692936000000,7022
321930.0,29.7907,29.45,29.85,30.0,29.45,1693195200000,6378
501184.0,30.6007,29.83,30.79,30.845,29.64,1693281600000,8574
316632.0,30.8199,30.53,30.81,31.09,30.53,1693368000000,6187
314154.0,30.8781,30.92,30.85,31.25,30.68,1693454400000,6070
439552.0,31.7353,31.19,32.02,32.05,31.14,1693540800000,8900
462874.0,30.7675,31.47,30.57,31.5,30.46,1693886400000,8300
397626.0,30.7933,30.63,30.89,31.15,30.47,1693972800000,8044
487018.0,31.2281,31.04,31.54,31.56,30.59,1694059200000,8017
524025.0,30.696,31.23,30.45,31.7,30.41,1694145600000,10212
422810.0,30.6637,30.4,30.72,30.83,30.21,1694404800000,8289
321030.0,31.0027,30.95,31.0,31.17,30.65,1694491200000,6330
422563.0,30.9766,31.06,31.1,31.15,30.48,1694577600000,7498
487401.0,31.9961,31.38,32.26,32.27,31.38,1694664000000,8922
3439554.0,32.0039,32.26,31.92,32.57,31.74,1694750400000,16105
429020.0,31.4658,31.88,31.39,31.88,31.35,1695009600000,7938
376907.0,31.4116,31.4,31.3,31.66,31.275,1695096000000,7088
440237.0,31.5564,31.48,31.5,31.77,31.475,1695182400000,6281
289811.0,31.4306,31.34,31.42,31.58,30.98,1695268800000,5708
286888.0,31.1792,31.49,31.02,31.64,30.95,1695355200000,4815
288530.0,30.9651,30.77,30.94,31.23,30.75,1695614400000,4930
394668.0,30.368,30.8,30.25,31.14,30.22,1695700800000,6408
298785.0,30.5904,30.46,30.56,30.85,30.46,1695787200000,5398
341564.0,31.0962,30.57,31.13,31.29,30.57,1695873600000,5825
331472.0,30.9932,31.36,30.88,31.5,30.84,1695960000000,6945
403801.0,30.7673,30.88,30.76,31.09,30.62,1696219200000,9171
380471.0,30.5143,30.66,30.67,30.81,30.04,1696305600000,7313
321635.0,30.5836,30.63,30.51,30.93,30.39,1696392000000,7216
435171.0,29.9155,30.41,29.94,30.41,29.56,1696478400000,7623
350236.0,29.9589,29.85,29.91,30.285,29.57,1696564800000,5385
283995.0,29.6463,29.67,29.62,29.8699,29.32,1696824000000,5235
278999.0,30.2469,29.74,30.13,30.59,29.74,1696910400000,6051
356734.0,30.0645,30.13,30.13,30.455,29.84,1696996800000,6175
340160.0,28.9167,30.14,29.05,30.145,28.4,1697083200000,6627
368547.0,29.4269,29.0,29.49,29.65,28.965,1697169600000,6826
224772.0,29.7423,29.86,29.52,30.17,29.49,1697428800000,5847
384014.0,29.8944,29.45,29.78,30.2,29.45,1697515200000,4978
240940.0,29.0789,29.43,28.99,29.43,28.89,1697601600000,6158
356005.0,28.9935,28.88,28.93,29.49,28.65,1697688000000,6510
317482.0,29.2707,29.05,29.23,29.59,28.96,1697774400000,5359
310146.0,29.0582,29.16,28.87,29.44,28.87,1698033600000,5821
241094.0,29.1124,29.09,29.05,29.43,28.92,1698120000000,4731
176215.0,28.8355,28.83,28.8,28.98,28.61,1698206400000,4486
312245.0,28.4879,28.82,28.48,28.86,28.22,1698292800000,5603
353011.0,28.1655,28.48,28.22,28.505,27.92,1698379200000,5950
335937.0,28.5889,28.62,28.7,28.81,28.22,1698638400000,5712
291656.0,29.1442,28.65,29.24,29.27,28.65,1698724800000,5378
200055.0,29.1522,29.22,29.22,29.36,28.82,1698811200000,5149
373164.0,29.5024,29.36,29.59,29.76,29.3,1698897600000,5692
359685.0,30.7659,30.32,30.84,30.98,30.32,1698984000000,7934
228884.0,30.3038,30.54,30.33,30.58,30.1,1699246800000,4579
170531.0,30.4708,30.31,30.51,30.57,29.99,1699333200000,3553
150018.0,30.1503,30.35,30.07,30.61,30.05,1699419600000,3503
265003.0,29.7394,30.22,29.66,30.22,29.47,1699506000000,4810
188269.0,29.9079,29.82,29.99,30.09,29.41,1699592400000,3168
270990.0,29.7179,29.73,29.62,29.95,29.55,1699851600000,6563
336053.0,31.236,30.76,31.38,31.49,30.33,1699938000000,7343
258757.0,31.6124,31.4,31.57,32.16,31.34,1700024400000,6335
232401.0,30.9199,31.54,30.89,31.54,30.75,1700110800000,5241
352121.0,31.3021,31.14,31.44,31.49,30.68,1700197200000,5391
218094.0,31.8542,31.54,31.91,32.06,31.31,1700456400000,4803
201509.0,31.6693,31.77,31.52,32.005,31.45,1700542800000,4734
172158.0,31.6243,31.78,31.62,31.92,31.43,1700629200000,3499
106511.0,31.692,31.64,31.66,31.82,31.54,1700802000000,2325
391186.0,31.1014,31.47,30.88,31.47,30.84,1701061200000,6739
448494.0,31.4234,31.0,31.44,31.775,30.76,1701147600000,7204
690794.0,31.7351,31.65,31.7,32.18,31.45,1701234000000,9742
931285.0,34.6442,33.6,35.19,35.21,32.33,1701320400000,14343
858699.0,35.1796,34.6,35.58,35.59,34.56,1701406800000,15422
484409.0,36.3388,35.78,36.28,36.8159,35.5524,1701666000000,10994
406716.0,36.0366,36.0,36.05,36.22,35.77,1701752400000,8501
412587.0,36.2685,36.15,36.22,36.62,36.015,1701838800000,7305
403493.0,35.9885,36.36,35.99,36.36,35.76,1701925200000,7238
326164.0,35.6692,35.76,35.73,36.21,35.37,1702011600000,7366
445024.0,35.7518,35.68,35.75,36.05,35.26,1702270800000,8109
551006.0,35.843,35.7,35.66,36.15,35.53,1702357200000,9079
694995.0,35.7186,35.64,35.95,36.15,34.81,1702443600000,10246
921352.0,36.6882,36.15,36.66,37.02,36.15,1702530000000,11985
2772160.0,36.2168,36.67,36.1,36.98,35.79,1702616400000,14393
395117.0,36.6201,36.11,36.55,37.0,36.11,1702875600000,6816
417794.0,37.4178,36.6,37.44,37.69,36.6,1702962000000,7364
351106.0,37.2445,37.24,36.88,37.79,36.85,1703048400000,6921
398362.0,36.8709,37.17,36.82,37.34,36.61,1703134800000,6124
294815.0,37.3769,36.86,37.4,37.53,36.82,1703221200000,5787
212665.0,37.6835,37.4,37.74,37.84,37.375,1703566800000,3912
229120.0,37.7784,37.69,37.74,38.0,37.54,1703653200000,4925
223642.0,37.3641,37.65,37.35,37.65,37.21,1703739600000,4619
268391.0,36.9748,37.27,36.92,37.5,36.8,1703826000000,5105
301414.0,36.6778,36.59,36.75,36.96,36.33,1704171600000,6367
396770.0,36.3723,36.38,36.25,36.74,36.07,1704258000000,7114
287056.0,36.4456,36.4,36.43,36.68,36.26,1704344400000,6182
321790.0,36.3882,36.08,36.17,36.68,36.02,1704430800000,6094
255451.0,36.5763,36.26,36.71,36.75,36.26,1704690000000,5272
301767.0,36.6216,36.35,36.77,36.85,36.17,1704776400000,5376
234661.0,36.8982,36.85,36.95,37.1,36.74,1704862800000,5800
313072.0,36.3744,36.76,36.37,36.805,36.19,1704949200000,6119
187503.0,36.1495,36.68,36.16,36.78,35.86,1705035600000,4611
313656.0,34.9256,35.92,34.86,35.92,34.64,1705381200000,5848
316068.0,34.5351,34.48,34.55,35.07,34.17,1705467600000,5499
323340.0,34.3377,34.88,34.48,34.91,33.89,1705554000000,7172
247501.0,34.6589,34.56,34.88,34.92,33.99,1705640400000,6060
363634.0,35.6243,35.22,35.72,35.82,35.21,1705899600000,5574
487694.0,35.6027,36.0,35.35,36.24,35.33,1705986000000,7165
234544.0,35.2463,35.77,35.26,35.79,34.98,1706072400000,6241
