v,vw,o,c,h,l,t,n
1412721.0,32.9614,31.95,33.14,33.255,31.71,1692936000000,16050
561513.0,32.3798,33.2,32.26,33.41,31.87,1693195200000,9439
509392.0,32.563,32.38,32.73,32.92,31.68,1693281600000,11335
842447.0,33.227,32.81,33.3,33.44,32.55,1693368000000,8446
759305.0,33.9028,33.3,33.97,34.14,33.105,1693454400000,11150
930231.0,35.034,34.13,35.05,35.27,34.13,1693540800000,14290
901374.0,34.3592,34.87,33.69,35.5,33.59,1693886400000,15291
2386696.0,33.3358,33.69,33.48,34.07,32.82,1693972800000,12121
1187143.0,32.2497,33.3,32.09,33.3,31.7,1694059200000,17402
834157.0,32.177,32.11,32.12,32.5,31.93,1694145600000,13365
609452.0,32.6372,31.97,32.87,33.125,31.66,1694404800000,11220
671419.0,33.0093,32.85,32.89,33.45,32.715,1694491200000,12150
893634.0,32.9044,32.9,32.85,33.32,32.435,1694577600000,13428
677508.0,32.4106,33.01,32.55,33.17,32.0,1694664000000,12245
3171989.0,31.8552,32.59,31.76,32.6475,31.49,1694750400000,15062
2242851.0,31.072,31.75,30.93,32.015,30.71,1695009600000,16882
1343380.0,31.0535,30.62,31.0,31.37,30.62,1695096000000,16625
1260949.0,30.2415,30.86,29.73,31.05,29.65,1695182400000,15545
1153391.0,30.3304,29.95,30.48,30.755,29.45,1695268800000,15920
1858426.0,30.0118,30.47,30.0,30.48,29.6,1695355200000,11677
1217515.0,29.4952,29.75,29.5,29.88,29.17,1695614400000,12871
1832403.0,29.1172,29.5,28.94,29.95,28.7758,1695700800000,14513
640398.0,28.9188,29.1,28.9,29.3957,28.52,1695787200000,10404
1910196.0,28.1593,28.89,28.24,29.09,27.76,1695873600000,21125
1451825.0,27.8388,28.42,27.68,28.57,27.6,1695960000000,19041
2639333.0,26.6796,27.37,26.17,27.57,26.04,1696219200000,21110
4136799.0,24.9479,26.1,24.53,26.29,24.14,1696305600000,38603
4293843.0,24.0667,24.58,24.34,25.65,22.75,1696392000000,41877
2281300.0,24.6759,24.2,25.26,25.37,23.38,1696478400000,27369
959029.0,25.041,25.0,25.04,25.345,24.69,1696564800000,12525
1116723.0,25.2608,24.83,25.47,25.56,24.41,1696824000000,13245
2318749.0,25.638,25.45,25.56,26.275,25.34,1696910400000,12641
3960913.0,26.2469,25.68,25.51,29.4999,24.15,1696996800000,43835
2291912.0,24.7851,25.19,24.2,25.93,23.99,1697083200000,26104
10654453.0,28.4779,24.37,29.91,31.24,23.64,1697169600000,94570
8414090.0,34.1049,29.92,34.12,35.32,29.88,1697428800000,60997
4380087.0,33.2523,34.12,32.11,35.6,31.7,1697515200000,53607
2154274.0,30.9127,32.54,30.5,32.83,30.34,1697601600000,28142
2664202.0,29.1707,30.21,29.0,30.3,28.87,1697688000000,24616
2674030.0,28.2015,29.18,27.97,29.25,27.73,1697774400000,30142
19340909.0,17.1403,18.91,18.355,18.95,15.4401,1698033600000,152662
4961876.0,20.2567,18.33,21.02,21.17,18.26,1698120000000,54688
4628897.0,20.3872,21.1,20.01,21.19,19.59,1698206400000,47396
3086014.0,19.9841,20.26,19.91,20.45,19.38,1698292800000,33088
3018051.0,18.9793,19.93,18.61,19.93,18.52,1698379200000,31355
2665044.0,18.4107,19.0,18.35,19.1,18.13,1698638400000,27589
3288971.0,19.185,18.35,19.8,19.87,18.0,1698724800000,24687
2441729.0,20.2157,19.81,20.35,20.61,19.315,1698811200000,26665
2383318.0,20.8198,21.375,21.15,21.375,20.205,1698897600000,24304
2820869.0,22.8193,21.4,22.16,23.81,21.23,1698984000000,36831
1404027.0,21.6729,21.52,21.54,22.31,21.4,1699246800000,18158
2107555.0,21.3997,21.34,21.49,22.99,20.61,1699333200000,25148
2295977.0,21.3449,21.57,21.18,21.8,21.02,1699419600000,20516
1909669.0,20.0988,21.4,20.02,21.805,19.79,1699506000000,22573
2331030.0,19.3903,20.11,19.71,20.235,18.79,1699592400000,25460
1786828.0,19.4673,19.55,19.65,19.7,19.05,1699851600000,20673
1963124.0,20.8105,20.86,20.87,21.49,20.47,1699938000000,23134
2986450.0,21.4691,20.75,21.34,22.49,20.69,1700024400000,28624
1465362.0,21.1494,21.37,21.25,21.58,20.61,1700110800000,15158
1299757.0,21.2713,21.41,21.33,21.56,20.935,1700197200000,15516
1381392.0,21.7221,21.34,21.73,22.16,21.33,1700456400000,17791
916057.0,20.9644,21.37,20.79,21.47,20.51,1700542800000,13440
521517.0,21.293,21.19,21.44,21.45,20.86,1700629200000,10131
488639.0,21.7059,21.5,21.58,22.15,21.47,1700802000000,7708
848674.0,21.5433,21.6,21.69,21.73,20.98,1701061200000,14864
927652.0,21.9314,21.7,22.07,22.13,21.18,1701147600000,13692
1052747.0,22.7012,22.39,22.46,23.22,22.34,1701234000000,16678
1645869.0,23.3037,22.78,23.33,23.57,22.775,1701320400000,14902
1505916.0,24.0247,23.38,24.5,24.54,22.88,1701406800000,17988
1613391.0,24.2745,24.27,24.23,24.805,23.86,1701666000000,19219
1219950.0,23.6256,24.02,23.52,24.085,23.38,1701752400000,15902
1311657.0,24.3683,23.71,23.97,25.15,23.625,1701838800000,17127
1234396.0,24.3896,24.12,24.48,24.82,23.8201,1701925200000,13825
1352483.0,24.5963,24.26,24.59,24.9,23.88,1702011600000,15713
1656276.0,24.2156,24.7,24.04,24.78,23.9,1702270800000,18966
976362.0,24.4912,23.98,24.73,24.785,23.51,1702357200000,13430
2068108.0,25.4237,24.76,25.69,25.82,24.6204,1702443600000,21789
2299122.0,26.1218,26.5,26.15,26.68,25.63,1702530000000,26420
5742602.0,26.5641,26.31,26.63,26.99,25.935,1702616400000,30673
2080351.0,26.1759,26.54,26.33,26.59,25.58,1702875600000,23611
1293901.0,26.6311,26.59,26.58,27.26,26.3215,1702962000000,15810
1403641.0,26.17,26.9,25.69,27.235,25.6,1703048400000,18141
1461279.0,26.1991,26.21,26.27,26.9207,25.905,1703134800000,20420
2204178.0,27.2134,26.47,27.29,27.69,26.43,1703221200000,21563
1710841.0,28.4679,27.71,28.9,28.95,27.135,1703566800000,22424
3120485.0,29.2392,29.0,29.31,29.35,28.63,1703653200000,15093
1577374.0,29.3872,29.16,29.37,30.11,28.93,1703739600000,16561
1309372.0,28.8637,29.51,28.68,29.56,28.64,1703826000000,16204
1004358.0,28.4266,28.38,28.23,29.37,27.99,1704171600000,17613
1207542.0,28.0683,28.11,27.99,28.5023,27.41,1704258000000,15182
1153594.0,28.0634,28.49,28.03,28.6,27.69,1704344400000,14886
998431.0,28.226,28.23,28.38,28.56,27.34,1704430800000,14116
1073532.0,29.0569,27.98,29.33,29.43,27.805,1704690000000,12266
1736692.0,28.8496,28.71,28.52,29.607,28.48,1704776400000,19668
1400441.0,28.457,28.38,28.68,28.72,27.8,1704862800000,17152
1154170.0,28.1683,28.01,28.3,28.43,27.52,1704949200000,13332
746861.0,28.7556,28.8,28.5,29.505,28.39,1705035600000,15617
1000176.0,27.5852,28.46,27.38,28.46,27.24,1705381200000,13659
1160009.0,26.6381,26.71,26.82,27.17,26.21,1705467600000,16652
899666.0,26.38,27.29,26.56,27.29,25.93,1705554000000,12653
859223.0,26.9898,26.73,26.93,27.48,26.25,1705640400000,13613
923852.0,27.2651,27.0,27.54,27.75,26.61,1705899600000,11849
727670.0,27.1791,27.97,27.37,28.21,26.56,1705986000000,11002
761637.0,27.6911,27.69,27.58,27.99,27.295,1706072400000,14729
1554692.0,28.0136,28.08,27.97,28.66,27.52,1706158800000,13993
736650.0,27.7724,27.78,27.75,28.58,27.53,1706245200000,11876
832332.0,28.5138,27.72,28.88,28.96,26.95,1706504400000,9490
928477.0,28.188,28.58,28.25,28.72,27.89,1706590800000,11022
913039.0,27.9587,28.22,27.75,28.86,27.66,1706677200000,13619
625627.0,28.0758,27.84,28.26,28.41,27.4,1706763600000,10251
1098133.0,28.0641,27.87,28.46,28.5,27.46,1706850000000,12411
1493536.0,29.7188,27.96,30.09,30.47,27.7975,1707109200000,18132
1074942.0,29.9028,30.0,29.84,30.74,29.43,1707195600000,14379
1350723.0,29.8244,29.78,30.03,30.3,29.13,1707282000000,14946
883712.0,30.4817,30.01,30.38,31.2,29.56,1707368400000,13395
1173565.0,30.5771,30.5,30.44,31.23,30.0,1707454800000,15049
1087203.0,30.4823,30.4,30.57,30.9599,29.975,1707714000000,14692
2374458.0,29.2446,29.15,29.0,30.15,28.52,1707800400000,20106
1001305.0,29.7609,29.49,29.72,30.1,29.32,1707886800000,14839
1517124.0,29.6592,30.0,29.48,30.74,29.35,1707973200000,18268
1015598.0,29.4887,29.41,29.51,29.73,28.905,1708059600000,14680
1335018.0,29.1986,29.1,29.17,29.73,28.98,1708405200000,12594
809267.0,29.0116,28.83,29.17,29.26,28.43,1708491600000,9476
733045.0,29.0865,29.14,29.05,29.405,28.645,1708578000000,12498
670465.0,29.7039,29.17,29.74,29.96,28.95,1708664400000,9313
851449.0,30.2502,29.86,30.38,30.68,29.62,1708923600000,14670
5671894.0,30.1169,31.64,30.62,32.285,30.12,1709010000000,23860
1673517.0,30.1876,30.35,29.96,31.91,29.64,1709096400000,20356
1308985.0,29.8903,30.69,29.48,30.985,29.32,1709182800000,13430
1384174.0,29.9715,29.79,29.8,30.74,29.54,1709269200000,17020
882742.0,29.3758,29.84,29.5,30.215,29.0,1709528400000,12172
1138460.0,29.7679,29.17,29.94,30.035,29.15,1709614800000,15913
1148436.0,30.5074,30.3,30.88,30.91,29.84,1709701200000,14104
1203441.0,31.3604,31.16,31.53,31.69,30.481,1709787600000,15667
1134017.0,32.3769,32.17,32.25,33.04,31.73,1709874000000,14301
2695646.0,33.3202,32.82,32.92,34.11,32.395,1710129600000,28553
2551052.0,33.6138,32.57,33.55,34.59,32.24,1710216000000,28263
3584575.0,33.2104,33.57,33.25,33.755,32.67,1710302400000,18467
1792207.0,32.2758,33.25,31.98,33.53,31.52,1710388800000,20108
4394690.0,31.8223,31.65,31.83,32.6,31.26,1710475200000,20884
2380246.0,31.5489,31.93,30.94,32.175,30.86,1710734400000,17868
1223881.0,30.7932,30.78,30.8,31.27,30.39,1710820800000,12290
2698454.0,30.8311,30.67,31.12,31.265,30.26,1710907200000,15747
1417197.0,32.275,31.7,32.43,32.67,31.2,1710993600000,14479
641836.0,31.2241,32.41,30.87,32.47,30.83,1711080000000,8337
833801.0,30.5238,30.99,30.36,31.18,30.15,1711339200000,11257
