v,vw,o,c,h,l,t,n
268520.0,41.7155,41.79,41.79,42.34,41.07,1692936000000,5565
312271.0,41.8251,42.25,41.9,42.415,41.5,1693195200000,6248
267185.0,41.8076,42.22,41.7,42.272,41.43,1693281600000,6059
454852.0,42.1557,41.77,42.13,42.685,41.53,1693368000000,7275
319836.0,42.5599,42.25,42.78,42.94,41.96,1693454400000,5944
332172.0,43.0121,43.3,42.6,43.95,42.365,1693540800000,6909
535837.0,41.8713,42.36,41.95,42.77,41.46,1693886400000,8078
265388.0,41.8292,41.93,41.8,42.5,41.39,1693972800000,5425
498059.0,42.155,42.26,41.99,43.0,41.75,1694059200000,7062
335838.0,42.2077,42.16,42.12,42.76,41.845,1694145600000,6648
274007.0,41.2844,42.52,40.99,42.74,40.84,1694404800000,5346
278678.0,42.2102,41.63,42.16,42.6,41.63,1694491200000,5695
985155.0,38.2085,38.59,38.48,38.95,37.12,1694577600000,13352
5745737.0,37.2947,37.64,36.64,38.44,36.57,1694664000000,53855
1372094.0,35.6756,36.69,35.02,36.9499,34.97,1694750400000,16841
551477.0,35.5392,35.52,35.65,35.94,34.88,1695009600000,9512
680000.0,35.7587,36.08,35.36,36.73,35.11,1695096000000,11455
740633.0,34.7051,35.09,34.4,35.65,34.35,1695182400000,9463
700264.0,33.1647,34.4,33.02,34.64,32.75,1695268800000,10254
640460.0,32.9242,33.09,32.91,33.91,32.54,1695355200000,9775
452606.0,33.9916,32.99,34.0,34.28,32.67,1695614400000,8118
638269.0,34.4214,33.71,34.41,34.95,33.71,1695700800000,9245
672809.0,35.3503,35.21,35.6,35.9075,34.74,1695787200000,8594
493421.0,36.4498,35.75,36.51,36.915,35.6,1695873600000,7971
459242.0,35.9468,36.62,35.77,36.715,35.58,1695960000000,7332
400583.0,33.7135,35.81,33.39,35.9082,32.93,1696219200000,7489
373341.0,33.0777,33.3,33.19,33.765,32.66,1696305600000,7141
448228.0,31.3314,32.71,31.19,32.71,30.65,1696392000000,7918
469234.0,31.0498,30.88,30.98,31.49,30.68,1696478400000,7556
333120.0,31.8475,31.2,32.0,32.235,30.72,1696564800000,5590
289167.0,33.0869,33.36,32.98,33.66,32.77,1696824000000,5495
498633.0,34.1561,33.26,34.15,34.55,33.011,1696910400000,8857
321298.0,33.0926,33.55,33.17,33.81,32.47,1696996800000,5046
311142.0,33.5227,33.05,33.46,34.025,32.73,1697083200000,6774
379768.0,34.6761,34.25,34.6,35.33,34.01,1697169600000,6215
354031.0,35.3098,34.74,35.54,35.84,34.16,1697428800000,6690
237207.0,35.9716,35.36,36.0,36.425,35.2401,1697515200000,4370
312451.0,36.1278,36.28,36.27,36.47,35.66,1697601600000,6087
398286.0,35.852,35.77,35.84,36.35,35.38,1697688000000,6289
262703.0,35.5105,35.77,35.26,36.04,35.25,1697774400000,5822
202724.0,35.1243,34.65,35.23,35.71,33.91,1698033600000,6051
