v,vw,o,c,h,l,t,n
421068.0,34.6781,34.69,34.84,34.96,34.38,1692936000000,3740
257091.0,34.9451,35.03,35.04,35.08,34.81,1693195200000,1991
304204.0,35.4844,35.02,35.65,35.6699,35.01,1693281600000,2557
329219.0,35.7846,35.7,35.81,35.87,35.59,1693368000000,2301
357889.0,35.9076,35.88,35.84,36.03,35.8,1693454400000,2485
439352.0,35.8117,36.09,35.83,36.09,35.7,1693540800000,2173
506000.0,35.8719,35.85,35.86,35.9436,35.75,1693886400000,3094
504226.0,35.4974,35.79,35.5,35.79,35.3,1693972800000,3028
655719.0,35.2903,35.16,35.36,35.41,35.07,1694059200000,2771
237927.0,35.4708,35.37,35.45,35.58,35.355,1694145600000,1868
360069.0,35.7108,35.75,35.82,35.83,35.56,1694404800000,2941
226600.0,35.5571,35.66,35.49,35.71,35.43,1694491200000,1977
247188.0,35.6194,35.47,35.64,35.7396,35.435,1694577600000,2251
267752.0,35.8498,35.85,35.88,35.95,35.66,1694664000000,2022
306273.0,35.4863,35.83,35.37,35.83,35.33,1694750400000,2956
245991.0,35.323,35.23,35.34,35.41,35.205,1695009600000,2108
185444.0,35.1619,35.24,35.28,35.3299,35.03,1695096000000,1632
1009725.0,35.134,35.32,34.8,35.34,34.77,1695182400000,2514
373456.0,34.4181,34.5,34.24,34.5675,34.23,1695268800000,2619
444013.0,34.357,34.38,34.2,34.525,34.14,1695355200000,2747
629274.0,34.2512,34.09,34.36,34.36,34.01,1695614400000,2838
793720.0,33.8787,34.08,33.82,34.12,33.735,1695700800000,4747
852004.0,33.7201,33.87,33.8,33.95,33.48,1695787200000,4343
395174.0,33.9117,33.7,33.98,34.13,33.66,1695873600000,3429
475163.0,34.0617,34.3,33.96,34.3202,33.8492,1695960000000,3885
571267.0,34.0725,33.93,34.21,34.26,33.91,1696219200000,3296
676949.0,33.7194,34.04,33.71,34.16,33.5894,1696305600000,3563
733582.0,33.9111,33.76,34.05,34.09,33.72,1696392000000,3476
530325.0,33.9555,34.02,34.05,34.1,33.75,1696478400000,3184
424265.0,34.2693,33.81,34.51,34.6,33.73,1696564800000,2746
358187.0,34.4109,34.28,34.64,34.71,34.21,1696824000000,2718
482419.0,34.8483,34.68,34.76,35.015,34.65,1696910400000,2638
1060687.0,34.8753,34.92,34.98,35.0,34.72,1696996800000,2641
801867.0,34.9852,35.03,34.9,35.18,34.6888,1697083200000,4308
440020.0,34.7168,35.04,34.63,35.1,34.49,1697169600000,2997
507215.0,34.921,34.76,34.97,35.03,34.73,1697428800000,2662
548475.0,34.7865,34.69,34.86,35.0,34.47,1697515200000,4107
410702.0,34.5832,34.72,34.44,34.86,34.315,1697601600000,3180
901252.0,34.3503,34.49,34.2,34.69,34.155,1697688000000,5831
697547.0,33.9721,34.21,33.78,34.21,33.76,1697774400000,3254
997624.0,33.9325,33.62,33.82,34.1,33.47,1698033600000,5793
377089.0,34.0286,33.98,34.07,34.14,33.8199,1698120000000,3345
524402.0,33.6297,33.93,33.52,33.94,33.455,1698206400000,3662
703075.0,32.9966,33.36,32.87,33.37,32.76,1698292800000,4048
527925.0,32.9296,33.07,32.88,33.17,32.74,1698379200000,3512
618986.0,33.3363,33.1,33.36,33.4306,33.09,1698638400000,3052
459176.0,33.3575,33.34,33.49,33.5201,33.18,1698724800000,3313
672679.0,33.8249,33.6,33.99,34.06,33.59,1698811200000,3159
793364.0,34.4662,34.33,34.59,34.595,34.27,1698897600000,4497
506482.0,34.8011,34.68,34.8,34.92,34.6197,1698984000000,2721
526910.0,34.9491,34.86,35.03,35.03,34.8299,1699246800000,3390
872073.0,35.2488,35.11,35.28,35.34,34.99,1699333200000,3315
989172.0,35.2911,35.32,35.37,35.405,35.15,1699419600000,3945
542559.0,35.2053,35.44,35.07,35.47,35.015,1699506000000,3593
481812.0,35.4726,35.24,35.69,35.7,35.15,1699592400000,3047
822278.0,35.6412,35.57,35.65,35.73,35.43,1699851600000,3456
1291834.0,36.2218,36.15,36.21,36.32,36.045,1699938000000,6604
874535.0,36.2771,36.36,36.25,36.37,36.12,1700024400000,3973
651442.0,36.245,36.19,36.37,36.37,36.125,1700110800000,3786
473154.0,36.3052,36.39,36.34,36.4,36.18,1700197200000,2987
606543.0,36.5826,36.36,36.69,36.758,36.31,1700456400000,3183
