Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,21.096,21.169,20.447,20.838,164961,0
2015-01-05,20.721,20.721,20.2,20.267,156192,0
2015-01-06,20.21,20.434,19.794,20.105,150560,0
2015-01-07,20.297,20.384,19.632,20.172,134983,0
2015-01-08,20.384,20.451,19.941,20.451,217962,0
2015-01-09,20.48,20.615,19.641,19.661,160162,0
2015-01-12,20.135,20.135,19.035,19.73,238943,0
2015-01-13,20.007,20.586,19.75,20.567,181269,0
2015-01-14,20.267,20.511,19.919,20.345,125847,0
2015-01-15,20.19,20.461,19.372,19.449,80002,0
2015-01-16,19.392,19.98,19.166,19.901,94215,0
2015-01-20,19.871,20.066,19.265,19.323,113120,0
2015-01-21,19.217,19.554,19.064,19.093,99722,0
2015-01-22,19.17,19.332,18.986,19.199,169595,0
2015-01-23,19.275,19.372,18.957,18.966,110949,0
2015-01-26,18.852,19.17,18.563,19.103,202907,0
2015-01-27,18.639,19.131,18.514,18.861,108881,0
2015-01-28,18.852,19.265,18.611,19.16,173772,0
2015-01-29,19.209,19.563,18.911,19.527,131138,0
2015-01-30,19.313,19.517,18.676,18.696,143129,0
2015-02-02,18.696,19.342,18.696,19.236,90159,0
2015-02-03,19.401,20.017,19.401,19.891,149711,0
2015-02-04,19.74,20.085,19.527,19.701,123838,0
2015-02-05,19.71,20.297,19.612,20.267,74598,0
2015-02-06,20.365,20.641,19.814,20.461,169967,0
2015-02-09,20.306,20.605,18.553,19.313,149026,0
2015-02-10,19.449,19.612,19.236,19.469,133042,0
2015-02-11,19.41,19.794,19.313,19.313,78017,0
2015-02-12,19.332,19.71,18.996,19.015,114552,0
2015-02-13,18.842,19.362,18.842,19.275,115605,0
2015-02-17,19.342,19.632,19.275,19.554,107790,0
2015-02-18,19.497,20.076,19.497,20.007,120685,0
2015-02-19,19.842,20.085,19.695,19.998,65597,0
2015-02-20,20.057,20.218,19.73,20.19,87084,0
2015-02-23,20.017,20.145,19.537,20.105,68336,0
2015-02-24,19.833,20.567,19.833,20.537,137263,0
2015-02-25,20.576,20.625,20.222,20.527,91991,0
2015-02-26,20.414,20.625,20.308,20.576,152442,0
2015-02-27,20.48,20.711,20.121,20.635,554502,0
2015-03-02,20.664,21.078,20.181,20.701,181370,0
2015-03-03,20.586,20.654,20.125,20.297,207104,0
2015-03-04,20.19,20.316,19.961,20.135,147234,0
2015-03-05,20.181,20.414,20.017,20.414,198285,0
2015-03-06,20.172,20.701,20.152,20.625,166222,0
2015-03-09,20.586,20.701,20.355,20.692,77925,0
2015-03-10,20.247,20.596,20.144,20.469,119684,0
2015-03-11,20.403,20.673,19.766,20.084,101815,0
2015-03-12,20.209,20.963,19.978,20.903,121369,0
2015-03-13,20.838,20.877,20.18,20.537,95501,0
2015-03-16,20.721,21.215,20.413,21.186,145787,0
2015-03-17,20.913,21.387,20.828,21.377,123645,0
2015-03-18,21.263,21.659,20.963,21.426,161827,0
2015-03-19,21.397,21.581,21.254,21.426,127061,0
2015-03-20,21.416,21.475,20.963,21.156,257328,0
2015-03-23,21.136,21.504,20.963,21.195,135959,0
2015-03-24,21.088,21.88,21.088,21.764,126439,0
2015-03-25,21.679,21.737,21.136,21.263,111541,0
2015-03-26,21.136,21.553,21.011,21.224,63323,0
2015-03-27,21.33,21.543,20.818,21.097,99538,0
2015-03-30,21.136,21.821,20.953,21.639,87326,0
2015-03-31,21.543,21.543,20.918,21.263,173812,0
2015-04-01,21.494,21.689,20.991,21.312,133992,0
2015-04-02,21.348,21.611,21.126,21.166,60426,0
2015-04-06,21.34,21.34,20.963,21.001,80706,0
2015-04-07,20.894,21.156,20.576,20.913,91078,0
2015-04-08,21.05,21.116,20.701,21.011,86190,0
2015-04-09,21.021,21.156,20.413,20.894,66737,0
2015-04-10,20.981,21.05,20.769,20.838,43767,0
2015-04-13,20.868,21.079,20.673,20.749,71290,0
2015-04-14,20.711,20.858,20.257,20.286,112471,0
2015-04-15,20.46,20.596,20.093,20.266,173975,0
2015-04-16,20.103,20.645,20.103,20.605,136633,0
2015-04-17,20.45,20.45,19.619,19.879,96537,0
2015-04-20,19.968,20.227,19.91,20.045,57343,0
2015-04-21,20.488,20.488,19.659,19.737,59280,0
2015-04-22,19.996,19.996,19.425,19.494,132664,0
2015-04-23,19.407,19.707,19.205,19.31,135855,0
2015-04-24,19.348,19.524,19.103,19.494,95500,0
2015-04-27,19.57,20.035,19.348,19.494,77188,0
2015-04-28,19.435,19.57,19.271,19.514,88001,0
2015-04-29,19.329,19.747,18.73,18.809,126750,0
2015-04-30,19.329,19.717,18.587,18.73,179313,0
2015-05-01,18.76,19.079,18.587,18.828,111850,0
2015-05-04,18.799,19.079,18.624,18.663,71809,0
2015-05-05,18.547,18.79,18.21,18.324,72944,0
2015-05-06,18.334,18.334,17.91,17.92,195801,0
2015-05-07,17.812,18.77,17.425,18.527,177373,0
2015-05-08,19.59,21.116,19.59,20.759,219874,0
2015-05-11,20.769,21.097,19.329,20.818,180450,0
2015-05-12,20.818,20.943,20.315,20.894,140377,0
2015-05-13,21.041,21.041,20.498,20.788,107243,0
2015-05-14,20.848,21.136,20.701,21.107,88465,0
2015-05-15,21.05,21.069,20.635,21.021,54709,0
2015-05-18,21.079,21.591,20.798,21.348,85498,0
2015-05-19,21.357,21.92,21.215,21.679,99527,0
2015-05-20,21.801,22.393,21.514,22.199,129760,0
2015-05-21,22.228,23.369,22.228,22.858,283817,0
2015-05-22,22.838,23.485,22.636,22.877,120542,0
2015-05-26,23.002,23.012,22.017,22.471,113359,0
2015-05-27,22.413,23.34,22.246,23.255,143718,0
2015-05-28,23.245,23.341,22.645,22.721,131032,0
2015-05-29,22.636,22.963,22.144,22.779,115679,0
2015-06-01,23.051,23.466,22.606,23.205,106051,0
2015-06-02,23.06,23.378,22.826,23.031,87574,0
2015-06-03,23.06,23.746,22.982,23.726,166068,0
2015-06-04,23.844,24.133,23.515,23.825,138545,0
2015-06-05,23.92,24.163,23.398,24.103,113505,0
2015-06-08,24.133,24.153,23.456,23.515,128096,0
2015-06-09,23.476,23.52,22.981,23.224,174007,0
2015-06-10,23.254,23.63,23.204,23.544,215728,0
2015-06-11,23.61,23.911,23.446,23.505,75688,0
2015-06-12,23.495,24.008,23.408,23.688,122514,0
2015-06-15,23.554,24.221,23.098,24.008,134797,0
2015-06-16,23.901,24.609,23.872,24.542,124477,0
2015-06-17,24.657,24.657,24.221,24.298,162666,0
2015-06-18,24.376,25.16,24.231,24.726,142849,0
2015-06-19,24.803,24.86,24.464,24.504,231921,0
2015-06-22,24.637,25.017,24.542,24.726,82057,0
2015-06-23,24.706,24.803,24.474,24.677,122108,0
2015-06-24,24.706,24.851,24.184,24.298,93511,0
2015-06-25,24.135,24.88,23.989,24.56,114052,0
2015-06-26,24.647,24.823,24.193,24.58,663149,0
2015-06-29,24.327,24.513,23.796,23.854,99600,0
2015-06-30,23.872,24.089,23.718,23.863,88039,0
2015-07-01,23.931,24.027,23.495,23.601,131082,0
2015-07-02,23.62,23.62,23.069,23.437,132114,0
2015-07-06,23.273,23.544,22.535,23.088,240901,0
2015-07-07,23.204,23.204,22.225,22.923,276098,0
2015-07-08,22.585,23.244,22.487,22.719,308920,0
2015-07-09,23.126,23.515,22.604,22.651,120862,0
2015-07-10,22.943,23.174,22.68,22.953,73282,0
2015-07-13,23.254,23.427,23.088,23.234,68741,0
2015-07-14,23.145,23.369,22.585,22.661,209767,0
2015-07-15,22.545,22.865,22.459,22.497,122079,0
2015-07-16,23.02,26.683,23.02,25.966,875049,0
2015-07-17,25.898,25.898,24.86,25.617,277129,0
2015-07-20,25.762,26.149,24.697,24.744,195382,0
2015-07-21,24.716,25.17,23.806,24.474,195591,0
2015-07-22,24.298,25.046,23.863,24.89,154409,0
2015-07-23,24.87,24.87,23.863,24.095,176290,0
2015-07-24,24.008,24.008,23.164,23.378,227794,0
2015-07-27,23.088,23.244,22.555,22.827,161221,0
2015-07-28,22.827,23.244,22.333,22.885,141817,0
2015-07-29,22.914,23.011,22.594,22.651,77616,0
2015-07-30,22.497,22.634,22.14,22.565,107445,0
2015-07-31,22.585,23.069,22.477,22.699,68122,0
2015-08-03,22.904,23.001,22.253,22.604,133310,0
2015-08-04,22.575,23.001,22.459,22.758,61721,0
2015-08-05,22.846,23.02,22.244,22.624,77204,0
2015-08-06,22.709,23.291,22.323,23.254,185755,0
2015-08-07,23.069,23.872,23.05,23.668,203643,0
2015-08-10,23.737,24.386,23.437,24.376,249158,0
2015-08-11,24.105,24.464,24.037,24.445,192224,0
2015-08-12,24.184,24.851,23.901,24.773,172676,0
2015-08-13,25.027,25.027,24.037,24.279,114567,0
2015-08-14,24.317,24.706,24.066,24.532,93511,0
2015-08-17,24.376,24.697,23.979,24.628,97125,0
2015-08-18,24.609,24.667,24.327,24.56,88559,0
2015-08-19,24.406,24.628,24.017,24.474,133559,0
2015-08-20,24.26,24.298,23.941,24.165,141507,0
2015-08-21,23.658,24.105,23.145,23.649,149453,0
2015-08-24,21.372,22.846,21.342,22.13,207948,0
2015-08-25,22.477,22.777,21.296,21.47,148215,0
2015-08-26,21.789,22.071,21.19,21.975,128193,0
2015-08-27,22.09,22.594,21.46,21.886,205912,0
2015-08-28,21.722,22.12,21.538,22.051,103731,0
2015-08-31,22.022,22.061,21.509,21.713,87010,0
2015-09-01,21.316,21.568,20.861,21.025,110646,0
2015-09-02,21.306,21.306,20.539,21.073,135315,0
2015-09-03,21.238,21.596,21.092,21.46,138720,0
2015-09-04,21.14,21.78,21.14,21.529,131804,0
2015-09-08,21.847,22.342,21.635,22.196,167516,0
2015-09-09,22.429,22.429,21.14,21.45,216749,0
2015-09-10,21.44,21.626,21.101,21.44,167251,0
2015-09-11,24.25,26.575,23.892,25.956,1113264,0
2015-09-14,26.139,26.459,25.471,26.325,323473,0
2015-09-15,26.4,28.892,26.043,27.97,470036,0
2015-09-16,27.728,28.843,27.574,28.61,231407,0
2015-09-17,28.795,29.61,28.387,29.019,264881,0
2015-09-18,28.494,29.785,28.387,29.339,912208,0
2015-09-21,29.387,30.824,29.056,29.397,329306,0
2015-09-22,28.94,29.358,28.368,28.814,216515,0
2015-09-23,28.766,28.795,28.186,28.358,237409,0
2015-09-24,28.262,28.484,27.552,28.072,226878,0
2015-09-25,28.368,28.639,27.582,27.667,359587,0
2015-09-28,27.677,29.561,26.571,26.639,356705,0
2015-09-29,26.524,26.843,25.824,26.504,233407,0
2015-09-30,26.834,27.066,26.193,26.649,261322,0
2015-10-01,26.639,26.862,25.872,26.698,210231,0
2015-10-02,26.474,27.631,26.029,27.232,270180,0
2015-10-05,27.504,27.627,27.086,27.261,188095,0
2015-10-06,27.337,27.65,26.484,26.737,131845,0
2015-10-07,26.776,27.66,26.405,27.65,236892,0
2015-10-08,27.66,27.884,27.018,27.485,167587,0
2015-10-09,27.591,27.785,27.116,27.214,132361,0
2015-10-12,27.298,28.912,27.096,28.747,280226,0
2015-10-13,28.727,29.047,27.931,28.067,173562,0
2015-10-14,27.912,28.833,27.805,28.212,188911,0
2015-10-15,28.182,29.144,27.455,29.01,211983,0
2015-10-16,29.066,29.358,28.33,29.0,191896,0
2015-10-19,28.94,30.431,27.194,30.018,190784,0
2015-10-20,30.098,30.339,29.329,29.377,186645,0
2015-10-21,29.358,29.513,28.047,28.717,516978,0
2015-10-22,28.883,29.785,28.766,29.416,282439,0
2015-10-23,29.853,29.853,28.922,29.522,148018,0
2015-10-26,29.513,29.561,29.105,29.406,145649,0
2015-10-27,29.194,29.785,29.056,29.213,227227,0
2015-10-28,29.184,30.572,29.174,30.572,274917,0
2015-10-29,30.582,31.261,30.309,30.737,268635,0
2015-10-30,30.708,31.243,29.242,29.28,241853,0
2015-11-02,29.387,30.329,29.387,30.078,342544,0
