Date,Open,High,Low,Close,Volume,OpenInt
2015-01-05,9.68,9.7,9.65,9.65,7200,0
2015-01-06,9.69,9.75,9.658,9.66,20371,0
2015-01-07,9.74,9.74,9.73,9.73,500,0
2015-01-08,9.67,9.75,9.65,9.75,2070,0
2015-01-13,9.74,9.8,9.74,9.8,2110,0
2015-01-14,9.72,9.77,9.72,9.73,6600,0
2015-01-15,9.68,9.69,9.67,9.69,2301,0
2015-01-16,9.68,9.8,9.68,9.7,5703,0
2015-01-20,9.6,9.74,9.6,9.72,2300,0
2015-01-21,9.6,9.8,9.6,9.75,6700,0
2015-01-22,9.7,9.72,9.68,9.69,1200,0
2015-01-23,9.7,9.76,9.7,9.75,1700,0
2015-01-26,9.69,9.82,9.661,9.74,292801,0
2015-01-27,9.7,9.78,9.68,9.78,3301,0
2015-01-28,9.78,9.79,9.68,9.74,7200,0
2015-01-29,9.68,9.78,9.68,9.75,4002,0
2015-01-30,9.7,9.76,9.68,9.76,2500,0
2015-02-02,9.69,9.74,9.69,9.71,2801,0
2015-02-03,9.66,9.72,9.66,9.72,1500,0
2015-02-04,9.68,9.75,9.66,9.7,11900,0
2015-02-05,9.68,9.68,9.68,9.68,270,0
2015-02-10,9.78,9.78,9.68,9.69,400,0
2015-02-12,9.68,9.78,9.66,9.73,3400,0
2015-02-18,9.75,9.75,9.75,9.75,900,0
2015-02-23,9.75,9.75,9.68,9.68,1858,0
2015-03-02,9.75,9.75,9.74,9.75,1400,0
2015-03-06,9.7,9.7,9.68,9.7,1300,0
2015-03-18,9.7,9.71,9.7,9.71,300,0
2015-03-19,9.75,9.75,9.71,9.71,700,0
2015-03-23,9.75,9.79,9.75,9.75,1500,0
2015-03-25,9.77,9.78,9.77,9.77,1000,0
2015-03-27,9.79,9.79,9.78,9.78,2400,0
2015-03-30,9.78,9.8,9.78,9.8,900,0
2015-03-31,9.79,9.8,9.78,9.8,1300,0
2015-04-01,9.8,9.8,9.8,9.8,1000,0
2015-04-02,9.85,10.2,9.85,9.93,6300,0
2015-04-08,9.95,10.44,9.95,10.44,6900,0
2015-04-09,10.04,10.18,10.02,10.18,7100,0
2015-04-10,10.0,10.39,10.0,10.39,200,0
2015-04-14,10.24,10.24,10.24,10.24,100,0
2015-04-15,10.12,10.12,10.12,10.12,300,0
2015-04-17,10.05,10.05,10.05,10.05,200,0
2015-04-21,10.05,10.05,10.02,10.02,5400,0
2015-04-24,10.04,10.04,10.04,10.04,2000,0
2015-04-28,10.05,10.1,10.05,10.1,2700,0
2015-04-29,10.07,10.1,10.07,10.1,9600,0
2015-04-30,12.05,13.35,11.28,11.59,2344600,0
2015-05-01,11.47,12.1,11.47,11.96,1613000,0
2015-05-04,11.92,12.14,11.65,11.87,214400,0
2015-05-05,11.97,11.99,11.53,11.63,74600,0
2015-05-06,11.66,11.7,11.245,11.35,92976,0
2015-05-07,11.4,11.42,11.15,11.15,347986,0
2015-05-08,11.11,11.25,10.83,11.25,136400,0
2015-05-11,11.05,11.36,11.0,11.23,329400,0
2015-05-12,11.2,11.29,11.05,11.19,188095,0
2015-05-13,11.25,11.3,11.0,11.2,139600,0
2015-05-14,11.26,11.72,10.93,11.56,1546000,0
2015-05-15,11.51,11.75,11.35,11.57,451143,0
2015-05-18,11.64,11.68,11.57,11.58,49407,0
2015-05-19,11.48,11.65,11.31,11.41,88900,0
2015-05-20,11.22,11.57,11.2,11.5,142000,0
2015-05-21,11.5,12.0,11.45,11.77,834100,0
2015-05-22,11.8,12.0,11.52,11.88,401800,0
2015-05-26,11.85,11.85,11.65,11.68,93141,0
