Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,42.93,43.135,41.917,42.207,189652,0
2015-01-05,41.87,42.367,40.934,41.141,213792,0
2015-01-06,41.31,41.31,40.11,40.549,191072,0
2015-01-07,40.97,40.98,39.961,40.12,286270,0
2015-01-08,40.54,40.7,40.156,40.333,251290,0
2015-01-09,40.25,40.27,39.294,39.313,179683,0
2015-01-12,39.341,39.51,38.695,38.826,232632,0
2015-01-13,39.173,39.669,38.498,38.713,364499,0
2015-01-14,38.273,38.958,38.179,38.762,401174,0
2015-01-15,38.93,38.978,37.938,38.02,229505,0
2015-01-16,37.909,38.078,37.58,37.777,332546,0
2015-01-20,37.9,38.096,37.346,37.516,379078,0
2015-01-21,37.346,38.059,37.243,37.749,272604,0
2015-01-22,38.02,38.395,37.263,38.293,246360,0
2015-01-23,38.273,38.517,37.881,38.311,248515,0
2015-01-26,38.264,38.762,37.533,38.704,250498,0
2015-01-27,38.125,38.462,37.712,38.273,317667,0
2015-01-28,38.376,38.676,37.954,38.078,385337,0
2015-01-29,39.013,41.505,38.376,40.96,602345,0
2015-01-30,40.325,40.587,37.823,37.871,538947,0
2015-02-02,38.069,38.807,37.694,38.666,484806,0
2015-02-03,38.733,40.419,38.733,40.362,423450,0
2015-02-04,40.164,40.362,39.49,39.604,316036,0
2015-02-05,39.632,39.932,39.51,39.753,198427,0
2015-02-06,39.782,40.333,39.716,40.288,333955,0
2015-02-09,40.288,40.96,40.082,40.139,225385,0
2015-02-10,40.26,40.325,39.462,39.942,178220,0
2015-02-11,39.942,40.195,39.536,39.695,157792,0
2015-02-12,39.952,40.148,39.801,40.073,133288,0
2015-02-13,40.073,40.272,39.942,40.157,286771,0
2015-02-17,40.186,40.318,39.762,40.007,186960,0
2015-02-18,39.821,40.714,39.821,40.262,383633,0
2015-02-19,40.234,40.497,39.989,40.224,252328,0
2015-02-20,40.14,40.28,39.771,40.092,352936,0
2015-02-23,39.902,40.166,39.667,39.97,236216,0
2015-02-24,39.998,40.157,39.922,39.97,257964,0
2015-02-25,40.016,40.817,40.016,40.667,243866,0
2015-02-26,40.695,41.392,40.685,41.355,247778,0
2015-02-27,41.45,41.45,41.129,41.3,359654,0
2015-03-02,41.233,41.478,40.884,41.421,209618,0
2015-03-03,41.175,41.6,41.044,41.345,198796,0
2015-03-04,41.044,41.392,40.639,41.317,482140,0
2015-03-05,41.158,42.806,41.016,42.175,390168,0
2015-03-06,41.845,42.326,41.392,41.581,498372,0
2015-03-09,41.657,41.969,41.392,41.401,176201,0
2015-03-10,40.967,41.28,40.157,40.166,237091,0
2015-03-11,40.14,40.451,39.865,40.413,164320,0
2015-03-12,40.779,41.468,40.658,41.421,251307,0
2015-03-13,41.3,41.401,40.29,40.977,281753,0
2015-03-16,41.025,41.382,40.742,40.932,195401,0
2015-03-17,40.63,40.817,40.46,40.489,331080,0
2015-03-18,40.479,41.148,40.28,40.817,293211,0
2015-03-19,40.704,40.922,40.524,40.685,192113,0
2015-03-20,40.611,41.035,40.327,40.94,531787,0
2015-03-23,41.006,41.488,40.742,41.382,319200,0
