Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,34.055,34.185,33.175,33.601,1675861,0
2015-01-05,33.382,33.44,32.647,32.759,2549811,0
2015-01-06,32.854,32.911,31.729,31.882,2958309,0
2015-01-07,32.26,32.523,32.07,32.269,2170516,0
2015-01-08,32.759,33.072,32.666,32.949,2151234,0
2015-01-09,33.005,33.005,32.269,32.382,1737619,0
2015-01-12,32.343,32.382,31.815,32.042,1733017,0
2015-01-13,32.421,33.062,32.175,32.411,3787126,0
2015-01-14,31.665,31.863,31.305,31.796,4026155,0
2015-01-15,31.777,31.882,31.191,31.191,2693734,0
2015-01-16,31.078,31.343,30.501,31.191,4478240,0
2015-01-20,31.277,31.38,30.748,31.285,3653657,0
2015-01-21,30.511,31.853,30.389,31.436,4799820,0
2015-01-22,31.758,32.241,30.597,32.116,3674752,0
2015-01-23,32.599,32.638,31.72,31.748,2214024,0
2015-01-26,31.636,32.079,31.494,32.079,1754691,0
2015-01-27,31.522,31.738,31.163,31.436,1758656,0
2015-01-28,31.674,31.712,30.492,30.492,2913404,0
2015-01-29,30.539,31.115,30.539,30.965,4347090,0
2015-01-30,30.483,30.862,30.483,30.597,3910430,0
2015-02-02,30.739,31.032,30.435,31.032,1945157,0
2015-02-03,31.328,32.628,31.243,32.589,4665980,0
2015-02-04,32.513,33.016,32.513,32.694,2705229,0
2015-02-05,33.045,33.32,32.912,33.121,1984536,0
2015-02-06,33.784,34.914,33.623,33.965,4098194,0
2015-02-09,33.711,33.91,33.396,33.548,2191534,0
2015-02-10,33.775,34.183,33.681,34.002,1883319,0
2015-02-11,33.929,34.109,33.711,34.099,1842185,0
2015-02-12,34.29,34.441,34.002,34.222,1717522,0
2015-02-13,34.212,34.507,33.701,34.012,2004100,0
2015-02-17,33.89,34.062,33.633,33.88,3451111,0
2015-02-18,33.794,34.042,33.302,33.623,2135176,0
2015-02-19,33.604,34.126,33.463,34.089,1753056,0
2015-02-20,33.929,34.29,33.613,34.232,1842442,0
2015-02-23,34.193,34.193,33.861,34.117,1312957,0
2015-02-24,34.28,34.895,34.222,34.848,2403183,0
2015-02-25,34.745,34.838,34.526,34.753,1500464,0
2015-02-26,34.696,35.018,34.563,34.792,1798092,0
2015-02-27,34.705,34.838,34.382,34.421,1352060,0
2015-03-02,34.401,35.153,34.29,35.153,1577627,0
2015-03-03,34.983,35.162,34.81,35.018,1698910,0
2015-03-04,34.924,35.2,34.735,34.924,2118923,0
2015-03-05,34.944,35.065,34.61,34.763,2078565,0
2015-03-06,35.114,36.765,35.01,35.769,5520429,0
2015-03-09,35.56,35.882,35.417,35.531,1872561,0
2015-03-10,35.217,35.635,34.856,35.153,2619544,0
2015-03-11,35.237,35.75,35.162,35.56,1781627,0
2015-03-12,35.75,35.967,35.227,35.931,2058334,0
2015-03-13,35.921,35.967,35.407,35.836,1925775,0
2015-03-16,36.063,36.148,35.654,35.901,2000167,0
2015-03-17,35.684,35.959,35.664,35.862,1395755,0
2015-03-18,35.723,36.091,34.973,35.209,3310148,0
2015-03-19,35.104,35.237,34.431,34.735,2424818,0
2015-03-20,33.804,35.124,33.804,35.114,3123325,0
2015-03-23,35.094,35.314,34.914,35.209,1591114,0
2015-03-24,35.209,35.494,35.028,35.351,3022066,0
2015-03-25,35.341,35.388,34.865,34.944,4187899,0
2015-03-26,34.924,35.274,34.61,35.094,2922171,0
2015-03-27,34.914,35.144,34.81,35.104,1442961,0
2015-03-30,35.314,35.569,35.264,35.324,1392595,0
2015-03-31,35.19,35.569,34.983,35.36,2503522,0
2015-04-01,35.209,35.237,34.63,34.963,2515752,0
2015-04-02,34.914,35.134,34.773,35.035,1169416,0
2015-04-06,34.488,35.055,34.135,34.828,2406481,0
2015-04-07,34.944,35.028,34.581,34.678,1400488,0
2015-04-08,34.745,35.114,34.571,35.094,2103010,0
2015-04-09,35.045,35.713,34.895,35.587,2413434,0
2015-04-10,35.579,35.664,35.446,35.531,2158751,0
2015-04-13,35.512,35.844,35.37,35.626,1381634,0
2015-04-14,35.209,35.426,34.705,35.01,2558533,0
2015-04-15,35.018,35.37,34.553,35.144,2031882,0
2015-04-16,35.162,35.227,34.735,34.934,2592390,0
2015-04-17,34.696,34.773,34.326,34.64,2266757,0
2015-04-20,34.745,34.983,34.46,34.571,3383523,0
2015-04-21,33.701,34.203,33.434,33.613,8077128,0
2015-04-22,33.225,34.232,32.951,33.823,5725145,0
2015-04-23,33.929,34.372,33.652,34.135,3021854,0
2015-04-24,34.062,34.27,33.794,33.955,2331237,0
2015-04-27,34.099,34.441,34.052,34.089,2747042,0
2015-04-28,34.174,34.696,34.022,34.687,2840186,0
2015-04-29,34.552,35.192,34.39,35.029,3661544,0
2015-04-30,35.047,35.267,34.496,34.544,2425463,0
2015-05-01,34.792,34.848,34.334,34.44,2655176,0
2015-05-04,34.59,35.029,34.4,34.935,1572411,0
2015-05-05,34.839,35.326,34.839,34.993,1916404,0
2015-05-06,34.782,35.211,34.581,34.763,1806893,0
2015-05-07,34.735,34.935,34.562,34.811,1679269,0
2015-05-08,34.725,35.029,34.571,34.668,2729264,0
2015-05-11,34.82,35.591,34.792,35.344,3083223,0
2015-05-12,35.258,35.429,34.886,35.047,2360853,0
2015-05-13,35.076,35.229,34.792,35.116,1986264,0
2015-05-14,34.857,35.42,34.848,35.297,2257877,0
2015-05-15,35.297,35.459,34.866,34.993,1602988,0
2015-05-18,35.096,35.906,35.076,35.801,1706861,0
2015-05-19,35.765,36.344,35.765,35.926,2290847,0
2015-05-20,35.887,36.002,35.488,35.516,1302176,0
2015-05-21,35.317,35.621,35.202,35.277,1182141,0
2015-05-22,35.277,35.535,35.249,35.335,1022004,0
2015-05-26,35.258,35.363,35.019,35.192,1563094,0
2015-05-27,35.363,35.84,35.106,35.792,1314260,0
2015-05-28,35.821,35.896,35.601,35.84,1414436,0
2015-05-29,35.782,35.936,34.974,35.401,1958903,0
2015-06-01,35.497,35.583,34.984,35.219,1485167,0
2015-06-02,35.297,35.745,34.954,35.638,2005661,0
2015-06-03,35.963,36.669,35.801,36.449,2561992,0
2015-06-04,36.164,36.402,35.831,36.125,2607218,0
2015-06-05,36.87,37.212,36.507,36.697,3827347,0
2015-06-08,36.64,36.925,36.221,36.402,3428686,0
2015-06-09,36.517,36.64,36.164,36.591,1346335,0
2015-06-10,36.841,37.088,36.591,36.774,1804086,0
2015-06-11,36.831,37.078,36.679,36.717,1207668,0
2015-06-12,36.669,36.86,36.354,36.517,1610819,0
2015-06-15,36.154,36.354,35.773,36.317,1225693,0
2015-06-16,36.164,36.61,36.135,36.498,1011825,0
2015-06-17,36.498,36.841,36.202,36.268,2254937,0
2015-06-18,36.354,36.517,35.573,35.638,4019075,0
2015-06-19,35.621,35.717,35.182,35.344,2749619,0
2015-06-22,35.648,36.04,35.638,36.012,2861277,0
2015-06-23,36.231,36.412,36.04,36.241,2261993,0
2015-06-24,36.154,36.25,35.735,35.84,1272390,0
2015-06-25,36.002,36.211,35.725,36.002,1992588,0
2015-06-26,36.183,36.402,36.012,36.354,2202363,0
2015-06-29,35.668,35.877,34.993,35.003,2785931,0
2015-06-30,35.373,35.545,34.753,35.086,2662285,0
2015-07-01,35.479,35.946,35.479,35.707,3181237,0
2015-07-02,35.583,35.583,35.126,35.507,2075074,0
2015-07-06,35.116,35.287,34.782,35.229,2218838,0
2015-07-07,35.146,35.146,34.288,34.925,2430396,0
2015-07-08,34.506,34.696,34.143,34.23,2802405,0
2015-07-09,34.782,34.993,34.43,34.581,1856062,0
2015-07-10,35.126,35.354,34.687,35.011,2608372,0
2015-07-13,35.344,35.439,35.202,35.42,2690331,0
2015-07-14,35.429,35.811,35.219,35.63,1868141,0
2015-07-15,35.773,36.022,35.545,35.687,2060452,0
2015-07-16,36.059,36.565,35.831,36.537,2278338,0
2015-07-17,36.469,36.784,36.307,36.687,1956068,0
2015-07-20,36.764,36.897,36.488,36.555,1897618,0
2015-07-21,36.211,36.86,35.697,35.954,3654932,0
2015-07-22,35.258,35.563,35.086,35.535,4635381,0
2015-07-23,35.638,35.755,35.067,35.459,1960162,0
2015-07-24,35.563,35.658,35.011,35.239,2428193,0
2015-07-27,34.993,34.993,34.22,34.544,2746577,0
2015-07-28,34.811,34.984,34.59,34.82,2042856,0
2015-07-29,34.773,35.326,34.715,35.239,2303525,0
2015-07-30,35.267,35.611,35.172,35.507,1504095,0
2015-07-31,36.118,36.118,34.873,35.144,1986238,0
2015-08-03,35.201,35.316,34.702,35.018,2457425,0
2015-08-04,35.035,35.601,34.903,35.573,2352153,0
2015-08-05,35.812,36.186,35.812,35.85,3044683,0
2015-08-06,35.879,36.128,35.391,35.563,3085452,0
2015-08-07,35.688,36.052,34.962,35.449,2556693,0
2015-08-10,35.756,36.271,35.573,36.128,1567337,0
2015-08-11,35.429,35.591,35.001,35.334,2189062,0
2015-08-12,35.134,35.134,33.783,34.702,3250581,0
2015-08-13,34.789,35.009,34.395,34.586,1831345,0
2015-08-14,34.586,34.923,34.465,34.893,1629420,0
2015-08-17,34.702,34.702,34.273,34.655,1700594,0
2015-08-18,34.568,34.702,34.003,34.175,3747140,0
2015-08-19,34.1,34.157,33.372,33.421,3950008,0
2015-08-20,33.077,33.077,32.436,32.463,3290714,0
2015-08-21,32.025,32.234,31.335,31.373,5026112,0
2015-08-24,29.326,30.972,28.913,29.814,4781808,0
2015-08-25,30.875,30.895,29.489,29.489,3777137,0
2015-08-26,30.138,31.057,29.853,30.972,4951593,0
2015-08-27,31.413,32.3,31.201,32.071,4422737,0
2015-08-28,31.784,32.349,31.68,32.187,2653581,0
2015-08-31,31.908,32.3,31.813,32.015,2922085,0
2015-09-01,31.067,31.305,30.55,30.742,3284026,0
2015-09-02,31.23,31.325,30.54,31.124,2512900,0
2015-09-03,31.171,31.784,30.982,31.295,3221840,0
2015-09-04,31.018,31.201,30.693,30.991,1940462,0
2015-09-08,31.726,32.436,31.651,32.368,4056823,0
2015-09-09,32.646,33.161,31.862,31.955,3275664,0
2015-09-10,32.071,32.559,31.871,32.29,2683743,0
2015-09-11,32.273,32.397,31.852,32.378,2103612,0
2015-09-14,32.29,32.426,32.015,32.071,2372741,0
2015-09-15,32.234,32.76,32.187,32.684,2118872,0
2015-09-16,32.74,33.171,32.387,33.124,2973611,0
2015-09-17,33.115,33.728,31.833,31.936,5962746,0
2015-09-18,31.211,31.517,30.732,30.836,6505131,0
2015-09-21,31.163,31.612,31.057,31.285,3193306,0
2015-09-22,30.771,30.982,30.359,30.807,2533593,0
2015-09-23,30.836,31.171,30.713,30.885,1780439,0
2015-09-24,30.465,30.569,30.07,30.359,3013497,0
2015-09-25,30.895,31.373,30.762,31.037,3752052,0
2015-09-28,30.455,30.637,29.354,29.411,4672569,0
2015-09-29,29.545,29.996,29.335,29.651,3192573,0
2015-09-30,30.12,30.502,29.986,30.465,3536850,0
2015-10-01,30.349,30.683,29.948,30.664,4236385,0
2015-10-02,29.69,29.824,28.408,29.824,7340954,0
2015-10-05,30.12,30.856,29.908,30.703,3588098,0
2015-10-06,30.569,30.673,29.747,30.148,3365757,0
2015-10-07,30.292,30.771,30.148,30.654,2919587,0
2015-10-08,30.521,30.923,30.254,30.762,3015001,0
2015-10-09,30.866,31.124,30.292,30.492,2109152,0
2015-10-12,30.435,30.732,30.31,30.693,1522318,0
2015-10-13,30.435,30.836,30.264,30.292,1679586,0
2015-10-14,30.12,30.359,29.508,29.737,2901388,0
2015-10-15,30.129,30.416,29.814,30.33,2212831,0
2015-10-16,30.521,30.826,30.225,30.79,1903044,0
2015-10-19,30.54,30.913,30.292,30.807,1691990,0
2015-10-20,30.895,31.24,30.762,31.154,1750762,0
2015-10-21,31.201,31.429,30.826,30.866,3422093,0
2015-10-22,30.972,31.69,30.923,31.535,3008728,0
2015-10-23,31.908,32.54,31.736,32.463,3063182,0
2015-10-26,32.359,32.568,32.178,32.368,2943197,0
2015-10-27,32.035,32.407,31.163,31.843,3930985,0
2015-10-28,31.928,33.64,31.429,33.381,6340205,0
2015-10-29,33.21,33.689,32.578,33.45,2914976,0
2015-10-30,33.353,33.43,32.952,32.98,2713259,0
2015-11-02,33.191,34.702,33.115,34.558,4410736,0
2015-11-03,34.347,34.808,34.301,34.568,3158266,0
2015-11-04,34.722,35.065,34.405,34.742,2548995,0
2015-11-05,34.826,35.114,34.606,34.645,2955423,0
2015-11-06,35.934,36.433,35.684,35.818,6651123,0
2015-11-09,35.944,36.105,35.337,35.519,2546062,0
2015-11-10,35.328,35.404,34.693,35.221,3145233,0
2015-11-11,35.511,35.568,35.174,35.328,1947891,0
2015-11-12,35.011,35.106,34.645,34.645,1596802,0
2015-11-13,34.568,34.954,33.837,34.317,2611475,0
2015-11-16,34.233,34.626,33.925,34.626,1999384,0
2015-11-17,34.702,35.213,34.473,34.79,1873305,0
2015-11-18,35.029,35.568,34.79,35.453,2399155,0
2015-11-19,35.366,35.568,34.837,35.165,1949452,0
2015-11-20,35.433,35.558,35.251,35.463,1823685,0
2015-11-23,35.511,35.626,35.136,35.156,1437122,0
2015-11-24,34.79,35.086,34.655,34.934,2899732,0
2015-11-25,35.019,35.184,34.674,35.126,1181114,0
2015-11-27,35.096,35.346,34.984,35.319,719654,0
2015-11-30,35.337,35.423,35.011,35.213,2117037,0
2015-12-01,35.491,35.703,34.944,35.491,2293962,0
2015-12-02,35.626,35.626,35.096,35.337,2079199,0
2015-12-03,35.654,35.654,34.375,34.616,2744265,0
2015-12-04,34.837,35.626,34.712,35.385,3226373,0
2015-12-07,35.356,35.356,34.645,34.944,2799971,0
2015-12-08,34.626,34.761,34.213,34.626,2827367,0
2015-12-09,34.394,34.855,33.733,33.944,2239580,0
2015-12-10,34.02,34.636,33.818,34.261,1929582,0
2015-12-11,33.714,33.828,32.924,32.982,2672538,0
2015-12-14,33.194,33.714,32.559,32.963,3471440,0
2015-12-15,33.405,34.193,33.281,34.097,2490387,0
2015-12-16,34.375,34.616,33.444,34.317,4169578,0
2015-12-17,34.473,34.586,33.472,33.482,3033403,0
