Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,3.0,3.0,2.78,2.93,75035,0
2015-01-05,2.95,2.95,2.8,2.82,62480,0
2015-01-06,2.82,2.82,2.65,2.71,112215,0
2015-01-07,2.72,2.81,2.69,2.78,29125,0
2015-01-08,2.78,2.85,2.73,2.85,61441,0
2015-01-09,2.8,2.9,2.8,2.8,33097,0
2015-01-12,2.8,2.83,2.71,2.73,35949,0
2015-01-13,2.71,2.8,2.71,2.75,52822,0
2015-01-14,2.78,2.79,2.66,2.79,65302,0
2015-01-15,2.78,2.85,2.75,2.78,58826,0
2015-01-16,2.75,2.79,2.75,2.78,13583,0
2015-01-20,2.82,2.92,2.75,2.91,64091,0
2015-01-21,2.91,2.91,2.84,2.85,33390,0
2015-01-22,2.802,2.9,2.7607,2.85,48090,0
2015-01-23,2.93,2.98,2.85,2.94,72070,0
2015-01-26,2.95,3.1051,2.94,3.01,58036,0
2015-01-27,3.01,3.2,2.97,3.17,46423,0
2015-01-28,3.18,3.5,3.18,3.27,258019,0
2015-01-29,3.35,3.55,3.25,3.5,199467,0
2015-01-30,3.55,3.6945,3.26,3.44,89655,0
2015-02-02,3.44,3.44,3.25,3.32,36691,0
2015-02-03,3.5,3.74,3.32,3.74,103410,0
2015-02-04,3.89,4.05,3.645,3.93,247210,0
2015-02-05,3.93,4.34,3.93,4.34,239612,0
2015-02-06,4.3836,4.4,4.0695,4.165,111441,0
2015-02-09,4.37,4.44,4.14,4.39,81550,0
2015-02-10,4.37,4.37,3.65,3.8,257769,0
2015-02-11,3.81,3.81,3.45,3.45,106376,0
2015-02-12,3.39,3.666,3.25,3.4,114571,0
2015-02-13,3.48,3.67,3.38,3.45,82638,0
2015-02-17,3.51,3.92,3.5,3.85,94203,0
2015-02-18,4.0,4.0,3.62,3.78,73626,0
2015-02-19,3.57,3.845,3.3401,3.8,99621,0
2015-02-20,3.79,3.79,3.61,3.73,35077,0
2015-02-23,3.7,4.22,3.6,3.915,149161,0
2015-02-24,3.955,3.955,3.72,3.74,41944,0
2015-02-25,3.74,3.89,3.61,3.69,93870,0
2015-02-26,3.7,3.73,3.57,3.64,34231,0
2015-02-27,3.66,3.97,3.571,3.89,86024,0
2015-03-02,3.9,4.13,3.9,4.02,128500,0
2015-03-03,4.1,4.1,3.6,3.7,134200,0
2015-03-04,3.68,3.68,3.51,3.55,61200,0
2015-03-05,3.61,3.66,3.55,3.62,34500,0
2015-03-06,3.63,3.83,3.63,3.77,47500,0
2015-03-09,3.74,3.92,3.7,3.8,52900,0
2015-03-10,3.84,3.84,3.5,3.52,77100,0
2015-03-11,3.58,3.6,3.4,3.4,58500,0
2015-03-12,3.44,3.65,3.44,3.52,51000,0
2015-03-13,3.51,3.58,3.4,3.41,28800,0
2015-03-16,3.43,3.52,3.09,3.15,105000,0
2015-03-17,3.14,3.28,2.86,2.95,106500,0
2015-03-18,2.94,3.77,2.94,3.61,222900,0
2015-03-19,3.78,3.78,3.2,3.22,127400,0
