Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,7.59,7.62,7.13,7.21,1460693,0
2015-01-05,7.25,7.45,7.1,7.14,1004496,0
2015-01-06,7.14,7.195,6.75,6.9,760905,0
2015-01-07,7.04,7.21,6.8,7.19,1479805,0
2015-01-08,7.27,7.37,6.9,7.04,1875203,0
2015-01-09,7.06,7.1,6.809,6.89,784852,0
2015-01-12,7.2,7.228,6.87,6.92,1011150,0
2015-01-13,6.98,7.04,6.735,6.81,983722,0
2015-01-14,6.81,6.98,6.74,6.89,844721,0
2015-01-15,6.88,6.95,6.55,6.56,544987,0
2015-01-16,6.58,6.89,6.53,6.88,387401,0
2015-01-20,6.91,6.996,6.68,6.77,477165,0
2015-01-21,6.72,6.77,6.64,6.7,286355,0
2015-01-22,6.71,6.8,6.56,6.69,720723,0
2015-01-23,6.75,6.8,6.65,6.77,533860,0
2015-01-26,6.86,6.97,6.72,6.89,435965,0
2015-01-27,6.79,7.13,6.7,6.94,1880939,0
2015-01-28,7.09,7.49,6.99,7.3,2244193,0
2015-01-29,7.34,7.47,7.18,7.39,1056693,0
2015-01-30,7.28,7.505,7.27,7.37,1483458,0
2015-02-02,7.36,7.71,7.24,7.7,1220767,0
2015-02-03,7.37,7.705,7.37,7.66,873895,0
2015-02-04,7.6,7.783,7.52,7.66,734244,0
2015-02-05,7.66,7.77,7.53,7.66,633569,0
2015-02-06,7.63,7.71,7.52,7.62,644992,0
2015-02-09,7.59,7.61,7.39,7.47,505500,0
2015-02-10,7.5,7.68,7.48,7.6,396431,0
2015-02-11,7.69,7.69,7.48,7.58,292907,0
2015-02-12,7.63,7.79,7.52,7.76,328933,0
2015-02-13,7.74,8.09,7.71,8.0,4407380,0
2015-02-17,8.05,8.235,7.82,7.98,2152063,0
2015-02-18,7.93,8.05,7.75,7.8,839861,0
2015-02-19,7.8,7.85,7.63,7.65,571395,0
2015-02-20,7.67,8.08,7.6,8.04,2479015,0
2015-02-23,8.0,8.13,7.91,8.08,879310,0
2015-02-24,8.1,8.4,8.1,8.39,1365536,0
2015-02-25,8.39,8.6,8.35,8.53,1502503,0
2015-02-26,8.51,8.74,8.5,8.71,854508,0
2015-02-27,8.67,9.065,8.66,8.98,1714342,0
2015-03-02,8.8,9.02,8.68,8.81,1076700,0
2015-03-03,8.66,8.89,8.52,8.59,1428500,0
2015-03-04,8.55,8.71,8.33,8.65,2067600,0
2015-03-05,8.68,8.96,8.52,8.85,1983600,0
2015-03-06,8.8,8.94,8.54,8.64,1146600,0
2015-03-09,8.67,8.76,8.52,8.71,2470500,0
2015-03-10,8.61,8.79,8.48,8.51,1648400,0
2015-03-11,8.55,8.85,8.51,8.83,1593800,0
2015-03-12,8.9,8.97,8.68,8.78,1463700,0
2015-03-13,8.63,8.79,8.58,8.73,1291500,0
2015-03-16,8.76,8.81,8.64,8.72,666400,0
2015-03-17,8.72,8.76,8.57,8.67,344000,0
2015-03-18,8.69,8.79,8.61,8.76,810400,0
2015-03-19,8.75,9.05,8.69,8.82,1332100,0
2015-03-20,8.9,9.13,8.87,8.99,1618500,0
2015-03-23,9.0,9.0,8.81,8.89,490800,0
2015-03-24,9.46,9.51,9.1,9.3,2776500,0
2015-03-25,9.36,9.49,9.08,9.11,908800,0
2015-03-26,9.1,9.25,8.94,9.22,1127000,0
2015-03-27,9.28,9.47,9.12,9.3,1130200,0
2015-03-30,9.37,9.49,9.25,9.31,846800,0
2015-03-31,9.33,9.42,9.18,9.3,1929517,0
2015-04-01,9.43,9.56,9.22,9.42,1819900,0
2015-04-02,9.22,9.78,9.22,9.74,1944500,0
2015-04-06,9.7,9.98,9.7,9.87,1664700,0
2015-04-07,9.89,9.96,9.7,9.71,755311,0
2015-04-08,9.71,9.85,9.6,9.7,1071200,0
2015-04-09,9.61,9.84,9.61,9.79,727898,0
2015-04-10,9.81,9.99,9.81,9.82,571100,0
2015-04-13,9.85,10.01,9.56,9.69,1209700,0
2015-04-14,9.67,9.72,9.42,9.53,810400,0
2015-04-15,9.59,9.66,9.34,9.36,1616169,0
2015-04-16,9.35,9.37,9.08,9.1,2472931,0
2015-04-17,9.06,9.11,8.94,9.0,1388400,0
2015-04-20,9.01,9.07,8.92,9.0,984823,0
2015-04-21,9.0,9.13,8.94,9.0,1023719,0
2015-04-22,9.0,9.11,8.97,9.0,718554,0
2015-04-23,9.01,9.3,9.0,9.22,801200,0
2015-04-24,9.21,9.3,9.11,9.115,545171,0
2015-04-27,9.15,9.31,8.94,9.0,803800,0
2015-04-28,8.99,9.11,8.77,8.95,922458,0
2015-04-29,8.91,8.98,8.72,8.78,703600,0
2015-04-30,8.72,8.98,8.09,8.13,2417200,0
2015-05-01,7.31,7.33,6.78,6.82,8996000,0
2015-05-04,6.69,7.0,6.61,7.0,4242400,0
2015-05-05,7.13,7.16,6.74,6.77,2049100,0
2015-05-06,6.8,6.84,6.47,6.57,1565112,0
2015-05-07,6.58,6.7,6.39,6.66,1573045,0
2015-05-08,6.75,6.79,6.42,6.47,3349600,0
2015-05-11,6.47,6.61,6.42,6.44,1432000,0
2015-05-12,6.44,6.4499,6.25,6.31,1447591,0
2015-05-13,6.32,6.37,5.9,6.19,3551569,0
2015-05-14,6.25,6.29,6.06,6.08,2014500,0
2015-05-15,6.1,6.24,6.094,6.165,1014299,0
2015-05-18,6.16,6.27,6.1,6.11,1112102,0
2015-05-19,6.19,6.25,6.12,6.21,1435168,0
2015-05-20,6.25,6.26,6.11,6.17,1084215,0
2015-05-21,6.16,6.19,6.07,6.13,1348400,0
2015-05-22,6.13,6.17,6.05,6.15,1242100,0
2015-05-26,6.41,6.44,5.96,5.99,2833478,0
2015-05-27,6.08,6.1,5.84,5.97,2028000,0
2015-05-28,6.04,6.14,5.93,6.12,1405389,0
2015-05-29,6.15,6.21,6.02,6.14,1739900,0
2015-06-01,6.15,6.3151,6.13,6.19,1927191,0
2015-06-02,6.19,6.22,6.12,6.18,1005864,0
2015-06-03,6.22,6.23,6.15,6.23,1194300,0
2015-06-04,6.21,6.29,6.12,6.2,917300,0
2015-06-05,6.22,6.42,6.11,6.35,1615000,0
2015-06-08,6.38,6.46,6.25,6.27,1148300,0
2015-06-09,6.3,6.4,6.2,6.38,1048083,0
2015-06-10,6.44,6.75,6.36,6.59,2141953,0
2015-06-11,6.63,6.822,6.57,6.66,1207159,0
2015-06-12,6.68,7.13,6.61,7.07,2585100,0
2015-06-15,7.11,7.15,6.92,6.98,1362000,0
2015-06-16,7.03,7.09,6.93,6.94,969300,0
2015-06-17,6.98,6.99,6.85,6.95,630800,0
2015-06-18,6.96,7.32,6.96,7.31,1153000,0
2015-06-19,7.35,7.43,7.01,7.13,1550100,0
2015-06-22,7.19,7.23,7.11,7.16,610100,0
2015-06-23,7.15,7.26,6.99,7.07,810288,0
2015-06-24,7.06,7.06,6.88,6.98,838100,0
2015-06-25,6.93,6.99,6.84,6.91,856900,0
2015-06-26,6.89,6.95,6.8,6.83,769600,0
2015-06-29,6.82,6.83,6.56,6.6,855800,0
2015-06-30,6.63,6.74,6.5401,6.74,740228,0
2015-07-01,6.79,6.83,6.49,6.58,1076800,0
2015-07-02,6.55,6.83,6.54,6.78,893200,0
2015-07-06,6.77,6.87,6.73,6.81,878000,0
2015-07-07,6.81,6.93,6.62,6.91,799400,0
2015-07-08,6.86,6.91,6.65,6.69,784500,0
2015-07-09,6.78,6.83,6.64,6.71,632300,0
2015-07-10,6.76,6.83,6.69,6.74,769700,0
2015-07-13,7.03,7.17,6.95,7.16,1507400,0
2015-07-14,7.26,7.368,7.04,7.08,1316195,0
2015-07-15,7.12,7.15,6.81,6.83,1048546,0
2015-07-16,6.83,6.98,6.83,6.91,828100,0
2015-07-17,6.89,6.89,6.79,6.83,306300,0
2015-07-20,6.84,6.84,6.66,6.74,434200,0
2015-07-21,6.79,6.84,6.67,6.84,390400,0
2015-07-22,6.79,6.88,6.76,6.81,291300,0
2015-07-23,6.81,6.83,6.6,6.74,665600,0
2015-07-24,6.71,6.72,6.58,6.62,660300,0
2015-07-27,6.62,6.67,6.33,6.49,729900,0
2015-07-28,6.54,6.6,6.34,6.6,813000,0
2015-07-29,6.6,6.69,6.47,6.67,302300,0
2015-07-30,6.66,6.74,6.42,6.47,640200,0
2015-07-31,6.51,6.53,6.36,6.38,648800,0
2015-08-03,6.36,6.43,6.17,6.33,668363,0
2015-08-04,6.36,6.55,6.33,6.52,792300,0
2015-08-05,6.51,6.59,6.42,6.48,508300,0
2015-08-06,6.51,6.53,6.25,6.3,361537,0
2015-08-07,6.26,6.45,6.18,6.39,735600,0
2015-08-10,6.41,6.6,6.38,6.58,383100,0
2015-08-11,6.56,6.67,6.49,6.6,537620,0
2015-08-12,6.53,6.6,6.42,6.49,985900,0
2015-08-13,6.46,6.56,6.13,6.22,948700,0
2015-08-14,6.18,6.32,6.16,6.23,464900,0
2015-08-17,6.2,6.23,6.07,6.16,867000,0
2015-08-18,6.15,6.2,5.92,5.93,1812000,0
2015-08-19,5.91,6.07,5.85,5.97,2531400,0
2015-08-20,5.9,6.04,5.65,5.84,1885500,0
2015-08-21,6.02,6.89,6.02,6.58,5482100,0
2015-08-24,6.33,6.55,6.05,6.31,1990413,0
2015-08-25,6.41,6.72,6.35,6.47,1667100,0
2015-08-26,6.54,6.54,6.2,6.42,1368900,0
2015-08-27,6.43,6.56,6.25,6.44,1318100,0
2015-08-28,6.43,6.85,6.38,6.77,1209900,0
2015-08-31,6.78,7.07,6.74,6.89,1582400,0
2015-09-01,6.8,6.9,6.62,6.65,743800,0
2015-09-02,6.7,6.71,6.48,6.64,821600,0
2015-09-03,6.64,6.84,6.52,6.66,1860800,0
2015-09-04,6.58,6.66,6.51,6.6,410500,0
2015-09-08,6.63,6.66,6.51,6.57,582300,0
2015-09-09,6.59,6.64,6.32,6.32,657400,0
2015-09-10,6.31,6.46,6.26,6.44,652390,0
2015-09-11,6.36,6.53,6.36,6.47,324400,0
2015-09-14,6.46,6.46,6.3,6.34,400100,0
2015-09-15,6.29,6.34,6.01,6.08,1087100,0
2015-09-16,6.1,6.19,5.92,6.11,1331500,0
2015-09-17,6.07,6.43,6.05,6.38,820693,0
2015-09-18,6.32,6.38,6.26,6.28,936700,0
2015-09-21,6.34,6.36,6.15,6.15,461200,0
2015-09-22,6.08,6.26,6.06,6.2,856200,0
2015-09-23,6.22,6.26,6.08,6.1,462754,0
2015-09-24,6.1,6.1,5.85,5.95,618795,0
2015-09-25,6.01,6.02,5.55,5.61,1149800,0
2015-09-28,5.56,5.57,5.14,5.19,1383640,0
2015-09-29,5.11,5.23,4.92,4.98,1223900,0
2015-09-30,4.98,5.05,4.87,4.99,1375500,0
2015-10-01,4.85,5.06,4.8,5.01,1606500,0
2015-10-02,4.99,5.29,4.91,5.29,1013800,0
2015-10-05,5.29,5.57,5.29,5.46,833726,0
2015-10-06,5.43,5.48,5.12,5.14,744000,0
2015-10-07,5.13,5.4,5.13,5.39,677824,0
2015-10-08,5.39,5.43,5.2,5.27,727000,0
2015-10-09,5.27,5.4,5.19,5.32,1221100,0
2015-10-12,5.31,5.35,5.18,5.28,534127,0
2015-10-13,5.35,5.49,5.23,5.26,722400,0
2015-10-14,5.29,5.44,5.21,5.23,544600,0
2015-10-15,5.28,5.38,5.21,5.38,594900,0
2015-10-16,5.4,5.57,5.32,5.52,621300,0
2015-10-19,5.52,5.64,5.36,5.46,697665,0
2015-10-20,5.45,5.59,5.33,5.38,855900,0
2015-10-21,5.39,5.51,5.29,5.42,704500,0
2015-10-22,5.4,5.56,5.2,5.27,1034100,0
2015-10-23,5.34,5.63,5.24,5.63,561800,0
2015-10-26,5.64,5.92,5.61,5.9,1048600,0
2015-10-27,5.85,6.07,5.82,6.0,1093600,0
2015-10-28,6.01,6.32,5.92,6.3,1031100,0
2015-10-29,6.25,6.3,5.89,5.92,1120400,0
2015-10-30,6.5,6.9,6.26,6.7,1982400,0
2015-11-02,6.7,7.1,6.67,6.99,1951381,0
2015-11-03,6.93,7.02,6.78,6.85,940491,0
2015-11-04,6.82,6.955,6.68,6.83,637269,0
2015-11-05,6.86,7.01,6.82,6.98,781400,0
2015-11-06,6.93,7.1,6.86,7.07,994000,0
2015-11-09,7.12,7.15,6.91,7.01,1316374,0
2015-11-10,7.15,7.48,7.08,7.46,1723100,0
2015-11-11,7.45,7.54,7.31,7.46,846900,0
2015-11-12,7.18,7.25,6.88,7.05,1427200,0
2015-11-13,7.01,7.14,6.92,7.07,621500,0
2015-11-16,7.03,7.13,6.88,6.97,723800,0
2015-11-17,7.0,7.0,6.8,6.83,669500,0
2015-11-18,6.82,7.02,6.67,6.72,1105500,0
2015-11-19,6.7,6.77,6.34,6.41,974200,0
2015-11-20,6.41,6.91,6.39,6.8,676500,0
2015-11-23,6.74,7.1,6.74,6.99,688000,0
2015-11-24,6.98,7.02,6.77,6.98,1429500,0
2015-11-25,6.99,7.01,6.84,6.86,354100,0
2015-11-27,6.86,7.09,6.82,7.03,230200,0
2015-11-30,7.03,7.17,6.96,7.04,665800,0
2015-12-01,6.95,7.24,6.8,7.22,769315,0
2015-12-02,7.2,7.24,7.09,7.12,393023,0
2015-12-03,7.12,7.13,6.8,6.82,470405,0
2015-12-04,6.82,6.99,6.64,6.81,480000,0
2015-12-07,6.83,6.83,6.62,6.72,499700,0
2015-12-08,6.68,6.94,6.63,6.85,435352,0
2015-12-09,6.84,6.91,6.61,6.66,342300,0
2015-12-10,6.64,6.72,6.57,6.67,334700,0
2015-12-11,6.56,6.63,6.3,6.37,532900,0
2015-12-14,6.34,6.47,6.33,6.43,438714,0
2015-12-15,6.49,6.65,6.37,6.63,610300,0
2015-12-16,6.72,6.91,6.66,6.89,549200,0
2015-12-17,6.89,7.18,6.87,7.09,858700,0
2015-12-18,7.05,7.18,7.0,7.14,1602100,0
2015-12-21,7.17,7.17,6.93,7.12,373100,0
2015-12-22,7.05,7.13,6.88,7.05,601138,0
2015-12-23,7.1,7.1,6.59,6.66,893300,0
2015-12-24,6.67,6.77,6.62,6.67,454067,0
2015-12-28,6.65,6.89,6.626,6.83,400872,0
2015-12-29,6.83,6.97,6.75,6.92,441491,0
2015-12-30,6.94,6.98,6.79,6.88,376288,0
2015-12-31,6.85,6.89,6.75,6.75,303436,0
2016-01-04,6.64,6.75,6.305,6.32,995321,0
2016-01-05,6.35,6.45,6.24,6.39,703695,0
2016-01-06,6.29,6.43,6.29,6.39,442862,0
2016-01-07,6.25,6.28,5.95,6.03,646476,0
2016-01-08,6.05,6.14,5.955,6.02,670144,0
2016-01-11,6.05,6.39,5.73,5.78,847756,0
2016-01-12,5.81,5.97,5.74,5.89,1289828,0
2016-01-13,5.9,6.03,5.759,5.82,883097,0
2016-01-14,5.89,5.98,5.79,5.79,837078,0
2016-01-15,5.66,5.74,5.43,5.65,759755,0
2016-01-19,5.71,5.86,5.58,5.61,921100,0
2016-01-20,5.53,5.96,5.355,5.92,1371039,0
2016-01-21,5.91,5.93,5.735,5.78,639017,0
2016-01-22,5.87,6.09,5.785,6.04,964107,0
2016-01-25,6.04,6.16,5.9,5.91,437766,0
2016-01-26,5.95,6.18,5.78,6.1,733932,0
2016-01-27,6.11,6.29,5.97,6.07,645871,0
2016-01-28,6.1,6.29,5.73,5.8,861415,0
2016-01-29,5.47,5.635,5.141,5.33,2066790,0
2016-02-01,5.27,6.18,5.26,6.12,2943661,0
2016-02-02,6.05,6.18,5.82,5.87,820633,0
2016-02-03,5.88,5.88,5.5,5.68,934491,0
2016-02-04,5.65,5.84,5.6001,5.62,317325,0
2016-02-05,5.58,5.59,5.31,5.34,691042,0
