Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,30.099,30.139,29.461,29.869,1332716,0
2015-01-05,29.208,30.004,28.743,28.936,3939108,0
2015-01-06,29.042,29.391,28.733,29.162,3172617,0
2015-01-07,29.441,29.76,29.285,29.663,1471357,0
2015-01-08,29.78,30.217,29.391,30.08,2636092,0
2015-01-09,30.08,30.625,29.936,30.625,4419831,0
2015-01-12,30.625,31.254,30.586,31.244,3540022,0
2015-01-13,31.323,31.439,30.625,31.051,1607175,0
2015-01-14,30.964,30.974,30.294,30.779,1294392,0
2015-01-15,30.497,31.002,30.257,30.41,1132564,0
2015-01-16,30.419,31.041,30.227,30.984,1180922,0
2015-01-20,30.799,31.022,30.129,30.751,1125134,0
2015-01-21,30.789,31.205,30.683,30.935,1500747,0
2015-01-22,30.974,31.11,30.605,31.071,953289,0
2015-01-23,31.1,31.507,30.954,31.138,842810,0
2015-01-26,31.138,31.342,30.799,31.244,667191,0
2015-01-27,31.002,31.09,30.702,30.895,737039,0
2015-01-28,31.051,31.186,30.799,30.836,883838,0
2015-01-29,30.856,31.186,30.643,31.176,593143,0
2015-01-30,30.993,31.041,30.324,30.372,1385952,0
2015-02-02,30.353,30.789,29.945,30.692,1917925,0
2015-02-03,30.895,31.186,30.751,31.022,798396,0
2015-02-04,31.002,31.574,30.905,31.313,1478753,0
2015-02-05,31.342,31.594,31.215,31.224,1123909,0
2015-02-06,31.224,31.672,30.769,30.974,1435481,0
2015-02-09,30.799,30.954,30.392,30.468,1610820,0
2015-02-10,30.372,30.905,30.042,30.856,4033806,0
2015-02-11,30.507,30.547,29.324,29.859,3891247,0
2015-02-12,29.727,29.952,29.368,29.875,3010129,0
2015-02-13,29.806,29.894,29.368,29.698,1555745,0
2015-02-17,29.66,29.66,29.212,29.406,1663448,0
2015-02-18,29.631,30.205,29.563,30.146,10454868,0
2015-02-19,30.175,30.322,29.806,29.855,2825301,0
2015-02-20,29.836,30.01,29.525,29.962,2202523,0
2015-02-23,29.865,30.146,29.796,30.049,1858089,0
2015-02-24,30.116,30.447,30.001,30.409,2379978,0
2015-02-25,30.37,31.051,30.332,30.963,5264360,0
2015-02-26,30.953,31.12,30.574,30.924,3113551,0
2015-02-27,30.894,31.002,30.623,30.778,2710834,0
2015-03-02,30.894,31.381,30.808,31.381,1746300,0
2015-03-03,31.284,31.653,30.993,31.575,3204051,0
2015-03-04,31.518,31.595,31.022,31.224,2936586,0
2015-03-05,31.323,31.42,31.166,31.333,1899210,0
2015-03-06,31.215,31.353,31.09,31.254,2090481,0
2015-03-09,31.274,31.693,31.205,31.653,1752057,0
2015-03-10,31.469,31.683,31.051,31.643,2534714,0
2015-03-11,31.614,31.722,31.333,31.633,2918590,0
2015-03-12,31.663,31.789,31.46,31.713,1919263,0
2015-03-13,31.08,31.643,31.061,31.333,2738940,0
2015-03-16,31.372,31.595,31.244,31.498,1543206,0
2015-03-17,31.391,31.575,31.274,31.42,1440271,0
2015-03-18,31.43,31.624,31.1,31.565,1388238,0
2015-03-19,31.546,31.77,31.176,31.303,1911757,0
2015-03-20,31.44,31.713,31.343,31.653,1500633,0
2015-03-23,31.508,31.693,31.071,31.186,3941359,0
2015-03-24,31.157,31.556,31.11,31.45,1665062,0
2015-03-25,31.537,31.537,31.032,31.11,1968520,0
2015-03-26,30.924,31.138,30.486,30.701,2419029,0
2015-03-27,30.662,30.944,30.466,30.701,1807895,0
2015-03-30,30.845,31.284,30.711,31.215,1236146,0
2015-03-31,31.12,31.148,30.682,30.76,1378777,0
2015-04-01,30.554,30.808,30.302,30.584,1530660,0
2015-04-02,30.603,30.788,30.332,30.535,1572615,0
2015-04-06,30.427,30.731,30.351,30.535,1704860,0
2015-04-07,30.525,30.603,30.02,30.175,1395221,0
2015-04-08,30.244,30.652,30.057,30.418,1297847,0
2015-04-09,30.466,30.711,30.195,30.282,1574442,0
2015-04-10,30.282,30.351,30.039,30.166,1746710,0
2015-04-13,30.166,30.195,29.806,29.806,1391528,0
2015-04-14,29.816,30.205,29.611,30.156,1678943,0
2015-04-15,30.166,30.418,29.631,30.029,2356049,0
2015-04-16,29.875,30.067,29.426,29.806,2140576,0
2015-04-17,29.689,29.913,29.466,29.601,1982301,0
2015-04-20,29.65,29.942,29.611,29.826,1222329,0
2015-04-21,30.096,30.486,30.067,30.126,2259112,0
2015-04-22,30.273,30.574,30.087,30.437,1591266,0
2015-04-23,30.361,30.825,30.361,30.594,1364688,0
2015-04-24,30.701,30.924,30.505,30.788,981125,0
2015-04-27,30.808,30.983,30.332,30.662,1189153,0
2015-04-28,30.554,30.554,30.205,30.39,986061,0
2015-04-29,30.312,30.312,29.756,29.972,990894,0
2015-04-30,29.708,30.126,29.621,29.884,1162521,0
2015-05-01,30.067,30.205,29.952,30.01,721987,0
2015-05-04,30.029,30.584,29.913,30.515,1060716,0
2015-05-05,30.427,30.437,30.001,30.195,1502793,0
2015-05-06,30.224,30.234,29.591,29.865,1247123,0
2015-05-07,29.904,30.292,29.786,30.214,1007730,0
2015-05-08,30.476,30.953,30.254,30.652,792736,0
2015-05-11,30.584,30.815,30.195,30.254,1590714,0
2015-05-12,30.146,30.495,29.826,30.39,1828625,0
2015-05-13,31.244,31.333,30.02,30.126,3425553,0
2015-05-14,30.244,31.293,30.234,30.875,2960851,0
2015-05-15,30.983,31.129,30.505,30.721,1389513,0
2015-05-18,30.832,31.038,30.531,30.911,1661650,0
2015-05-19,30.921,31.058,30.688,30.717,1473975,0
2015-05-20,30.756,31.545,30.6,31.029,3597000,0
2015-05-21,30.872,30.911,30.511,30.852,5496870,0
2015-05-22,30.882,31.145,30.832,30.98,2728283,0
2015-05-26,31.048,31.204,30.813,31.0,3333246,0
2015-05-27,31.048,31.194,30.804,30.911,2204142,0
2015-05-28,30.931,30.97,30.609,30.658,1688468,0
2015-05-29,30.717,30.872,30.307,30.57,8484199,0
2015-06-01,30.658,30.95,30.432,30.55,2259212,0
2015-06-02,30.541,30.852,30.442,30.727,1754280,0
2015-06-03,30.813,30.95,30.638,30.842,2089900,0
2015-06-04,30.822,30.901,30.638,30.717,1793424,0
2015-06-05,30.746,30.832,30.541,30.727,1274306,0
2015-06-08,30.717,30.804,30.395,30.521,935477,0
2015-06-09,30.511,30.609,30.356,30.56,1189491,0
2015-06-10,30.59,30.813,30.259,30.337,1894260,0
2015-06-11,30.395,30.531,30.071,30.111,1702607,0
2015-06-12,30.024,30.277,29.946,30.17,1635597,0
2015-06-15,30.111,30.249,29.976,30.219,2501131,0
2015-06-16,30.18,30.259,29.966,30.161,1357887,0
2015-06-17,30.219,30.337,29.995,30.287,1274306,0
2015-06-18,30.356,30.59,30.347,30.541,1501356,0
2015-06-19,30.422,30.96,30.385,30.882,2701210,0
2015-06-22,30.99,31.174,30.832,31.038,2039035,0
2015-06-23,31.097,31.194,30.941,31.097,1363433,0
2015-06-24,31.087,31.184,30.678,30.746,2376427,0
2015-06-25,30.813,30.931,30.609,30.774,2447088,0
2015-06-26,30.765,31.038,30.678,30.862,10271879,0
2015-06-29,30.629,30.804,30.442,30.56,4998573,0
2015-06-30,30.717,30.717,30.043,30.2,2575895,0
2015-07-01,30.422,30.813,30.337,30.521,4272402,0
2015-07-02,30.55,30.668,30.17,30.307,1664618,0
2015-07-06,30.141,30.452,30.131,30.413,1517560,0
2015-07-07,30.375,30.58,30.2,30.56,1911357,0
2015-07-08,30.404,30.59,30.131,30.21,1925816,0
2015-07-09,30.432,30.6,30.18,30.249,1978938,0
2015-07-10,30.395,30.813,30.259,30.804,1121812,0
2015-07-13,31.058,31.272,31.0,31.174,1327020,0
2015-07-14,31.097,31.379,30.822,31.37,1680191,0
2015-07-15,31.379,31.389,31.019,31.154,718781,0
2015-07-16,31.272,31.37,31.164,31.321,863999,0
2015-07-17,31.331,31.379,31.0,31.213,619105,0
2015-07-20,31.272,31.351,31.145,31.242,670995,0
2015-07-21,31.223,31.331,30.931,31.029,569675,0
2015-07-22,31.038,31.613,30.774,31.584,1071357,0
2015-07-23,31.584,31.652,31.164,31.194,1546684,0
2015-07-24,31.282,31.321,30.872,31.0,1144271,0
2015-07-27,30.901,30.95,30.317,30.442,1058230,0
2015-07-28,30.531,30.852,30.472,30.852,796621,0
2015-07-29,30.862,31.399,30.765,31.204,1258924,0
2015-07-30,31.097,31.204,30.941,30.96,1465668,0
2015-07-31,31.097,31.409,30.97,31.029,1439210,0
2015-08-03,31.058,31.828,30.97,31.779,2008654,0
2015-08-04,31.897,31.926,31.506,31.564,844718,0
2015-08-05,31.564,32.033,31.438,31.721,1350912,0
2015-08-06,31.759,31.779,31.291,31.341,798588,0
2015-08-07,31.291,31.603,31.078,31.545,1238207,0
2015-08-10,31.613,31.955,31.379,31.486,1487100,0
2015-08-11,31.331,31.564,31.097,31.291,996399,0
2015-08-12,30.96,31.117,29.711,30.804,2463188,0
2015-08-13,31.087,31.73,30.941,31.272,3762208,0
2015-08-14,31.367,31.991,31.209,31.982,1363746,0
2015-08-17,31.406,31.914,31.406,31.767,2259478,0
2015-08-18,31.953,32.638,31.699,32.51,8920395,0
2015-08-19,32.44,33.029,32.296,32.746,5715480,0
2015-08-20,32.325,32.431,31.855,31.895,2682388,0
2015-08-21,31.6,31.904,31.474,31.533,3141811,0
2015-08-24,27.67,30.732,27.466,30.036,3784385,0
2015-08-25,30.663,30.722,29.812,29.832,2782618,0
2015-08-26,30.398,30.426,29.273,30.36,3198881,0
2015-08-27,30.623,31.278,30.379,31.268,2149633,0
2015-08-28,31.219,31.219,30.732,30.896,1425725,0
2015-08-31,30.817,30.827,30.456,30.643,2284330,0
2015-09-01,30.144,30.476,29.939,30.193,1634366,0
2015-09-02,30.456,30.633,30.173,30.564,1344825,0
2015-09-03,30.663,30.827,30.486,30.643,965381,0
2015-09-04,30.389,30.535,30.124,30.261,405013,0
2015-09-08,30.887,32.188,30.535,30.896,940018,0
2015-09-09,31.113,31.297,30.486,30.525,1198775,0
2015-09-10,30.535,30.896,30.379,30.564,805335,0
2015-09-11,30.486,31.034,30.341,30.985,1275992,0
2015-09-14,30.975,30.975,30.535,30.683,1782258,0
2015-09-15,30.761,30.945,30.291,30.702,1844748,0
2015-09-16,30.643,31.054,30.476,30.916,1123193,0
2015-09-17,30.896,31.435,30.751,31.19,1194684,0
2015-09-18,30.857,31.228,30.837,30.965,1536387,0
2015-09-21,31.209,31.347,30.867,31.122,886936,0
