Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,7.9,8.45,7.9,8.3,279233,0
2015-01-05,8.24,8.38,8.01,8.19,20030,0
2015-01-06,8.2,8.45,7.6,7.66,66529,0
2015-01-07,7.7,7.72,6.93,7.06,39630,0
2015-01-08,7.07,7.07,6.55,6.66,22802,0
2015-01-09,6.71,6.75,6.6,6.66,14703,0
2015-01-12,6.63,6.66,6.51,6.56,16900,0
2015-01-13,6.62,6.71,6.5,6.71,69304,0
2015-01-14,6.68,7.33,6.68,7.19,34876,0
2015-01-15,7.25,7.53,7.0,7.05,27023,0
2015-01-16,7.04,7.33,7.04,7.32,9620,0
2015-01-20,7.49,7.79,7.27,7.54,56537,0
2015-01-21,7.51,7.57,7.08,7.13,30544,0
2015-01-22,7.2,7.74,7.2,7.6,90954,0
2015-01-23,7.57,7.88,7.51,7.69,16270,0
2015-01-26,7.73,8.0,7.73,7.93,6293,0
2015-01-27,7.68,7.78,7.4,7.58,27827,0
2015-01-28,7.39,7.71,7.34,7.67,14859,0
2015-01-29,7.66,7.76,7.4,7.64,29021,0
2015-01-30,7.73,8.0,7.41,7.66,41904,0
2015-02-02,7.63,7.72,7.5,7.7,12049,0
2015-02-03,7.82,7.99,7.65,7.84,179307,0
2015-02-04,7.79,7.93,7.59,7.78,67163,0
2015-02-05,7.75,8.1,7.75,8.03,28573,0
2015-02-06,8.05,8.15,7.79,8.09,28184,0
2015-02-09,8.14,8.14,7.98,8.0,7745,0
2015-02-10,8.0,8.0,7.56,7.91,22734,0
2015-02-11,7.86,7.96,7.71,7.92,4504,0
2015-02-12,7.84,8.38,7.81,8.04,11189,0
2015-02-13,8.06,8.09,7.88,7.96,11697,0
2015-02-17,8.3,8.5,8.22,8.32,37770,0
2015-02-18,8.38,8.49,8.15,8.24,18641,0
2015-02-19,8.3,8.46,8.25,8.36,15826,0
2015-02-20,8.44,8.44,7.81,7.85,13300,0
2015-02-23,7.91,8.58,7.88,8.49,42231,0
2015-02-24,8.26,8.33,7.5,7.78,48212,0
2015-02-25,7.96,8.02,7.89,7.93,8458,0
2015-02-26,8.0,8.0,7.82,7.97,4791,0
2015-02-27,8.0,8.28,7.93,7.93,18342,0
2015-03-02,8.0,8.1,7.9,8.09,100100,0
