Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,5.25,5.5845,5.25,5.5,3600,0
2015-01-05,5.3,5.3,5.3,5.3,1226,0
2015-01-06,5.33,5.5,5.33,5.45,1870,0
2015-01-07,5.59,5.59,5.3,5.35,5508,0
2015-01-08,5.5,5.59,5.5,5.58,9944,0
2015-01-09,5.58,5.64,5.56,5.6299,11750,0
2015-01-12,5.63,5.63,5.54,5.55,1405,0
2015-01-13,5.55,5.57,5.55,5.57,335,0
2015-01-14,5.54,5.64,5.3,5.52,8818,0
2015-01-15,5.55,5.55,5.55,5.55,240,0
2015-01-16,5.38,5.4,5.35,5.35,4710,0
2015-01-20,5.31,5.58,5.3,5.3001,10215,0
2015-01-21,5.58,5.58,5.4,5.4487,22042,0
2015-01-22,5.38,5.462,5.35,5.35,15371,0
2015-01-23,5.51,5.51,5.46,5.46,8228,0
2015-01-26,5.5,5.5,5.45,5.5,3472,0
2015-01-27,5.38,5.52,5.29,5.52,9538,0
2015-01-28,5.3601,5.49,5.3601,5.47,3197,0
2015-01-29,5.51,5.51,5.49,5.5,1015,0
2015-01-30,5.5,5.5,5.48,5.49,2606,0
2015-02-02,5.47,5.54,5.45,5.52,6994,0
2015-02-03,5.52,5.68,5.52,5.68,11633,0
2015-02-04,5.6,5.74,5.5801,5.7278,6818,0
2015-02-05,5.72,5.76,5.5901,5.74,2512,0
2015-02-06,5.81,5.93,5.78,5.93,14600,0
2015-02-09,5.92,5.9399,5.8,5.91,5690,0
2015-02-10,5.92,5.94,5.88,5.9,3863,0
2015-02-11,5.9,5.94,5.9,5.9,1798,0
2015-02-12,5.9001,6.04,5.9001,5.99,8682,0
2015-02-13,6.09,6.09,5.92,6.02,2025,0
2015-02-17,6.09,6.11,6.09,6.09,1201,0
2015-02-18,6.09,6.1,6.0,6.01,956,0
2015-02-19,5.901,5.95,5.901,5.95,578,0
2015-02-20,5.86,5.9999,5.86,5.93,3893,0
2015-02-23,5.8,5.99,5.79,5.99,4670,0
2015-02-24,5.9333,5.9333,5.82,5.873,7288,0
2015-02-25,5.91,5.95,5.91,5.94,1122,0
2015-02-26,5.9,6.0,5.88,5.96,7186,0
2015-02-27,5.709,5.95,5.709,5.95,832,0
2015-03-02,5.81,5.89,5.69,5.83,4000,0
2015-03-03,5.68,5.7,5.68,5.7,500,0
2015-03-04,5.73,5.73,5.72,5.72,1400,0
2015-03-05,5.72,5.96,5.71,5.96,2700,0
2015-03-06,5.94,6.0,5.71,5.99,11100,0
2015-03-09,5.99,6.05,5.95,6.05,2000,0
2015-03-10,6.05,6.05,6.05,6.05,200,0
2015-03-11,5.72,6.1,5.72,6.03,3500,0
2015-03-12,6.07,6.11,5.78,6.11,9800,0
2015-03-13,5.95,5.95,5.95,5.95,500,0
2015-03-16,5.95,6.0,5.95,5.97,4400,0
2015-03-17,5.95,6.0,5.95,6.0,37600,0
2015-03-18,6.0,6.08,6.0,6.08,5600,0
2015-03-19,6.08,6.08,6.05,6.05,500,0
2015-03-20,6.08,6.08,6.04,6.04,800,0
2015-03-23,6.02,6.03,6.02,6.03,500,0
2015-03-24,5.94,6.04,5.94,6.04,4200,0
2015-03-25,5.9,5.98,5.6,5.64,131300,0
2015-03-26,5.7,5.7,5.51,5.56,80500,0
2015-03-27,5.52,5.62,5.52,5.53,1400,0
2015-03-30,5.59,6.0,5.55,5.9,7100,0
2015-03-31,5.78,5.96,5.742,5.76,7042,0
2015-04-01,5.7,5.94,5.66,5.92,7800,0
2015-04-02,5.9,5.9,5.64,5.66,400,0
2015-04-06,6.08,6.08,5.66,5.67,1100,0
2015-04-07,5.72,5.72,5.5375,5.6,14557,0
2015-04-08,6.0,6.0,5.58,5.58,3300,0
2015-04-09,5.92,5.92,5.61,5.61,801,0
2015-04-10,5.73,5.73,5.58,5.67,700,0
2015-04-14,5.65,5.89,5.65,5.66,4100,0
2015-04-15,5.66,5.72,5.65,5.7,2651,0
2015-04-16,5.55,5.65,5.55,5.57,445,0
2015-04-17,5.6,5.65,5.55,5.6,14100,0
2015-04-20,5.65,5.65,5.311,5.51,18714,0
2015-04-21,5.52,5.65,5.4,5.59,3318,0
2015-04-23,5.12,5.41,5.12,5.4,45600,0
2015-04-27,5.47,5.49,5.21,5.48,3600,0
2015-04-28,5.48,5.48,5.48,5.48,1600,0
2015-04-30,5.4,5.41,5.4,5.4,1800,0
2015-05-01,5.4,5.6,5.4,5.6,10700,0
2015-05-04,5.5,5.64,5.5,5.5,2200,0
2015-05-05,5.5,5.83,5.5,5.58,1500,0
2015-05-06,5.6203,5.6203,5.5,5.5,9480,0
2015-05-07,5.22,5.44,5.22,5.43,4875,0
2015-05-08,5.8,5.8,5.79,5.79,300,0
2015-05-11,5.78,5.78,5.18,5.7,1400,0
2015-05-12,5.7664,5.7664,5.7664,5.7664,215,0
2015-05-13,5.48,5.5,5.48,5.5,5133,0
2015-05-14,5.39,5.59,5.39,5.59,2200,0
2015-05-15,5.6,5.73,5.56,5.73,16971,0
2015-05-20,5.74,5.92,5.73,5.83,16400,0
2015-05-21,5.85,5.92,5.8,5.9,7600,0
2015-05-22,5.95,6.2,5.95,6.19,16800,0
2015-05-26,6.1,6.1473,6.05,6.05,23707,0
2015-05-27,6.08,6.18,6.06,6.06,15400,0
2015-05-28,6.05,6.05,6.0,6.05,6403,0
2015-05-29,5.99,6.1,5.99,6.09,3700,0
2015-06-01,6.04,6.19,6.04,6.16,48187,0
2015-06-02,6.185,6.19,6.1501,6.19,4109,0
2015-06-03,6.19,6.39,6.15,6.34,34900,0
2015-06-04,6.34,6.34,6.12,6.24,1700,0
2015-06-05,6.24,6.31,6.19,6.31,19300,0
2015-06-08,6.34,6.34,6.31,6.31,1200,0
2015-06-09,6.2,6.21,6.2,6.21,2027,0
2015-06-10,6.25,6.33,6.25,6.33,406,0
2015-06-11,6.25,6.25,6.25,6.25,202,0
2015-06-12,6.28,6.32,6.11,6.11,2400,0
2015-06-15,6.08,6.17,6.08,6.12,600,0
2015-06-16,6.15,6.15,6.07,6.07,400,0
2015-06-17,6.08,6.14,6.06,6.07,600,0
2015-06-18,6.06,6.1,6.06,6.1,2600,0
2015-06-19,6.06,6.18,6.06,6.18,1000,0
2015-06-22,6.18,6.18,6.18,6.18,100,0
2015-06-23,6.17,6.25,6.13,6.13,8308,0
2015-06-24,6.11,6.24,6.06,6.11,3400,0
2015-06-25,6.08,6.11,6.08,6.11,1900,0
2015-06-26,6.12,6.15,6.11,6.15,1700,0
2015-06-29,6.13,6.14,6.08,6.1,3500,0
2015-06-30,6.1001,6.1216,6.058,6.065,3653,0
2015-07-01,6.06,6.06,5.91,5.92,12100,0
