Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,24.3,24.3,19.5,21.0,45759,0
2015-01-05,21.0,21.748,19.5,20.85,27737,0
2015-01-06,20.4,21.448,19.5,19.95,22683,0
2015-01-07,21.0,21.0,18.751,19.05,29854,0
2015-01-08,19.05,19.35,17.85,18.0,30269,0
2015-01-09,17.55,19.59,17.025,18.15,23183,0
2015-01-12,18.6,20.25,17.7,18.45,35140,0
2015-01-13,19.35,20.4,17.85,19.05,33620,0
2015-01-14,18.624,18.624,18.0,18.15,14518,0
2015-01-15,17.85,19.8,17.55,18.45,32176,0
2015-01-16,18.3,18.45,17.7,17.851,6423,0
2015-01-20,18.21,18.21,17.55,17.925,14412,0
2015-01-21,17.55,18.45,17.55,18.45,10422,0
2015-01-22,18.3,18.75,17.55,18.45,13714,0
2015-01-23,18.3,18.45,17.85,18.45,4606,0
2015-01-26,18.3,19.35,17.7,18.3,9733,0
2015-01-27,18.15,18.6,17.85,18.3,3994,0
2015-01-28,18.3,18.45,17.7,18.15,6790,0
2015-01-29,18.15,19.5,17.85,18.15,23702,0
2015-01-30,18.0,18.661,16.8,17.55,11774,0
2015-02-02,17.55,18.45,17.251,18.45,7982,0
2015-02-03,18.99,19.2,17.701,18.3,6853,0
2015-02-04,18.0,18.3,17.551,17.925,2644,0
2015-02-05,17.7,18.3,16.95,17.85,6364,0
2015-02-06,17.55,18.15,17.25,17.85,2458,0
2015-02-09,21.3,27.9,21.15,22.8,624127,0
2015-02-10,22.5,23.25,20.4,21.45,87298,0
2015-02-11,21.9,22.5,20.55,21.15,19991,0
2015-02-12,21.3,25.35,20.55,23.4,90143,0
2015-02-13,26.1,29.4,24.45,25.05,405911,0
2015-02-17,25.95,29.25,24.751,28.05,144068,0
2015-02-18,30.75,30.75,27.0,27.9,75453,0
2015-02-19,27.75,28.05,26.25,26.7,33358,0
2015-02-20,27.0,27.0,24.3,24.6,38432,0
2015-02-23,24.45,25.798,23.1,25.35,31307,0
2015-02-24,25.2,25.8,24.15,24.45,12256,0
2015-02-25,24.0,25.8,23.551,24.0,31867,0
2015-02-26,33.75,39.75,29.55,29.85,1458210,0
2015-02-27,32.25,33.45,28.5,28.8,221727,0
2015-03-02,28.8,31.35,27.0,30.45,93553,0
2015-03-03,30.6,31.2,28.2,29.4,43993,0
2015-03-04,34.65,36.75,30.0,30.45,218833,0
