Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.01,11.11,10.79,10.82,9735680,0
2015-01-05,10.6,10.77,10.37,10.76,12312712,0
2015-01-06,10.8,10.85,10.44,10.62,10173325,0
2015-01-07,10.7,10.8,10.48,10.67,10277304,0
2015-01-08,10.75,10.78,10.57,10.63,6869753,0
2015-01-09,10.59,10.65,10.28,10.38,7732830,0
2015-01-12,10.36,10.37,10.02,10.12,7739427,0
2015-01-13,10.05,10.23,9.68,9.71,15292536,0
2015-01-14,9.61,12.63,9.32,12.6,83180681,0
2015-01-15,10.35,10.71,10.01,10.1,52551687,0
2015-01-16,10.12,10.39,10.11,10.24,16067966,0
2015-01-20,10.28,10.37,9.82,10.02,15261057,0
2015-01-21,10.03,10.38,9.81,9.93,19716394,0
2015-01-22,10.45,11.11,10.24,10.51,47481641,0
2015-01-23,10.78,11.03,10.61,10.705,20604070,0
2015-01-26,10.67,10.71,10.4,10.52,6980361,0
2015-01-27,10.38,10.63,10.32,10.56,7035776,0
2015-01-28,10.65,10.67,10.1,10.12,9900864,0
2015-01-29,10.05,10.27,9.85,10.25,12291477,0
2015-01-30,10.14,10.26,10.0,10.15,9201202,0
2015-02-02,10.14,10.22,9.86,10.07,10192873,0
2015-02-03,10.06,10.16,9.9,9.93,9213335,0
2015-02-04,9.85,9.99,9.81,9.88,9253365,0
2015-02-05,9.92,10.1,9.89,10.09,7936484,0
2015-02-06,10.07,10.16,9.9,9.98,6808594,0
2015-02-09,9.93,10.07,9.86,9.87,6016966,0
2015-02-10,9.96,9.98,9.83,9.91,4746375,0
2015-02-11,9.91,9.92,9.76,9.87,5933979,0
2015-02-12,9.88,10.05,9.83,9.86,5773117,0
2015-02-13,9.89,10.09,9.85,10.09,11282377,0
2015-02-17,10.14,10.47,10.1,10.36,8488577,0
2015-02-18,10.38,10.48,10.26,10.37,5420506,0
2015-02-19,10.29,10.44,10.26,10.36,3348204,0
2015-02-20,10.38,10.38,10.11,10.27,5237820,0
2015-02-23,10.21,10.24,10.06,10.11,3908385,0
