Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,41.864,42.226,41.096,41.714,210529,0
2015-01-05,41.62,42.076,40.962,41.697,333932,0
2015-01-06,41.847,42.111,40.702,41.261,401618,0
2015-01-07,41.776,41.92,41.143,41.759,596708,0
2015-01-08,41.928,43.715,41.809,43.31,1122097,0
2015-01-09,43.431,43.462,42.893,43.264,449886,0
2015-01-12,43.493,44.402,43.328,44.356,618447,0
2015-01-13,44.38,44.764,40.994,41.822,886557,0
2015-01-14,41.196,41.59,40.636,40.905,774377,0
2015-01-15,40.878,41.298,40.226,40.753,465410,0
2015-01-16,40.603,42.164,40.468,42.067,408113,0
2015-01-20,42.057,42.091,40.11,40.243,622159,0
2015-01-21,40.226,40.87,39.792,40.644,353286,0
2015-01-22,40.986,42.081,40.586,41.791,385316,0
2015-01-23,41.791,42.173,41.489,42.117,258724,0
2015-01-26,41.965,42.549,41.556,42.517,276517,0
2015-01-27,42.164,43.095,41.791,42.925,259122,0
2015-01-28,43.068,43.211,42.031,42.074,388692,0
2015-01-29,42.267,43.117,41.822,42.977,374720,0
2015-01-30,42.643,43.101,41.933,42.451,434828,0
2015-02-02,42.532,42.835,41.53,42.685,338631,0
2015-02-03,42.842,43.22,42.375,43.168,243205,0
2015-02-04,42.751,43.812,42.751,43.688,325633,0
2015-02-05,43.703,44.64,41.681,42.3,488740,0
2015-02-06,42.259,42.557,41.345,41.538,364095,0
2015-02-09,41.204,41.948,41.129,41.262,261796,0
2015-02-10,41.725,41.889,41.096,41.59,194527,0
2015-02-11,41.59,42.141,41.424,41.564,147977,0
2015-02-12,41.739,41.739,40.954,41.581,150422,0
2015-02-13,41.664,41.865,40.861,41.447,240446,0
2015-02-17,41.23,41.364,40.628,41.289,211148,0
2015-02-18,41.088,42.333,41.088,41.463,273233,0
2015-02-19,41.415,41.646,41.262,41.379,123311,0
2015-02-20,41.454,41.725,41.088,41.505,351103,0
2015-02-23,41.599,41.916,41.514,41.791,176185,0
2015-02-24,41.838,42.223,41.556,41.715,137285,0
2015-02-25,41.53,41.715,40.979,41.547,184771,0
2015-02-26,41.547,42.039,41.145,41.564,161335,0
2015-02-27,41.624,42.626,41.624,42.039,170775,0
2015-03-02,42.031,43.278,41.881,43.028,296963,0
2015-03-03,42.809,43.028,41.933,42.667,290026,0
2015-03-04,42.751,43.22,42.34,42.85,256284,0
2015-03-05,42.643,42.643,40.21,40.486,585193,0
2015-03-06,40.3,40.896,39.633,40.06,276623,0
2015-03-09,40.01,40.828,40.01,40.677,295408,0
