Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,2.69,2.69,2.605,2.66,60043,0
2015-01-05,2.67,2.69,2.6,2.6,84947,0
2015-01-06,2.6,2.65,2.46,2.46,98888,0
2015-01-07,2.55,2.56,2.4,2.45,97777,0
2015-01-08,2.46,2.5,2.4135,2.45,100287,0
2015-01-09,2.43,2.45,2.35,2.36,76088,0
2015-01-12,2.37,2.45,2.31,2.38,65193,0
2015-01-13,2.42,2.44,2.38,2.42,71552,0
2015-01-14,2.39,2.44,2.39,2.41,15481,0
2015-01-15,2.45,2.45,2.25,2.28,141792,0
2015-01-16,2.27,2.39,2.13,2.37,155841,0
2015-01-20,2.38,2.4,2.35,2.35,35357,0
2015-01-21,2.34,2.36,2.27,2.29,54837,0
2015-01-22,2.29,2.38,2.2201,2.37,71031,0
2015-01-23,2.38,2.4,2.3599,2.36,22723,0
2015-01-26,2.34,2.45,2.3201,2.45,91582,0
2015-01-27,2.45,2.45,2.39,2.39,92632,0
2015-01-28,2.41,2.45,2.24,2.25,146076,0
2015-01-29,2.25,2.35,2.22,2.35,41909,0
2015-01-30,2.3,2.4,2.26,2.26,80344,0
2015-02-02,2.26,2.31,2.24,2.3,35050,0
2015-02-03,2.32,2.39,2.32,2.38,47113,0
2015-02-04,2.36,2.41,2.3272,2.36,114820,0
2015-02-05,2.35,2.39,2.33,2.38,45514,0
2015-02-06,2.38,2.41,2.34,2.38,93717,0
2015-02-09,2.41,2.41,2.3,2.31,74746,0
2015-02-10,2.32,2.4,2.31,2.34,40862,0
2015-02-11,2.35,2.35,2.25,2.27,32428,0
2015-02-12,2.28,2.29,2.24,2.25,37990,0
2015-02-13,2.26,2.28,2.21,2.23,62003,0
2015-02-17,2.22,2.22,2.15,2.15,101313,0
2015-02-18,2.12,2.2496,2.12,2.21,66932,0
2015-02-19,2.2,2.22,2.05,2.07,96426,0
2015-02-20,2.09,2.32,2.05,2.13,179666,0
2015-02-23,2.1,2.11,2.0601,2.08,42902,0
2015-02-24,2.06,2.0862,1.9872,2.0,146801,0
2015-02-25,2.0,2.03,1.95,1.95,63489,0
2015-02-26,1.96,2.09,1.96,2.0,139119,0
2015-02-27,1.95,1.99,1.85,1.85,170648,0
2015-03-02,1.84,1.86,1.69,1.7,370300,0
2015-03-03,1.7,1.83,1.6,1.69,394600,0
2015-03-04,1.69,1.84,1.67,1.75,92500,0
2015-03-05,1.76,1.9,1.75,1.81,113100,0
2015-03-06,1.8,1.95,1.73,1.75,195400,0
2015-03-09,1.76,1.79,1.75,1.76,35800,0
2015-03-10,1.9,1.91,1.73,1.75,78200,0
2015-03-11,1.76,1.79,1.68,1.69,85000,0
2015-03-12,1.7,1.83,1.7,1.81,78400,0
2015-03-13,1.82,1.89,1.7,1.73,53300,0
2015-03-16,1.75,1.83,1.73,1.79,74400,0
2015-03-17,1.76,1.8,1.75,1.79,38900,0
2015-03-18,1.79,1.81,1.71,1.79,48500,0
2015-03-19,1.8,1.83,1.77,1.79,64900,0
2015-03-20,1.8,1.8,1.75,1.77,147200,0
2015-03-23,1.77,1.8,1.77,1.79,46300,0
2015-03-24,1.8,1.8,1.78,1.79,59200,0
2015-03-25,1.78,1.8,1.67,1.67,80600,0
2015-03-26,1.67,1.75,1.67,1.7,73500,0
2015-03-27,1.69,1.82,1.68,1.79,127200,0
2015-03-30,1.79,1.8,1.72,1.75,72900,0
2015-03-31,1.75,1.8,1.73,1.8,64000,0
2015-04-01,1.8,1.81,1.7,1.79,92700,0
2015-04-02,1.76,1.77,1.72,1.77,38000,0
2015-04-06,1.75,1.8,1.72,1.73,77300,0
2015-04-07,1.72,1.8,1.71,1.72,161163,0
2015-04-08,1.7,1.77,1.7,1.76,45800,0
2015-04-09,1.73,1.79,1.68,1.69,81474,0
2015-04-10,1.74,1.76,1.69,1.73,49500,0
2015-04-13,1.73,1.74,1.65,1.66,54700,0
2015-04-14,1.66,1.67,1.6,1.61,78300,0
2015-04-15,1.63,1.64,1.55,1.61,110222,0
2015-04-16,1.62,1.63,1.45,1.56,140494,0
2015-04-17,1.5,1.55,1.44,1.44,169200,0
2015-04-20,1.45,1.46,1.37,1.4,153220,0
2015-04-21,1.39,1.39,1.21,1.29,320284,0
2015-04-22,1.28,1.4,1.28,1.37,147573,0
2015-04-23,1.38,1.56,1.38,1.44,305500,0
2015-04-24,1.46,1.49,1.43,1.43,96500,0
2015-04-27,1.42,1.45,1.34,1.36,177600,0
2015-04-28,1.45,1.54,1.35,1.36,596000,0
2015-04-29,1.43,2.03,1.4,1.76,4979700,0
2015-04-30,1.69,1.74,1.55,1.55,661400,0
2015-05-01,1.55,1.57,1.43,1.45,400500,0
2015-05-04,1.47,1.47,1.36,1.37,316500,0
2015-05-05,1.37,1.39,1.3,1.33,393200,0
2015-05-06,1.34,1.375,1.26,1.27,230811,0
2015-05-07,1.29,1.31,1.23,1.25,273328,0
2015-05-08,1.27,1.27,1.17,1.25,288400,0
2015-05-11,1.22,1.25,1.17,1.18,233900,0
2015-05-12,1.18,1.25,0.99,1.12,547714,0
2015-05-13,1.1,1.25,1.08,1.24,193400,0
2015-05-14,1.26,1.34,1.22,1.27,156300,0
2015-05-15,1.26,1.27,1.2,1.24,144345,0
2015-05-18,1.28,1.32,1.26,1.3,175213,0
2015-05-19,1.28,1.32,1.25,1.28,176600,0
2015-05-20,1.29,1.3,1.2,1.3,224800,0
2015-05-21,1.36,1.36,1.21,1.29,254100,0
2015-05-22,1.28,1.34,1.23,1.29,143500,0
2015-05-26,1.25,1.59,1.24,1.41,751198,0
2015-05-27,1.38,1.45,1.31,1.34,258000,0
2015-05-28,1.37,1.37,1.28,1.28,127055,0
2015-05-29,1.26,1.27,1.2,1.2,258600,0
2015-06-01,1.21,1.21,1.14,1.17,192900,0
2015-06-02,1.17,1.21,1.15,1.2,120524,0
2015-06-03,1.2,1.29,1.2,1.26,149400,0
2015-06-04,1.26,1.29,1.21,1.23,77300,0
2015-06-05,1.24,1.28,1.2,1.22,131800,0
2015-06-08,1.22,1.25,1.18,1.18,89800,0
2015-06-09,1.16,1.23,1.15,1.16,100286,0
2015-06-10,1.2,1.27,1.18,1.26,132323,0
2015-06-11,1.24,1.308,1.22,1.26,60041,0
2015-06-12,1.27,1.29,1.21,1.25,92700,0
2015-06-15,1.3,1.3,1.2,1.22,125600,0
2015-06-16,1.2,1.28,1.2,1.2,84000,0
2015-06-17,1.22,1.25,1.17,1.19,110200,0
2015-06-18,1.21,1.25,1.16,1.23,123600,0
2015-06-19,1.26,1.26,1.23,1.25,219400,0
2015-06-22,1.28,1.41,1.25,1.4,354300,0
2015-06-23,1.35,1.42,1.32,1.4,197534,0
2015-06-24,1.4,1.46,1.35,1.44,233000,0
2015-06-25,1.44,1.59,1.3,1.37,645400,0
2015-06-26,1.4,1.4,1.07,1.28,9919300,0
2015-06-29,1.21,1.23,1.04,1.09,564000,0
2015-06-30,1.09,1.27,1.09,1.15,348188,0
2015-07-01,1.16,1.19,1.08,1.11,183800,0
2015-07-02,1.12,1.21,1.11,1.2,153300,0
2015-07-06,1.2,1.2,1.1,1.1,181500,0
2015-07-07,1.15,1.21,1.1,1.21,119900,0
2015-07-08,1.2,1.21,1.13,1.15,95400,0
2015-07-09,1.14,1.22,1.13,1.17,131000,0
2015-07-10,1.22,1.24,1.21,1.22,70300,0
2015-07-13,1.23,1.34,1.18,1.32,148500,0
2015-07-14,1.34,1.3899,1.26,1.36,110853,0
2015-07-15,1.36,1.36,1.28,1.34,118694,0
2015-07-16,1.31,1.37,1.3,1.31,66600,0
2015-07-17,1.3,1.36,1.25,1.26,119600,0
2015-07-20,1.25,1.29,1.2,1.27,62500,0
2015-07-21,1.3,1.3,1.22,1.22,53500,0
2015-07-22,1.22,1.28,1.22,1.27,34800,0
2015-07-23,1.25,1.3,1.18,1.18,73100,0
2015-07-24,1.2,1.25,1.19,1.21,50300,0
2015-07-27,1.2,1.22,1.19,1.19,62100,0
2015-07-28,1.19,1.27,1.19,1.2,53200,0
2015-07-29,1.21,1.24,1.19,1.19,41800,0
2015-07-30,1.19,1.25,1.19,1.24,31500,0
2015-07-31,1.27,1.4,1.25,1.28,184800,0
2015-08-03,1.25,1.44,1.25,1.29,86770,0
2015-08-04,1.33,1.39,1.26,1.28,83100,0
2015-08-05,1.27,1.31,1.27,1.28,47500,0
2015-08-06,1.27,1.3076,1.22,1.25,151376,0
2015-08-07,1.23,1.26,1.16,1.21,217900,0
2015-08-10,1.2,1.24,1.15,1.21,103700,0
2015-08-11,1.21,1.24,1.135,1.22,153658,0
2015-08-12,1.2,1.22,1.15,1.18,79900,0
2015-08-13,1.18,1.2,1.18,1.19,29700,0
2015-08-14,1.18,1.2,1.15,1.18,63300,0
2015-08-17,1.15,1.17,1.15,1.15,47400,0
2015-08-18,1.16,1.16,1.13,1.13,53400,0
2015-08-19,1.13,1.17,1.09,1.16,90900,0
2015-08-20,1.16,1.19,1.13,1.13,37400,0
2015-08-21,1.11,1.17,1.09,1.13,80400,0
2015-08-24,1.1,1.102,1.01,1.09,223942,0
2015-08-25,1.09,1.11,1.05,1.06,48000,0
2015-08-26,1.07,1.08,1.0,1.0,108600,0
2015-08-27,1.04,1.1,1.0,1.07,59300,0
2015-08-28,1.09,1.17,1.07,1.11,85000,0
2015-08-31,1.11,1.15,1.07,1.1,237700,0
2015-09-01,1.08,1.32,1.08,1.18,582300,0
2015-09-02,1.2,1.25,1.13,1.14,196200,0
2015-09-03,1.14,1.17,1.13,1.15,26100,0
2015-09-04,1.11,1.23,1.11,1.19,37800,0
2015-09-08,1.19,1.2,1.14,1.15,48200,0
2015-09-09,1.15,1.15,1.14,1.14,20400,0
2015-09-10,1.14,1.17,1.14,1.17,11121,0
2015-09-11,1.19,1.2,1.14,1.14,55300,0
2015-09-14,1.18,1.19,1.17,1.18,23800,0
2015-09-15,1.17,1.23,1.12,1.14,43200,0
2015-09-16,1.11,1.15,1.11,1.15,25900,0
2015-09-17,1.15,1.21,1.14,1.19,46500,0
2015-09-18,1.16,1.19,1.1,1.1,68800,0
2015-09-21,1.14,1.14,1.1,1.1,16100,0
2015-09-22,1.11,1.13,1.1,1.1,41600,0
2015-09-23,1.13,1.13,1.0,1.03,138200,0
2015-09-24,1.0,1.13,1.0,1.03,22765,0
2015-09-25,1.08,1.19,1.03,1.03,254300,0
2015-09-28,1.04,1.07,1.02,1.07,46621,0
2015-09-29,1.07,1.13,1.05,1.09,45000,0
2015-09-30,1.08,1.14,1.08,1.14,86400,0
2015-10-01,1.13,1.18,1.11,1.12,276800,0
2015-10-02,1.12,1.2,1.11,1.13,94300,0
2015-10-05,1.14,1.2,1.14,1.18,5208,0
2015-10-06,1.2,1.2,1.16,1.19,17000,0
2015-10-07,1.17,1.21,1.15,1.16,56200,0
2015-10-08,1.17,1.19,1.12,1.16,28700,0
2015-10-09,1.25,1.3,1.21,1.22,196500,0
2015-10-12,1.25,1.25,1.15,1.18,44259,0
2015-10-13,1.21,1.21,1.15,1.18,25300,0
2015-10-14,1.17,1.23,1.16,1.18,9100,0
2015-10-15,1.2,1.3,1.18,1.29,70300,0
2015-10-16,1.29,1.33,1.23,1.25,80500,0
2015-10-19,1.25,1.29,1.25,1.27,5200,0
2015-10-20,1.27,1.4,1.27,1.38,60500,0
2015-10-21,1.4,1.63,1.4,1.51,299300,0
2015-10-22,1.46,1.63,1.43,1.47,95700,0
2015-10-23,1.47,1.61,1.47,1.57,64200,0
2015-10-26,1.6,1.6,1.5,1.55,33800,0
2015-10-27,1.52,1.58,1.48,1.49,55900,0
2015-10-28,1.58,1.6,1.54,1.55,26100,0
2015-10-29,1.54,1.59,1.54,1.59,15000,0
2015-10-30,1.6,1.6,1.55,1.56,25200,0
2015-11-02,1.59,1.59,1.4,1.44,94807,0
2015-11-03,1.43,1.52,1.43,1.49,23900,0
2015-11-04,1.52,1.5512,1.4,1.43,33017,0
2015-11-05,1.45,1.47,1.37,1.41,50100,0
2015-11-06,1.4,1.46,1.4,1.43,21500,0
2015-11-09,1.4,1.5399,1.4,1.51,99214,0
2015-11-10,1.5,1.53,1.41,1.48,36400,0
2015-11-11,1.52,1.52,1.46,1.49,29300,0
2015-11-12,1.5,1.5,1.46,1.48,23400,0
2015-11-13,1.49,1.51,1.47,1.49,25100,0
2015-11-16,1.5,1.5,1.48,1.48,23500,0
2015-11-17,1.51,1.51,1.48,1.5,20400,0
2015-11-18,1.48,1.49,1.48,1.48,14700,0
2015-11-19,1.5,1.55,1.45,1.46,74700,0
2015-11-20,1.48,1.54,1.48,1.5,9500,0
2015-11-23,1.53,1.55,1.48,1.55,30400,0
2015-11-24,1.55,1.55,1.51,1.53,26300,0
