Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,12.364,12.467,12.26,12.35,189435,0
2015-01-05,12.343,12.356,12.102,12.21,255338,0
2015-01-06,12.21,12.253,12.108,12.21,126564,0
2015-01-07,12.343,12.467,12.173,12.315,284382,0
2015-01-08,12.364,12.526,12.307,12.483,159567,0
2015-01-09,12.52,12.52,12.343,12.418,157746,0
2015-01-12,12.431,12.504,12.35,12.475,69377,0
2015-01-13,12.52,12.587,12.395,12.403,142223,0
2015-01-14,12.275,12.467,12.203,12.44,182070,0
2015-01-15,12.573,12.592,12.431,12.526,127760,0
2015-01-16,12.556,12.587,12.454,12.587,83682,0
2015-01-20,12.646,12.698,12.418,12.544,168815,0
2015-01-21,12.616,12.699,12.526,12.631,144755,0
2015-01-22,12.699,12.741,12.616,12.728,95293,0
2015-01-23,12.678,12.818,12.678,12.787,62298,0
2015-01-26,12.861,12.876,12.728,12.735,151781,0
2015-01-27,12.721,12.826,12.721,12.818,127278,0
2015-01-28,12.906,12.966,12.809,12.899,74378,0
2015-01-29,12.952,12.952,12.741,12.882,104135,0
2015-01-30,12.861,12.899,12.796,12.876,77877,0
2015-02-02,12.899,12.99,12.826,12.916,72628,0
2015-02-03,12.882,13.004,12.869,12.99,81720,0
2015-02-04,12.943,12.995,12.869,12.929,69407,0
2015-02-05,12.958,12.974,12.861,12.974,107041,0
2015-02-06,12.929,12.943,12.712,12.75,122503,0
2015-02-09,12.741,12.796,12.609,12.721,130896,0
2015-02-10,12.728,12.728,12.638,12.721,111741,0
2015-02-11,12.638,12.706,12.551,12.556,134372,0
2015-02-12,12.587,12.624,12.526,12.573,81949,0
2015-02-13,12.565,12.624,12.565,12.599,68455,0
2015-02-17,12.592,12.592,12.273,12.313,254697,0
2015-02-18,12.403,12.522,12.379,12.5,99923,0
2015-02-19,12.546,12.553,12.522,12.522,72267,0
2015-02-20,12.559,12.627,12.5,12.627,84205,0
2015-02-23,12.627,12.641,12.538,12.546,69801,0
2015-02-24,12.522,12.731,12.522,12.724,87751,0
2015-02-25,12.731,12.799,12.702,12.737,65027,0
2015-02-26,12.709,12.858,12.681,12.776,218994,0
2015-02-27,12.83,12.83,12.724,12.805,75660,0
2015-03-02,12.903,12.903,12.737,12.805,62053,0
2015-03-03,12.715,12.792,12.672,12.792,73133,0
2015-03-04,12.702,12.702,12.546,12.546,169479,0
2015-03-05,12.559,12.627,12.513,12.553,106226,0
2015-03-06,12.546,12.546,12.326,12.409,162542,0
2015-03-09,12.199,12.273,12.104,12.152,239273,0
2015-03-10,12.11,12.148,12.02,12.097,109293,0
2015-03-11,12.049,12.124,12.028,12.062,93947,0
2015-03-12,12.117,12.245,12.097,12.132,88343,0
2015-03-13,12.104,12.104,11.955,11.974,60187,0
2015-03-16,11.989,12.028,11.863,11.961,76066,0
2015-03-17,11.922,11.922,11.763,11.826,180956,0
2015-03-18,11.868,12.05,11.786,11.956,100719,0
2015-03-19,11.97,12.029,11.868,11.914,70807,0
2015-03-20,11.956,12.063,11.914,12.043,130746,0
2015-03-23,12.091,12.149,12.081,12.135,160673,0
2015-03-24,12.112,12.346,12.112,12.202,189659,0
2015-03-25,12.254,12.376,12.249,12.33,195484,0
2015-03-26,12.241,12.269,12.202,12.241,110379,0
2015-03-27,12.249,12.261,12.202,12.219,155512,0
2015-03-30,12.226,12.254,12.163,12.194,78880,0
2015-03-31,12.156,12.277,12.036,12.036,146031,0
2015-04-01,11.97,12.241,11.97,12.126,235186,0
2015-04-02,12.091,12.202,12.091,12.178,222346,0
2015-04-06,12.194,12.33,12.194,12.309,149156,0
2015-04-07,12.302,12.473,12.287,12.392,100657,0
2015-04-08,12.392,12.504,12.385,12.392,167025,0
2015-04-09,12.423,12.511,12.423,12.444,91346,0
2015-04-10,12.429,12.438,12.323,12.353,121761,0
2015-04-13,12.337,12.392,12.277,12.323,100589,0
