Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,76.565,76.971,75.329,75.933,1080977,0
2015-01-05,75.631,76.319,75.245,75.5,1427131,0
2015-01-06,75.764,76.188,73.954,74.687,2233355,0
2015-01-07,75.594,77.46,74.999,77.367,2146508,0
2015-01-08,78.044,79.78,78.017,79.754,2907010,0
2015-01-09,79.64,79.677,78.875,79.074,1877056,0
2015-01-12,79.262,79.789,78.026,78.102,1434712,0
2015-01-13,78.913,79.593,77.272,77.809,1827477,0
2015-01-14,77.101,77.669,76.84,77.29,1440890,0
2015-01-15,77.415,77.772,76.188,76.254,1298491,0
2015-01-16,76.0,77.649,75.98,77.583,1397370,0
2015-01-20,77.847,78.396,76.226,77.091,2128917,0
2015-01-21,77.159,77.791,76.752,77.281,2125575,0
2015-01-22,77.745,79.177,76.82,79.149,2461742,0
2015-01-23,78.884,79.396,78.64,78.726,1249886,0
2015-01-26,78.678,79.97,78.423,79.932,1607177,0
2015-01-27,79.168,80.29,78.819,79.884,1731528,0
2015-01-28,80.913,82.365,80.197,80.534,4350042,0
2015-01-29,78.97,80.497,78.054,79.998,3103715,0
2015-01-30,79.78,80.668,78.339,78.46,3222457,0
2015-02-02,76.743,78.196,76.699,78.112,3272222,0
2015-02-03,78.64,79.036,78.054,78.678,2297800,0
2015-02-04,78.376,80.168,78.376,79.101,2812993,0
2015-02-05,79.443,80.092,79.12,79.63,2362900,0
2015-02-06,79.799,81.413,79.667,80.612,2053693,0
2015-02-09,80.505,80.544,79.11,79.433,1605459,0
2015-02-10,80.073,80.336,79.677,80.281,2252244,0
2015-02-11,80.461,81.506,80.216,81.196,2046805,0
2015-02-12,81.716,81.754,80.395,81.147,1626250,0
2015-02-13,81.147,81.214,80.488,81.186,1328720,0
2015-02-17,81.206,81.787,80.875,81.496,1387903,0
2015-02-18,81.423,81.556,80.79,81.318,1505873,0
2015-02-19,81.355,81.619,80.988,81.273,884497,0
2015-02-20,81.074,82.11,80.781,82.11,1286407,0
2015-02-23,82.196,83.138,82.015,83.092,2008789,0
2015-02-24,83.102,84.233,82.79,84.176,2590090,0
2015-02-25,83.856,84.345,83.205,83.281,1780191,0
2015-02-26,83.148,83.771,82.741,83.158,1214164,0
2015-02-27,83.054,83.705,82.895,82.988,1592850,0
2015-03-02,83.666,85.345,83.601,84.432,4050466,0
2015-03-03,84.817,84.817,82.639,83.402,2059269,0
2015-03-04,83.082,84.034,82.505,83.97,1718285,0
2015-03-05,84.139,84.532,83.562,83.893,1594868,0
2015-03-06,83.675,83.675,81.816,82.064,1591898,0
2015-03-09,82.298,83.138,82.084,82.979,1319090,0
2015-03-10,82.084,82.365,81.054,81.996,1892594,0
2015-03-11,82.148,82.649,81.583,82.308,1242750,0
2015-03-12,82.79,83.666,82.751,83.451,1269894,0
2015-03-13,83.205,83.534,82.365,83.11,1242962,0
