Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,48.352,48.59,47.55,47.855,532274,0
2015-01-05,47.674,48.362,47.578,47.943,527974,0
2015-01-06,48.21,48.294,46.881,47.578,619274,0
2015-01-07,48.707,49.487,48.012,49.374,1205585,0
2015-01-08,49.594,50.375,49.423,50.064,996671,0
2015-01-09,50.136,50.195,49.192,49.995,523112,0
2015-01-12,50.218,50.273,49.679,49.842,404688,0
2015-01-13,50.32,50.788,49.66,50.33,577250,0
2015-01-14,49.947,50.423,49.652,49.937,486219,0
2015-01-15,50.054,50.108,48.554,49.506,513672,0
2015-01-16,49.297,49.851,49.078,49.814,459607,0
2015-01-20,51.103,51.686,50.185,50.615,1217144,0
2015-01-21,50.347,50.921,50.098,50.893,754337,0
2015-01-22,51.226,51.771,50.758,51.666,675748,0
2015-01-23,51.504,52.019,51.323,51.695,606340,0
2015-01-26,51.724,52.649,51.695,52.268,579428,0
2015-01-27,51.935,52.229,51.569,51.991,439028,0
2015-01-28,52.287,52.457,50.748,50.997,724439,0
2015-01-29,51.15,51.15,50.18,50.778,1233010,0
2015-01-30,50.56,50.758,49.908,50.146,765428,0
2015-02-02,50.044,50.166,48.792,49.717,939800,0
2015-02-03,49.766,50.52,49.584,50.054,502946,0
2015-02-04,50.054,50.912,49.787,50.595,635927,0
2015-02-05,50.702,51.045,50.33,50.53,582601,0
2015-02-06,50.55,51.466,50.195,51.284,779806,0
2015-02-09,50.957,51.265,50.423,50.54,537891,0
2015-02-10,51.122,51.866,50.854,51.695,744616,0
2015-02-11,51.714,51.856,50.423,50.653,1628528,0
2015-02-12,46.49,47.063,44.428,47.043,5753213,0
2015-02-13,46.853,47.035,45.678,46.049,1649448,0
2015-02-17,46.213,46.481,45.773,46.068,1310194,0
2015-02-18,46.194,46.968,46.174,46.795,972787,0
2015-02-19,46.938,47.645,46.843,47.187,1710339,0
2015-02-20,47.329,47.339,46.326,47.006,844211,0
2015-02-23,46.913,47.451,46.876,47.364,652521,0
2015-02-24,47.403,47.901,47.115,47.394,807542,0
2015-02-25,47.144,47.481,46.753,47.125,689087,0
2015-02-26,47.201,47.201,46.07,46.617,730830,0
2015-02-27,46.55,46.55,45.497,45.535,1156464,0
2015-03-02,45.477,47.068,45.477,46.665,1555385,0
2015-03-03,46.636,46.789,46.3,46.675,732088,0
2015-03-04,46.235,46.714,45.994,46.07,787606,0
2015-03-05,45.257,46.378,45.257,46.004,1026903,0
2015-03-06,45.92,46.129,45.102,45.218,982238,0
2015-03-09,45.306,46.1,45.306,45.651,696917,0
2015-03-10,45.716,45.947,45.362,45.572,794599,0
2015-03-11,45.651,45.804,45.171,45.343,678447,0
2015-03-12,45.592,46.809,45.409,46.724,624491,0
2015-03-13,46.753,46.933,46.12,46.369,465343,0
2015-03-16,46.656,46.992,46.349,46.636,398343,0
2015-03-17,46.704,47.183,46.55,47.115,637848,0
2015-03-18,47.163,47.221,46.388,46.597,592766,0
2015-03-19,46.636,47.241,46.636,46.78,475256,0
2015-03-20,47.105,47.289,46.474,47.058,754523,0
2015-03-23,46.943,47.5,46.578,47.431,746279,0
2015-03-24,47.421,47.491,46.904,47.26,622196,0
2015-03-25,47.231,47.421,46.522,46.532,414728,0
2015-03-26,46.272,46.464,45.746,46.291,566573,0
2015-03-27,46.474,47.421,46.426,46.753,595167,0
2015-03-30,47.279,47.575,46.762,47.403,590366,0
2015-03-31,47.193,47.575,47.058,47.269,610901,0
2015-04-01,47.201,47.201,46.426,47.04,464299,0
2015-04-02,47.183,47.183,46.484,46.762,512097,0
2015-04-06,46.397,47.096,46.186,46.378,693995,0
2015-04-07,46.349,46.388,45.91,46.09,692892,0
2015-04-08,46.186,47.335,46.149,47.289,579930,0
2015-04-09,47.153,47.661,46.512,46.819,570276,0
2015-04-10,47.04,47.527,46.876,47.068,456682,0
2015-04-13,46.837,47.384,46.646,46.753,342616,0
2015-04-14,46.809,46.866,46.159,46.578,466178,0
2015-04-15,46.675,47.048,46.149,46.349,675832,0
2015-04-16,46.3,47.308,46.281,46.665,883232,0
2015-04-17,46.435,46.847,46.1,46.617,807438,0
2015-04-20,46.819,47.168,46.522,46.762,826182,0
2015-04-21,46.866,47.26,46.417,47.153,867729,0
2015-04-22,47.251,48.219,46.837,47.96,2351481,0
2015-04-23,51.667,51.726,49.27,50.23,3175058,0
2015-04-24,50.557,51.044,50.499,50.766,1095072,0
2015-04-27,50.786,50.928,50.087,50.335,1174888,0
2015-04-28,50.373,51.122,49.961,50.7,1232090,0
2015-04-29,50.201,50.335,48.591,49.27,1244913,0
2015-04-30,49.252,49.607,47.979,48.034,1330593,0
2015-05-01,48.189,48.841,47.951,48.447,774980,0
2015-05-04,48.769,49.106,48.232,48.308,449469,0
2015-05-05,48.489,48.674,47.683,47.866,713783,0
2015-05-06,47.894,48.278,47.693,48.107,538190,0
2015-05-07,48.107,49.115,48.077,48.99,708930,0
2015-05-08,49.424,49.72,48.519,48.731,945330,0
2015-05-11,48.596,49.077,48.385,48.519,430955,0
2015-05-12,48.25,48.569,47.625,48.223,471117,0
2015-05-13,48.154,48.566,47.963,48.318,489007,0
2015-05-14,48.472,49.288,48.068,49.106,782437,0
2015-05-15,49.318,49.78,49.029,49.405,552412,0
2015-05-18,49.375,49.913,49.115,49.819,583576,0
