Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,10.08,10.15,9.76,10.01,164745,0
2015-01-05,9.88,9.99,9.67,9.82,135605,0
2015-01-06,9.82,9.9,9.42,9.73,256468,0
2015-01-07,9.86,9.86,9.52,9.66,170513,0
2015-01-08,9.74,9.95,9.69,9.73,104976,0
2015-01-09,9.7,9.9,9.58,9.73,149106,0
2015-01-12,9.74,9.8,9.59,9.7,175161,0
2015-01-13,9.76,9.99,9.42,9.59,143826,0
2015-01-14,9.5,9.69,9.44,9.61,133920,0
2015-01-15,9.66,9.66,9.05,9.17,226276,0
2015-01-16,9.1,9.42,9.05,9.36,229630,0
2015-01-20,9.39,9.61,9.22,9.58,302848,0
2015-01-21,9.57,9.95,9.51,9.69,221368,0
2015-01-22,9.75,10.1,9.58,10.1,241702,0
2015-01-23,10.07,10.2,9.9,9.93,213347,0
2015-01-26,9.9,10.11,9.81,10.02,115885,0
2015-01-27,9.87,10.1,9.82,9.93,104307,0
2015-01-28,10.06,10.13,9.93,9.98,208987,0
2015-01-29,9.99,9.99,9.5,9.79,249176,0
2015-01-30,9.69,9.93,9.6,9.6,231548,0
2015-02-02,9.62,10.26,9.6,10.15,405711,0
2015-02-03,10.23,10.63,10.12,10.55,538063,0
2015-02-04,9.01,9.5,8.45,8.67,3202010,0
2015-02-05,8.68,8.84,8.55,8.78,746020,0
2015-02-06,8.83,8.91,8.64,8.76,729656,0
2015-02-09,8.78,8.86,8.55,8.57,304078,0
2015-02-10,8.63,8.66,8.45,8.61,252579,0
2015-02-11,8.61,8.83,8.55,8.75,319307,0
2015-02-12,8.86,8.86,8.66,8.68,284459,0
2015-02-13,8.71,8.87,8.6,8.65,466717,0
2015-02-17,8.64,8.72,8.45,8.48,756713,0
2015-02-18,8.48,8.48,8.3,8.35,454279,0
2015-02-19,8.38,8.38,8.25,8.35,461970,0
2015-02-20,8.37,8.39,8.19,8.21,423127,0
2015-02-23,8.25,8.25,8.09,8.11,572562,0
2015-02-24,8.09,8.37,8.09,8.32,318271,0
2015-02-25,8.34,8.45,8.3,8.4,329612,0
2015-02-26,8.43,8.6,8.35,8.44,822554,0
2015-02-27,8.47,8.78,8.37,8.74,515801,0
