Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,87.756,88.333,86.06,86.763,188789,0
2015-01-05,86.265,86.481,84.188,84.862,260774,0
2015-01-06,84.912,85.163,83.927,84.238,319676,0
2015-01-07,85.992,85.992,84.413,85.203,228043,0
2015-01-08,87.358,90.0,86.733,89.23,557543,0
2015-01-09,89.24,90.215,87.908,88.498,347307,0
2015-01-12,88.801,90.272,87.954,89.161,498595,0
2015-01-13,90.067,91.491,89.523,90.594,312064,0
2015-01-14,89.649,90.693,88.85,90.057,180785,0
2015-01-15,90.195,90.817,88.43,89.423,220031,0
2015-01-16,89.394,91.217,89.394,90.663,370092,0
2015-01-20,90.954,91.345,89.201,90.176,266916,0
2015-01-21,89.833,90.817,88.732,89.005,258421,0
2015-01-22,89.804,90.037,88.517,89.111,413185,0
2015-01-23,88.862,90.156,88.831,89.747,273410,0
2015-01-26,89.521,92.291,89.453,92.231,289214,0
2015-01-27,90.963,92.094,90.506,90.945,241802,0
2015-01-28,91.549,91.989,89.823,90.018,258312,0
2015-01-29,90.439,91.62,89.412,91.455,200486,0
2015-01-30,90.752,91.591,89.052,89.199,246688,0
2015-02-02,89.697,90.156,88.211,89.891,321061,0
2015-02-03,90.205,91.846,89.438,91.172,408596,0
2015-02-04,91.005,92.173,90.176,91.367,306976,0
2015-02-05,91.475,92.119,89.022,89.442,418819,0
2015-02-06,89.52,90.067,88.133,89.296,374611,0
2015-02-09,88.954,89.296,87.645,87.781,202966,0
2015-02-10,88.446,88.485,87.567,87.692,229972,0
2015-02-11,87.617,88.181,86.961,87.537,164095,0
2015-02-12,88.045,88.416,87.597,87.958,182344,0
2015-02-13,87.953,88.319,86.536,86.883,244082,0
2015-02-17,87.204,87.547,86.325,87.469,233772,0
2015-02-18,87.938,89.492,87.597,88.622,320931,0
2015-02-19,88.416,88.455,87.292,88.269,163228,0
2015-02-20,88.436,89.071,87.342,89.052,163294,0
2015-02-23,89.296,90.225,88.641,89.707,259518,0
2015-02-24,89.003,90.027,88.847,89.238,210174,0
2015-02-25,88.944,89.099,86.726,87.029,276480,0
2015-02-26,86.833,87.547,86.609,87.43,175002,0
2015-02-27,87.527,87.831,85.192,85.731,290034,0
2015-03-02,85.867,86.784,85.631,86.404,243610,0
2015-03-03,86.57,86.57,85.035,85.379,178509,0
2015-03-04,84.987,86.14,84.215,85.916,262953,0
2015-03-05,86.17,87.039,85.544,86.16,157424,0
2015-03-06,85.262,86.287,84.881,85.467,240742,0
2015-03-09,86.091,90.439,86.081,88.641,754062,0
2015-03-10,84.519,87.422,81.089,85.534,835843,0
2015-03-11,86.943,86.952,84.059,85.34,392230,0
2015-03-12,86.091,87.392,85.681,87.204,299086,0
2015-03-13,87.537,87.537,85.534,85.975,289875,0
2015-03-16,86.59,86.833,85.418,86.031,273189,0
2015-03-17,86.11,86.375,85.093,86.061,291410,0
2015-03-18,85.671,86.414,84.127,85.552,243300,0
2015-03-19,85.581,86.237,85.093,85.877,203075,0
2015-03-20,86.394,87.156,85.926,86.913,331534,0
2015-03-23,87.019,87.597,86.16,86.6,279024,0
2015-03-24,86.464,87.223,85.848,86.971,196729,0
2015-03-25,86.375,87.459,84.948,85.222,218838,0
2015-03-26,85.242,86.071,84.314,85.192,201029,0
2015-03-27,85.016,86.903,84.604,86.803,202051,0
2015-03-30,86.933,88.778,86.473,88.191,257120,0
2015-03-31,87.741,88.299,87.626,88.026,273706,0
2015-04-01,87.653,87.821,86.071,87.702,158652,0
2015-04-02,87.702,89.861,87.692,87.948,309729,0
2015-04-06,87.342,89.658,87.342,88.369,214745,0
2015-04-07,88.612,88.612,87.01,87.195,265607,0
2015-04-08,88.181,88.181,86.961,87.146,245555,0
2015-04-09,87.342,88.514,85.828,86.736,172879,0
2015-04-10,87.312,87.88,86.501,87.85,302258,0
2015-04-13,88.181,88.983,87.412,87.653,240742,0
2015-04-14,87.85,88.983,87.204,88.172,336754,0
2015-04-15,88.818,89.278,86.775,86.933,309504,0
2015-04-16,87.176,87.841,86.013,86.228,200579,0
2015-04-17,85.701,85.975,84.556,85.31,387316,0
2015-04-20,86.375,86.677,85.611,85.731,240311,0
2015-04-21,86.297,86.355,85.32,85.418,171099,0
2015-04-22,85.691,85.707,83.726,84.47,180187,0
2015-04-23,84.411,84.783,83.219,83.845,246987,0
2015-04-24,84.088,84.285,83.634,83.826,171678,0
2015-04-27,84.145,84.334,82.155,83.15,173084,0
2015-04-28,83.081,83.786,82.25,83.072,228172,0
2015-04-29,82.798,83.229,80.311,80.321,235683,0
2015-04-30,80.086,81.064,79.265,80.477,277246,0
2015-05-01,80.683,81.984,80.321,81.349,225574,0
2015-05-04,81.878,83.16,81.309,81.692,189935,0
2015-05-05,81.614,82.114,79.419,80.613,246099,0
2015-05-06,80.908,81.349,80.016,80.497,272007,0
2015-05-07,80.673,80.947,79.497,80.056,368656,0
2015-05-08,80.889,81.437,80.046,80.604,225370,0
2015-05-11,80.889,81.928,80.517,80.557,251306,0
2015-05-12,80.527,82.014,80.026,81.212,220643,0
2015-05-13,81.261,81.486,80.046,80.967,293433,0
2015-05-14,81.202,82.377,80.389,81.789,250285,0
2015-05-15,82.827,89.521,82.827,89.417,754761,0
2015-05-18,89.555,90.878,88.713,89.253,396231,0
2015-05-19,88.908,89.811,88.145,89.184,353515,0
2015-05-20,89.693,89.857,88.782,89.447,225779,0
2015-05-21,89.447,89.967,88.419,88.488,257436,0
2015-05-22,88.429,89.742,88.212,89.114,231394,0
2015-05-26,89.634,89.634,87.862,87.969,223851,0
2015-05-27,87.979,88.41,86.852,87.892,220570,0
2015-05-28,87.342,88.116,87.108,87.722,243726,0
2015-05-29,88.173,88.429,85.217,85.385,399068,0
2015-06-01,85.617,87.342,85.209,87.238,402124,0
2015-06-02,86.764,86.764,85.434,85.707,317439,0
2015-06-03,86.0,86.539,84.933,86.442,340555,0
2015-06-04,86.177,87.703,85.815,86.333,228943,0
2015-06-05,85.453,86.216,84.846,85.855,293991,0
2015-06-08,86.432,86.559,85.157,85.453,320542,0
2015-06-09,89.703,95.921,88.449,90.878,1093253,0
2015-06-10,91.132,92.288,89.624,91.426,479340,0
2015-06-11,91.759,92.228,90.721,91.2,214965,0
2015-06-12,90.652,91.817,90.573,91.171,191568,0
2015-06-15,90.73,91.876,89.771,91.298,216894,0
2015-06-16,91.348,92.493,90.563,90.888,485867,0
2015-06-17,90.908,91.455,90.252,91.053,237521,0
2015-06-18,89.467,93.452,89.467,92.533,384671,0
2015-06-19,92.679,95.284,92.014,93.843,436342,0
2015-06-22,94.09,94.754,93.462,94.383,257945,0
2015-06-23,94.843,94.971,92.798,93.248,335528,0
2015-06-24,93.972,96.184,93.766,94.952,648640,0
2015-06-25,95.185,95.452,94.002,95.323,5280510,0
2015-06-26,95.655,96.038,94.235,94.353,801199,0
2015-06-29,93.64,94.695,92.366,92.474,359551,0
2015-06-30,92.963,94.472,92.513,93.756,515881,0
2015-07-01,94.1,95.461,93.61,94.763,458907,0
2015-07-02,94.991,95.433,93.668,94.413,249470,0
2015-07-06,93.422,95.021,93.325,94.657,257229,0
2015-07-07,95.413,96.517,94.695,95.853,400499,0
2015-07-08,95.088,96.585,94.501,95.665,391001,0
2015-07-09,95.655,96.411,94.521,95.097,225880,0
2015-07-10,95.921,96.871,95.031,95.893,231292,0
2015-07-13,96.459,96.566,95.883,96.353,192591,0
2015-07-14,95.989,96.046,94.853,95.921,198589,0
2015-07-15,96.204,96.704,95.353,96.264,323864,0
2015-07-16,96.734,99.9,96.575,99.64,438178,0
2015-07-17,99.95,100.56,98.398,98.478,319417,0
2015-07-20,98.438,98.814,96.998,98.438,232313,0
2015-07-21,98.987,98.987,97.283,97.39,200557,0
2015-07-22,97.203,98.127,97.007,97.864,207296,0
2015-07-23,97.662,97.662,96.125,96.274,174720,0
2015-07-24,95.98,96.684,95.264,95.333,209237,0
2015-07-27,95.041,96.507,93.728,95.863,248549,0
2015-07-28,96.526,98.167,95.097,98.048,355055,0
2015-07-29,98.048,98.715,97.761,97.992,267135,0
2015-07-30,97.874,99.96,97.429,98.547,291001,0
2015-07-31,98.897,100.41,98.196,100.32,415309,0
2015-08-03,100.68,102.23,99.65,102.1,526317,0
2015-08-04,101.64,102.91,100.95,102.77,334203,0
2015-08-05,103.16,104.49,102.57,103.71,389326,0
2015-08-06,103.38,103.78,101.82,102.27,228613,0
2015-08-07,101.65,102.86,100.64,100.98,297826,0
2015-08-10,101.81,102.03,100.49,101.09,242502,0
2015-08-11,100.44,102.35,100.1,101.17,241816,0
2015-08-12,101.09,102.82,100.14,101.89,241889,0
2015-08-13,102.11,103.88,101.11,103.06,300274,0
2015-08-14,102.54,104.89,102.45,104.63,254423,0
2015-08-17,104.95,106.14,104.12,105.92,290188,0
2015-08-18,106.31,107.21,105.28,105.64,402063,0
2015-08-19,105.22,106.01,104.42,105.09,457695,0
2015-08-20,104.14,106.01,103.86,104.53,292428,0
2015-08-21,102.53,103.85,101.6,102.97,618480,0
2015-08-24,99.145,103.31,97.171,100.63,549078,0
2015-08-25,103.86,104.03,99.94,100.23,259619,0
2015-08-26,101.09,104.23,99.68,103.94,362327,0
2015-08-27,104.73,105.62,101.59,103.72,496925,0
2015-08-28,103.11,104.17,102.1,104.11,272660,0
2015-08-31,104.11,104.3,102.93,103.89,201846,0
2015-09-01,102.27,103.29,101.66,102.97,331859,0
2015-09-02,103.79,104.94,102.2,102.86,456066,0
2015-09-03,102.99,103.61,102.14,103.36,392076,0
2015-09-04,102.01,104.24,101.82,103.58,298543,0
2015-09-08,105.4,107.86,104.59,106.48,499575,0
2015-09-09,109.92,112.76,105.48,106.17,762860,0
2015-09-10,106.23,108.79,105.62,106.41,451506,0
2015-09-11,107.41,108.44,105.93,108.16,427639,0
2015-09-14,108.14,108.44,106.69,107.06,234656,0
2015-09-15,107.25,109.1,107.01,108.27,306693,0
2015-09-16,108.67,109.69,108.28,109.49,226404,0
2015-09-17,109.4,111.09,108.83,110.12,215591,0
2015-09-18,108.82,109.95,108.01,108.48,434261,0
2015-09-21,109.38,109.81,107.53,108.77,308222,0
2015-09-22,107.77,107.89,106.02,106.99,232413,0
2015-09-23,107.31,107.4,104.66,105.91,390510,0
2015-09-24,105.35,105.75,103.95,104.68,346992,0
2015-09-25,105.39,106.48,103.99,104.44,329719,0
2015-09-28,104.22,104.7,101.01,102.13,396350,0
2015-09-29,101.93,103.29,100.7,101.09,377608,0
2015-09-30,102.12,103.02,100.69,101.03,549092,0
2015-10-01,101.4,101.88,99.484,101.5,419588,0
2015-10-02,100.97,102.21,99.65,102.21,246476,0
2015-10-05,102.52,102.81,101.05,102.22,341122,0
2015-10-06,102.22,102.68,100.04,101.19,329822,0
2015-10-07,101.59,103.91,101.12,103.09,476500,0
2015-10-08,103.81,105.01,103.4,104.01,347958,0
2015-10-09,104.1,105.26,103.31,105.16,311380,0
2015-10-12,105.56,106.01,105.02,105.68,355948,0
2015-10-13,105.38,106.09,104.28,104.44,272050,0
2015-10-14,104.51,104.97,101.4,102.54,411131,0
