Date,Open,High,Low,Close,Volume,OpenInt
2015-01-05,7.6081,7.7457,7.599,7.7457,2806,0
2015-01-06,7.6777,7.7574,7.5585,7.628,7237,0
2015-01-07,7.4889,7.7374,7.4889,7.6777,5542,0
2015-01-08,7.7077,7.7474,7.7077,7.7374,1006,0
2015-01-09,7.5683,7.5683,7.5683,7.5683,163,0
2015-01-12,7.7274,7.8767,7.3992,7.3992,11743,0
2015-01-13,7.3992,7.7474,7.3992,7.4589,1206,0
2015-01-14,7.5286,7.6977,7.4589,7.6977,862,0
2015-01-15,7.5584,7.5584,7.4889,7.5086,703,0
2015-01-16,7.5086,7.7077,7.4589,7.5086,7391,0
2015-01-20,7.5584,7.7871,7.5584,7.7871,303,0
2015-01-22,7.5386,7.5386,7.2799,7.4589,11295,0
2015-01-23,7.4589,7.5584,7.4589,7.5584,1619,0
2015-01-26,7.7673,7.7673,7.27,7.4092,18291,0
2015-01-27,7.3297,7.638,7.3297,7.638,703,0
2015-01-28,7.3695,7.4589,7.3297,7.3297,1809,0
2015-01-29,7.3098,7.4589,7.3098,7.4589,2112,0
2015-01-30,7.4192,7.4192,7.4192,7.4192,100,0
2015-02-02,7.4192,7.4192,7.3595,7.3595,11430,0
2015-02-03,7.3595,7.4052,7.3595,7.4052,2450,0
2015-02-05,7.4589,7.628,7.4589,7.4589,1409,0
2015-02-06,7.4092,7.4092,7.4092,7.4092,503,0
2015-02-09,7.3595,7.3595,7.3595,7.3595,457,0
2015-02-10,7.3893,7.4689,7.3795,7.4192,7009,0
2015-02-13,7.5386,7.648,7.5386,7.648,3168,0
2015-02-17,7.638,7.6578,7.638,7.6578,3708,0
2015-02-18,7.7077,7.7077,7.5584,7.5584,15546,0
2015-02-19,7.6081,7.8368,7.3098,7.7274,21985,0
2015-02-20,7.8171,7.9462,7.8171,7.8964,8317,0
2015-02-25,7.8568,8.026,7.8558,7.9462,8908,0
2015-02-26,7.9462,7.9462,7.8568,7.8568,906,0
2015-03-02,7.8865,8.1153,7.8865,8.1153,14680,0
2015-03-04,8.1353,8.1551,8.0856,8.1053,11865,0
2015-03-05,8.1053,8.1053,7.9562,8.0856,4726,0
2015-03-06,8.0955,8.3341,8.0856,8.3341,21618,0
2015-03-09,8.1551,8.1551,8.1551,8.1551,100,0
2015-03-10,8.0556,8.1452,8.0556,8.0556,1409,0
2015-03-11,7.9861,8.2048,7.9562,8.0756,1306,0
2015-03-12,8.0259,8.1452,8.0059,8.1452,3721,0
2015-03-13,7.9562,8.185,7.9562,8.185,2312,0
2015-03-16,8.0159,8.175,8.0059,8.0556,5229,0
2015-03-17,8.0756,8.2447,8.0756,8.2048,4324,0
2015-03-18,8.1551,8.1551,8.1551,8.1551,403,0
2015-03-19,8.0556,8.1551,8.0556,8.0756,2514,0
2015-03-20,8.0556,8.1551,7.9662,7.9662,26848,0
2015-03-23,7.9562,8.195,7.9562,8.0556,8848,0
2015-03-24,7.9762,7.9762,7.9562,7.9562,1006,0
2015-03-25,7.9562,8.195,7.9562,8.175,503,0
2015-03-26,8.0556,8.0556,8.0059,8.0556,10859,0
2015-03-27,7.9562,8.1053,7.9562,8.1053,2412,0
2015-03-30,8.0259,8.2048,8.0059,8.0159,4927,0
2015-03-31,8.0556,8.2048,8.0556,8.0556,1258,0
2015-04-01,8.0656,8.2048,8.0159,8.0556,11060,0
2015-04-02,8.0656,8.185,8.0556,8.0556,1206,0
2015-04-06,8.0556,8.1053,8.0159,8.0159,803,0
2015-04-07,8.0546,8.1053,8.0546,8.1053,4031,0
2015-04-08,8.0856,8.2048,8.0856,8.1053,9451,0
2015-04-09,8.1452,8.2546,8.1452,8.2546,4688,0
2015-04-10,8.2546,8.2546,8.2048,8.2447,2112,0
2015-04-13,8.3341,8.3341,8.1153,8.1153,2412,0
2015-04-14,8.2048,8.2048,8.1551,8.195,803,0
2015-04-15,8.2048,8.4635,8.195,8.4137,2097,0
2015-04-16,8.2844,8.3044,8.1452,8.1452,951,0
2015-04-20,8.2944,8.2944,8.2048,8.2147,530,0
2015-04-21,8.2048,8.2048,8.2048,8.2048,1815,0
2015-04-22,8.2546,8.4137,8.2048,8.2645,3064,0
2015-04-23,8.2247,8.2347,8.2247,8.2347,403,0
2015-04-24,8.3541,8.4833,8.2048,8.4833,6782,0
2015-04-27,8.2546,8.3441,8.2147,8.2247,5530,0
2015-04-28,8.2247,8.2247,8.165,8.165,6235,0
2015-04-29,8.3739,8.3739,8.2645,8.3441,8748,0
2015-04-30,8.2744,8.3441,8.2546,8.3242,2615,0
2015-05-01,8.2546,8.3341,8.2546,8.2546,12871,0
2015-05-04,8.2944,8.2944,8.2247,8.2247,3418,0
2015-05-05,8.185,8.2844,8.185,8.2147,2312,0
2015-05-07,8.2147,8.2944,8.2048,8.2048,4683,0
2015-05-08,8.2944,8.2944,8.2944,8.2944,1006,0
2015-05-11,8.2546,8.2546,8.2447,8.2546,3721,0
2015-05-12,8.2147,8.2943,8.2147,8.2943,1032,0
2015-05-13,8.2944,8.3044,8.2347,8.2347,12168,0
2015-05-14,8.2347,8.3242,8.2147,8.2147,1206,0
2015-05-15,8.2048,8.3341,8.2048,8.3341,10183,0
2015-05-18,8.3341,8.3341,8.2147,8.2147,1991,0
2015-05-19,8.3541,8.4535,8.3044,8.3044,6811,0
2015-05-20,8.4038,8.4038,8.3044,8.4038,1006,0
2015-05-21,8.3541,8.4038,8.3044,8.4038,1306,0
2015-05-22,8.4038,8.4038,8.3541,8.4038,403,0
2015-05-26,8.3242,8.3242,8.1452,8.1452,1176,0
2015-05-27,8.165,8.3242,8.1253,8.165,1709,0
2015-05-28,8.2546,8.4236,8.2546,8.4236,1408,0
2015-06-01,8.3838,8.4038,8.3541,8.3541,2483,0
2015-06-02,8.4038,8.4038,8.3142,8.3938,703,0
2015-06-04,8.3142,8.3441,8.3142,8.3341,3418,0
