Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,6.95,7.03,6.8,7.0,372091,0
2015-01-05,6.96,7.06,6.62,6.79,517121,0
2015-01-06,6.8,6.9,6.49,6.83,329720,0
2015-01-07,6.84,6.89,6.67,6.87,252769,0
2015-01-08,6.94,7.05,6.85,7.0,359092,0
2015-01-09,6.99,7.25,6.98,7.09,472066,0
2015-01-12,7.14,7.2,6.9,7.05,334689,0
2015-01-13,7.09,7.19,6.75,6.84,270436,0
2015-01-14,6.75,7.08,6.7,7.0,257959,0
2015-01-15,7.0,7.0,6.53,6.69,361182,0
2015-01-16,6.64,6.8,6.62,6.71,218431,0
2015-01-20,6.7,6.72,6.61,6.66,233924,0
2015-01-21,6.6,6.71,6.52,6.6,275823,0
2015-01-22,6.65,7.0,6.6,6.99,251944,0
2015-01-23,7.0,7.21,6.89,7.13,275735,0
2015-01-26,7.1,7.16,6.97,7.01,121546,0
2015-01-27,6.83,7.25,6.83,7.1,511311,0
2015-01-28,7.11,7.17,6.7,6.76,478625,0
2015-01-29,6.8,6.8,6.62,6.66,303581,0
2015-01-30,6.61,6.77,6.61,6.63,272965,0
2015-02-02,6.64,6.7,6.5,6.59,219879,0
2015-02-03,6.64,6.74,6.5,6.73,295539,0
2015-02-04,6.7,6.87,6.65,6.76,172088,0
2015-02-05,6.77,6.84,6.69,6.73,152098,0
2015-02-06,6.71,6.8,6.6,6.7,195153,0
2015-02-09,6.67,6.8,6.65,6.69,266725,0
2015-02-10,6.75,6.75,6.41,6.62,272083,0
2015-02-11,6.6,6.69,6.46,6.49,155685,0
2015-02-12,6.53,6.65,6.47,6.5,171678,0
2015-02-13,6.5,6.54,6.35,6.44,348733,0
2015-02-17,6.47,6.6,6.4,6.52,216652,0
2015-02-18,6.55,6.64,6.49,6.51,265981,0
2015-02-19,6.51,6.7,6.45,6.61,337845,0
2015-02-20,6.6,6.61,6.4,6.44,371612,0
2015-02-23,6.45,6.82,6.38,6.75,710894,0
2015-02-24,7.7,8.71,7.43,8.6,9978054,0
2015-02-25,8.52,8.55,8.13,8.38,2388437,0
2015-02-26,8.35,8.55,7.87,7.99,2293256,0
2015-02-27,8.03,8.26,7.95,8.12,1687729,0
2015-03-02,8.16,8.27,7.91,8.21,1301900,0
2015-03-03,8.21,8.43,8.07,8.2,1438000,0
2015-03-04,8.15,8.85,8.07,8.75,2066600,0
2015-03-05,8.74,8.75,8.25,8.54,2291500,0
2015-03-06,8.43,8.6,8.29,8.3,684500,0
2015-03-09,8.29,8.36,8.14,8.24,583900,0
2015-03-10,8.24,8.32,8.14,8.21,481200,0
2015-03-11,8.22,8.56,8.2,8.45,581400,0
2015-03-12,8.43,8.75,8.41,8.66,856300,0
2015-03-13,8.68,8.75,8.3,8.5,455500,0
2015-03-16,8.57,8.61,8.43,8.48,453400,0
2015-03-17,8.47,8.5,8.32,8.45,496800,0
2015-03-18,8.44,8.59,8.35,8.49,419700,0
2015-03-19,8.49,8.55,8.45,8.49,430200,0
2015-03-20,8.56,8.57,8.36,8.45,732800,0
2015-03-23,8.5,8.56,8.3,8.4,705300,0
2015-03-24,8.38,8.47,8.36,8.44,253100,0
2015-03-25,8.43,8.53,8.1,8.15,1337300,0
2015-03-26,8.09,8.1,7.92,7.99,394500,0
2015-03-27,7.91,8.0,7.89,7.99,370900,0
2015-03-30,8.0,8.09,7.88,8.0,276900,0
2015-03-31,7.98,8.01,7.93,7.95,249200,0
2015-04-01,7.93,7.96,7.65,7.77,541000,0
2015-04-02,7.73,7.96,7.72,7.85,332600,0
2015-04-06,7.83,7.93,7.76,7.84,457700,0
2015-04-07,7.86,8.0,7.82,7.82,343862,0
2015-04-08,7.81,7.98,7.8,7.94,201200,0
2015-04-09,7.93,8.06,7.87,7.99,611836,0
2015-04-10,8.04,8.2,8.0,8.0,260700,0
2015-04-13,7.99,8.19,7.95,8.13,678500,0
2015-04-14,8.16,8.24,8.06,8.14,407900,0
2015-04-15,8.14,8.25,8.05,8.17,299446,0
2015-04-16,8.18,8.2,8.01,8.11,309087,0
2015-04-17,8.05,8.11,7.76,7.97,638200,0
2015-04-20,7.98,8.02,7.9,7.97,220916,0
2015-04-21,8.05,8.19,7.97,8.04,593135,0
2015-04-22,8.06,8.14,8.0,8.04,287009,0
2015-04-23,8.05,8.14,8.05,8.08,278300,0
2015-04-24,8.1,8.13,8.04,8.06,178200,0
2015-04-27,8.12,8.18,7.89,7.94,585500,0
2015-04-28,7.94,8.04,7.8,7.98,272400,0
2015-04-29,7.9,7.98,7.72,7.75,407800,0
2015-04-30,7.7,7.81,7.39,7.43,566500,0
2015-05-01,7.42,7.63,7.34,7.46,596300,0
2015-05-04,7.45,7.56,7.35,7.39,468300,0
2015-05-05,7.36,7.4,7.2,7.27,403600,0
2015-05-06,7.32,7.46,7.25,7.42,687074,0
2015-05-07,8.04,8.62,7.63,8.57,4028020,0
2015-05-08,8.54,8.72,8.33,8.5,928000,0
2015-05-11,8.44,8.77,8.41,8.68,808800,0
2015-05-12,8.62,8.65,8.39,8.64,712823,0
2015-05-13,8.52,8.68,8.52,8.59,1079900,0
2015-05-14,8.64,8.65,8.21,8.22,499100,0
2015-05-15,8.19,8.23,8.12,8.18,306437,0
2015-05-18,8.18,8.2,7.99,7.99,647750,0
2015-05-19,7.96,8.02,7.87,7.97,473100,0
2015-05-20,8.0,8.0,7.83,7.97,257700,0
2015-05-21,7.95,7.99,7.9,7.94,275800,0
2015-05-22,7.94,7.94,7.77,7.82,210300,0
2015-05-26,7.81,7.81,7.65,7.68,361382,0
2015-05-27,7.7,7.88,7.62,7.79,520300,0
2015-05-28,7.78,7.89,7.74,7.78,721958,0
2015-05-29,7.75,7.75,7.51,7.61,459800,0
2015-06-01,7.6,7.73,7.52,7.59,548900,0
2015-06-02,7.55,7.87,7.55,7.78,776421,0
2015-06-03,7.8,8.0,7.78,7.84,1009200,0
2015-06-04,7.72,7.8,7.57,7.65,1042200,0
2015-06-05,7.72,7.93,7.68,7.88,1107100,0
2015-06-08,7.84,7.96,7.72,7.75,787600,0
2015-06-09,7.78,7.84,7.64,7.7,903694,0
2015-06-10,7.79,7.93,7.79,7.85,2214976,0
2015-06-11,7.88,7.93,7.74,7.77,913424,0
2015-06-12,7.77,7.85,7.64,7.69,1584500,0
2015-06-15,7.62,7.99,7.52,7.97,759700,0
2015-06-16,7.95,7.99,7.83,7.96,397600,0
2015-06-17,7.97,8.04,7.8,7.83,300700,0
2015-06-18,7.87,7.97,7.84,7.96,441700,0
2015-06-19,8.01,8.01,7.75,7.94,857800,0
2015-06-22,7.97,8.01,7.85,7.93,305600,0
2015-06-23,7.95,8.09,7.9,7.97,364594,0
2015-06-24,7.99,8.0,7.87,7.9,258000,0
2015-06-25,7.93,7.93,7.79,7.88,238400,0
2015-06-26,7.9,7.92,7.65,7.84,1146300,0
2015-06-29,7.8,7.8,7.52,7.57,685100,0
2015-06-30,7.63,7.84,7.52,7.84,900136,0
2015-07-01,7.87,7.87,7.57,7.65,612200,0
2015-07-02,7.69,7.75,7.59,7.72,302500,0
2015-07-06,7.64,7.9,7.57,7.89,445400,0
2015-07-07,7.89,7.89,7.61,7.7,381100,0
2015-07-08,7.62,7.74,7.59,7.69,350300,0
2015-07-09,7.98,8.27,7.83,8.1,1177300,0
2015-07-10,8.22,8.45,8.08,8.3,652500,0
2015-07-13,8.3,8.35,8.19,8.3,502200,0
2015-07-14,8.3,8.4,8.29,8.35,457788,0
2015-07-15,8.3,8.42,8.24,8.26,395859,0
2015-07-16,8.32,8.34,8.06,8.25,371800,0
2015-07-17,8.23,8.28,8.05,8.11,399700,0
2015-07-20,8.13,8.27,8.0,8.13,420300,0
2015-07-21,8.14,8.31,8.09,8.16,347900,0
2015-07-22,8.12,8.3,8.06,8.12,272300,0
2015-07-23,8.15,8.25,8.02,8.06,394400,0
2015-07-24,8.04,8.11,7.91,8.05,731600,0
2015-07-27,7.96,8.04,7.91,8.02,455000,0
2015-07-28,8.06,8.12,7.97,8.11,419100,0
2015-07-29,8.12,8.15,8.04,8.1,390200,0
2015-07-30,8.07,8.19,8.03,8.16,320700,0
2015-07-31,8.18,8.4,8.15,8.31,2035200,0
2015-08-03,8.33,8.69,8.28,8.6,1154588,0
2015-08-04,8.84,8.84,8.41,8.55,2066000,0
2015-08-05,8.55,8.66,8.5,8.54,956800,0
2015-08-06,8.33,8.54,8.29,8.45,1756012,0
2015-08-07,8.4,8.47,8.32,8.4,529600,0
2015-08-10,8.41,8.56,8.4,8.56,1083100,0
2015-08-11,8.48,8.57,8.25,8.5,2568568,0
2015-08-12,8.44,8.61,8.38,8.54,877400,0
2015-08-13,8.53,8.59,8.31,8.49,993900,0
2015-08-14,8.47,8.61,8.47,8.57,479900,0
2015-08-17,8.52,8.78,8.43,8.74,843100,0
2015-08-18,8.74,8.81,8.55,8.6,1395000,0
2015-08-19,8.57,8.62,8.47,8.48,1189400,0
2015-08-20,8.39,8.42,7.94,8.0,1187700,0
2015-08-21,7.86,8.11,7.54,7.62,1181200,0
2015-08-24,7.3,7.69,7.21,7.5,1371547,0
2015-08-25,7.69,7.74,7.31,7.33,1096000,0
2015-08-26,7.45,7.45,7.03,7.25,718600,0
2015-08-27,7.28,7.55,7.24,7.55,1140100,0
2015-08-28,7.55,7.69,7.38,7.66,902100,0
2015-08-31,7.63,7.63,7.38,7.43,542400,0
2015-09-01,7.28,7.43,7.14,7.18,437800,0
2015-09-02,7.26,7.46,7.19,7.42,487300,0
2015-09-03,7.46,7.53,7.35,7.4,382200,0
2015-09-04,7.29,7.42,7.27,7.34,204900,0
2015-09-08,7.47,7.48,7.2,7.46,427300,0
2015-09-09,7.5,7.63,7.24,7.24,488500,0
2015-09-10,7.4,7.57,7.27,7.5,618827,0
2015-09-11,7.43,7.49,7.34,7.45,336200,0
2015-09-14,7.46,7.5,7.41,7.47,494300,0
2015-09-15,7.47,7.54,7.43,7.51,287100,0
2015-09-16,7.5,7.71,7.44,7.66,775800,0
2015-09-17,7.66,7.83,7.64,7.78,680600,0
2015-09-18,7.69,8.0,7.66,8.0,1328800,0
2015-09-21,8.0,8.07,7.87,7.94,421100,0
2015-09-22,7.86,7.95,7.81,7.9,459700,0
2015-09-23,7.96,8.0,7.81,7.89,488200,0
2015-09-24,7.84,7.89,7.69,7.75,694024,0
2015-09-25,7.84,7.86,7.39,7.43,758000,0
2015-09-28,7.42,7.49,7.13,7.14,700923,0
2015-09-29,7.13,7.22,6.9,7.07,658600,0
2015-09-30,7.15,7.25,7.1,7.21,469800,0
2015-10-01,7.24,7.24,6.98,7.13,330600,0
2015-10-02,7.08,7.3,7.03,7.3,313600,0
