Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,27.707,27.707,26.651,27.18,33918,0
2015-01-05,27.18,27.471,26.231,26.562,47154,0
2015-01-06,26.522,26.522,24.988,25.185,74260,0
2015-01-07,25.321,25.37,24.557,25.361,76982,0
2015-01-08,25.389,25.878,25.281,25.71,47546,0
2015-01-09,25.809,26.034,25.351,25.438,46774,0
2015-01-12,25.419,25.75,24.461,24.998,44992,0
2015-01-13,25.331,25.635,24.275,25.106,33899,0
2015-01-14,24.236,24.873,23.991,24.646,17680,0
2015-01-15,24.048,24.772,24.001,24.421,103864,0
2015-01-16,24.451,25.291,24.216,25.086,127817,0
2015-01-20,25.204,26.503,24.925,25.818,86070,0
2015-01-21,26.034,26.142,24.87,25.311,51005,0
2015-01-22,25.625,26.103,25.125,25.799,112105,0
2015-01-23,25.828,26.074,25.233,25.653,66358,0
2015-01-26,25.918,26.122,25.453,25.838,74564,0
2015-01-27,25.311,25.672,24.874,25.204,83399,0
2015-01-28,26.059,26.112,24.746,25.018,132829,0
2015-01-29,22.484,25.719,22.396,25.204,71879,0
2015-01-30,25.066,25.38,24.196,24.499,73997,0
2015-02-02,24.666,25.468,24.517,25.195,55148,0
2015-02-03,25.438,25.625,25.047,25.438,100128,0
2015-02-04,25.195,25.572,24.972,25.105,39307,0
2015-02-05,25.399,25.586,25.271,25.409,34850,0
2015-02-06,25.586,25.869,25.135,25.223,76136,0
2015-02-09,25.214,26.143,25.145,25.672,67960,0
2015-02-10,25.819,25.819,25.075,25.361,28241,0
2015-02-11,25.331,25.331,24.811,25.017,21939,0
2015-02-12,25.223,25.448,24.85,25.361,35723,0
2015-02-13,25.643,25.76,25.233,25.331,24969,0
2015-02-17,25.175,25.321,24.84,25.046,43462,0
2015-02-18,24.85,25.389,24.85,25.252,22616,0
2015-02-19,25.115,25.38,25.046,25.261,19821,0
2015-02-20,25.175,25.223,24.625,25.185,45543,0
2015-02-23,25.085,25.71,24.675,25.301,46722,0
2015-02-24,25.507,25.958,25.507,25.859,30077,0
2015-02-25,26.055,26.104,25.72,26.055,45440,0
2015-02-26,26.282,26.282,25.958,26.104,31807,0
2015-02-27,25.988,26.242,25.919,26.018,57975,0
2015-03-02,26.065,26.495,25.988,26.242,36957,0
2015-03-03,26.202,26.312,25.78,25.919,43900,0
2015-03-04,25.72,25.72,25.301,25.419,30423,0
2015-03-05,25.399,25.409,25.075,25.321,36345,0
2015-03-06,25.026,25.331,24.586,24.655,48084,0
2015-03-09,24.685,24.967,24.685,24.831,37060,0
2015-03-10,24.85,24.85,24.017,24.174,87389,0
2015-03-11,24.174,24.174,23.508,23.683,71871,0
2015-03-12,23.941,24.508,23.753,24.302,126388,0
2015-03-13,24.056,25.351,24.027,25.155,40834,0
2015-03-16,25.38,25.38,23.245,23.538,183968,0
2015-03-17,23.743,24.273,23.344,24.174,47677,0
2015-03-18,24.194,24.675,23.803,24.411,53087,0
2015-03-19,24.283,24.293,23.852,24.008,44819,0
2015-03-20,24.194,24.625,24.095,24.546,125775,0
2015-03-23,24.635,26.455,24.312,25.576,76670,0
2015-03-24,25.105,25.869,25.105,25.662,56558,0
2015-03-25,25.497,25.938,25.036,25.046,43388,0
2015-03-26,25.115,25.351,25.036,25.214,33179,0
2015-03-27,25.185,25.7,25.155,25.653,33179,0
2015-03-30,25.691,26.341,25.497,26.222,38284,0
2015-03-31,25.819,26.475,25.77,26.389,33390,0
2015-04-01,26.113,26.573,25.928,26.182,44920,0
2015-04-02,26.389,26.524,26.094,26.182,22152,0
2015-04-06,26.312,26.829,26.055,26.682,28177,0
2015-04-07,26.563,26.987,26.563,26.74,39208,0
2015-04-08,26.643,27.093,26.524,26.682,48390,0
2015-04-09,26.603,26.74,26.113,26.312,60430,0
2015-04-10,26.389,26.399,25.672,25.72,56558,0
2015-04-13,25.7,25.72,25.477,25.567,21336,0
2015-04-14,25.567,25.76,25.399,25.7,68401,0
2015-04-15,25.73,26.919,25.73,26.8,26827,0
2015-04-16,26.408,26.408,25.321,25.341,66432,0
2015-04-17,25.879,25.879,24.42,24.566,40326,0
2015-04-20,24.714,24.836,24.244,24.312,130186,0
2015-04-21,24.478,24.72,24.214,24.342,30297,0
2015-04-22,24.254,24.361,23.941,24.184,23177,0
2015-04-23,24.204,24.254,23.823,23.931,24194,0
2015-04-24,23.882,23.931,23.478,23.655,31983,0
2015-04-27,23.823,23.989,23.275,23.645,75343,0
2015-04-28,23.713,24.791,23.468,24.704,80629,0
2015-04-29,24.312,24.948,24.312,24.685,45124,0
2015-04-30,24.429,25.145,24.381,24.84,90249,0
2015-05-01,25.017,25.135,24.184,24.889,42163,0
2015-05-04,24.821,25.351,24.508,24.586,33179,0
2015-05-05,24.526,24.977,23.548,23.733,47882,0
2015-05-06,23.842,24.657,23.488,24.382,34934,0
2015-05-07,24.274,24.372,23.95,24.245,22174,0
2015-05-08,24.607,24.823,24.43,24.677,31290,0
2015-05-11,24.567,24.706,23.382,23.478,76240,0
2015-05-12,23.449,23.969,23.214,23.665,41404,0
2015-05-13,23.645,23.842,23.567,23.615,13648,0
2015-05-14,23.763,24.647,23.723,24.402,50249,0
2015-05-15,24.421,24.421,24.135,24.294,56963,0
2015-05-18,24.333,24.901,24.037,24.745,35934,0
2015-05-19,24.44,24.627,24.037,24.115,21875,0
2015-05-20,24.047,24.499,23.921,24.382,17530,0
2015-05-21,24.577,24.687,24.145,24.469,19164,0
2015-05-22,24.353,24.557,24.125,24.135,20995,0
2015-05-26,24.095,24.095,23.498,23.615,45739,0
2015-05-27,23.743,24.175,23.528,24.125,43012,0
2015-05-28,23.743,23.743,20.576,23.056,88081,0
2015-05-29,22.947,23.902,21.79,22.379,59726,0
2015-06-01,22.477,22.56,21.739,22.125,64458,0
2015-06-02,21.988,23.508,21.988,22.832,84975,0
