Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,13.906,14.056,13.469,13.798,181321,0
2015-01-05,13.681,13.836,12.951,13.068,322165,0
2015-01-06,13.005,13.248,12.418,12.692,350547,0
2015-01-07,12.802,13.163,12.536,12.536,384292,0
2015-01-08,12.654,13.077,12.543,12.724,491002,0
2015-01-09,12.833,13.092,12.74,12.755,368845,0
2015-01-12,12.747,12.935,12.575,12.833,233738,0
2015-01-13,12.858,13.184,12.592,12.709,298616,0
2015-01-14,12.575,13.171,12.575,13.068,389555,0
2015-01-15,13.139,13.303,12.833,13.184,265135,0
2015-01-16,13.184,13.353,12.94,13.059,130138,0
2015-01-20,13.13,13.338,12.907,13.266,148046,0
2015-01-21,13.283,13.584,13.026,13.218,233835,0
2015-01-22,13.331,13.608,13.227,13.576,134329,0
2015-01-23,13.584,13.584,13.304,13.387,195756,0
2015-01-26,13.402,13.632,13.218,13.568,154762,0
2015-01-27,13.481,13.808,13.331,13.792,156104,0
2015-01-28,13.864,14.117,13.736,13.975,424207,0
2015-01-29,14.063,14.063,13.545,13.647,177215,0
2015-01-30,13.545,13.616,13.313,13.608,206424,0
2015-02-02,13.594,13.872,13.559,13.721,129989,0
2015-02-03,13.84,14.182,13.727,14.102,144904,0
2015-02-04,13.99,14.108,13.84,14.024,142126,0
2015-02-05,14.739,14.905,14.293,14.821,391025,0
2015-02-06,14.884,15.218,14.835,15.074,230027,0
2015-02-09,15.163,15.163,14.621,14.635,233320,0
2015-02-10,14.693,14.962,14.398,14.962,160998,0
2015-02-11,14.85,15.218,14.716,15.122,155468,0
2015-02-12,15.17,15.489,15.137,15.378,186391,0
2015-02-13,15.489,15.656,15.378,15.617,111003,0
2015-02-17,15.529,15.576,15.243,15.537,94648,0
2015-02-18,15.481,15.601,15.306,15.417,76652,0
2015-02-19,15.321,15.448,15.257,15.266,69432,0
2015-02-20,15.473,15.473,15.115,15.186,86522,0
2015-02-23,15.122,15.17,15.026,15.106,69033,0
2015-02-24,15.026,15.218,14.939,15.186,75107,0
2015-02-25,15.137,15.29,15.018,15.218,89350,0
2015-02-26,15.243,15.585,14.939,15.456,131060,0
2015-02-27,15.473,15.688,15.266,15.481,132634,0
2015-03-02,15.537,15.712,15.362,15.649,83717,0
2015-03-03,15.671,15.903,15.498,15.766,106435,0
2015-03-04,15.671,15.727,15.448,15.631,92875,0
2015-03-05,15.601,15.649,15.106,15.186,102792,0
2015-03-06,14.948,15.115,14.828,14.939,84970,0
2015-03-09,14.9,14.923,14.677,14.803,124758,0
2015-03-10,14.549,14.596,14.437,14.541,75809,0
2015-03-11,14.587,14.995,14.486,14.939,125258,0
2015-03-12,14.986,15.274,14.716,14.939,86099,0
2015-03-13,14.939,14.939,14.541,14.794,83964,0
2015-03-16,14.843,14.843,14.486,14.58,93632,0
2015-03-17,14.509,14.876,14.452,14.78,78192,0
2015-03-18,14.725,14.979,14.524,14.932,78066,0
2015-03-19,14.835,14.905,14.518,14.765,136179,0
2015-03-20,14.78,14.962,14.78,14.939,86978,0
2015-03-23,14.914,15.274,14.914,15.106,53092,0
2015-03-24,15.089,15.098,14.86,15.026,118482,0
2015-03-25,14.955,15.226,14.812,15.115,113337,0
2015-03-26,15.05,15.145,14.557,14.572,211109,0
2015-03-27,14.486,14.621,14.19,14.325,193915,0
2015-03-30,14.373,14.445,14.045,14.063,167558,0
2015-03-31,14.126,14.158,13.831,14.03,209581,0
2015-04-01,13.967,14.145,13.703,13.76,232572,0
2015-04-02,14.016,14.151,13.681,13.952,186385,0
2015-04-06,13.96,14.135,13.824,13.999,170193,0
2015-04-07,13.967,14.117,13.594,13.736,225408,0
2015-04-08,13.76,13.903,13.625,13.84,175464,0
2015-04-09,13.765,14.055,13.712,14.055,217105,0
2015-04-10,14.126,14.58,14.126,14.518,145968,0
2015-04-13,14.486,14.739,14.486,14.677,131662,0
2015-04-14,14.739,14.962,14.716,14.955,197304,0
2015-04-15,14.923,15.537,14.923,15.442,246256,0
2015-04-16,15.433,16.006,15.346,15.688,326974,0
2015-04-17,15.688,15.802,15.397,15.767,194148,0
2015-04-20,15.712,15.712,15.203,15.364,358150,0
2015-04-21,15.388,15.446,15.267,15.324,147241,0
2015-04-22,15.324,15.438,15.25,15.275,101204,0
2015-04-23,15.324,15.664,15.258,15.63,183637,0
2015-04-24,15.719,15.81,15.639,15.746,150126,0
2015-04-27,15.727,15.939,15.575,15.616,130464,0
2015-04-28,15.599,15.767,15.591,15.727,120817,0
2015-04-29,15.897,16.481,15.754,16.391,398811,0
2015-04-30,16.27,16.487,16.254,16.359,184011,0
2015-05-01,16.375,16.416,16.085,16.262,99919,0
2015-05-04,16.223,16.407,16.188,16.327,143201,0
2015-05-05,16.343,16.399,16.206,16.319,111542,0
2015-05-06,16.319,16.578,16.262,16.457,150458,0
2015-05-07,16.407,16.407,15.988,16.109,161106,0
2015-05-08,16.309,16.447,16.214,16.407,82607,0
2015-05-11,16.335,16.425,16.02,16.085,88913,0
2015-05-12,16.035,16.335,16.02,16.278,102438,0
2015-05-13,16.327,16.473,16.003,16.167,86439,0
2015-05-14,16.214,16.309,16.172,16.245,92622,0
2015-05-15,16.237,16.27,16.085,16.197,91353,0
2015-05-18,16.052,16.27,15.946,16.262,88038,0
2015-05-19,16.229,16.327,15.776,15.97,120077,0
2015-05-20,16.027,16.027,15.841,16.011,72465,0
2015-05-21,16.003,16.254,15.979,16.117,76302,0
2015-05-22,16.1,16.167,15.956,16.158,68014,0
2015-05-26,16.076,16.076,15.373,15.705,140331,0
2015-05-27,15.696,15.858,15.575,15.746,82482,0
2015-05-28,15.696,15.759,15.413,15.705,107963,0
2015-05-29,15.655,15.882,15.38,15.849,116738,0
2015-06-01,15.897,15.97,15.696,15.825,112075,0
2015-06-02,15.849,16.132,15.639,15.97,92798,0
2015-06-03,15.939,16.229,15.939,16.109,113275,0
2015-06-04,16.011,16.067,15.767,15.979,109195,0
2015-06-05,15.89,16.303,15.818,16.223,124404,0
2015-06-08,16.223,16.425,15.995,16.149,120817,0
2015-06-09,16.109,16.149,15.648,15.833,152736,0
2015-06-10,15.97,16.52,15.923,16.149,144247,0
