Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,61.07,61.61,59.0,60.0,120247,0
2015-01-05,59.41,59.41,57.85,58.0,196771,0
2015-01-06,58.24,58.63,56.53,56.81,234369,0
2015-01-07,57.38,57.54,56.3,56.78,239302,0
2015-01-08,57.88,58.645,56.55,57.99,166244,0
2015-01-09,57.89,59.02,57.23,58.0,99328,0
2015-01-12,58.388,58.388,56.39,57.35,87158,0
2015-01-13,58.0,59.18,56.76,57.51,128374,0
2015-01-14,56.35,57.07,56.21,56.85,62219,0
2015-01-15,57.01,57.01,54.62,54.64,87961,0
2015-01-16,54.5,55.29,53.82,54.49,223487,0
2015-01-20,54.49,55.18,53.76,54.7,183302,0
2015-01-21,54.45,55.2,54.01,54.43,69764,0
2015-01-22,54.75,54.922,53.895,54.78,409107,0
2015-01-23,54.65,55.96,54.63,55.81,81974,0
2015-01-26,55.68,56.48,54.78,56.28,80842,0
2015-01-27,55.86,56.69,55.49,55.91,78144,0
2015-01-28,56.15,56.47,54.93,55.1,95424,0
2015-01-29,55.581,55.581,53.95,54.3,262464,0
2015-01-30,57.88,65.08,56.73,61.88,504018,0
2015-02-02,61.91,63.95,61.81,63.47,177134,0
2015-02-03,63.5,64.91,63.5,64.48,114447,0
2015-02-04,63.99,65.53,63.99,64.6,157987,0
2015-02-05,64.77,65.79,64.55,65.22,87053,0
2015-02-06,65.4,66.45,64.32,64.5,144492,0
2015-02-09,64.55,65.31,63.79,63.91,90571,0
2015-02-10,64.52,64.52,63.13,63.79,134535,0
2015-02-11,63.58,64.95,63.56,64.36,113422,0
2015-02-12,64.77,65.52,63.39,64.7,144670,0
2015-02-13,64.71,65.25,64.26,64.95,72839,0
2015-02-17,64.99,65.45,64.16,64.53,81656,0
2015-02-18,64.24,64.77,63.86,64.54,72820,0
2015-02-19,64.22,64.96,64.2,64.68,66324,0
2015-02-20,64.8,65.29,64.05,64.57,86770,0
2015-02-23,64.38,64.83,63.39,64.58,102029,0
2015-02-24,64.44,65.62,64.33,64.69,107261,0
2015-02-25,64.57,64.98,63.79,64.62,53637,0
2015-02-26,64.62,64.965,64.17,64.61,81026,0
2015-02-27,63.88,64.83,63.88,64.24,147435,0
2015-03-02,65.0,65.5,63.9,65.47,127500,0
2015-03-03,65.14,66.96,64.9,66.49,180700,0
2015-03-04,66.44,66.96,65.15,65.5,222700,0
2015-03-05,65.23,66.71,64.64,66.18,153300,0
