Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,87.145,88.431,85.289,88.204,30859,0
2015-01-05,87.422,88.361,86.734,87.548,13933,0
2015-01-06,87.548,87.97,86.369,86.951,12033,0
2015-01-07,87.714,87.834,86.369,87.481,13402,0
2015-01-08,87.724,88.531,86.517,88.511,12797,0
2015-01-09,88.145,88.58,86.805,88.551,18060,0
2015-01-12,88.333,89.109,87.874,88.561,10151,0
2015-01-13,89.089,89.865,88.333,89.609,13125,0
2015-01-14,88.678,89.904,87.824,89.904,10409,0
2015-01-15,90.592,92.151,88.942,92.122,23853,0
2015-01-16,91.679,94.211,90.709,94.211,33583,0
2015-01-20,93.652,97.246,93.084,96.646,36470,0
2015-01-21,96.872,97.687,96.186,97.557,30925,0
2015-01-22,97.461,100.99,97.049,100.95,29267,0
2015-01-23,98.947,102.85,98.617,102.1,55440,0
2015-01-26,102.91,103.74,98.463,103.12,20192,0
2015-01-27,103.05,103.05,100.28,102.02,28735,0
2015-01-28,102.67,102.83,97.854,99.399,32962,0
2015-01-29,99.334,99.9,96.053,97.096,34471,0
2015-01-30,96.123,98.521,94.804,95.964,29685,0
2015-02-02,95.434,96.516,94.41,95.709,29408,0
2015-02-03,96.337,97.982,94.834,96.947,26577,0
2015-02-04,97.401,100.88,96.575,99.94,32319,0
2015-02-05,100.78,100.78,98.72,100.28,12284,0
2015-02-06,100.17,100.67,98.676,98.868,24775,0
2015-02-09,98.235,98.769,97.304,98.07,18866,0
2015-02-10,98.937,99.72,97.46,98.527,18593,0
2015-02-11,98.157,98.829,97.894,97.913,9956,0
2015-02-12,98.472,98.898,98.324,98.666,6441,0
2015-02-13,98.491,99.344,97.325,99.138,16193,0
2015-02-17,99.158,99.305,97.401,98.7,19652,0
2015-02-18,98.383,101.32,97.596,101.28,19086,0
2015-02-19,100.5,101.58,99.439,100.15,16176,0
2015-02-20,100.25,102.32,99.58,100.6,20631,0
2015-02-23,100.12,102.19,99.314,101.1,18441,0
2015-02-24,100.54,102.32,98.71,101.72,13634,0
2015-02-25,102.28,102.33,100.66,101.93,6440,0
2015-02-26,102.63,103.23,101.62,102.13,13102,0
2015-02-27,102.57,105.64,102.33,102.7,13952,0
2015-03-02,103.29,104.74,103.29,103.94,9250,0
2015-03-03,104.03,104.96,103.71,104.64,20532,0
2015-03-04,104.29,104.61,101.82,102.56,23479,0
2015-03-05,102.62,102.88,97.676,99.78,47568,0
2015-03-06,99.088,101.39,98.799,100.37,24292,0
2015-03-09,101.72,104.27,100.75,103.97,33542,0
2015-03-10,101.85,104.29,101.34,103.14,22158,0
2015-03-11,102.99,103.72,101.85,101.98,19821,0
2015-03-12,103.0,105.29,102.32,104.75,24190,0
2015-03-13,104.29,105.23,103.3,104.92,22258,0
2015-03-16,104.92,106.25,104.0,106.15,17076,0
2015-03-17,106.17,106.17,103.99,104.45,10064,0
2015-03-18,105.04,106.05,104.13,105.26,14332,0
2015-03-19,103.41,105.4,103.41,105.04,12501,0
2015-03-20,105.26,106.25,104.64,105.84,18194,0
2015-03-23,106.02,106.25,105.43,105.64,16263,0
2015-03-24,106.21,107.9,105.71,107.12,24394,0
2015-03-25,107.72,108.2,105.15,105.15,16873,0
2015-03-26,103.41,105.73,103.41,105.23,17890,0
2015-03-27,105.37,110.2,104.79,109.78,27443,0
2015-03-30,109.81,114.23,109.81,111.71,20532,0
2015-03-31,112.02,112.13,110.34,111.24,10423,0
2015-04-01,112.37,112.38,110.63,112.14,15044,0
2015-04-02,112.23,113.13,111.86,112.65,18296,0
2015-04-06,112.15,113.97,112.13,113.56,37202,0
2015-04-07,113.79,113.89,112.95,113.84,13198,0
2015-04-08,113.73,114.13,113.33,114.13,13925,0
2015-04-09,114.55,114.55,112.19,112.64,18481,0
2015-04-10,112.46,114.12,112.38,113.99,19821,0
2015-04-13,114.07,114.16,112.78,113.2,16364,0
2015-04-14,113.18,114.11,112.95,113.43,8234,0
2015-04-15,113.99,114.09,112.99,113.24,9496,0
2015-04-16,112.58,113.33,112.52,113.18,8364,0
2015-04-17,112.72,113.15,109.52,109.53,15958,0
2015-04-20,110.88,111.89,110.73,111.84,7631,0
2015-04-21,110.33,113.11,110.33,112.86,10552,0
2015-04-22,113.13,113.61,111.95,112.33,10676,0
2015-04-23,112.14,112.89,110.27,111.22,17483,0
2015-04-24,111.49,112.25,111.19,111.53,8398,0
2015-04-27,111.64,112.73,111.56,112.15,9859,0
2015-04-28,112.66,112.66,111.85,112.09,8496,0
2015-04-29,112.36,112.88,109.65,109.91,12575,0
2015-04-30,109.95,112.43,109.95,111.42,29006,0
2015-05-01,112.33,112.33,109.96,109.96,12071,0
2015-05-04,110.98,111.69,109.79,110.77,13690,0
2015-05-05,110.12,110.92,109.71,110.7,22516,0
2015-05-06,109.72,112.14,109.72,111.65,18953,0
2015-05-07,111.92,112.06,110.45,111.42,13901,0
2015-05-08,111.77,112.09,110.63,111.59,11155,0
2015-05-11,111.01,112.89,111.01,111.56,22921,0
2015-05-12,111.42,111.42,109.71,109.71,26507,0
2015-05-13,110.14,111.31,109.65,110.22,20468,0
2015-05-14,111.37,111.42,109.97,110.92,15619,0
2015-05-15,111.14,111.63,110.59,110.97,11237,0
2015-05-18,109.52,111.51,109.52,111.5,22798,0
2015-05-19,111.64,112.59,111.42,112.26,14685,0
2015-05-20,112.25,114.3,111.6,113.81,22210,0
2015-05-21,114.3,114.76,112.5,112.78,16632,0
2015-05-22,113.3,114.29,111.06,111.42,13690,0
2015-05-26,111.4,112.67,111.15,111.42,21858,0
2015-05-27,111.47,112.41,111.42,111.94,14300,0
2015-05-28,111.36,111.54,110.54,110.97,9859,0
2015-05-29,111.4,112.39,110.52,111.96,16735,0
2015-06-01,114.85,121.01,112.06,120.76,96893,0
2015-06-02,120.45,123.41,118.7,121.54,130521,0
2015-06-03,121.46,123.04,121.19,122.28,40465,0
2015-06-04,122.73,123.89,121.29,122.57,42900,0
2015-06-05,122.26,123.02,120.48,122.11,33974,0
2015-06-08,122.46,122.46,119.3,121.28,21805,0
2015-06-09,121.41,121.41,119.56,120.0,22168,0
2015-06-10,120.46,122.02,120.28,120.67,19409,0
2015-06-11,121.04,122.8,121.04,122.15,15137,0
2015-06-12,122.15,122.33,120.65,121.26,16228,0
2015-06-15,120.69,121.52,119.56,121.24,22008,0
2015-06-16,121.14,123.5,120.28,123.0,28801,0
2015-06-17,123.66,128.85,123.03,128.61,36105,0
2015-06-18,128.65,131.71,122.27,131.27,27891,0
2015-06-19,132.09,136.07,131.65,135.31,49290,0
2015-06-22,139.09,143.89,137.32,142.48,69879,0
2015-06-23,143.96,143.96,141.0,142.24,48338,0
2015-06-24,141.77,143.94,141.29,141.32,33672,0
2015-06-25,142.41,144.51,141.13,143.5,32049,0
