Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,15.039,15.066,14.527,14.748,327167,0
2015-01-05,14.638,14.647,14.281,14.294,346607,0
2015-01-06,14.304,14.527,13.912,13.988,429580,0
2015-01-07,14.128,14.181,13.903,14.128,370585,0
2015-01-08,14.228,14.537,14.166,14.452,414210,0
2015-01-09,14.322,14.442,14.061,14.061,543743,0
2015-01-12,14.015,14.023,13.821,13.865,735882,0
2015-01-13,14.015,14.208,13.811,13.912,800213,0
2015-01-14,13.68,13.847,13.58,13.821,537796,0
2015-01-15,13.801,13.839,13.624,13.68,807152,0
2015-01-16,13.652,13.998,13.652,13.96,450952,0
2015-01-20,13.998,13.998,13.764,13.821,714551,0
2015-01-21,13.745,13.903,13.607,13.652,455567,0
2015-01-22,13.644,14.571,13.512,14.294,1241918,0
2015-01-23,14.128,14.218,13.811,14.089,1129778,0
2015-01-26,13.95,14.331,13.856,14.286,539555,0
2015-01-27,14.181,14.237,14.023,14.108,377594,0
2015-01-28,14.2,14.218,13.712,13.726,581256,0
2015-01-29,13.736,14.001,13.66,13.998,423430,0
2015-01-30,13.829,13.988,13.58,13.587,626391,0
2015-02-02,13.67,14.041,13.54,14.006,465270,0
2015-02-03,14.128,14.527,14.128,14.341,390883,0
2015-02-04,14.294,14.488,14.166,14.195,310924,0
2015-02-05,14.286,14.581,14.237,14.562,440866,0
2015-02-06,14.647,14.962,14.647,14.741,508326,0
2015-02-09,14.694,14.722,14.424,14.433,270152,0
2015-02-10,14.581,14.814,14.331,14.518,381708,0
2015-02-11,14.471,14.471,14.247,14.377,315611,0
2015-02-12,14.488,14.741,14.488,14.732,324006,0
2015-02-13,14.722,14.824,14.61,14.748,330654,0
2015-02-17,14.758,14.88,14.667,14.871,350962,0
2015-02-18,14.862,14.871,14.657,14.787,545882,0
2015-02-19,14.741,14.833,14.619,14.722,396262,0
2015-02-20,14.722,14.758,14.462,14.722,386145,0
2015-02-23,14.647,14.647,14.415,14.537,526139,0
2015-02-24,14.537,14.685,14.507,14.571,472881,0
2015-02-25,14.508,14.571,14.433,14.471,283805,0
2015-02-26,14.471,14.633,14.396,14.61,412801,0
2015-02-27,14.638,14.732,14.442,14.554,415419,0
2015-03-02,14.601,14.824,14.527,14.712,385598,0
2015-03-03,14.619,14.732,14.488,14.571,314306,0
2015-03-04,14.452,14.527,14.367,14.488,372585,0
2015-03-05,14.481,14.61,14.294,14.471,340112,0
2015-03-06,14.452,14.842,14.433,14.452,735062,0
2015-03-09,14.498,14.702,14.415,14.619,501727,0
2015-03-10,14.508,14.581,14.314,14.396,524953,0
2015-03-11,14.554,14.667,14.377,14.562,559683,0
2015-03-12,14.722,15.056,14.581,14.972,856893,0
2015-03-13,15.01,15.066,14.628,14.88,672158,0
2015-03-16,14.89,14.908,14.732,14.748,365705,0
2015-03-17,14.657,14.899,14.619,14.899,478501,0
2015-03-18,14.972,15.056,14.647,14.712,572586,0
2015-03-19,14.702,14.908,14.518,14.732,1315394,0
2015-03-20,14.842,15.075,14.498,14.925,843666,0
2015-03-23,14.908,15.01,14.647,14.712,710762,0
2015-03-24,14.833,14.833,14.554,14.562,1173132,0
2015-03-25,14.571,14.767,14.442,14.462,1037110,0
2015-03-26,14.452,14.628,14.314,14.601,438931,0
2015-03-27,14.537,14.638,14.304,14.619,456565,0
2015-03-30,14.695,15.099,14.695,14.947,597029,0
2015-03-31,14.901,14.974,14.768,14.938,532691,0
2015-04-01,14.825,14.92,14.628,14.798,452759,0
2015-04-02,14.816,15.033,14.816,14.91,391295,0
2015-04-06,14.733,14.882,14.591,14.778,388630,0
2015-04-07,14.759,14.864,14.647,14.788,382376,0
2015-04-08,14.825,14.882,14.703,14.749,301983,0
2015-04-09,14.686,14.788,14.517,14.686,168847,0
2015-04-10,14.742,14.825,14.628,14.816,180976,0
2015-04-13,14.807,15.089,14.798,15.013,267196,0
2015-04-14,15.013,15.013,14.713,14.873,303581,0
2015-04-15,14.938,15.219,14.788,15.107,424372,0
2015-04-16,15.107,15.107,14.882,15.042,359642,0
2015-04-17,14.928,14.947,14.619,14.677,360137,0
2015-04-20,14.677,14.974,14.657,14.882,231892,0
2015-04-21,14.91,15.013,14.816,14.844,250523,0
2015-04-22,14.825,14.974,14.667,14.957,358934,0
2015-04-23,14.864,15.163,14.778,14.984,605777,0
2015-04-24,14.957,15.099,14.768,14.816,361709,0
2015-04-27,14.864,15.023,14.581,14.713,436751,0
2015-04-28,14.733,15.004,14.686,14.994,409960,0
2015-04-29,14.957,15.124,14.901,14.994,387990,0
2015-04-30,14.947,14.994,14.638,14.667,686130,0
2015-05-01,14.703,14.816,14.48,14.553,508995,0
2015-05-04,14.703,14.749,14.536,14.686,396631,0
2015-05-05,14.601,14.798,14.581,14.677,433552,0
2015-05-06,14.723,14.864,14.581,14.844,392541,0
2015-05-07,14.816,14.896,14.703,14.835,349901,0
2015-05-08,14.91,14.965,14.742,14.891,282988,0
2015-05-11,14.713,15.089,14.713,15.042,376465,0
2015-05-12,15.004,15.134,14.807,15.055,250967,0
2015-05-13,15.023,15.143,14.878,15.089,436836,0
2015-05-14,15.089,15.247,14.994,15.219,374332,0
2015-05-15,15.163,15.219,14.778,14.994,491139,0
2015-05-18,14.835,15.33,14.835,15.276,469908,0
2015-05-19,15.322,15.37,15.239,15.322,452303,0
2015-05-20,15.2,15.388,15.2,15.36,357896,0
2015-05-21,15.34,15.481,15.2,15.322,579422,0
2015-05-22,15.35,15.388,15.229,15.239,217682,0
2015-05-26,15.153,15.2,14.994,15.143,426844,0
2015-05-27,15.182,15.426,15.07,15.379,290565,0
2015-05-28,15.37,15.445,15.294,15.445,316832,0
2015-05-29,15.37,15.455,15.163,15.37,485519,0
2015-06-01,15.445,15.481,15.182,15.21,755138,0
2015-06-02,15.182,15.5,15.153,15.435,335331,0
2015-06-03,15.5,15.809,15.435,15.697,591586,0
2015-06-04,15.658,15.687,15.445,15.519,319803,0
2015-06-05,15.632,15.847,15.603,15.809,805962,0
2015-06-08,15.744,15.969,15.744,15.866,747913,0
2015-06-09,15.894,16.204,15.762,16.099,522091,0
2015-06-10,16.249,16.492,16.128,16.447,979783,0
2015-06-11,16.42,16.522,16.325,16.522,438977,0
2015-06-12,16.437,16.522,16.315,16.447,399299,0
2015-06-15,16.363,16.363,16.08,16.268,672684,0
2015-06-16,16.212,16.475,16.194,16.456,457243,0
2015-06-17,16.542,16.542,16.118,16.168,352241,0
2015-06-18,16.185,16.42,16.07,16.372,419146,0
2015-06-19,16.231,16.492,16.231,16.429,843522,0
2015-06-22,16.502,16.614,16.437,16.569,334527,0
2015-06-23,16.607,16.851,16.522,16.784,450645,0
2015-06-24,16.755,16.86,16.642,16.729,465886,0
2015-06-25,16.822,16.944,16.642,16.812,596815,0
2015-06-26,16.869,16.972,16.802,16.944,1483663,0
2015-06-29,16.774,16.954,16.465,16.492,433018,0
2015-06-30,16.818,16.831,16.4,16.502,626398,0
2015-07-01,16.701,16.822,16.598,16.738,496404,0
2015-07-02,16.588,16.738,16.325,16.41,531832,0
2015-07-06,16.372,16.57,16.192,16.552,455591,0
2015-07-07,16.493,16.493,15.995,16.277,620491,0
2015-07-08,16.183,16.334,16.06,16.221,852472,0
2015-07-09,16.39,16.616,16.343,16.58,577570,0
2015-07-10,16.825,16.909,16.513,16.757,671889,0
2015-07-13,16.863,17.022,16.805,16.986,509215,0
2015-07-14,16.881,17.03,16.844,16.986,443579,0
2015-07-15,17.08,17.191,16.966,17.022,424937,0
2015-07-16,17.165,17.25,17.089,17.155,534864,0
2015-07-17,17.181,17.181,16.909,17.022,623247,0
2015-07-20,17.089,17.191,16.938,17.06,607456,0
2015-07-21,17.06,17.288,16.881,16.918,346119,0
2015-07-22,16.966,17.201,16.948,17.118,394233,0
2015-07-23,17.211,17.334,16.654,16.786,826720,0
2015-07-24,16.863,16.89,16.654,16.674,624835,0
2015-07-27,16.57,16.702,16.4,16.513,350887,0
2015-07-28,16.624,16.624,16.307,16.523,321850,0
2015-07-29,16.484,16.616,16.4,16.58,394018,0
2015-07-30,16.456,16.654,16.456,16.616,432063,0
2015-07-31,16.589,16.712,16.447,16.712,806056,0
2015-08-03,16.767,16.815,16.493,16.684,399834,0
2015-08-04,16.702,16.899,16.644,16.74,393171,0
2015-08-05,16.805,17.022,16.702,16.815,447536,0
2015-08-06,16.881,16.918,16.634,16.731,265146,0
2015-08-07,16.644,16.805,16.437,16.561,225304,0
2015-08-10,16.702,16.834,16.624,16.749,550970,0
2015-08-11,16.616,16.731,16.484,16.608,335343,0
2015-08-12,16.523,16.624,16.05,16.267,268756,0
2015-08-13,16.307,16.437,16.136,16.287,282745,0
2015-08-14,16.211,16.503,16.192,16.503,324923,0
2015-08-17,16.4,16.674,16.277,16.552,300125,0
2015-08-18,16.58,16.694,16.475,16.533,347602,0
2015-08-19,16.447,16.493,16.248,16.258,389461,0
2015-08-20,16.078,16.078,15.777,15.795,717142,0
2015-08-21,15.332,15.9,15.305,15.721,926234,0
2015-08-24,14.964,15.381,14.747,14.824,702569,0
2015-08-25,15.099,15.259,14.437,14.457,903342,0
2015-08-26,14.805,14.909,14.493,14.872,792489,0
2015-08-27,15.004,15.239,14.89,15.099,758153,0
2015-08-28,15.042,15.192,15.004,15.116,906098,0
2015-08-31,15.004,15.362,15.004,15.332,579691,0
2015-09-01,15.099,15.125,14.74,14.824,938313,0
