Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,5.45,5.6,5.45,5.57,18621,0
2015-01-05,5.45,5.59,5.26,5.29,33599,0
2015-01-06,5.34,5.43,5.11,5.28,17864,0
2015-01-07,5.27,5.41,5.1,5.39,12907,0
2015-01-08,5.53,5.53,5.15,5.23,19387,0
2015-01-09,5.25,5.25,5.1,5.19,23553,0
2015-01-12,5.17,5.19,5.13,5.18,14038,0
2015-01-13,5.18,5.18,5.01,5.05,10455,0
2015-01-14,5.03,5.09,5.01,5.05,10900,0
2015-01-15,5.02,5.25,5.01,5.25,16715,0
2015-01-16,5.17,5.3,5.01,5.19,15418,0
2015-01-20,5.19,5.19,5.01,5.18,26033,0
2015-01-21,5.09,5.19,5.02,5.15,5516,0
2015-01-22,5.17,5.31,5.03,5.31,19495,0
2015-01-23,5.37,5.37,5.04,5.16,7219,0
2015-01-26,5.06,5.17,5.01,5.06,9968,0
2015-01-27,5.06,5.08,4.66,4.85,18721,0
2015-01-28,4.96,4.97,4.8,4.89,7127,0
2015-01-29,4.9,5.01,4.76,5.01,28132,0
2015-01-30,5.03,5.08,4.75,4.9,9498,0
2015-02-02,4.95,4.97,4.75,4.87,17781,0
2015-02-03,4.86,4.94,4.6,4.71,17732,0
2015-02-04,4.61,4.95,4.61,4.72,12022,0
2015-02-05,4.81,4.89,4.56,4.57,14947,0
2015-02-06,4.64,5.91,4.6,5.59,154393,0
2015-02-09,5.6,6.35,5.52,6.06,64108,0
2015-02-10,6.29,6.3,5.27,5.37,58085,0
2015-02-11,5.66,5.99,5.36,5.43,32488,0
2015-02-12,5.71,5.94,5.52,5.87,52758,0
2015-02-13,5.75,5.94,5.45,5.86,64975,0
2015-02-17,5.9,6.13,5.72,6.13,23601,0
2015-02-18,6.0,6.13,6.0,6.1,11920,0
2015-02-19,6.05,6.08,5.87,5.94,11526,0
2015-02-20,5.83,5.98,5.82,5.97,25213,0
2015-02-23,5.98,6.25,5.89,6.23,31233,0
2015-02-24,6.14,6.23,5.98,6.19,16420,0
2015-02-25,6.07,6.23,6.0,6.21,13334,0
2015-02-26,6.24,6.25,5.94,6.19,35569,0
2015-02-27,6.1,6.29,5.92,6.29,22780,0
2015-03-02,6.29,6.37,6.25,6.37,12200,0
2015-03-03,6.33,6.37,6.28,6.37,2200,0
2015-03-04,6.37,6.4,6.35,6.4,52500,0
2015-03-05,6.3,6.4,6.24,6.4,12600,0
2015-03-06,6.4,6.43,6.28,6.41,17900,0
2015-03-09,6.4,6.4,6.0,6.17,25800,0
2015-03-10,6.04,6.14,5.95,6.11,16600,0
2015-03-11,5.99,6.12,5.99,6.12,6300,0
2015-03-12,6.16,6.16,6.02,6.16,7300,0
2015-03-13,6.12,6.21,6.04,6.21,10500,0
2015-03-16,6.2,6.25,6.01,6.24,17600,0
2015-03-17,6.26,6.27,6.07,6.23,7100,0
2015-03-18,6.11,6.28,6.06,6.2,15000,0
2015-03-19,6.28,6.3,6.02,6.24,31100,0
2015-03-20,6.11,6.4,6.11,6.11,75200,0
2015-03-23,6.11,6.45,6.11,6.37,21900,0
2015-03-24,6.44,6.49,6.16,6.44,16200,0
2015-03-25,6.47,6.54,6.39,6.5,16800,0
2015-03-26,6.55,6.55,6.46,6.49,86600,0
2015-03-27,6.47,6.5,6.42,6.5,5900,0
2015-03-30,6.49,6.5,6.34,6.49,10400,0
2015-03-31,6.42,6.52,6.41,6.51,15696,0
2015-04-01,6.47,6.54,6.36,6.47,6500,0
2015-04-02,6.5,6.5,6.35,6.4,11800,0
2015-04-06,6.39,6.48,6.3,6.46,10600,0
2015-04-07,6.39,6.47,6.39,6.45,5528,0
2015-04-08,6.5,6.5,6.31,6.37,9600,0
2015-04-09,6.47,6.51,6.37,6.5,20972,0
2015-04-10,6.49,6.51,6.41,6.51,4600,0
2015-04-13,6.42,6.49,6.41,6.48,6700,0
2015-04-14,6.51,6.51,6.35,6.36,17400,0
2015-04-15,6.3,6.3,6.21,6.22,14287,0
2015-04-16,6.29,6.29,6.01,6.04,7336,0
2015-04-17,6.04,6.17,5.94,6.14,10900,0
2015-04-20,6.03,6.16,6.03,6.08,17421,0
2015-04-21,6.06,6.15,6.04,6.13,9141,0
2015-04-22,6.15,6.28,6.09,6.24,4973,0
