Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,12.963,13.163,12.736,12.887,237747,0
2015-01-05,12.743,12.845,12.626,12.77,234659,0
2015-01-06,12.92,12.92,12.653,12.761,153352,0
2015-01-07,12.92,13.004,12.811,12.928,163078,0
2015-01-08,13.054,13.131,13.004,13.046,163784,0
2015-01-09,13.139,13.139,12.928,12.928,96680,0
2015-01-12,12.963,12.963,12.778,12.811,143957,0
2015-01-13,12.946,13.021,12.626,12.72,211174,0
2015-01-14,12.618,12.695,12.493,12.618,202531,0
2015-01-15,12.72,12.72,12.56,12.586,284505,0
2015-01-16,12.653,12.878,12.653,12.869,189458,0
2015-01-20,12.937,12.937,12.727,12.829,202978,0
2015-01-21,12.855,12.92,12.761,12.869,132597,0
2015-01-22,12.92,13.122,12.887,13.081,242964,0
2015-01-23,13.081,13.089,13.004,13.004,181405,0
2015-01-26,12.987,13.054,12.954,13.046,115134,0
2015-01-27,12.92,12.92,12.794,12.887,113259,0
2015-01-28,12.996,12.996,12.794,12.819,108625,0
2015-01-29,12.819,12.963,12.761,12.928,107006,0
2015-01-30,12.787,12.937,12.761,12.77,67143,0
2015-02-02,12.837,12.837,12.695,12.829,93270,0
2015-02-03,12.896,12.996,12.887,12.928,126955,0
2015-02-04,12.928,12.996,12.896,12.913,82040,0
2015-02-05,12.928,13.081,12.928,13.054,72371,0
2015-02-06,13.089,13.122,13.021,13.046,99432,0
2015-02-09,13.046,13.062,12.98,12.987,119656,0
2015-02-10,13.004,13.112,13.004,13.081,73155,0
2015-02-11,13.081,13.131,13.013,13.122,70453,0
2015-02-12,13.122,13.189,13.112,13.163,107613,0
2015-02-13,13.139,13.189,13.097,13.148,99041,0
2015-02-17,13.148,13.189,13.081,13.122,124319,0
2015-02-18,13.139,13.139,13.03,13.097,108550,0
2015-02-19,13.089,13.131,13.013,13.046,99237,0
2015-02-20,12.954,13.097,12.954,13.072,106815,0
2015-02-23,13.013,13.089,13.013,13.089,136425,0
2015-02-24,12.987,13.189,12.987,13.189,214589,0
2015-02-25,13.189,13.214,13.172,13.189,96410,0
2015-02-26,13.172,13.223,13.131,13.197,87745,0
2015-02-27,13.163,13.231,13.139,13.148,122535,0
2015-03-02,13.189,13.239,13.155,13.231,117879,0
2015-03-03,13.231,13.231,13.139,13.214,64600,0
2015-03-04,13.214,13.214,13.097,13.205,90703,0
2015-03-05,13.205,13.239,13.182,13.214,72470,0
2015-03-06,13.182,13.197,13.03,13.072,112991,0
2015-03-09,13.089,13.155,13.081,13.139,73184,0
2015-03-10,13.013,13.097,12.92,12.963,96662,0
2015-03-11,13.052,13.052,12.917,12.933,97340,0
2015-03-12,12.933,13.215,12.917,13.096,80943,0
2015-03-13,13.028,13.096,12.923,13.018,96522,0
2015-03-16,13.103,13.198,12.993,13.198,75437,0
2015-03-17,13.079,13.088,12.993,13.061,66183,0
2015-03-18,12.933,13.172,12.933,13.155,85392,0
2015-03-19,13.121,13.163,13.028,13.139,69462,0
2015-03-20,13.096,13.215,13.096,13.139,96404,0
2015-03-23,13.061,13.19,13.061,13.096,82699,0
2015-03-24,13.079,13.148,13.018,13.018,61848,0
2015-03-25,13.061,13.061,12.849,12.873,72157,0
2015-03-26,12.831,12.923,12.806,12.909,38891,0
2015-03-27,12.909,12.976,12.909,12.959,90665,0
2015-03-30,12.976,13.131,12.976,13.121,103902,0
2015-03-31,13.111,13.111,12.952,12.952,163993,0
2015-04-01,13.018,13.018,12.831,12.9,118191,0
2015-04-02,12.788,12.933,12.788,12.882,155091,0
2015-04-06,12.772,12.968,12.772,12.933,102612,0
2015-04-07,12.976,13.044,12.942,12.959,112849,0
2015-04-08,12.952,13.037,12.933,12.968,78130,0
2015-04-09,12.959,13.011,12.923,12.976,83631,0
2015-04-10,12.976,13.003,12.933,12.976,123464,0
