Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,250.0,253.25,232.0,240.0,8179,0
2015-01-05,230.18,230.18,230.18,230.18,2138,0
2015-01-07,239.0,239.0,232.52,236.99,1445,0
2015-01-08,230.0,235.78,225.0,235.78,1482,0
2015-01-09,212.2,212.2,212.2,212.2,590,0
2015-01-12,218.0,218.69,218.0,218.69,1016,0
2015-01-13,218.02,218.02,216.61,216.61,798,0
2015-01-14,210.0,210.0,210.0,210.0,512,0
2015-01-15,203.54,203.54,203.54,203.54,376,0
2015-01-16,200.0,203.17,200.0,200.69,1544,0
2015-01-20,214.99,214.99,195.21,195.21,2829,0
2015-01-22,187.0,187.0,187.0,187.0,116,0
2015-01-23,190.05,194.55,190.05,194.55,2568,0
2015-01-27,188.5,188.5,188.5,188.5,457,0
2015-01-28,189.88,189.88,188.6,188.6,1546,0
2015-01-30,188.5,188.5,188.5,188.5,870,0
2015-02-02,188.01,190.03,188.0,190.03,902,0
2015-02-03,196.7,196.7,196.7,196.7,384,0
2015-02-05,186.01,186.01,186.01,186.01,466,0
2015-02-11,202.0,202.0,188.0,188.0,919,0
2015-02-13,191.5,199.0,188.02,188.02,23197,0
2015-02-17,190.0,190.0,190.0,190.0,1230,0
2015-02-18,195.0,195.0,195.0,195.0,687,0
2015-02-20,195.0,195.0,189.25,189.25,664,0
2015-02-26,195.0,195.0,192.15,194.01,736,0
2015-02-27,194.01,194.01,194.01,194.01,545,0
2015-03-02,190.99,199.09,190.8,198.25,18100,0
2015-03-03,193.5,196.5,192.22,194.35,13100,0
2015-03-04,195.0,203.4,195.0,200.21,34400,0
2015-03-05,199.0,203.12,199.0,201.7,10700,0
2015-03-06,194.79,197.34,191.43,196.34,9400,0
2015-03-09,196.6,199.0,196.6,199.0,2300,0
2015-03-10,202.0,202.0,200.54,200.54,800,0
2015-03-11,194.25,194.25,194.25,194.25,100,0
2015-03-12,205.02,205.02,205.02,205.02,600,0
2015-03-13,193.6,193.6,168.9,192.79,6300,0
2015-03-16,193.5,194.85,193.5,194.85,1000,0
2015-03-17,192.0,192.0,188.0,188.0,2000,0
2015-03-18,188.0,194.0,180.56,193.99,3400,0
2015-03-19,189.5,202.91,189.0,194.4,6000,0
2015-03-20,187.82,194.79,187.82,192.55,7600,0
2015-03-23,191.4,193.0,189.66,190.81,4600,0
2015-03-24,194.99,194.99,190.25,190.49,900,0
2015-03-25,187.47,189.49,184.02,184.56,1700,0
2015-03-26,194.99,195.0,187.5,192.8,3700,0
2015-03-27,185.15,191.2,185.15,191.2,800,0
2015-03-31,186.53,190.0,172.91,183.2,21780,0
2015-04-01,185.01,194.97,185.01,187.99,2000,0
2015-04-02,185.0,186.9,185.0,185.67,1800,0
2015-04-06,187.5,187.5,187.5,187.5,500,0
2015-04-07,185.0,190.0,185.0,187.44,1788,0
2015-04-08,190.5,195.0,190.5,195.0,1300,0
2015-04-09,193.1,194.1,190.01,193.2,1329,0
2015-04-13,188.5,188.5,188.5,188.5,100,0
2015-04-14,187.98,187.98,183.61,183.61,1500,0
2015-04-15,184.78,185.0,184.57,185.0,2085,0
2015-04-16,189.68,192.0,189.68,190.73,2029,0
2015-04-17,187.7,187.7,187.1,187.1,600,0
2015-04-20,186.2,187.4,185.4,187.4,799,0
2015-04-21,186.0,186.5,185.01,185.02,1502,0
2015-04-22,185.08,185.08,185.08,185.08,833,0
2015-04-23,185.0,187.91,185.0,187.91,2500,0
2015-04-24,194.8,196.24,192.4,196.24,1275,0
2015-04-27,203.0,203.0,203.0,203.0,400,0
2015-04-28,194.0,194.0,194.0,194.0,405,0
2015-04-29,200.3,204.1,200.3,204.1,600,0
2015-04-30,208.1,208.1,200.02,201.01,900,0
2015-05-01,200.0,201.5,200.0,201.5,1000,0
2015-05-04,200.74,201.22,200.74,201.22,600,0
2015-05-05,210.0,210.0,202.5,209.27,3100,0
2015-05-06,207.75,207.75,205.22,205.22,828,0
2015-05-07,209.0,209.0,207.32,207.32,965,0
2015-05-08,212.0,212.0,212.0,212.0,300,0
2015-05-11,208.45,211.11,208.0,211.11,4000,0
2015-05-12,211.4,214.38,209.92,211.0,4353,0
2015-05-14,204.0,205.05,196.0,203.0,5500,0
2015-05-15,203.0,210.3,199.1,205.9,13855,0
2015-05-18,208.5,209.0,200.0,200.81,4854,0
2015-05-19,200.48,205.3,198.99,204.0,23478,0
2015-05-20,203.5,203.55,201.05,203.55,4300,0
2015-05-21,203.2,206.83,201.37,206.83,8000,0
2015-05-22,208.0,209.27,206.13,207.47,18700,0
2015-05-26,206.0,206.0,198.0,200.75,14838,0
2015-05-27,205.75,208.55,202.55,208.55,4000,0
2015-05-28,206.8,207.89,206.1,207.24,17538,0
2015-05-29,207.69,207.81,204.4,204.4,6800,0
2015-06-01,203.5,203.5,197.05,201.45,7677,0
2015-06-02,201.2,202.1,201.2,201.4,2200,0
2015-06-03,201.25,202.0,198.2,199.9,12300,0
2015-06-04,198.5,201.64,198.5,201.6,9500,0
2015-06-05,200.96,209.7,200.86,208.31,33500,0
2015-06-08,207.25,208.46,197.81,197.81,23600,0
2015-06-09,197.85,200.3,197.3,200.18,10710,0
2015-06-10,200.6,207.86,200.6,206.98,13285,0
2015-06-11,208.5,212.51,207.55,212.51,3777,0
2015-06-12,217.0,221.39,215.3,215.66,32900,0
2015-06-15,215.25,216.89,213.1,213.3,2500,0
2015-06-16,214.5,217.69,213.51,217.69,4500,0
2015-06-17,221.37,222.5,217.6,218.51,6200,0
2015-06-18,214.31,221.31,214.0,217.57,2700,0
2015-06-19,219.79,219.79,218.02,218.02,5300,0
2015-06-22,214.96,220.45,214.94,214.94,1400,0
2015-06-23,208.21,210.97,208.21,210.97,2000,0
2015-06-24,209.19,210.0,209.19,210.0,1400,0
2015-06-25,213.94,213.94,206.82,206.82,1600,0
2015-06-26,196.8,200.61,193.76,200.61,6800,0
2015-06-29,196.0,201.88,196.0,197.75,1900,0
2015-06-30,196.51,196.51,196.51,196.51,983,0
2015-07-01,192.15,200.79,188.21,200.44,9600,0
2015-07-02,196.99,199.0,196.99,199.0,1400,0
2015-07-06,200.0,200.0,196.0,196.0,1100,0
2015-07-07,197.32,199.0,195.92,195.92,2500,0
2015-07-09,190.75,190.75,190.31,190.31,900,0
2015-07-10,195.6,195.6,195.6,195.6,400,0
2015-07-13,191.58,199.78,191.58,198.4,3300,0
2015-07-14,193.3,198.88,192.41,198.88,454,0
2015-07-15,194.21,195.56,194.21,195.56,500,0
2015-07-16,195.0,198.45,195.0,198.45,500,0
2015-07-17,198.74,198.74,191.22,195.0,9000,0
2015-07-20,196.2,196.2,192.3,196.2,5100,0
2015-07-21,197.35,197.74,195.9,197.74,1200,0
2015-07-22,197.39,204.7,197.39,203.61,14500,0
2015-07-23,207.5,224.17,207.5,214.2,21100,0
2015-07-24,208.15,208.15,208.15,208.15,300,0
2015-07-27,209.1,209.1,209.1,209.1,200,0
2015-07-28,210.01,210.01,210.01,210.01,400,0
