Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,47.95,48.323,47.243,47.479,1278869,0
2015-01-05,47.365,47.56,46.967,47.13,1150847,0
2015-01-06,47.893,48.169,46.772,47.292,1862317,0
2015-01-07,47.612,49.424,47.285,49.384,3283933,0
2015-01-08,49.867,50.205,49.574,50.163,2190609,0
2015-01-09,50.105,50.443,49.065,49.138,1881758,0
2015-01-12,49.285,49.557,48.876,49.097,1767223,0
2015-01-13,49.474,49.638,48.169,48.614,2269282,0
2015-01-14,48.67,48.736,48.104,48.638,1805299,0
2015-01-15,48.678,48.907,48.122,48.228,2182629,0
2015-01-16,48.113,48.621,47.594,48.49,2983747,0
2015-01-20,48.81,48.852,48.308,48.614,1514869,0
2015-01-21,48.424,48.968,48.376,48.934,1360899,0
2015-01-22,49.212,50.057,49.007,49.998,1985969,0
2015-01-23,50.041,50.41,49.951,50.229,1058359,0
2015-01-26,50.246,51.14,50.237,51.009,1719688,0
2015-01-27,50.549,51.057,50.295,50.385,1303458,0
2015-01-28,50.476,50.943,49.777,49.82,1160077,0
2015-01-29,50.065,51.057,49.498,51.049,1664334,0
2015-01-30,50.591,50.796,50.033,50.361,3731814,0
2015-02-02,50.295,50.353,48.581,49.246,1969792,0
2015-02-03,49.353,49.9,48.898,49.851,1187147,0
2015-02-04,49.705,50.312,49.59,49.77,1802862,0
2015-02-05,49.983,50.369,49.729,50.033,825655,0
2015-02-06,50.025,50.345,49.574,49.761,689856,0
2015-02-09,49.36,49.68,49.138,49.368,1069557,0
2015-02-10,49.696,50.246,48.753,50.091,949421,0
2015-02-11,50.148,50.353,49.605,49.892,738287,0
2015-02-12,49.688,50.418,49.171,50.385,1313010,0
2015-02-13,50.197,50.672,49.793,50.639,817904,0
2015-02-17,50.469,50.664,50.205,50.418,1213106,0
2015-02-18,50.418,51.124,50.353,51.009,1847332,0
2015-02-19,51.009,51.402,50.878,51.132,1407035,0
2015-02-20,51.115,51.271,50.903,51.041,1215609,0
2015-02-23,51.198,51.436,51.057,51.353,859698,0
2015-02-24,51.492,52.246,51.132,52.123,1552616,0
2015-02-25,52.1,52.914,52.061,52.774,1245450,0
2015-02-26,52.765,52.921,52.55,52.822,1075859,0
2015-02-27,52.862,52.961,52.453,52.509,1355875,0
2015-03-02,52.542,53.224,52.413,52.822,1136660,0
2015-03-03,52.691,52.733,52.123,52.421,677048,0
2015-03-04,52.061,52.272,51.567,51.6,1153481,0
2015-03-05,51.634,52.953,51.634,52.682,1325456,0
2015-03-06,52.378,52.509,51.322,51.452,1518881,0
2015-03-09,51.501,52.165,51.461,51.985,793809,0
2015-03-10,51.755,51.846,51.041,51.254,1483410,0
2015-03-11,51.19,51.369,50.614,50.639,1239163,0
2015-03-12,50.951,52.255,50.837,52.123,1672570,0
2015-03-13,52.306,52.501,51.558,51.772,1280847,0
2015-03-16,52.132,53.298,52.123,53.256,2135599,0
2015-03-17,53.256,53.821,52.944,53.758,1860268,0
2015-03-18,53.758,53.945,53.02,53.487,2462480,0
2015-03-19,53.487,53.945,53.216,53.224,2307816,0
2015-03-20,55.283,55.579,53.806,54.767,7527850,0
2015-03-23,55.373,57.433,55.373,56.793,4562123,0
2015-03-24,56.679,57.745,56.679,57.21,2758896,0
2015-03-25,57.261,57.433,56.342,56.375,2964753,0
2015-03-26,56.054,56.367,55.405,56.005,2189590,0
2015-03-27,56.153,56.884,55.868,56.655,1910605,0
2015-03-30,56.89,57.376,56.769,56.958,1395413,0
2015-03-31,56.976,57.63,56.869,56.89,2435673,0
2015-04-01,56.719,56.76,55.266,55.357,2226885,0
2015-04-02,55.71,55.808,55.201,55.342,2413118,0
2015-04-06,55.104,55.373,54.52,54.605,1659895,0
2015-04-07,54.726,54.758,54.16,54.365,3024787,0
2015-04-08,54.589,55.87,54.53,55.836,1949256,0
2015-04-09,55.614,55.854,54.993,55.581,2702292,0
2015-04-10,55.936,57.376,55.92,56.903,2672902,0
2015-04-13,56.557,57.44,56.557,56.755,1578552,0
2015-04-14,56.747,56.764,56.077,56.177,1658686,0
2015-04-15,56.26,56.508,55.465,55.474,1431795,0
2015-04-16,55.441,55.714,54.803,54.959,1587432,0
2015-04-17,54.655,54.655,53.694,53.728,2020932,0
2015-04-20,54.035,54.182,53.787,53.958,1666329,0
2015-04-21,53.958,54.216,53.488,54.018,1637763,0
2015-04-22,54.018,54.116,53.645,53.942,1299010,0
2015-04-23,54.233,54.607,53.71,54.447,2110377,0
2015-04-24,54.663,55.589,54.283,55.441,1528350,0
2015-04-27,55.441,55.556,54.481,54.554,1476417,0
2015-04-28,54.421,54.919,54.19,54.911,1145418,0
2015-04-29,54.398,54.405,53.264,53.306,2157516,0
2015-04-30,53.059,53.463,52.537,52.76,1784512,0
2015-05-01,53.088,53.346,52.842,52.941,1344911,0
2015-05-04,52.958,53.231,52.222,52.271,1363525,0
2015-05-05,52.229,52.263,51.063,51.089,1839388,0
2015-05-06,51.221,51.511,50.725,50.998,1676354,0
2015-05-07,51.146,52.429,51.015,52.18,1903967,0
2015-05-08,52.61,53.628,52.61,52.917,1451034,0
2015-05-11,52.808,53.488,52.784,53.081,1562234,0
2015-05-12,52.66,52.925,52.023,52.685,1029159,0
2015-05-13,52.726,53.041,51.842,51.923,1771361,0
2015-05-14,52.229,52.57,51.759,52.446,1144390,0
2015-05-15,52.8,52.925,52.519,52.892,794719,0
2015-05-18,52.777,53.123,52.57,53.008,741624,0
2015-05-19,53.123,54.108,52.867,53.885,1422847,0
2015-05-20,53.809,53.809,53.175,53.264,881185,0
2015-05-21,53.114,53.504,52.999,53.421,983874,0
2015-05-22,53.538,53.703,53.264,53.569,887423,0
2015-05-26,53.414,53.636,52.784,53.097,965516,0
2015-05-27,53.504,54.19,53.43,53.71,1837816,0
2015-05-28,53.71,54.275,53.546,53.728,2403844,0
2015-05-29,53.958,54.405,53.488,54.224,4348148,0
2015-06-01,54.224,54.637,53.817,54.438,939446,0
2015-06-02,54.315,54.481,53.787,53.825,1216619,0
2015-06-03,53.967,54.141,53.569,54.043,957647,0
2015-06-04,53.919,54.001,53.131,53.273,1560420,0
2015-06-05,53.123,53.677,52.685,53.645,845358,0
2015-06-08,53.628,54.224,53.389,54.116,1056639,0
2015-06-09,53.933,54.083,53.578,53.787,1152910,0
2015-06-10,53.802,55.531,53.703,55.391,1807718,0
2015-06-11,55.506,55.936,55.3,55.474,1206016,0
2015-06-12,56.209,56.622,55.589,56.35,1847365,0
2015-06-15,55.987,56.425,55.291,56.367,1302003,0
2015-06-16,56.4,56.657,56.085,56.209,982183,0
2015-06-17,56.151,56.542,56.094,56.474,1031137,0
2015-06-18,56.871,57.419,56.705,57.218,1193464,0
2015-06-19,57.079,57.425,56.764,56.981,1559455,0
2015-06-22,57.385,57.5,56.989,57.402,1850144,0
2015-06-23,60.43,60.727,57.385,57.41,9172662,0
2015-06-24,57.252,59.179,57.036,58.608,4435778,0
2015-06-25,59.229,59.635,58.88,58.933,2062873,0
2015-06-26,59.238,60.395,58.941,60.363,3705365,0
2015-06-29,59.669,59.99,58.872,58.906,2706624,0
2015-06-30,59.519,59.569,58.592,58.808,2183336,0
2015-07-01,59.313,59.371,57.965,58.097,2414483,0
2015-07-02,58.46,58.649,57.849,58.17,1764328,0
2015-07-06,58.106,58.518,57.841,58.484,1872023,0
2015-07-07,58.633,59.758,58.318,59.651,2020449,0
2015-07-08,59.243,59.592,58.875,59.06,1379994,0
2015-07-09,60.194,60.752,59.592,59.66,2298907,0
2015-07-10,60.318,60.333,59.708,60.16,778817,0
2015-07-13,60.602,60.843,60.209,60.333,1550437,0
2015-07-14,60.342,60.46,59.917,60.31,1375869,0
2015-07-15,60.386,60.409,59.483,59.518,906515,0
2015-07-16,59.777,60.861,59.609,60.817,1649515,0
