Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,17.03,17.67,17.0,17.41,258565,0
2015-01-05,17.25,17.75,17.06,17.48,362497,0
2015-01-06,17.51,17.64,16.9,17.2,254928,0
2015-01-07,17.29,17.92,17.286,17.85,274851,0
2015-01-08,17.86,18.1,17.66,17.97,313405,0
2015-01-09,18.02,18.09,17.5,17.71,386139,0
2015-01-12,18.11,18.8,17.843,18.58,606545,0
2015-01-13,18.61,18.85,18.04,18.27,647832,0
2015-01-14,18.12,18.76,17.42,18.75,504408,0
2015-01-15,18.75,18.75,17.66,17.92,400752,0
2015-01-16,17.84,18.4,17.77,18.09,246809,0
2015-01-20,18.12,18.37,17.17,18.16,255593,0
2015-01-21,17.89,18.23,17.65,18.03,350810,0
2015-01-22,18.1,18.3,17.46,17.99,314174,0
2015-01-23,17.9,17.93,17.34,17.53,430508,0
2015-01-26,17.49,18.4,17.2,18.4,419509,0
2015-01-27,18.19,18.72,17.93,18.1,315626,0
2015-01-28,18.33,18.33,16.67,17.0,845244,0
2015-01-29,17.03,17.16,16.57,17.1,309151,0
2015-01-30,16.99,17.59,16.8,17.1,745005,0
2015-02-02,17.17,17.42,16.22,16.42,284299,0
2015-02-03,16.51,16.52,16.0,16.35,249670,0
2015-02-04,16.02,16.28,15.8,16.18,209920,0
2015-02-05,16.29,16.66,16.21,16.47,256073,0
2015-02-06,16.45,17.06,16.05,16.14,187131,0
2015-02-09,16.12,16.61,15.87,16.0,292085,0
2015-02-10,16.1,16.38,15.84,16.2,312699,0
2015-02-11,16.25,16.45,15.86,16.2,243390,0
2015-02-12,16.25,16.34,15.92,16.3,166379,0
2015-02-13,16.3,17.2,16.0,16.96,331980,0
2015-02-17,16.91,17.49,16.88,17.37,422012,0
2015-02-18,17.33,17.61,17.06,17.55,294735,0
2015-02-19,17.47,18.16,17.37,17.765,304307,0
2015-02-20,17.81,17.93,17.71,17.75,188999,0
2015-02-23,17.73,17.86,17.38,17.57,158939,0
2015-02-24,17.64,17.65,16.75,17.07,202207,0
2015-02-25,17.0,17.78,16.89,17.535,172585,0
2015-02-26,17.57,17.7,17.005,17.5,149370,0
2015-02-27,17.52,17.72,17.38,17.6,292510,0
2015-03-02,17.86,19.17,17.68,18.81,1107300,0
2015-03-03,18.9,19.85,18.76,19.72,709000,0
2015-03-04,19.7,21.93,19.53,21.31,1001200,0
2015-03-05,21.33,22.4,20.79,21.56,618700,0
2015-03-06,21.42,21.65,20.55,21.32,418100,0
2015-03-09,21.34,21.74,20.73,21.63,253600,0
2015-03-10,21.43,22.57,21.0,22.15,344300,0
2015-03-11,22.19,22.5,21.54,21.93,262100,0
2015-03-12,21.89,22.14,21.66,21.86,227700,0
2015-03-13,21.92,23.0,21.92,22.43,570700,0
2015-03-16,22.57,22.99,22.36,22.7,433000,0
2015-03-17,22.64,23.19,22.4,22.92,339900,0
2015-03-18,22.79,22.9,22.11,22.39,201300,0
2015-03-19,22.24,23.25,22.24,23.19,328600,0
2015-03-20,23.45,23.87,22.29,22.62,614100,0
2015-03-23,23.56,25.49,23.12,25.06,1537300,0
2015-03-24,25.35,26.89,24.89,25.44,1452200,0
2015-03-25,25.38,25.81,23.28,23.76,711100,0
2015-03-26,23.48,23.48,22.01,22.37,701800,0
2015-03-27,22.41,23.24,22.41,22.7,506200,0
2015-03-30,22.87,23.62,22.55,23.14,400300,0
2015-03-31,23.12,23.18,22.3,22.43,679566,0
2015-04-01,22.46,22.92,21.45,22.49,460100,0
2015-04-02,22.56,22.7,21.76,22.61,444900,0
2015-04-06,22.5,22.67,21.8,22.04,796200,0
2015-04-07,22.05,23.6,21.78,22.72,527597,0
2015-04-08,22.77,23.43,22.7,23.09,542700,0
2015-04-09,23.16,23.42,22.13,22.42,535037,0
2015-04-10,22.54,23.12,22.41,22.61,262000,0
2015-04-13,22.63,23.12,22.63,22.8,224200,0
2015-04-14,23.0,23.31,22.71,23.0,256800,0
2015-04-15,23.1,23.39,22.62,22.93,247968,0
2015-04-16,22.95,24.6,22.95,24.16,602427,0
2015-04-17,23.94,23.95,22.96,23.58,459500,0
2015-04-20,23.5,23.92,23.04,23.48,384581,0
2015-04-21,23.66,23.95,23.27,23.48,288158,0
2015-04-22,23.58,23.89,23.13,23.41,275505,0
2015-04-23,23.36,23.85,23.24,23.69,226000,0
2015-04-24,23.61,23.95,23.29,23.31,263604,0
2015-04-27,23.33,23.61,21.69,21.99,460400,0
2015-04-28,21.92,22.52,20.754,21.52,386476,0
2015-04-29,21.45,22.08,20.88,21.34,210200,0
2015-04-30,21.33,21.59,19.76,20.11,498900,0
2015-05-01,19.99,21.03,19.92,20.51,355400,0
