Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,6.7551,6.7551,6.6565,6.7175,336918,0
2015-01-05,6.6944,6.6944,6.6033,6.6411,234422,0
2015-01-06,6.6338,6.6641,6.5807,6.6641,181510,0
2015-01-07,6.6641,6.6716,6.573,6.6411,282934,0
2015-01-08,6.6338,6.7402,6.6033,6.7326,287679,0
2015-01-09,6.7326,6.7402,6.6565,6.7096,259488,0
2015-01-12,6.7005,6.7082,6.6621,6.6928,232870,0
2015-01-13,6.7158,6.7314,6.6621,6.7314,211356,0
2015-01-14,6.6544,6.6928,6.647,6.6928,244665,0
2015-01-15,6.6928,6.6928,6.6393,6.6699,131607,0
2015-01-16,6.6699,6.7314,6.6699,6.7314,276711,0
2015-01-20,6.7233,6.7314,6.6544,6.6928,191255,0
2015-01-21,6.6928,6.7158,6.647,6.6699,183368,0
2015-01-22,6.6928,6.7082,6.647,6.6928,340778,0
2015-01-23,6.6928,6.7387,6.6851,6.7387,121728,0
2015-01-26,6.7314,6.7314,6.6928,6.6928,255380,0
2015-01-27,6.6544,6.6851,6.6544,6.6851,213493,0
2015-01-28,6.6851,6.6928,6.6393,6.6544,425342,0
2015-01-29,6.6699,6.6928,6.6544,6.6928,206757,0
2015-01-30,6.6775,6.6928,6.6544,6.6544,244674,0
2015-02-02,6.6851,6.6928,6.647,6.6928,406222,0
2015-02-03,6.6928,6.7314,6.6699,6.7314,252916,0
2015-02-04,6.7158,6.7694,6.6928,6.7694,219659,0
2015-02-05,6.7767,6.7846,6.7387,6.7539,176279,0
2015-02-06,6.7694,6.7767,6.7005,6.7464,199157,0
2015-02-09,6.7387,6.7925,6.7387,6.7925,305022,0
2015-02-10,6.7925,6.7998,6.7694,6.7998,100140,0
2015-02-11,6.7753,6.7983,6.7674,6.7907,182561,0
2015-02-12,6.8214,6.8291,6.7983,6.7983,277509,0
2015-02-13,6.8291,6.837,6.7833,6.8291,189768,0
2015-02-17,6.8061,6.8291,6.7674,6.7983,193856,0
2015-02-18,6.7833,6.8214,6.7674,6.8214,241436,0
2015-02-19,6.8138,6.8214,6.7907,6.8214,265181,0
2015-02-20,6.7983,6.8214,6.7983,6.8214,160424,0
2015-02-23,6.8214,6.8597,6.8138,6.8138,182243,0
2015-02-24,6.8214,6.8907,6.8214,6.8907,330067,0
2015-02-25,6.8758,6.9294,6.8758,6.9294,345008,0
2015-02-26,6.9294,6.9369,6.9063,6.9294,238863,0
2015-02-27,6.9063,6.9525,6.9063,6.9525,211322,0
2015-03-02,6.9603,6.991,6.9448,6.9834,278156,0
2015-03-03,6.9834,6.9988,6.9448,6.9756,450313,0
2015-03-04,6.9756,7.0066,6.9756,6.991,291389,0
2015-03-05,6.9834,6.991,6.9756,6.991,202781,0
2015-03-06,6.9756,6.9834,6.9063,6.9756,591598,0
2015-03-09,6.9603,6.991,6.9369,6.9679,392193,0
2015-03-10,6.9369,6.9525,6.9063,6.9448,328491,0
2015-03-11,6.9525,6.9756,6.9369,6.9756,346009,0
2015-03-12,6.9897,6.9897,6.9276,6.9663,394658,0
2015-03-13,6.9818,7.0362,6.9352,6.9663,319072,0
2015-03-16,6.9586,6.9897,6.9586,6.9897,332721,0
2015-03-17,6.9663,6.9742,6.8809,6.9198,369679,0
2015-03-18,6.8809,6.912,6.8576,6.912,180268,0
2015-03-19,6.8886,6.8966,6.8343,6.8809,211428,0
2015-03-20,6.8656,6.8966,6.8576,6.8731,214903,0
2015-03-23,6.8656,6.912,6.8496,6.8496,244520,0
2015-03-24,6.8656,6.8966,6.8656,6.8731,75195,0
2015-03-25,6.8656,6.8966,6.8656,6.8656,211040,0
2015-03-26,6.8656,6.8809,6.8343,6.8809,263447,0
2015-03-27,6.8656,6.8886,6.8656,6.8731,143700,0
2015-03-30,6.8886,6.8886,6.8576,6.8656,263963,0
2015-03-31,6.8496,6.8656,6.8343,6.8343,712438,0
2015-04-01,6.8422,6.8886,6.8343,6.8809,198167,0
2015-04-02,6.8809,6.9043,6.8731,6.9043,196488,0
2015-04-06,6.8966,6.9352,6.8966,6.9352,241687,0
2015-04-07,6.9431,6.9431,6.9198,6.9276,147798,0
2015-04-08,6.9276,6.9818,6.9276,6.9818,179622,0
2015-04-09,6.9897,6.9975,6.9198,6.9586,473054,0
2015-04-10,6.9586,6.9742,6.9352,6.9742,214257,0
2015-04-13,6.9804,6.9804,6.949,6.949,121014,0
2015-04-14,6.9648,6.9804,6.949,6.9804,120758,0
2015-04-15,6.9724,6.9804,6.949,6.9564,191319,0
2015-04-16,6.9564,6.9804,6.9413,6.9804,129387,0
2015-04-17,6.9648,6.9648,6.9177,6.9648,196538,0
2015-04-20,6.9648,6.9804,6.91,6.9336,682507,0
2015-04-21,6.9336,6.9648,6.9256,6.9648,131574,0
2015-04-22,6.9648,6.996,6.9564,6.996,182025,0
2015-04-23,6.996,7.0196,6.9804,7.0196,217366,0
2015-04-24,7.0116,7.0272,6.9883,7.0196,168094,0
2015-04-27,7.0116,7.0272,6.949,6.949,211999,0
2015-04-28,6.9648,7.0039,6.9648,7.0039,155272,0
2015-04-29,6.996,7.0116,6.9804,6.9883,122040,0
2015-04-30,6.996,7.0039,6.949,6.9883,174427,0
2015-05-01,6.996,7.0039,6.949,6.9883,265412,0
2015-05-04,6.9648,7.0039,6.949,6.949,311803,0
2015-05-05,6.9648,6.9648,6.9177,6.9256,213403,0
2015-05-06,6.9336,6.9413,6.9021,6.9256,262290,0
2015-05-07,6.9256,6.9256,6.8944,6.9256,229830,0
2015-05-08,6.9413,6.949,6.91,6.9413,189636,0
2015-05-11,6.924,6.9791,6.924,6.9557,293560,0
2015-05-12,6.908,6.924,6.8607,6.924,385085,0
2015-05-13,6.9395,6.9476,6.8922,6.9476,200057,0
2015-05-14,6.9476,6.9712,6.9319,6.9712,94470,0
2015-05-15,6.9557,6.9633,6.924,6.9633,215633,0
2015-05-18,6.9557,6.9557,6.9002,6.9395,142054,0
2015-05-19,6.916,6.9395,6.908,6.9395,129457,0
2015-05-20,6.924,6.924,6.8846,6.9002,205445,0
2015-05-21,6.908,6.916,6.8922,6.908,137079,0
2015-05-22,6.9002,6.9002,6.8769,6.9002,194521,0
2015-05-26,6.8769,6.9002,6.8687,6.9002,183152,0
2015-05-27,6.9002,6.9319,6.8922,6.9319,273648,0
2015-05-28,6.9319,6.9319,6.916,6.924,205961,0
2015-05-29,6.916,6.9395,6.9002,6.9002,204285,0
2015-06-01,6.9319,6.9319,6.908,6.908,288780,0
2015-06-02,6.9002,6.9633,6.8922,6.908,409491,0
2015-06-03,6.9319,6.9476,6.908,6.9319,238901,0
2015-06-04,6.916,6.916,6.8687,6.9002,188690,0
2015-06-05,6.8687,6.8922,6.8292,6.8607,252346,0
2015-06-08,6.8607,6.8769,6.8371,6.8687,124143,0
2015-06-09,6.8371,6.8532,6.7662,6.7897,237125,0
2015-06-10,6.7743,6.8292,6.7662,6.8292,175029,0
2015-06-11,6.8277,6.8277,6.7482,6.7799,203471,0
2015-06-12,6.7799,6.7958,6.7561,6.7642,202053,0
2015-06-15,6.7482,6.7719,6.7242,6.7242,246467,0
2015-06-16,6.7166,6.7642,6.6769,6.7642,169971,0
2015-06-17,6.7799,6.7799,6.7323,6.7642,159404,0
2015-06-18,6.7404,6.7878,6.7242,6.7878,247600,0
2015-06-19,6.7958,6.8118,6.7642,6.8118,208470,0
2015-06-22,6.7958,6.8357,6.7878,6.8357,260931,0
2015-06-23,6.8198,6.8675,6.7958,6.8592,298098,0
2015-06-24,6.8357,6.8514,6.7719,6.7799,117761,0
2015-06-25,6.7799,6.7958,6.6927,6.7166,237784,0
2015-06-26,6.6927,6.7166,6.6053,6.621,373786,0
2015-06-29,6.6129,6.6129,6.5333,6.5333,388376,0
2015-06-30,6.5497,6.6053,6.5497,6.5733,327939,0
2015-07-01,6.637,6.6769,6.637,6.6609,206959,0
2015-07-02,6.6609,6.7642,6.6609,6.7642,189348,0
2015-07-06,6.7242,6.7561,6.7004,6.7404,181922,0
2015-07-07,6.7242,6.7404,6.6448,6.7242,185571,0
2015-07-08,6.6609,6.6927,6.6448,6.6927,227091,0
2015-07-09,6.7004,6.7404,6.6769,6.7166,209473,0
2015-07-10,6.7242,6.7404,6.7085,6.7242,104426,0
2015-07-13,6.7226,6.7226,6.6748,6.7147,245734,0
2015-07-14,6.6826,6.6988,6.6347,6.6425,162890,0
2015-07-15,6.6588,6.6826,6.6425,6.6748,176870,0
2015-07-16,6.6667,6.7147,6.6588,6.7147,166485,0
2015-07-17,6.6907,6.6988,6.6425,6.6826,212159,0
2015-07-20,6.6748,6.6748,6.6025,6.6025,199805,0
2015-07-21,6.6025,6.6265,6.5625,6.5864,172723,0
2015-07-22,6.5864,6.5864,6.4986,6.5385,401359,0
2015-07-23,6.5222,6.5222,6.4741,6.5066,288911,0
2015-07-24,6.4823,6.4902,6.4022,6.4423,302140,0
2015-07-27,6.4022,6.4503,6.362,6.3864,318990,0
2015-07-28,6.3864,6.4342,6.3703,6.4022,232754,0
2015-07-29,6.3864,6.4663,6.3864,6.4663,175845,0
2015-07-30,6.4342,6.4986,6.4342,6.4663,127298,0
2015-07-31,6.4741,6.5144,6.4585,6.4986,235126,0
2015-08-03,6.5144,6.5385,6.4823,6.5385,289364,0
2015-08-04,6.5066,6.5464,6.4902,6.5464,208919,0
2015-08-05,6.5385,6.5464,6.5066,6.5222,139276,0
2015-08-06,6.4986,6.5066,6.4585,6.4823,150685,0
2015-08-07,6.4585,6.4585,6.418,6.4263,150137,0
2015-08-10,6.4423,6.4423,6.4103,6.418,277431,0
2015-08-11,6.4103,6.4263,6.3542,6.4263,253010,0
2015-08-12,6.3864,6.4022,6.29,6.4022,343448,0
2015-08-13,6.3763,6.4733,6.3441,6.4653,563379,0
2015-08-14,6.4411,6.4653,6.3845,6.4167,563131,0
2015-08-17,6.4329,6.4329,6.3441,6.3602,289050,0
2015-08-18,6.3763,6.4167,6.3441,6.3845,323079,0
2015-08-19,6.3357,6.425,6.3357,6.4085,603104,0
2015-08-20,6.3602,6.3845,6.328,6.328,261210,0
2015-08-21,6.328,6.328,6.239,6.2873,296602,0
2015-08-24,6.021,6.1906,5.6652,6.1096,507210,0
2015-08-25,6.1501,6.2307,6.1501,6.1581,267275,0
2015-08-26,6.1986,6.2307,6.1661,6.2226,241414,0
2015-08-27,6.2472,6.3684,6.2307,6.3441,536279,0
2015-08-28,6.3034,6.328,6.2553,6.2631,291525,0
2015-08-31,6.2553,6.2873,6.2307,6.2307,315530,0
2015-09-01,6.1501,6.2553,6.1179,6.2472,325555,0
2015-09-02,6.2472,6.3034,6.2149,6.3034,284968,0
2015-09-03,6.2714,6.3034,6.2631,6.3034,149353,0
2015-09-04,6.2472,6.3034,6.2472,6.2794,87357,0
2015-09-08,6.2873,6.328,6.2873,6.328,194147,0
2015-09-09,6.328,6.3357,6.2472,6.2873,299075,0
2015-09-10,6.2714,6.3441,6.2631,6.3357,168485,0
2015-09-11,6.3181,6.3427,6.3018,6.3181,105738,0
2015-09-14,6.3261,6.3589,6.2934,6.2934,228033,0
2015-09-15,6.3181,6.3261,6.2692,6.3018,282007,0
2015-09-16,6.3018,6.3018,6.2446,6.2692,299550,0
2015-09-17,6.2529,6.3181,6.2122,6.31,214351,0
2015-09-18,6.2857,6.3261,6.2772,6.3181,189026,0
2015-09-21,6.2934,6.3341,6.2857,6.3018,207549,0
2015-09-22,6.2609,6.31,6.2446,6.3018,161182,0
2015-09-23,6.3018,6.3261,6.2692,6.3018,275600,0
2015-09-24,6.2934,6.2934,6.2609,6.2934,626723,0
2015-09-25,6.2934,6.2934,6.2364,6.2364,93225,0
2015-09-28,6.2446,6.2446,6.1306,6.1634,202070,0
2015-09-29,6.1306,6.1469,6.041,6.1224,303227,0
2015-09-30,6.1141,6.1791,5.9429,6.1714,473610,0
2015-10-01,6.1384,6.1634,6.0817,6.1306,231097,0
2015-10-02,6.0898,6.1306,6.041,6.1141,241160,0
2015-10-05,6.1224,6.1956,6.1141,6.1714,308213,0
2015-10-06,6.1634,6.1956,6.1552,6.1956,135178,0
2015-10-07,6.2039,6.2692,6.1384,6.2692,413398,0
2015-10-08,6.2285,6.4075,6.2199,6.4075,334631,0
2015-10-09,6.3996,6.4403,6.3833,6.4158,288016,0
2015-10-12,6.4158,6.4158,6.3589,6.3671,157659,0
2015-10-13,6.3817,6.3817,6.3323,6.3323,290008,0
2015-10-14,6.3487,6.357,6.2998,6.2998,247209,0
2015-10-15,6.2998,6.357,6.2998,6.3079,236262,0
2015-10-16,6.3408,6.3982,6.3158,6.3982,165130,0
2015-10-19,6.3817,6.4229,6.3817,6.4147,277922,0
2015-10-20,6.3982,6.431,6.3982,6.431,239302,0
2015-10-21,6.4395,6.4476,6.3652,6.3817,289766,0
2015-10-22,6.4229,6.4476,6.4065,6.4065,257784,0
2015-10-23,6.431,6.5544,6.431,6.464,418050,0
2015-10-26,6.5132,6.5299,6.4805,6.4805,303386,0
2015-10-27,6.5132,6.5132,6.4476,6.4476,190422,0
2015-10-28,6.4476,6.5052,6.4476,6.4805,122935,0
2015-10-29,6.4969,6.5215,6.4723,6.4969,109924,0
2015-10-30,6.4969,6.5381,6.4805,6.4805,173761,0
2015-11-02,6.5299,6.5381,6.4805,6.5215,214162,0
2015-11-03,6.5132,6.5299,6.5052,6.5052,191345,0
2015-11-04,6.5132,6.5381,6.4886,6.5052,144563,0
2015-11-05,6.4969,6.5381,6.4886,6.5299,177290,0
2015-11-06,6.4969,6.5215,6.4229,6.431,271771,0
2015-11-09,6.4229,6.4723,6.3408,6.3652,218245,0
2015-11-10,6.3652,6.3896,6.3323,6.3652,128649,0
2015-11-11,6.3487,6.357,6.3079,6.3079,113938,0
2015-11-12,6.2979,6.3311,6.2644,6.2644,114131,0
2015-11-13,6.2313,6.2728,6.215,6.2478,143417,0
2015-11-16,6.223,6.2478,6.1649,6.2478,184875,0
2015-11-17,6.223,6.2478,6.215,6.223,213442,0
2015-11-18,6.223,6.2564,6.215,6.2564,171741,0
2015-11-19,6.2397,6.2397,6.1899,6.2064,179089,0
2015-11-20,6.1899,6.223,6.1899,6.223,251762,0
2015-11-23,6.2397,6.2397,6.1816,6.1982,298645,0
2015-11-24,6.1566,6.1816,6.1484,6.1816,194799,0
2015-11-25,6.1982,6.223,6.1816,6.223,185116,0
2015-11-27,6.1982,6.223,6.1649,6.223,93161,0
2015-11-30,6.1982,6.215,6.14,6.14,193310,0
2015-12-01,6.1982,6.223,6.1735,6.215,263877,0
2015-12-02,6.1899,6.2728,6.1816,6.2728,282523,0
2015-12-03,6.2644,6.2644,6.1982,6.2064,94026,0
2015-12-04,6.1899,6.223,6.1735,6.1816,138595,0
2015-12-07,6.1816,6.1899,6.1235,6.14,247064,0
2015-12-08,6.1321,6.1321,6.0821,6.1321,253817,0
2015-12-09,6.1649,6.1649,6.0569,6.0905,191021,0
2015-12-10,6.0905,6.1982,6.0654,6.1235,462552,0
2015-12-11,6.1133,6.1221,5.9629,5.9629,368256,0
2015-12-14,5.9211,5.9376,5.8204,5.8623,644705,0
2015-12-15,5.8874,6.0298,5.8874,5.9878,440377,0
2015-12-16,6.0128,6.1639,5.9629,6.1384,389749,0
2015-12-17,6.1133,6.1803,6.0716,6.1803,469157,0
2015-12-18,6.1803,6.2391,6.147,6.2391,443363,0
