Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,20.09,20.148,19.681,19.905,355553,0
2015-01-05,19.895,20.528,19.876,20.324,708112,0
2015-01-06,20.266,20.382,19.525,20.139,983117,0
2015-01-07,20.343,20.343,19.876,20.09,732564,0
2015-01-08,19.934,20.363,19.885,20.246,431850,0
2015-01-09,20.256,20.538,19.885,20.451,1265838,0
2015-01-12,20.363,20.811,20.236,20.792,1103467,0
2015-01-13,20.957,21.016,20.675,20.811,519455,0
2015-01-14,20.695,20.801,20.49,20.675,760417,0
2015-01-15,20.752,20.841,20.012,20.051,1609980,0
2015-01-16,19.934,20.295,19.866,19.992,1270908,0
2015-01-20,19.992,21.24,19.612,19.681,1787846,0
2015-01-21,19.554,19.641,18.676,19.066,3207664,0
2015-01-22,19.145,19.486,18.55,18.686,2908369,0
2015-01-23,18.637,18.755,17.839,18.16,2428025,0
2015-01-26,18.238,18.666,17.955,18.189,1583680,0
2015-01-27,18.131,18.189,17.799,17.985,3504263,0
2015-01-28,17.945,18.17,17.634,17.985,2165111,0
2015-01-29,18.014,18.034,17.75,17.936,853133,0
2015-01-30,17.77,18.024,17.663,17.829,704941,0
2015-02-02,17.731,17.975,17.644,17.906,1277589,0
2015-02-03,18.043,18.452,17.848,18.189,927561,0
2015-02-04,18.296,18.423,18.043,18.111,466804,0
2015-02-05,18.121,18.257,17.926,18.053,1067952,0
2015-02-06,18.131,18.209,17.936,18.17,1099412,0
2015-02-09,18.238,18.355,17.975,18.189,1037239,0
2015-02-10,18.296,18.296,18.014,18.16,957362,0
2015-02-11,18.199,18.219,18.034,18.131,410948,0
2015-02-12,18.14,18.53,18.14,18.306,637923,0
2015-02-13,18.384,18.579,18.248,18.316,758059,0
2015-02-17,18.306,18.569,18.306,18.569,532451,0
2015-02-18,18.511,18.784,18.452,18.686,647304,0
2015-02-19,18.745,19.397,18.745,19.3,892584,0
2015-02-20,19.222,19.535,19.164,19.505,658858,0
2015-02-23,19.554,20.139,19.486,20.061,1426576,0
2015-02-24,20.031,20.031,19.612,19.885,1120190,0
2015-02-25,19.905,19.963,19.232,19.34,649417,0
2015-02-26,19.3,19.34,18.871,19.037,2460636,0
2015-02-27,19.194,19.194,18.404,18.676,600159,0
2015-03-02,18.628,19.145,18.628,19.115,622920,0
2015-03-03,18.871,19.202,18.618,19.184,670110,0
2015-03-04,19.184,19.641,19.047,19.495,734023,0
2015-03-05,19.525,20.256,19.515,20.139,896831,0
2015-03-06,20.177,20.177,19.681,19.778,719045,0
2015-03-09,19.797,20.041,19.739,20.012,675855,0
2015-03-10,19.846,20.031,19.602,19.992,921248,0
2015-03-11,19.944,20.041,19.866,19.992,527614,0
2015-03-12,19.944,20.246,19.925,20.051,873544,0
2015-03-13,20.1,20.148,19.953,20.041,358138,0
2015-03-16,20.002,20.567,19.982,20.451,671649,0
2015-03-17,20.48,20.85,20.266,20.85,1139351,0
2015-03-18,20.831,20.898,20.363,20.51,634922,0
2015-03-19,20.392,20.392,19.982,20.256,488733,0
2015-03-20,20.246,21.016,20.197,20.918,807271,0
2015-03-23,20.821,21.727,20.811,21.445,1145096,0
2015-03-24,21.445,21.581,21.357,21.426,969874,0
2015-03-25,21.25,21.727,21.075,21.377,883905,0
2015-03-26,21.396,22.206,21.065,21.64,1052459,0
2015-03-27,21.523,21.698,21.357,21.611,534385,0
2015-03-30,21.465,22.517,21.465,22.206,822659,0
2015-03-31,22.234,22.293,21.591,21.611,832392,0
2015-04-01,21.63,22.693,21.611,22.576,1030915,0
2015-04-02,22.702,23.589,22.614,23.433,1846290,0
2015-04-06,23.55,23.794,23.404,23.687,804194,0
2015-04-07,23.745,24.243,23.579,23.989,832504,0
2015-04-08,24.262,25.08,24.008,25.061,1330782,0
2015-04-09,25.003,25.334,24.584,25.139,1299932,0
2015-04-10,25.003,25.129,23.755,23.902,1019835,0
2015-04-13,23.453,24.213,23.004,23.804,909860,0
2015-04-14,23.902,24.115,23.034,23.326,1572994,0
2015-04-15,23.326,23.569,23.122,23.122,1240313,0
2015-04-16,23.209,23.492,23.122,23.238,826460,0
2015-04-17,22.907,23.384,22.712,23.277,1050920,0
2015-04-20,23.346,24.398,23.238,24.057,1571585,0
2015-04-21,25.364,25.364,24.154,24.69,1423399,0
2015-04-22,24.895,25.48,24.603,25.432,1360563,0
2015-04-23,25.441,26.124,25.237,26.016,1183156,0
2015-04-24,25.988,26.406,25.821,25.85,1413776,0
2015-04-27,25.948,26.494,25.948,26.192,1204906,0
2015-04-28,26.065,26.386,25.89,26.173,1128887,0
2015-04-29,26.026,26.026,25.393,25.441,916837,0
2015-04-30,25.383,25.422,24.808,24.944,1132273,0
2015-05-01,24.983,25.295,24.828,24.954,1160689,0
2015-05-04,25.071,25.12,24.525,24.69,1584997,0
2015-05-05,24.32,24.623,24.106,24.398,916939,0
2015-05-06,24.369,24.613,23.969,24.301,3626797,0
2015-05-07,24.428,24.457,23.979,24.038,1199411,0
2015-05-08,24.067,24.564,24.018,24.145,812400,0
2015-05-11,24.135,24.223,23.56,23.677,1385872,0
2015-05-12,23.638,23.969,23.472,23.521,993809,0
2015-05-13,23.579,24.057,23.579,23.774,723866,0
2015-05-14,23.755,23.95,23.492,23.872,949459,0
2015-05-15,23.989,24.174,23.677,23.862,458858,0
2015-05-18,23.833,23.94,23.443,23.794,2138998,0
2015-05-19,23.882,24.097,23.463,23.531,626852,0
2015-05-20,23.472,23.648,23.179,23.365,576549,0
2015-05-21,23.404,23.959,23.287,23.667,1124476,0
2015-05-22,23.735,24.31,23.638,23.882,959821,0
2015-05-26,23.892,24.115,22.848,23.248,1009819,0
2015-05-27,23.423,23.745,23.258,23.492,1094623,0
2015-05-28,23.102,23.492,23.014,23.443,1336343,0
2015-05-29,23.423,23.531,22.937,23.228,1275486,0
2015-06-01,23.384,23.579,22.878,23.356,1371068,0
2015-06-02,23.423,23.892,23.356,23.579,1287203,0
2015-06-03,23.823,24.008,23.365,23.374,1680405,0
2015-06-04,23.092,23.648,23.014,23.492,1012551,0
2015-06-05,23.482,24.154,23.463,23.902,1468353,0
2015-06-08,24.087,24.115,23.394,23.423,525255,0
2015-06-09,23.336,23.531,23.277,23.356,1357250,0
2015-06-10,23.287,25.793,23.161,24.73,9026254,0
2015-06-11,24.798,25.793,24.505,25.364,4259882,0
2015-06-12,25.295,25.47,24.857,24.876,2394730,0
2015-06-15,24.788,25.013,24.487,24.847,3010570,0
2015-06-16,24.71,24.925,24.369,24.544,1060357,0
2015-06-17,24.993,25.636,24.895,25.422,1801767,0
2015-06-18,25.5,25.763,25.208,25.344,1117295,0
2015-06-19,25.285,25.285,24.398,24.438,1056870,0
2015-06-22,24.438,24.739,24.008,24.077,1296928,0
2015-06-23,24.31,24.31,23.94,24.115,447678,0
2015-06-24,24.115,24.282,23.989,24.243,1026196,0
2015-06-25,24.154,24.184,23.833,24.018,1208085,0
2015-06-26,23.823,24.154,23.667,24.008,1233527,0
2015-06-29,23.638,23.638,22.653,23.161,2287628,0
2015-06-30,23.394,23.93,23.356,23.902,1640345,0
2015-07-01,23.989,23.989,23.131,23.258,1340631,0
2015-07-02,23.131,23.365,23.112,23.199,1613620,0
2015-07-06,22.751,23.063,21.455,22.322,4925185,0
2015-07-07,21.816,22.683,21.542,22.527,4328836,0
2015-07-08,21.913,22.488,21.581,22.117,3848003,0
2015-07-09,22.848,23.248,22.663,23.112,2106148,0
2015-07-10,22.751,23.131,22.604,22.868,1917179,0
2015-07-13,22.878,23.228,22.878,23.141,1686457,0
2015-07-14,23.034,23.453,23.034,23.189,537359,0
2015-07-15,23.17,23.219,22.897,23.17,1392195,0
2015-07-16,23.394,23.463,23.122,23.228,1112575,0
2015-07-17,23.209,23.394,23.053,23.228,793935,0
2015-07-20,23.17,23.336,23.004,23.024,1305443,0
2015-07-21,23.394,24.272,23.122,23.151,1324421,0
2015-07-22,23.024,23.024,21.816,22.273,1648396,0
2015-07-23,22.429,23.209,22.429,22.614,1289849,0
2015-07-24,22.576,22.604,22.137,22.283,1134837,0
2015-07-27,21.445,21.922,21.231,21.718,796192,0
2015-07-28,22.001,22.001,21.698,21.835,303766,0
2015-07-29,21.835,22.322,21.806,22.176,300072,0
2015-07-30,22.127,22.206,21.893,22.147,267449,0
2015-07-31,22.273,22.303,21.621,21.835,507199,0
2015-08-03,21.844,22.098,21.572,21.659,263811,0
2015-08-04,21.737,22.361,21.572,22.206,444312,0
2015-08-05,22.401,22.644,21.952,22.206,910270,0
2015-08-06,22.157,22.507,22.098,22.322,544388,0
2015-08-07,22.322,22.566,22.166,22.254,606198,0
2015-08-10,22.458,22.722,22.283,22.468,582601,0
2015-08-11,22.224,22.342,21.942,22.049,468680,0
2015-08-12,21.767,22.117,21.455,21.747,810348,0
2015-08-13,21.971,22.049,21.416,21.455,377834,0
2015-08-14,21.523,22.03,21.25,21.64,670931,0
2015-08-17,21.513,21.835,21.298,21.678,292993,0
2015-08-18,21.445,21.844,21.337,21.406,465240,0
2015-08-19,21.221,21.63,20.558,20.597,883084,0
2015-08-20,20.431,20.431,18.91,19.3,1091134,0
2015-08-21,19.486,19.681,18.755,19.086,1286464,0
2015-08-24,17.926,19.349,17.634,19.115,1301786,0
2015-08-25,19.817,20.08,19.379,19.846,2375956,0
2015-08-26,20.061,20.12,19.397,19.846,775059,0
2015-08-27,19.982,20.733,19.982,20.626,775982,0
2015-08-28,20.412,20.665,19.973,20.226,624971,0
2015-08-31,20.207,20.207,19.739,19.973,343468,0
2015-09-01,19.437,19.69,19.194,19.417,421640,0
2015-09-02,19.686,20.124,19.338,20.004,514607,0
2015-09-03,19.974,20.173,19.815,20.124,335062,0
2015-09-04,19.785,20.034,19.397,19.557,585681,0
2015-09-08,20.074,20.153,19.815,20.094,308422,0
2015-09-09,20.283,20.472,19.368,19.497,769648,0
2015-09-10,19.517,19.596,19.059,19.159,509050,0
2015-09-11,19.089,19.437,18.92,19.159,570802,0
2015-09-14,19.149,19.238,18.562,18.582,304502,0
2015-09-15,18.612,18.84,18.413,18.572,571506,0
2015-09-16,18.671,19.268,18.651,19.069,686511,0
2015-09-17,19.059,19.228,18.93,18.99,275924,0
2015-09-18,18.9,19.049,18.721,18.771,1275107,0
2015-09-21,18.83,19.059,18.83,18.91,731648,0
2015-09-22,18.721,19.129,18.721,18.92,1098176,0
2015-09-23,18.85,18.96,18.383,18.433,467322,0
2015-09-24,18.303,18.82,18.124,18.741,856005,0
2015-09-25,18.95,19.029,18.363,18.602,803426,0
2015-09-28,18.482,19.179,18.482,18.93,1181774,0
2015-09-29,18.97,19.706,18.9,19.696,879124,0
2015-09-30,19.875,20.223,19.676,20.104,773669,0
2015-10-01,20.183,20.571,19.626,19.865,437401,0
2015-10-02,19.686,20.86,19.686,20.82,603474,0
2015-10-05,21.019,21.049,20.71,20.929,647390,0
2015-10-06,20.79,21.248,20.79,20.929,644490,0
2015-10-07,21.128,21.546,21.069,21.496,583167,0
2015-10-08,21.357,21.357,20.84,20.969,1185938,0
2015-10-09,20.989,21.307,20.899,21.248,1178901,0
2015-10-12,21.337,22.203,21.258,21.984,871907,0
2015-10-13,21.854,22.024,21.596,21.844,337375,0
2015-10-14,21.775,22.68,21.616,22.014,642982,0
2015-10-15,22.342,22.352,21.964,22.302,466353,0
2015-10-16,22.242,22.461,22.053,22.332,800310,0
2015-10-19,22.332,23.287,22.153,22.869,1241252,0
2015-10-20,23.148,24.849,22.929,24.849,1729015,0
2015-10-21,25.117,26.609,24.938,25.077,2065163,0
2015-10-22,25.087,25.286,24.62,24.849,1243239,0
2015-10-23,25.137,25.963,24.62,25.764,1564529,0
2015-10-26,25.863,26.122,25.605,25.923,1369504,0
2015-10-27,25.863,26.47,25.605,26.45,918632,0
2015-10-28,26.44,27.017,26.361,26.729,1271387,0
2015-10-29,26.858,28.539,26.629,27.584,2580775,0
2015-10-30,27.574,27.843,26.957,27.365,1142208,0
2015-11-02,27.345,27.674,26.987,27.524,1274600,0
2015-11-03,27.544,27.833,27.415,27.713,1176790,0
2015-11-04,27.733,28.131,27.614,27.853,899731,0
2015-11-05,27.853,28.271,27.753,28.012,577839,0
2015-11-06,27.902,28.658,27.664,28.609,857712,0
2015-11-09,28.36,28.579,28.002,28.161,1024814,0
2015-11-10,27.893,28.151,27.316,28.101,1011822,0
2015-11-11,28.101,28.698,27.793,28.489,906267,0
2015-11-12,28.45,29.494,28.37,28.678,1557291,0
2015-11-13,28.778,29.405,28.509,28.728,1127531,0
2015-11-16,28.509,28.907,28.002,28.211,1560508,0
2015-11-17,28.38,28.509,27.654,28.082,1039970,0
2015-11-18,28.231,28.639,27.992,28.559,1653296,0
2015-11-19,28.619,30.19,28.46,30.091,1639926,0
2015-11-20,30.369,30.817,29.892,29.981,1397652,0
2015-11-23,30.021,30.27,29.723,30.001,1433239,0
2015-11-24,29.723,30.031,29.603,29.892,1136880,0
2015-11-25,29.912,30.787,29.892,30.21,2410781,0
2015-11-27,30.001,30.041,28.469,29.504,1065404,0
2015-11-30,29.753,29.802,28.698,28.867,10380601,0
2015-12-01,28.867,30.469,28.838,30.469,2672986,0
2015-12-02,30.558,31.145,30.459,31.006,1453477,0
2015-12-03,30.976,31.255,30.698,31.016,1714825,0
2015-12-04,31.086,31.265,30.837,31.215,1389308,0
2015-12-07,31.115,31.862,31.076,31.434,1941110,0
2015-12-08,31.603,32.259,31.344,32.15,1661652,0
2015-12-09,32.1,32.389,31.533,31.752,1506424,0
2015-12-10,31.921,32.21,31.484,31.981,1427207,0
2015-12-11,31.722,31.961,31.414,31.762,1476366,0
2015-12-14,31.603,31.871,31.593,31.832,1385037,0
2015-12-15,32.15,33.383,31.941,32.727,2577256,0
2015-12-16,32.826,33.125,32.448,32.747,1967248,0
2015-12-17,32.946,33.244,32.647,32.747,3050747,0
2015-12-18,32.359,32.906,32.299,32.777,1492450,0
2015-12-21,32.916,33.304,32.518,32.767,1056457,0
2015-12-22,32.767,32.767,31.921,32.279,859532,0
2015-12-23,32.488,32.707,32.329,32.498,606390,0
2015-12-24,32.389,32.727,32.389,32.588,244298,0
2015-12-28,32.399,32.588,32.031,32.419,1250738,0
2015-12-29,32.667,32.711,31.931,32.07,1022177,0
2015-12-30,32.08,32.309,31.374,31.434,627152,0
2015-12-31,31.414,31.454,30.907,31.205,459106,0
2016-01-04,30.628,30.628,29.255,29.295,1814410,0
2016-01-05,29.594,29.902,29.086,29.116,1916648,0
2016-01-06,28.708,29.206,28.668,28.818,2918916,0
2016-01-07,28.489,28.489,27.256,27.335,2798745,0
2016-01-08,27.574,28.131,27.405,27.813,2658847,0
2016-01-11,27.534,28.042,27.355,27.733,2178211,0
2016-01-12,28.002,28.589,28.002,28.42,2121110,0
2016-01-13,28.499,28.619,27.624,27.962,1288288,0
2016-01-14,28.111,28.658,27.893,28.221,1916179,0
2016-01-15,27.922,28.151,27.47,27.743,1667173,0
2016-01-19,29.842,30.548,28.509,28.738,3100006,0
2016-01-20,28.46,29.098,28.022,28.499,1995629,0
2016-01-21,28.658,29.007,28.29,28.718,1897637,0
2016-01-22,29.027,29.454,28.813,29.434,1409314,0
2016-01-25,29.514,29.773,29.206,29.245,1374929,0
2016-01-26,29.275,29.733,29.186,29.514,2401030,0
2016-01-27,29.663,30.24,29.494,30.081,2469367,0
2016-01-28,30.419,30.767,30.161,30.29,1771146,0
2016-01-29,30.34,31.474,30.31,31.245,1634859,0
2016-02-01,31.235,32.15,31.225,31.842,1736794,0
2016-02-02,31.752,32.15,31.454,31.881,1428059,0
2016-02-03,32.21,32.359,31.633,32.17,2824095,0
2016-02-04,32.578,32.737,30.996,31.295,1675981,0
2016-02-05,31.245,31.245,29.872,30.031,796433,0
2016-02-08,29.763,29.792,28.609,29.036,1176674,0
2016-02-09,28.897,29.275,28.28,28.708,1556074,0
2016-02-10,28.828,29.643,28.42,29.136,1424883,0
2016-02-11,28.718,29.036,28.469,28.698,1260073,0
2016-02-12,29.036,29.544,28.678,29.355,1332154,0
2016-02-16,30.141,31.573,29.952,30.917,2064448,0
2016-02-17,31.185,31.342,30.469,30.678,1095692,0
2016-02-18,30.966,31.106,30.568,30.817,1863319,0
2016-02-19,30.698,31.493,30.449,31.374,741072,0
2016-02-22,31.643,31.866,31.344,31.603,869440,0
2016-02-23,31.344,31.692,31.106,31.513,905025,0
2016-02-24,31.185,31.832,30.728,31.722,1535759,0
2016-02-25,31.663,31.812,31.324,31.722,730521,0
2016-02-26,31.752,32.13,30.81,31.096,870214,0
2016-02-29,30.986,31.096,30.499,30.966,1053456,0
2016-03-01,31.225,32.249,31.006,32.15,986251,0
2016-03-02,32.09,32.268,31.344,31.523,652315,0
2016-03-03,31.484,31.702,31.484,31.633,657608,0
2016-03-04,31.682,31.697,30.658,30.907,627483,0
2016-03-07,30.867,30.946,30.121,30.27,737630,0
2016-03-08,30.2,31.682,29.852,31.484,1089533,0
2016-03-09,31.623,32.08,31.533,31.921,957716,0
2016-03-10,31.981,32.498,31.931,32.339,1323256,0
2016-03-11,32.588,33.035,32.339,32.677,808729,0
2016-03-14,32.826,33.921,32.677,33.781,1508357,0
2016-03-15,33.781,34.01,33.284,33.364,932929,0
2016-03-16,33.344,33.503,32.966,33.214,929400,0
2016-03-17,33.214,35.831,33.214,35.801,1763306,0
2016-03-18,35.224,36.557,35.199,35.711,2159561,0
2016-03-21,35.721,35.9,34.09,34.13,1929621,0
2016-03-22,33.97,34.542,33.707,34.279,1865822,0
2016-03-23,34.169,34.647,33.97,34.05,1065078,0
2016-03-24,33.96,35.005,33.662,34.697,569199,0
2016-03-28,34.667,34.667,33.791,34.09,537387,0
2016-03-29,33.931,34.925,33.742,34.687,1281144,0
2016-03-30,34.776,36.069,34.408,35.701,1903501,0
2016-03-31,35.413,35.721,34.219,34.408,1750024,0
2016-04-01,34.279,34.806,33.662,34.627,860326,0
2016-04-04,34.736,34.985,34.319,34.597,379680,0
2016-04-05,34.398,34.398,33.294,33.374,1325940,0
2016-04-06,33.443,35.293,33.304,34.517,1669536,0
2016-04-07,34.428,35.353,34.328,34.766,992665,0
2016-04-08,34.955,36.288,34.781,35.701,907109,0
2016-04-11,36.119,36.378,35.671,36.069,1216663,0
2016-04-12,36.169,36.358,34.02,34.299,1789870,0
2016-04-13,34.647,35.731,34.378,35.303,2014578,0
2016-04-14,35.393,35.642,34.736,35.104,1170406,0
2016-04-15,34.965,35.482,34.816,35.353,1032390,0
2016-04-18,35.353,36.477,35.204,36.069,1359049,0
2016-04-19,37.154,39.72,37.064,39.332,3689174,0
2016-04-20,39.292,39.75,38.695,39.093,2269493,0
2016-04-21,39.093,40.496,38.874,40.317,2669468,0
2016-04-22,40.138,40.456,38.954,39.551,1030073,0
2016-04-25,39.611,39.79,39.322,39.76,911467,0
2016-04-26,39.79,39.839,39.252,39.74,1542652,0
2016-04-27,39.79,39.839,39.352,39.461,2175989,0
2016-04-28,39.143,39.66,38.855,39.143,1150088,0
