Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,55.15,55.31,53.5,54.11,205726,0
2015-01-05,53.64,54.08,51.68,51.76,322082,0
2015-01-06,51.7,52.45,50.35,51.68,433036,0
2015-01-07,52.23,52.52,51.12,52.21,296970,0
2015-01-08,52.8,53.68,52.146,53.59,160528,0
2015-01-09,53.49,53.82,52.55,53.59,215378,0
2015-01-12,53.44,53.44,52.1,52.46,178198,0
2015-01-13,52.99,53.97,52.041,53.52,286008,0
2015-01-14,52.72,53.27,51.62,51.79,193117,0
2015-01-15,51.97,52.35,50.13,50.45,304849,0
2015-01-16,50.26,51.02,49.84,50.51,227765,0
2015-01-20,50.6,50.7,49.31,49.79,333866,0
2015-01-21,49.49,49.78,48.6,49.6,337522,0
2015-01-22,50.05,51.79,49.34,51.66,236218,0
2015-01-23,51.62,52.16,50.87,50.92,208232,0
2015-01-26,50.8,50.85,49.51,50.19,276751,0
2015-01-27,49.52,50.51,49.3,50.18,292565,0
2015-01-28,50.38,50.88,49.4,49.55,355338,0
2015-01-29,49.51,49.51,46.61,47.26,610306,0
2015-01-30,46.97,47.25,45.08,45.39,539680,0
2015-02-02,45.4,46.66,44.96,46.59,450612,0
2015-02-03,46.93,47.79,46.7,47.2,356468,0
2015-02-04,46.86,48.51,46.75,48.11,365502,0
2015-02-05,48.4,48.79,47.57,47.7,243446,0
2015-02-06,47.82,47.88,46.92,47.16,269165,0
2015-02-09,47.12,47.55,46.79,46.81,401600,0
2015-02-10,47.26,47.71,46.35,47.21,523820,0
2015-02-11,54.4,54.96,52.03,54.0,1579453,0
2015-02-12,54.38,54.95,53.74,54.87,346474,0
2015-02-13,54.92,55.03,53.41,53.96,325156,0
2015-02-17,53.81,53.85,52.92,53.12,256617,0
2015-02-18,52.87,53.21,52.285,52.53,291178,0
2015-02-19,52.32,52.93,51.65,52.81,246656,0
2015-02-20,52.86,54.78,52.12,54.33,418968,0
2015-02-23,54.08,56.14,53.11,55.37,705282,0
2015-02-24,55.16,56.68,54.96,56.67,380743,0
2015-02-25,56.75,57.47,55.76,56.85,297243,0
2015-02-26,56.1,56.96,55.9,56.8,377268,0
2015-02-27,56.52,57.08,56.4,56.5,321793,0
2015-03-02,56.58,58.04,56.47,57.87,278200,0
2015-03-03,57.08,57.92,56.36,56.68,396500,0
2015-03-04,56.7,56.78,55.66,55.8,297500,0
2015-03-05,55.83,56.11,54.97,55.78,204400,0
2015-03-06,55.27,55.9,54.04,54.45,185500,0
2015-03-09,54.57,55.4,54.04,54.8,187900,0
2015-03-10,54.38,54.51,52.77,52.83,224800,0
2015-03-11,52.83,53.87,52.21,52.61,331200,0
2015-03-12,52.89,54.57,52.87,54.54,235300,0
2015-03-13,54.31,54.32,51.79,53.18,186100,0
2015-03-16,53.38,54.22,53.22,54.04,123700,0
2015-03-17,53.76,55.13,53.53,54.28,288600,0
2015-03-18,53.88,54.8,53.6,54.34,249100,0
2015-03-19,54.25,54.69,53.83,54.42,284200,0
2015-03-20,54.74,55.38,54.24,55.0,461400,0
2015-03-23,54.98,57.3,54.75,56.88,346900,0
2015-03-24,56.76,57.43,56.2,57.38,343600,0
2015-03-25,57.71,57.71,56.09,56.56,369800,0
2015-03-26,57.94,58.06,56.51,57.0,382100,0
2015-03-27,57.0,57.33,56.05,57.03,279300,0
2015-03-30,57.34,58.34,57.04,58.13,196900,0
2015-03-31,58.17,58.76,57.01,58.75,439725,0
2015-04-01,58.7,59.05,57.49,58.31,303100,0
2015-04-02,58.42,59.1,56.15,56.92,461400,0
2015-04-06,56.77,57.38,56.56,57.06,290000,0
2015-04-07,56.89,57.57,56.81,57.16,250772,0
2015-04-08,57.29,57.7,56.34,57.66,251300,0
2015-04-09,57.66,58.0,56.31,57.48,208304,0
2015-04-10,57.84,57.9,56.35,57.09,263700,0
2015-04-13,57.21,57.93,57.17,57.34,206400,0
2015-04-14,57.3,57.67,56.51,57.09,299300,0
2015-04-15,57.53,58.59,57.41,57.85,264105,0
2015-04-16,57.92,57.94,56.63,57.38,163377,0
2015-04-17,57.24,57.28,56.05,56.53,223500,0
2015-04-20,57.0,57.38,56.36,56.73,254545,0
2015-04-21,56.89,58.21,56.79,58.2,377553,0
2015-04-22,58.17,59.35,57.54,59.01,290321,0
2015-04-23,58.82,60.05,58.8,59.92,378700,0
2015-04-24,60.0,60.01,59.19,59.47,405906,0
2015-04-27,59.47,59.61,57.66,58.44,357800,0
2015-04-28,58.17,58.76,57.64,58.51,265523,0
2015-04-29,60.0,62.0,59.39,61.01,1033900,0
2015-04-30,59.44,60.2,58.2,58.48,523700,0
2015-05-01,58.55,59.75,57.74,58.36,294700,0
2015-05-04,58.96,59.05,57.93,58.41,276400,0
2015-05-05,58.13,58.7,56.98,58.14,306000,0
2015-05-06,58.5,59.37,58.16,59.22,438822,0
2015-05-07,59.0,60.99,58.565,60.3,343622,0
2015-05-08,61.04,61.04,59.67,60.04,315500,0
2015-05-11,59.84,61.92,59.84,61.21,413000,0
2015-05-12,60.35,60.95,58.74,59.49,342886,0
2015-05-13,59.49,60.3,58.56,59.65,308400,0
2015-05-14,60.13,61.33,59.44,60.78,336500,0
2015-05-15,60.81,62.0,60.68,61.04,302764,0
2015-05-18,61.01,61.63,60.76,61.37,169713,0
2015-05-19,61.5,61.6,60.96,61.36,360415,0
2015-05-20,61.0,62.16,60.79,62.04,262200,0
2015-05-21,61.9,62.4,60.88,61.21,322600,0
2015-05-22,61.07,61.26,60.12,60.17,219400,0
2015-05-26,60.0,60.0,59.27,59.83,251516,0
2015-05-27,59.68,61.16,59.22,61.02,238300,0
2015-05-28,61.14,61.48,60.69,61.42,125581,0
2015-05-29,61.19,61.23,59.64,59.8,190900,0
2015-06-01,60.13,60.24,59.09,59.85,166258,0
2015-06-02,59.43,59.99,59.21,59.88,212729,0
2015-06-03,60.29,60.59,59.9,60.33,371700,0
2015-06-04,60.0,60.12,58.61,58.83,140100,0
2015-06-05,58.78,59.5,58.1,59.47,168100,0
2015-06-08,59.94,59.94,58.35,58.4,137200,0
2015-06-09,58.25,58.5,57.57,58.16,96307,0
2015-06-10,58.46,59.25,58.17,58.82,212117,0
2015-06-11,58.86,59.79,58.84,59.79,183399,0
2015-06-12,59.62,60.61,59.19,60.36,199100,0
2015-06-15,60.0,60.0,58.88,59.35,120700,0
2015-06-16,59.17,60.52,59.17,59.69,113300,0
2015-06-17,59.94,60.12,59.22,59.31,94300,0
2015-06-18,59.66,61.33,59.33,61.32,209300,0
2015-06-19,61.36,61.46,60.28,60.64,302300,0
2015-06-22,60.8,61.63,60.67,60.94,129800,0
2015-06-23,61.26,62.75,61.04,62.17,332050,0
2015-06-24,62.17,62.17,60.5,60.91,204400,0
2015-06-25,61.21,62.17,60.76,62.07,171500,0
