Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,21.993,21.993,21.692,21.729,14437,0
2015-01-05,21.325,21.325,20.986,21.025,13736,0
2015-01-06,21.006,21.147,20.715,20.752,6129,0
2015-01-07,21.006,21.353,21.006,21.307,37583,0
2015-01-08,21.768,21.777,21.674,21.674,5689,0
2015-01-09,21.616,21.616,21.438,21.438,5205,0
2015-01-12,21.278,21.278,21.016,21.157,15454,0
2015-01-13,21.325,21.363,20.931,21.157,27319,0
2015-01-14,21.269,21.401,21.128,21.401,18962,0
2015-01-15,21.561,21.58,21.288,21.41,10837,0
2015-01-16,21.937,21.937,21.937,21.937,3556,0
2015-01-20,22.002,22.021,21.655,21.739,6800,0
2015-01-21,22.087,22.191,22.067,22.191,15722,0
2015-01-22,22.191,22.245,21.983,22.219,36281,0
2015-01-23,21.862,22.021,21.814,21.963,8351,0
2015-01-26,21.983,22.021,21.879,22.011,6236,0
2015-01-27,21.87,21.899,21.701,21.899,4417,0
2015-01-28,21.607,21.795,21.382,21.392,37412,0
2015-01-29,21.598,21.674,21.532,21.664,19408,0
2015-01-30,21.467,21.927,21.467,21.823,28426,0
2015-02-02,22.482,22.641,22.293,22.604,30012,0
2015-02-03,23.083,23.393,23.036,23.374,21017,0
2015-02-04,22.801,22.801,22.519,22.519,10498,0
2015-02-05,23.196,23.29,23.186,23.224,7228,0
2015-02-06,23.13,23.13,22.791,22.848,29059,0
2015-02-09,23.036,23.186,23.018,23.12,330270,0
2015-02-10,23.214,23.214,23.026,23.158,10556,0
2015-02-11,22.604,22.604,22.191,22.275,10304,0
2015-02-12,22.406,22.641,22.406,22.604,15404,0
2015-02-13,22.885,23.018,22.848,23.018,7342,0
2015-02-17,23.177,23.403,23.12,23.327,10245,0
2015-02-18,23.309,23.412,23.214,23.412,4986,0
2015-02-19,22.885,22.979,22.791,22.876,14452,0
2015-02-20,22.857,23.356,22.81,23.356,6910,0
2015-02-23,22.801,22.801,22.622,22.755,5265,0
2015-02-24,23.243,23.243,22.716,22.876,10271,0
2015-02-25,22.933,23.073,22.895,23.073,9049,0
2015-02-26,22.914,22.914,22.698,22.698,2804,0
2015-02-27,22.735,22.801,22.594,22.651,23083,0
2015-03-02,22.576,22.576,22.322,22.388,6384,0
2015-03-03,22.473,22.5,22.397,22.416,3405,0
2015-03-04,22.011,22.171,21.833,22.011,9575,0
2015-03-05,22.238,22.359,22.219,22.34,6490,0
2015-03-06,22.181,22.181,21.785,21.795,7236,0
2015-03-09,21.739,21.87,21.692,21.701,6172,0
