Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.117,11.117,11.005,11.044,54626,0
2015-01-05,10.949,10.974,10.71,10.739,195990,0
2015-01-06,10.763,10.899,10.668,10.71,120231,0
2015-01-07,10.796,10.867,10.71,10.739,308402,0
2015-01-08,10.829,10.974,10.829,10.941,121854,0
2015-01-09,10.967,10.967,10.838,10.907,161985,0
2015-01-12,10.882,10.923,10.746,10.786,192579,0
2015-01-13,10.846,10.916,10.684,10.746,182394,0
2015-01-14,10.643,10.729,10.573,10.71,236666,0
2015-01-15,10.746,10.746,10.649,10.684,113755,0
2015-01-16,10.702,10.813,10.702,10.813,151593,0
2015-01-20,10.874,10.882,10.77,10.862,148397,0
2015-01-21,10.859,10.905,10.819,10.897,82021,0
2015-01-22,10.964,11.076,10.913,11.051,147945,0
2015-01-23,11.051,11.084,11.003,11.018,122613,0
2015-01-26,11.026,11.051,10.993,11.034,124837,0
2015-01-27,10.905,10.964,10.844,10.905,123176,0
2015-01-28,10.939,10.979,10.768,10.774,123471,0
2015-01-29,10.809,10.844,10.646,10.835,137841,0
2015-01-30,10.768,10.851,10.727,10.734,80725,0
2015-02-02,10.783,10.879,10.688,10.879,99720,0
2015-02-03,10.939,11.043,10.929,11.026,107906,0
2015-02-04,10.993,11.101,10.993,11.034,170873,0
2015-02-05,11.084,11.14,11.068,11.101,87455,0
2015-02-06,11.115,11.164,11.094,11.109,94628,0
2015-02-09,11.094,11.164,11.084,11.131,104940,0
2015-02-10,11.19,11.275,11.14,11.254,89755,0
2015-02-11,11.238,11.3,11.23,11.275,83851,0
2015-02-12,11.32,11.375,11.284,11.284,159129,0
2015-02-13,11.31,11.36,11.292,11.36,76341,0
2015-02-17,11.32,11.32,11.14,11.275,306315,0
2015-02-18,11.264,11.326,11.25,11.272,144151,0
2015-02-19,11.25,11.365,11.25,11.289,102271,0
2015-02-20,11.281,11.388,11.281,11.381,93864,0
2015-02-23,11.357,11.381,11.348,11.357,106637,0
2015-02-24,11.388,11.446,11.373,11.446,101461,0
2015-02-25,11.41,11.473,11.388,11.402,129839,0
2015-02-26,11.428,11.428,11.381,11.388,129821,0
2015-02-27,11.402,11.41,11.357,11.381,116896,0
2015-03-02,11.357,11.437,11.357,11.41,156369,0
2015-03-03,11.373,11.419,11.348,11.419,107933,0
2015-03-04,11.402,11.437,11.326,11.402,125021,0
2015-03-05,11.402,11.473,11.402,11.437,83840,0
2015-03-06,11.402,11.402,11.326,11.348,94166,0
2015-03-09,11.373,11.428,11.334,11.41,93304,0
2015-03-10,11.357,11.357,11.243,11.272,103141,0
2015-03-11,11.272,11.298,11.25,11.257,58268,0
2015-03-12,11.264,11.365,11.186,11.348,81629,0
2015-03-13,11.317,11.334,11.243,11.307,79048,0
2015-03-16,11.307,11.388,11.298,11.334,102523,0
2015-03-17,11.281,11.326,11.16,11.272,129695,0
