Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,58.148,58.148,56.965,57.081,29165,0
2015-01-05,59.917,60.041,59.526,59.774,38307,0
2015-01-06,59.668,59.678,58.054,58.167,41549,0
2015-01-07,58.483,58.571,57.625,57.758,35136,0
2015-01-08,57.873,58.112,57.252,58.045,30978,0
2015-01-09,58.13,58.361,57.394,58.217,34004,0
2015-01-12,59.154,59.449,58.77,59.057,23528,0
2015-01-13,58.914,58.951,58.054,58.407,19508,0
2015-01-14,60.252,60.577,59.536,59.909,56192,0
2015-01-15,60.49,60.49,59.306,59.946,23053,0
2015-01-16,59.546,59.659,59.383,59.536,19085,0
2015-01-20,60.673,60.673,59.822,59.88,41758,0
2015-01-21,59.784,60.167,59.433,59.602,16570,0
2015-01-22,59.726,59.994,59.487,59.955,36973,0
2015-01-23,59.107,59.735,59.028,59.028,14089,0
2015-01-26,58.474,59.067,58.064,58.197,13554,0
2015-01-27,58.493,59.067,58.187,58.527,7477,0
2015-01-28,58.761,58.858,58.084,58.245,19623,0
2015-01-29,58.79,59.127,58.435,58.938,16852,0
2015-01-30,58.883,59.227,58.388,58.989,4418,0
2015-02-02,59.556,59.622,59.383,59.622,14385,0
2015-02-03,59.965,60.921,59.965,60.921,12726,0
2015-02-04,60.576,60.768,60.109,60.289,5990,0
2015-02-05,60.921,61.16,60.463,60.912,11277,0
2015-02-06,60.185,60.416,59.364,60.09,5504,0
2015-02-09,59.688,59.955,59.65,59.88,6844,0
2015-02-10,60.473,60.673,60.06,60.631,5659,0
2015-02-11,60.195,60.195,59.439,59.506,11842,0
2015-02-12,59.107,59.112,58.571,58.906,10798,0
2015-02-13,58.868,59.812,58.868,59.067,8413,0
2015-02-17,60.357,61.131,60.138,61.112,13333,0
2015-02-18,60.119,60.62,60.119,60.382,6033,0
2015-02-19,60.673,61.256,60.673,61.256,11139,0
2015-02-20,61.256,61.438,60.988,61.438,6898,0
2015-02-23,61.446,62.058,61.256,61.838,14111,0
2015-02-24,61.657,62.058,61.438,61.954,8772,0
2015-02-25,61.322,61.877,61.303,61.342,19182,0
2015-02-26,61.247,61.308,60.892,60.892,19685,0
2015-02-27,61.03,61.438,60.902,61.438,14342,0
2015-03-02,61.857,61.944,61.484,61.59,23334,0
2015-03-03,60.567,60.758,60.443,60.719,8057,0
2015-03-04,60.778,60.882,60.387,60.499,7326,0
2015-03-05,60.128,60.798,60.128,60.204,10360,0
2015-03-06,60.213,60.223,59.965,60.06,4604,0
2015-03-09,61.532,62.019,61.532,61.934,21036,0
2015-03-10,62.125,62.268,61.696,61.963,45520,0
2015-03-11,63.08,64.037,63.08,63.72,42590,0
2015-03-12,64.59,64.983,64.359,64.983,23965,0
2015-03-13,64.457,64.915,64.266,64.313,9627,0
2015-03-16,65.862,65.984,65.478,65.575,19673,0
2015-03-17,65.497,66.836,65.497,65.862,5965,0
2015-03-18,67.188,68.196,66.783,68.031,18323,0
2015-03-19,68.225,69.156,67.523,67.629,15719,0
2015-03-20,69.915,69.915,67.821,67.821,8681,0
2015-03-23,68.791,69.665,68.591,69.557,59032,0
2015-03-24,69.156,69.627,68.791,68.916,16450,0
2015-03-25,68.723,68.888,67.984,68.551,22385,0
2015-03-26,68.571,68.571,67.418,67.572,10828,0
2015-03-27,67.753,68.128,67.341,67.398,5829,0
2015-03-30,70.048,70.048,69.529,70.001,15928,0
2015-03-31,69.637,70.068,69.308,69.357,18549,0
2015-04-01,70.165,70.722,69.838,70.481,17491,0
2015-04-02,71.288,71.663,70.913,71.288,19261,0
2015-04-06,71.48,71.72,71.443,71.49,14679,0
2015-04-07,71.212,71.654,71.123,71.605,12969,0
2015-04-08,71.202,71.49,70.78,70.884,11972,0
2015-04-09,70.835,71.298,70.442,70.501,11655,0
2015-04-10,70.28,70.298,69.788,69.788,28006,0
2015-04-13,70.347,72.845,70.231,71.702,85061,0
2015-04-14,72.634,73.479,72.555,73.125,51015,0
2015-04-15,75.101,75.64,74.572,75.581,73791,0
2015-04-16,75.571,76.024,74.929,75.994,41258,0
2015-04-17,76.359,76.553,75.429,76.119,29047,0
2015-04-20,79.318,80.124,77.397,79.722,55954,0
