Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,64.095,64.905,63.305,63.86,1215780,0
2015-01-05,63.3,64.61,63.25,63.89,1276534,0
2015-01-06,63.485,64.41,62.705,63.51,1666980,0
2015-01-07,64.1,65.245,63.635,65.0,1550780,0
2015-01-08,65.51,66.735,65.28,66.575,2319114,0
2015-01-09,66.575,67.0,66.045,66.58,1681500,0
2015-01-12,66.865,68.14,66.425,67.645,2272488,0
2015-01-13,68.17,68.595,66.32,66.81,1501624,0
2015-01-14,65.835,66.53,65.51,65.835,1560122,0
2015-01-15,66.3,66.56,64.235,64.295,2550696,0
2015-01-16,64.185,64.635,63.585,64.58,1976316,0
2015-01-20,65.135,65.94,64.01,64.23,1966288,0
2015-01-21,64.2,64.725,63.77,64.44,1775900,0
2015-01-22,64.885,65.44,63.78,65.17,2322688,0
2015-01-23,65.31,65.44,64.75,64.815,1539920,0
2015-01-26,64.75,65.19,64.41,65.07,1997760,0
2015-01-27,64.585,65.225,64.145,64.69,1091424,0
2015-01-28,64.99,65.55,64.375,64.435,1217184,0
2015-01-29,64.455,64.81,63.905,64.64,1569002,0
2015-01-30,64.255,64.48,62.345,62.675,4163370,0
2015-02-02,62.845,63.695,62.28,62.74,3079344,0
2015-02-03,63.185,63.76,61.985,63.5,2810856,0
2015-02-04,64.53,68.79,64.26,67.425,4139842,0
2015-02-05,67.5,68.435,67.315,67.415,2112174,0
2015-02-06,67.395,68.375,65.975,66.31,2609962,0
2015-02-09,66.175,66.41,63.855,64.04,2187878,0
2015-02-10,65.18,65.55,64.63,65.035,1790680,0
2015-02-11,64.875,65.93,64.68,65.795,1835176,0
2015-02-12,66.19,66.435,65.28,66.17,1438948,0
2015-02-13,66.36,67.115,65.625,67.115,2134894,0
2015-02-17,67.045,67.335,66.025,66.52,1324324,0
2015-02-18,66.62,67.375,66.5,67.11,1858018,0
2015-02-19,67.16,67.49,66.755,66.86,1357310,0
2015-02-20,66.66,67.31,65.97,67.23,1514568,0
2015-02-23,67.23,67.44,66.8,67.125,1202738,0
2015-02-24,66.93,67.485,66.67,66.995,1382418,0
2015-02-25,66.83,67.49,66.775,67.025,1344812,0
2015-02-26,67.11,67.75,66.985,67.45,1256982,0
2015-02-27,67.2,67.58,66.51,66.51,2338430,0
2015-03-02,66.31,68.03,66.305,67.925,2346800,0
2015-03-03,67.89,68.05,66.88,67.29,1473000,0
2015-03-04,66.945,68.305,66.775,67.88,1212600,0
2015-03-05,67.8,68.475,67.56,67.825,1358800,0
2015-03-06,67.615,68.0,66.295,66.5,1650200,0
2015-03-09,66.715,67.23,66.215,66.95,3830400,0
2015-03-10,66.445,66.94,66.005,66.825,1927800,0
2015-03-11,67.0,68.0,66.825,67.355,1896600,0
2015-03-12,67.53,68.71,67.365,68.5,2336800,0
2015-03-13,68.425,68.67,67.195,67.675,2104600,0
2015-03-16,68.5,74.855,68.5,74.32,5910000,0
2015-03-17,73.75,74.38,73.265,74.05,2270800,0
2015-03-18,74.0,74.975,73.775,74.19,2673600,0
2015-03-19,73.635,74.66,73.63,74.47,1770200,0
2015-03-20,74.895,75.205,73.355,73.385,3527800,0
2015-03-23,73.455,73.76,72.875,73.05,1405200,0
2015-03-24,73.24,73.975,72.66,72.9,1647000,0
2015-03-25,73.315,73.94,71.035,71.125,2589400,0
2015-03-26,70.385,71.4,69.065,70.95,2106800,0
2015-03-27,70.985,72.085,70.955,71.84,1474200,0
2015-03-30,72.435,72.615,71.945,72.07,1211600,0
2015-03-31,71.575,72.055,71.105,71.23,1443402,0
2015-04-01,71.03,71.115,69.455,70.35,2012600,0
2015-04-02,70.655,71.025,69.945,70.305,1682800,0
2015-04-06,70.12,70.315,69.625,69.925,1789000,0
2015-04-07,70.2,70.54,69.36,69.375,2016420,0
2015-04-08,69.575,70.28,69.02,69.51,1993800,0
2015-04-09,69.455,70.0,68.85,69.685,1606320,0
2015-04-10,70.0,71.0,69.68,70.84,2083200,0
2015-04-13,70.995,72.935,70.895,71.55,1850600,0
2015-04-14,71.505,71.825,70.645,71.375,1247400,0
2015-04-15,71.5,71.5,70.42,70.64,1404502,0
2015-04-16,70.51,71.135,70.385,70.865,918994,0
2015-04-17,70.39,70.56,69.51,69.97,1321800,0
