Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,38.7,38.75,37.57,38.29,229986,0
2015-01-05,38.05,38.72,37.46,37.65,191918,0
2015-01-06,37.45,37.59,36.37,37.04,234190,0
2015-01-07,37.39,37.73,36.91,37.67,274423,0
2015-01-08,38.06,38.75,37.88,38.54,429539,0
2015-01-09,38.54,38.91,38.28,38.38,191609,0
2015-01-12,38.3,38.63,37.97,38.09,177451,0
2015-01-13,38.5,39.59,37.64,38.48,293313,0
2015-01-14,37.99,38.49,37.8,38.44,164639,0
2015-01-15,38.61,38.61,37.82,38.29,251076,0
2015-01-16,38.05,39.88,37.82,39.77,436811,0
2015-01-20,39.97,40.27,39.36,39.93,415614,0
2015-01-21,39.74,40.08,39.28,39.55,207234,0
2015-01-22,39.84,40.51,39.47,40.46,158654,0
2015-01-23,40.35,40.71,40.09,40.29,127331,0
2015-01-26,40.17,40.49,39.78,40.41,135038,0
2015-01-27,39.98,40.56,39.38,40.24,184851,0
2015-01-28,40.56,40.56,39.7,39.89,359192,0
2015-01-29,39.9,41.07,39.15,40.97,357188,0
2015-01-30,40.59,41.08,40.3,40.67,339644,0
2015-02-02,38.08,38.23,36.21,36.57,1446424,0
2015-02-03,36.45,37.34,36.22,36.8,623790,0
2015-02-04,36.55,37.16,36.17,36.53,455253,0
2015-02-05,36.54,37.81,36.53,37.68,242041,0
2015-02-06,37.77,38.07,37.16,37.69,210458,0
2015-02-09,37.57,37.8,37.12,37.15,230261,0
2015-02-10,37.44,37.46,36.78,37.07,165907,0
2015-02-11,36.95,37.65,36.95,37.47,212212,0
2015-02-12,37.73,37.78,37.26,37.44,225056,0
2015-02-13,37.43,38.14,37.12,38.02,204929,0
2015-02-17,38.12,38.12,37.22,37.64,279073,0
2015-02-18,37.51,38.03,37.05,37.24,477027,0
2015-02-19,37.25,37.47,35.43,36.88,700715,0
2015-02-20,36.9,37.06,36.26,36.56,527926,0
2015-02-23,36.58,37.55,36.15,37.49,264389,0
2015-02-24,37.55,38.5,37.55,38.09,269544,0
2015-02-25,38.3,38.71,36.79,36.94,242742,0
2015-02-26,36.94,37.46,36.13,37.13,505430,0
2015-02-27,37.17,37.3,36.62,36.87,343255,0
2015-03-02,36.8,37.91,36.67,37.7,314900,0
2015-03-03,37.56,37.85,37.35,37.63,192600,0
2015-03-04,37.56,37.91,36.72,37.08,160000,0
2015-03-05,37.09,37.43,36.7,37.15,156000,0
2015-03-06,36.86,36.98,36.29,36.43,250700,0
2015-03-09,36.48,37.05,36.46,36.91,164100,0
2015-03-10,36.57,36.82,36.0,36.21,223300,0
2015-03-11,36.24,36.54,35.97,36.38,185600,0
2015-03-12,36.64,37.31,36.51,37.26,152300,0
2015-03-13,37.13,37.21,36.18,36.53,267800,0
2015-03-16,36.46,37.32,36.46,36.96,191600,0
2015-03-17,36.92,37.25,36.38,37.13,150000,0
2015-03-18,37.03,37.27,36.49,37.01,197300,0
2015-03-19,36.84,37.44,36.8,37.21,170400,0
2015-03-20,37.45,37.88,37.12,37.44,390200,0
2015-03-23,37.42,37.88,37.13,37.6,158600,0
2015-03-24,37.62,37.85,37.3,37.72,257300,0
2015-03-25,37.8,37.82,36.22,36.25,148500,0
2015-03-26,36.2,36.99,35.89,36.38,228000,0
2015-03-27,36.27,36.93,36.01,36.79,161700,0
2015-03-30,37.0,38.11,36.75,37.89,449000,0
2015-03-31,37.63,37.91,37.33,37.46,184770,0
2015-04-01,37.63,37.86,36.71,37.59,241600,0
2015-04-02,37.6,38.15,37.6,37.85,256000,0
2015-04-06,37.68,38.26,37.68,38.23,193100,0
2015-04-07,38.28,38.57,37.95,37.96,112320,0
2015-04-08,38.04,38.2,37.67,38.03,141100,0
2015-04-09,38.03,38.22,37.85,38.04,150500,0
2015-04-10,38.24,38.76,37.95,38.56,148400,0
2015-04-13,38.56,38.87,38.09,38.15,159800,0
2015-04-14,38.34,38.34,37.85,38.12,70100,0
2015-04-15,38.26,38.69,38.13,38.46,113915,0
2015-04-16,38.43,38.53,38.13,38.23,69147,0
2015-04-17,37.87,38.19,37.25,37.41,133200,0
2015-04-20,37.7,38.35,37.53,38.03,95336,0
2015-04-21,38.21,38.88,38.09,38.68,168175,0
2015-04-22,38.69,39.01,38.28,38.55,130978,0
2015-04-23,38.43,38.78,38.31,38.51,75200,0
2015-04-24,38.49,38.59,38.18,38.53,127559,0
2015-04-27,38.59,39.15,38.37,38.72,177900,0
2015-04-28,38.67,39.01,38.42,39.0,206400,0
2015-04-29,38.86,38.87,38.11,38.3,303100,0
2015-04-30,39.95,41.79,39.55,41.11,977000,0
2015-05-01,41.38,41.48,39.83,39.92,421100,0
2015-05-04,39.89,40.57,39.85,40.01,256200,0
2015-05-05,39.88,40.3,39.3,40.1,310300,0
2015-05-06,40.3,40.44,39.29,39.41,210189,0
2015-05-07,39.3,39.52,38.95,39.26,182556,0
2015-05-08,39.58,40.06,39.5,39.69,193400,0
2015-05-11,39.59,40.36,39.59,39.83,142400,0
2015-05-12,39.55,39.95,38.85,39.81,182624,0
2015-05-13,39.81,40.48,39.46,40.24,190600,0
2015-05-14,40.24,40.77,40.04,40.43,173100,0
2015-05-15,40.44,40.71,39.82,39.89,145053,0
2015-05-18,39.64,40.07,39.29,39.9,155106,0
2015-05-19,39.97,40.29,39.62,40.14,116901,0
2015-05-20,40.1,40.23,39.8,39.94,110100,0
2015-05-21,39.8,40.22,39.74,39.82,93500,0
2015-05-22,39.78,40.02,39.28,39.66,128100,0
2015-05-26,39.59,39.76,39.1,39.22,143372,0
2015-05-27,39.17,39.99,39.08,39.94,103600,0
2015-05-28,39.8,39.9,39.3,39.74,107223,0
2015-05-29,39.65,39.9,38.89,39.3,105600,0
2015-06-01,39.8,39.84,38.87,39.53,111647,0
2015-06-02,39.23,39.91,39.23,39.84,109305,0
2015-06-03,39.97,40.5,39.62,40.46,201300,0
2015-06-04,40.2,40.5,40.11,40.31,159300,0
2015-06-05,40.36,40.62,39.85,40.52,117800,0
2015-06-08,40.38,40.54,40.1,40.25,104900,0
2015-06-09,40.17,40.64,39.95,40.37,196300,0
2015-06-10,40.5,41.5,40.48,41.0,411123,0
2015-06-11,41.1,41.49,40.85,41.38,237611,0
2015-06-12,41.33,41.33,40.94,41.0,194800,0
2015-06-15,40.66,40.66,39.73,40.6,171300,0
2015-06-16,40.62,41.47,40.37,41.47,343500,0
2015-06-17,41.48,41.65,41.2,41.31,211400,0
2015-06-18,41.5,41.97,41.33,41.85,193300,0
2015-06-19,41.99,42.76,41.84,42.62,556700,0
2015-06-22,42.89,43.12,42.39,43.05,244800,0
2015-06-23,43.24,43.82,43.13,43.64,316191,0
2015-06-24,43.58,43.62,42.55,42.72,271000,0
2015-06-25,42.87,42.87,42.07,42.4,133700,0
2015-06-26,42.59,43.21,42.19,42.51,350500,0
2015-06-29,42.2,42.5,40.96,41.04,191600,0
2015-06-30,41.43,41.43,40.82,41.24,215074,0
2015-07-01,42.05,42.5,41.6,42.39,302700,0
2015-07-02,42.55,42.78,41.59,42.06,185300,0
2015-07-06,41.81,42.48,41.54,41.93,174300,0
2015-07-07,42.03,42.65,41.77,42.44,320600,0
2015-07-08,41.86,42.15,41.29,41.51,295100,0
2015-07-09,42.04,42.19,41.19,41.36,289300,0
2015-07-10,41.91,42.23,41.63,42.19,221700,0
2015-07-13,42.54,42.97,42.53,42.82,198100,0
