Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,16.699,16.718,16.153,16.427,122622,0
2015-01-05,16.298,16.368,16.009,16.153,136038,0
2015-01-06,16.153,16.259,15.773,15.861,213750,0
2015-01-07,15.919,16.009,15.803,15.999,121596,0
2015-01-08,16.163,16.475,16.048,16.338,278484,0
2015-01-09,16.289,16.417,15.999,16.173,137552,0
2015-01-12,16.173,16.388,15.989,16.338,172959,0
2015-01-13,16.513,16.593,15.999,16.388,214978,0
2015-01-14,16.153,16.397,16.067,16.328,87388,0
2015-01-15,16.417,16.427,15.715,15.725,130582,0
2015-01-16,15.639,15.851,15.453,15.773,165422,0
2015-01-20,15.735,15.773,15.162,15.443,157501,0
2015-01-21,15.373,15.473,15.22,15.443,151781,0
2015-01-22,15.541,15.989,15.249,15.87,103586,0
2015-01-23,15.87,16.009,15.667,15.939,86117,0
2015-01-26,15.88,16.279,15.813,16.163,71622,0
2015-01-27,15.999,16.153,15.822,16.096,59163,0
2015-01-28,16.249,16.338,15.783,16.009,149264,0
2015-01-29,16.038,16.533,15.979,16.523,99733,0
2015-01-30,16.328,16.494,16.183,16.202,177895,0
2015-02-02,16.279,16.836,16.144,16.796,137006,0
2015-02-03,16.865,17.68,16.865,17.624,217735,0
2015-02-04,17.485,17.634,17.126,17.234,92787,0
2015-02-05,17.244,17.42,17.244,17.341,116288,0
2015-02-06,16.932,17.205,16.601,16.786,186055,0
2015-02-09,16.776,16.98,16.513,16.601,100860,0
2015-02-10,16.649,16.649,16.116,16.358,92748,0
2015-02-11,16.338,16.407,15.939,16.232,88402,0
2015-02-12,16.446,16.533,16.202,16.466,99294,0
2015-02-13,16.475,16.649,16.249,16.503,102196,0
2015-02-17,16.446,16.639,16.269,16.533,58919,0
2015-02-18,16.232,16.836,16.232,16.766,114181,0
2015-02-19,16.649,16.796,16.475,16.485,63111,0
2015-02-20,16.466,16.523,16.163,16.212,152444,0
2015-02-23,16.125,16.328,15.959,16.308,86772,0
2015-02-24,16.298,16.601,16.298,16.397,68232,0
2015-02-25,16.397,16.503,16.232,16.318,100751,0
2015-02-26,16.259,16.494,16.202,16.427,71113,0
2015-02-27,18.003,18.722,17.545,18.196,492139,0
2015-03-02,18.126,18.87,17.964,18.236,351655,0
2015-03-03,18.156,18.47,18.061,18.246,138421,0
2015-03-04,18.236,18.236,17.907,18.146,179528,0
2015-03-05,18.196,18.771,18.099,18.48,339530,0
2015-03-06,18.256,18.624,18.186,18.344,152194,0
2015-03-09,18.334,18.664,18.291,18.431,495906,0
2015-03-10,18.275,18.615,18.255,18.393,231933,0
2015-03-11,18.461,18.577,18.265,18.519,261625,0
2015-03-12,18.625,19.281,18.528,19.192,377382,0
2015-03-13,19.242,19.291,18.802,18.958,241958,0
2015-03-16,18.958,19.045,18.831,18.881,181828,0
2015-03-17,18.792,19.232,18.645,19.094,213685,0
2015-03-18,19.055,19.466,18.821,19.387,114935,0
2015-03-19,19.232,19.3,19.133,19.242,76623,0
2015-03-20,19.367,19.523,19.212,19.271,232842,0
2015-03-23,19.232,19.504,19.182,19.358,147715,0
2015-03-24,19.387,19.691,19.242,19.532,178753,0
2015-03-25,19.671,19.7,19.172,19.202,180701,0
2015-03-26,19.202,19.856,19.064,19.808,258656,0
2015-03-27,19.846,20.05,19.571,19.827,307620,0
2015-03-30,20.021,20.931,19.935,20.675,458000,0
2015-03-31,20.53,20.595,20.335,20.538,237674,0
2015-04-01,20.491,20.675,20.395,20.538,260193,0
2015-04-02,20.521,20.863,20.443,20.625,189202,0
2015-04-06,20.471,20.595,19.486,19.818,349621,0
2015-04-07,19.729,19.955,19.601,19.661,267384,0
2015-04-08,19.651,19.925,19.561,19.818,367958,0
2015-04-09,19.876,20.001,19.621,19.866,110323,0
2015-04-10,19.935,20.286,19.778,20.266,309977,0
2015-04-13,20.226,20.521,20.06,20.471,170867,0
2015-04-14,20.462,20.745,20.375,20.705,226696,0
2015-04-15,20.892,20.892,20.501,20.665,143865,0
2015-04-16,20.53,20.548,20.196,20.276,142588,0
2015-04-17,20.11,20.11,19.621,19.631,119339,0
2015-04-20,19.739,19.837,19.504,19.671,146075,0
2015-04-21,19.7,19.964,19.504,19.856,93527,0
2015-04-22,19.808,19.925,19.495,19.925,145889,0
2015-04-23,19.915,20.226,19.886,20.05,106125,0
2015-04-24,20.09,20.09,19.866,19.955,68841,0
2015-04-27,20.1,20.665,20.1,20.206,281704,0
2015-04-28,20.246,20.375,20.07,20.158,154170,0
2015-04-29,20.1,20.316,19.955,20.11,179473,0
2015-04-30,20.501,21.164,19.925,20.196,429011,0
2015-05-01,20.345,20.735,20.306,20.615,324421,0
2015-05-04,20.745,20.968,20.635,20.814,339480,0
2015-05-05,20.873,21.174,20.814,20.892,252716,0
2015-05-06,20.987,21.056,20.755,20.833,201844,0
2015-05-07,20.921,21.281,20.675,21.174,364671,0
2015-05-08,21.349,21.475,21.095,21.301,278939,0
2015-05-11,21.379,21.672,21.34,21.426,448985,0
2015-05-12,21.398,21.673,21.006,21.535,289186,0
2015-05-13,21.713,21.975,21.505,21.789,229345,0
2015-05-14,21.868,22.289,21.838,22.025,200946,0
2015-05-15,22.075,22.339,21.858,21.925,174822,0
2015-05-18,21.945,21.975,21.693,21.76,426926,0
2015-05-19,21.751,22.162,21.663,21.975,673326,0
2015-05-20,22.123,22.475,21.78,22.309,544605,0
2015-05-21,22.319,22.524,22.221,22.309,232411,0
2015-05-22,22.299,22.631,22.075,22.153,221479,0
2015-05-26,22.123,22.123,21.654,21.733,185721,0
2015-05-27,21.733,21.858,21.436,21.743,280731,0
2015-05-28,21.703,22.035,21.654,21.925,248489,0
2015-05-29,21.896,22.094,21.693,21.975,285735,0
2015-06-01,22.133,22.631,21.915,22.375,555756,0
2015-06-02,22.24,22.544,22.133,22.366,372562,0
2015-06-03,22.544,23.062,22.329,22.993,289414,0
2015-06-04,22.965,22.983,22.544,22.583,154259,0
2015-06-05,22.534,22.779,22.289,22.671,158550,0
2015-06-08,22.681,22.701,22.309,22.319,147415,0
2015-06-09,22.357,22.514,22.259,22.455,212342,0
2015-06-10,22.701,23.268,22.681,23.151,369208,0
2015-06-11,23.18,23.443,23.022,23.161,196723,0
2015-06-12,23.092,23.453,22.866,23.394,226484,0
2015-06-15,23.414,23.414,22.445,22.564,363786,0
2015-06-16,22.573,22.759,22.153,22.201,364807,0
2015-06-17,22.259,22.495,22.113,22.319,195532,0
2015-06-18,22.475,22.925,22.319,22.906,230161,0
2015-06-19,23.003,23.003,22.681,22.711,236292,0
2015-06-22,22.798,22.993,22.729,22.906,167845,0
2015-06-23,22.916,23.161,22.818,22.935,152353,0
2015-06-24,22.876,22.876,22.395,22.554,163656,0
2015-06-25,22.691,22.691,22.395,22.495,205848,0
2015-06-26,22.524,22.827,22.524,22.769,736763,0
2015-06-29,22.641,23.052,22.366,22.405,233228,0
2015-06-30,22.612,22.701,22.339,22.465,214494,0
2015-07-01,22.651,22.955,22.514,22.779,222091,0
2015-07-02,22.789,22.876,22.162,22.593,136790,0
2015-07-06,22.329,22.749,22.329,22.691,136892,0
2015-07-07,22.651,22.701,22.162,22.622,268062,0
2015-07-08,22.425,22.759,22.289,22.603,164986,0
2015-07-09,22.837,23.003,22.612,22.671,224034,0
2015-07-10,22.916,23.229,22.827,22.973,128821,0
2015-07-13,23.092,23.151,22.847,22.955,297074,0
2015-07-14,22.925,23.375,22.691,23.238,323222,0
2015-07-15,23.18,23.278,22.425,22.495,348738,0
2015-07-16,22.691,22.886,22.504,22.622,272966,0
2015-07-17,22.583,23.248,22.475,22.866,520087,0
