Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,1.04,1.08,1.02,1.03,11736,0
2015-01-05,1.1,1.1499,1.1,1.11,51071,0
2015-01-06,1.1,1.21,1.1,1.21,13694,0
2015-01-07,1.21,1.22,1.02,1.15,46355,0
2015-01-08,1.15,1.18,1.1,1.11,29612,0
2015-01-09,1.14,1.16,1.1,1.15,28488,0
2015-01-12,1.25,1.25,1.108,1.12,93028,0
2015-01-13,1.23,1.23,1.13,1.19,1119,0
2015-01-14,1.15,1.15,1.05,1.062,30180,0
2015-01-15,1.12,1.12,1.06,1.07,20658,0
2015-01-16,1.06,1.1,0.901,0.98,76814,0
2015-01-20,0.98,0.99,0.9168,0.92,63153,0
2015-01-21,0.9005,1.04,0.86,1.04,53056,0
2015-01-22,1.04,1.04,0.9976,1.01,4454,0
2015-01-23,0.9999,1.0199,0.9501,0.97,45177,0
2015-01-26,1.0,1.0,0.97,0.99,11000,0
2015-01-27,0.96,1.04,0.96,0.97,10419,0
2015-01-28,1.02,1.02,0.9801,1.0052,14111,0
2015-01-29,1.0,1.01,0.9777,0.9777,5588,0
2015-01-30,0.97,0.99,0.95,0.95,12439,0
2015-02-02,0.95,0.965,0.95,0.95,15376,0
2015-02-03,0.95,0.9795,0.95,0.96,11412,0
2015-02-04,1.0,1.0,0.95,0.95,7537,0
2015-02-05,1.0,1.0,0.9501,0.98,4057,0
2015-02-06,1.0,1.0,0.95,0.969,17832,0
2015-02-09,0.95,0.99,0.95,0.95,22814,0
2015-02-10,0.98,0.98,0.95,0.95,18108,0
2015-02-11,0.95,0.97,0.93,0.9301,4917,0
2015-02-12,0.93,0.97,0.9,0.91,16756,0
2015-02-13,0.91,1.02,0.87,0.9,61136,0
2015-02-17,0.92,0.95,0.9101,0.92,26181,0
2015-02-18,0.96,0.96,0.92,0.95,13744,0
2015-02-19,0.95,0.95,0.9201,0.9201,1158,0
2015-02-20,0.9,0.95,0.9,0.93,2415,0
2015-02-23,0.94,0.94,0.92,0.92,1197,0
2015-02-24,0.9,0.99,0.9,0.95,29820,0
2015-02-25,0.98,0.99,0.95,0.96,11627,0
2015-02-26,0.91,0.94,0.89,0.91,20604,0
2015-02-27,0.937,0.937,0.89,0.91,6135,0
2015-03-02,0.93,0.94,0.92,0.94,2800,0
2015-03-03,0.89,0.9,0.88,0.89,6400,0
2015-03-04,0.9,0.9,0.86,0.86,6500,0
2015-03-05,0.88,0.9,0.88,0.89,1600,0
2015-03-06,0.89,0.89,0.85,0.88,6200,0
2015-03-09,0.85,0.85,0.8,0.8,29800,0
2015-03-10,0.89,0.89,0.81,0.81,6100,0
