Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,9.1622,9.4876,9.1622,9.4255,17289,0
2015-01-05,9.3378,9.513,9.2406,9.3378,24204,0
2015-01-06,9.4255,9.4255,8.9873,9.1622,30954,0
2015-01-07,9.1891,9.4688,9.1891,9.4688,19897,0
2015-01-08,9.513,9.558,9.3553,9.4166,39004,0
2015-01-09,9.4255,9.4787,9.3465,9.4787,13560,0
2015-01-12,9.548,9.548,9.4255,9.513,18222,0
2015-01-13,9.4255,9.504,9.3998,9.4688,28052,0
2015-01-14,9.39,9.39,9.2142,9.2931,37349,0
2015-01-15,9.513,9.548,9.4255,9.4521,36511,0
2015-01-16,9.4688,9.4955,9.4255,9.4521,11481,0
2015-01-20,9.548,9.548,9.4787,9.513,26724,0
2015-01-21,9.522,9.522,9.2503,9.3125,15585,0
2015-01-22,9.3722,9.4442,9.2931,9.4343,18906,0
2015-01-23,9.3465,9.4343,9.259,9.3125,24860,0
2015-01-26,9.3553,9.548,9.3028,9.548,32569,0
2015-01-27,9.532,9.532,9.3811,9.3811,17862,0
2015-01-28,9.522,9.558,9.4087,9.4166,41589,0
2015-01-29,9.4876,9.558,9.2065,9.513,36521,0
2015-01-30,9.4087,9.4955,9.259,9.3465,17145,0
2015-02-02,9.4087,9.4787,9.2142,9.4166,19402,0
2015-02-03,9.4521,9.4521,9.2237,9.3028,22935,0
2015-02-04,9.3028,9.4521,9.2142,9.3811,16107,0
2015-02-05,9.4255,9.513,9.3378,9.4166,30480,0
2015-02-06,9.4955,10.057,9.3811,9.3811,29200,0
2015-02-09,9.3811,9.548,9.2065,9.3722,37420,0
2015-02-10,9.3811,9.532,9.2334,9.3125,12206,0
2015-02-11,9.3378,9.513,9.2503,9.3125,14536,0
2015-02-12,9.4876,9.969,9.3028,9.811,77693,0
2015-02-13,9.82,10.102,9.811,9.951,79697,0
2015-02-17,10.057,10.19,9.3213,9.627,92984,0
2015-02-18,9.504,9.662,9.4688,9.627,43401,0
2015-02-19,9.681,9.855,9.645,9.84,27610,0
2015-02-20,9.863,10.074,9.84,9.871,57315,0
2015-02-23,10.064,10.126,9.723,9.89,45459,0
2015-02-24,10.039,10.074,9.731,9.909,30230,0
2015-02-25,9.917,10.022,9.681,9.776,18213,0
2015-02-26,9.69,9.89,9.69,9.82,41377,0
2015-02-27,9.899,10.039,9.82,9.83,26335,0
2015-03-02,9.619,9.96,9.601,9.871,46875,0
2015-03-03,9.979,9.995,9.776,9.943,23036,0
2015-03-04,9.951,9.951,9.802,9.934,15168,0
2015-03-05,9.89,9.934,9.751,9.769,20415,0
2015-03-06,9.785,9.792,9.645,9.714,17336,0
2015-03-09,9.741,9.76,9.601,9.662,14711,0
2015-03-10,9.7,9.714,9.4255,9.522,35358,0
2015-03-11,9.548,9.645,9.4255,9.558,13913,0
2015-03-12,9.558,9.619,9.2334,9.365,50068,0
2015-03-13,9.592,9.83,9.3378,9.83,54630,0
2015-03-16,9.909,9.909,9.46,9.46,23152,0
2015-03-17,9.582,9.645,9.4442,9.645,12089,0
2015-03-18,9.645,9.645,9.4787,9.601,26005,0
2015-03-19,9.601,9.627,9.4688,9.627,16194,0
2015-03-20,9.645,9.645,9.513,9.619,26917,0
2015-03-23,9.611,9.943,9.4955,9.909,58396,0
2015-03-24,9.909,10.074,9.863,9.951,27943,0
2015-03-25,10.084,10.505,9.995,10.302,56910,0
2015-03-26,10.505,10.505,9.7,9.776,26347,0
2015-03-27,9.76,10.074,9.751,9.969,18818,0
2015-03-30,10.18,10.587,10.1,10.17,49332,0
2015-03-31,10.408,10.453,10.19,10.4,75635,0
2015-04-01,10.577,10.577,10.284,10.391,43690,0
2015-04-02,10.4,10.525,10.311,10.525,35560,0
2015-04-06,10.549,10.549,10.444,10.453,47300,0
2015-04-07,10.497,10.628,10.408,10.417,31257,0
2015-04-08,10.462,10.577,10.151,10.311,158157,0
2015-04-09,10.372,10.444,10.202,10.202,19507,0
2015-04-10,10.231,10.274,10.19,10.25,23028,0
2015-04-13,10.417,10.567,10.17,10.24,80488,0
2015-04-14,10.268,10.338,10.222,10.284,28223,0
2015-04-15,10.436,10.542,10.284,10.284,65243,0
2015-04-16,10.274,10.507,10.24,10.444,30312,0
2015-04-17,10.497,10.913,10.487,10.628,115258,0
2015-04-20,10.852,10.852,10.516,10.542,67891,0
2015-04-21,10.637,10.717,10.542,10.717,16947,0
2015-04-22,10.843,10.843,10.577,10.647,43469,0
2015-04-23,10.7,10.781,10.676,10.708,23481,0
2015-04-24,10.788,10.807,10.637,10.807,26077,0
2015-04-27,10.852,11.073,10.708,10.754,87262,0
2015-04-28,10.781,10.941,10.676,10.772,49219,0
2015-04-29,10.817,10.895,10.628,10.628,17723,0
2015-04-30,10.62,10.628,10.453,10.534,27206,0
2015-05-01,10.717,10.717,10.4,10.487,28900,0
2015-05-04,10.453,10.717,10.408,10.534,27094,0
2015-05-05,10.637,10.772,10.231,10.497,62087,0
2015-05-06,10.4,10.613,10.109,10.355,37148,0
2015-05-07,10.408,10.408,10.118,10.196,23746,0
2015-05-08,10.292,10.302,10.045,10.054,46283,0
2015-05-11,10.01,10.444,10.01,10.268,58478,0
2015-05-12,10.338,10.355,9.922,9.939,57638,0
2015-05-13,9.922,9.983,9.787,9.814,35219,0
2015-05-14,9.787,10.1,9.764,10.01,53508,0
2015-05-15,9.922,10.1,9.824,9.956,40252,0
2015-05-18,9.834,10.028,9.796,10.01,24778,0
2015-05-19,9.867,9.965,9.744,9.744,73828,0
2015-05-20,9.805,9.867,9.613,9.621,39398,0
2015-05-21,9.744,9.814,9.613,9.621,43573,0
2015-05-22,9.646,9.843,9.637,9.734,17612,0
2015-05-26,9.814,9.824,9.613,9.621,35233,0
2015-05-27,9.717,9.814,9.683,9.744,17723,0
2015-05-28,9.796,9.796,9.725,9.725,10199,0
2015-05-29,9.717,9.725,9.654,9.717,21448,0
2015-06-01,9.725,9.725,9.584,9.725,19191,0
2015-06-02,9.637,9.764,9.613,9.717,9656,0
2015-06-03,9.701,9.931,9.654,9.931,30819,0
2015-06-04,9.975,10.037,9.764,9.78,45041,0
2015-06-05,9.787,9.956,9.744,9.754,41203,0
2015-06-08,9.78,9.956,9.613,9.613,23592,0
2015-06-09,9.744,9.867,9.613,9.814,13479,0
2015-06-10,9.814,10.054,9.787,9.876,14533,0
2015-06-11,10.231,10.268,9.948,9.992,39782,0
2015-06-12,10.142,10.33,10.01,10.142,57459,0
2015-06-15,10.25,10.587,10.142,10.487,51137,0
2015-06-16,10.557,10.587,10.338,10.364,29690,0
2015-06-17,10.33,10.408,10.268,10.274,24834,0
2015-06-18,10.311,10.338,10.274,10.274,16596,0
2015-06-19,10.338,10.628,10.274,10.628,62767,0
2015-06-22,10.637,10.637,10.364,10.542,20319,0
2015-06-23,10.487,10.613,10.231,10.231,44004,0
2015-06-24,10.274,10.436,10.231,10.372,26416,0
2015-06-25,10.302,10.596,10.292,10.4,32060,0
2015-06-26,10.382,10.628,10.231,10.62,42897,0
2015-06-29,10.665,10.746,10.539,10.746,91138,0
2015-06-30,10.691,10.798,10.483,10.655,51983,0
2015-07-01,10.717,10.746,10.554,10.746,25687,0
2015-07-02,10.699,10.798,10.593,10.746,18093,0
2015-07-06,10.746,10.746,10.635,10.746,14746,0
2015-07-07,10.788,10.788,10.554,10.788,57072,0
2015-07-08,10.788,10.788,10.674,10.691,15636,0
2015-07-09,10.707,10.746,10.618,10.746,38644,0
2015-07-10,10.699,10.967,10.699,10.746,31161,0
2015-07-13,10.869,10.995,10.746,10.967,36746,0
2015-07-14,10.967,11.237,10.896,11.076,65359,0
2015-07-15,10.861,10.861,10.028,10.028,208957,0
2015-07-16,9.67,9.894,9.535,9.894,1280940,0
2015-07-17,9.857,9.894,9.813,9.85,228848,0
2015-07-20,9.894,9.894,9.832,9.85,136146,0
2015-07-21,9.884,9.894,9.777,9.85,147537,0
2015-07-22,9.85,9.875,9.803,9.866,119952,0
2015-07-23,9.803,9.894,9.794,9.875,101188,0
2015-07-24,9.866,9.875,9.4994,9.554,327465,0
2015-07-27,9.535,9.544,9.3387,9.4097,96833,0
2015-07-28,9.4462,9.794,9.3387,9.794,174902,0
2015-07-29,9.761,9.842,9.554,9.67,78629,0
2015-07-30,9.761,9.794,9.633,9.761,102306,0
2015-07-31,9.794,9.93,9.704,9.85,153012,0
2015-08-03,9.913,9.913,9.68,9.723,55087,0
2015-08-04,9.777,9.85,9.731,9.85,46462,0
2015-08-05,9.913,9.913,9.67,9.761,66676,0
2015-08-06,9.77,9.884,9.67,9.689,60549,0
2015-08-07,9.77,9.785,9.589,9.589,58859,0
2015-08-10,9.625,9.714,9.598,9.643,47244,0
2015-08-11,9.77,9.85,9.625,9.66,50265,0
2015-08-12,9.643,9.731,9.509,9.699,97503,0
2015-08-13,9.714,9.751,9.598,9.68,22002,0
2015-08-14,9.751,9.93,9.67,9.832,74606,0
2015-08-17,9.866,9.866,9.67,9.731,70920,0
2015-08-18,9.803,9.842,9.554,9.643,80415,0
2015-08-19,9.625,9.777,9.625,9.67,75389,0
2015-08-20,9.643,9.751,9.535,9.58,75835,0
2015-08-21,9.4994,9.554,9.0701,9.33,203829,0
2015-08-24,9.0153,9.2045,8.9187,8.9534,103210,0
2015-08-25,9.2122,9.2122,8.8193,8.8193,65785,0
2015-08-26,8.9534,9.0521,8.7386,9.0435,129446,0
2015-08-27,9.1508,9.2668,9.0617,9.2493,78962,0
2015-08-28,9.1863,9.4018,9.1689,9.33,48250,0
2015-08-31,9.4097,9.4905,9.2765,9.4639,71034,0
2015-09-01,9.33,9.4728,9.2396,9.3919,38531,0
