Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,1.13,1.19,1.11,1.14,69514,0
2015-01-05,1.13,1.14,1.08,1.12,64266,0
2015-01-06,1.15,1.16,1.06,1.12,34752,0
2015-01-07,1.16,1.16,1.1,1.13,29860,0
2015-01-08,1.15,1.15,1.06,1.1,28732,0
2015-01-09,1.09,1.12,1.07,1.09,30521,0
2015-01-12,1.14,1.14,1.06,1.08,44894,0
2015-01-13,1.09,1.12,1.08,1.1,29232,0
2015-01-14,1.12,1.12,1.06,1.1,34889,0
2015-01-15,1.11,1.24,1.1,1.12,310845,0
2015-01-16,1.12,1.33,1.12,1.3,382963,0
2015-01-20,1.35,1.35,1.27,1.32,136538,0
2015-01-21,1.32,1.44,1.25,1.3,284524,0
2015-01-22,1.31,1.38,1.27,1.37,91979,0
2015-01-23,1.42,1.5,1.32,1.49,282308,0
2015-01-26,1.51,1.6,1.47,1.52,360764,0
2015-01-27,1.57,1.7,1.32,1.33,709422,0
2015-01-28,1.4,1.5,1.32,1.45,273381,0
2015-01-29,1.4,1.41,1.2,1.36,213992,0
2015-01-30,1.34,1.4,1.24,1.27,90457,0
2015-02-02,1.37,1.37,1.15,1.25,158114,0
2015-02-03,1.17,1.29,1.17,1.22,104295,0
2015-02-04,1.2,1.28,1.2,1.27,57276,0
2015-02-05,1.27,1.27,1.22,1.22,33183,0
2015-02-06,1.25,1.25,1.15,1.16,135269,0
2015-02-09,1.15,1.24,1.15,1.22,88181,0
2015-02-10,1.2,1.21,1.15,1.18,51501,0
2015-02-11,1.18,1.2,1.15,1.15,29490,0
2015-02-12,1.16,1.18,1.15,1.18,37309,0
2015-02-13,1.19,1.19,1.14,1.17,42277,0
2015-02-17,1.2,1.23,1.2,1.22,38087,0
2015-02-18,1.19,1.19,1.14,1.15,55207,0
2015-02-19,1.15,1.15,1.14,1.15,18810,0
2015-02-20,1.14,1.17,1.11,1.13,33293,0
2015-02-23,1.12,1.18,1.11,1.17,50327,0
2015-02-24,1.17,1.17,1.13,1.15,47449,0
2015-02-25,1.14,1.21,1.13,1.19,102509,0
2015-02-26,1.22,1.23,1.16,1.17,35834,0
2015-02-27,1.21,1.21,1.15,1.15,19314,0
2015-03-02,1.15,1.21,1.13,1.13,68600,0
2015-03-03,1.13,1.15,1.11,1.13,36400,0
2015-03-04,1.13,1.16,1.12,1.16,33300,0
2015-03-05,1.2,1.2,1.13,1.16,24700,0
2015-03-06,1.2,1.2,1.16,1.16,19200,0
2015-03-09,1.18,1.18,1.15,1.17,30200,0
2015-03-10,1.14,1.19,1.14,1.17,25700,0
2015-03-11,1.16,1.3,1.16,1.26,159600,0
2015-03-12,1.26,1.3,1.22,1.27,79700,0
2015-03-13,1.29,1.3,1.26,1.27,65600,0
2015-03-16,1.3,1.42,1.29,1.37,283000,0
2015-03-17,1.41,1.45,1.23,1.28,147400,0
2015-03-18,1.28,1.29,1.16,1.24,53200,0
2015-03-19,1.27,1.29,1.23,1.23,25200,0
2015-03-20,1.24,1.3,1.24,1.29,25500,0
2015-03-23,1.32,1.36,1.29,1.35,103100,0
2015-03-24,1.37,1.37,1.3,1.36,36000,0
2015-03-25,1.37,1.37,1.23,1.28,46100,0
