Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,28.53,28.53,27.28,27.71,20850,0
2015-01-05,27.72,29.335,27.5,28.5,45276,0
2015-01-06,29.93,29.93,27.7,27.71,30755,0
2015-01-07,27.95,28.45,27.87,28.01,17018,0
2015-01-08,28.07,28.45,27.72,28.45,13394,0
2015-01-09,28.27,28.34,28.0,28.03,13632,0
2015-01-12,27.65,28.213,27.65,27.85,15568,0
2015-01-13,28.22,28.79,27.92,28.1,21645,0
2015-01-14,27.92,27.92,27.15,27.22,7322,0
2015-01-15,27.0,27.33,26.83,26.89,15118,0
2015-01-16,26.81,28.01,26.51,27.79,8588,0
2015-01-20,27.88,27.97,27.32,27.93,11110,0
2015-01-21,27.59,28.22,26.85,27.19,14606,0
2015-01-22,27.55,28.32,27.44,28.08,15571,0
2015-01-23,28.06,28.12,27.69,27.89,5866,0
2015-01-26,27.16,27.65,26.99,27.3,12546,0
2015-01-27,27.11,27.36,27.01,27.03,9300,0
2015-01-28,27.0,27.01,26.31,26.37,16482,0
2015-01-29,26.59,27.33,26.42,27.32,12197,0
2015-01-30,27.02,27.3,26.19,26.24,17819,0
2015-02-02,26.29,26.97,22.96,26.38,10438,0
2015-02-03,26.78,28.48,25.92,28.48,25565,0
2015-02-04,28.36,28.65,26.27,26.58,30009,0
2015-02-05,26.77,27.34,26.71,27.0,35611,0
2015-02-06,27.16,27.34,26.87,26.91,8704,0
2015-02-09,26.84,26.88,26.34,26.43,8982,0
2015-02-10,26.64,27.29,26.47,26.97,7669,0
2015-02-11,27.0,27.23,26.86,26.98,4574,0
2015-02-12,26.98,27.24,26.84,26.98,18878,0
2015-02-13,27.18,27.42,26.99,27.29,13976,0
2015-02-17,27.45,27.49,26.76,26.81,13348,0
2015-02-18,26.76,27.33,26.76,27.24,9738,0
2015-02-19,26.9,27.61,26.79,27.13,17074,0
2015-02-20,26.93,27.37,26.44,26.71,15642,0
2015-02-23,26.75,26.81,26.28,26.56,6581,0
2015-02-24,27.06,27.247,26.6,26.88,5796,0
2015-02-25,26.98,27.24,26.57,26.78,8988,0
2015-02-26,26.91,27.29,26.77,26.85,11709,0
2015-02-27,27.35,27.35,27.05,27.05,17256,0
2015-03-02,27.26,27.41,27.05,27.23,12300,0
2015-03-03,27.0,27.39,27.0,27.17,10600,0
2015-03-04,27.3,27.3,27.01,27.01,11400,0
2015-03-05,27.08,27.1,26.59,26.73,7800,0
2015-03-06,26.56,27.01,26.52,26.55,13400,0
2015-03-09,26.36,26.77,26.36,26.76,8300,0
2015-03-10,26.54,26.55,26.24,26.27,7600,0
2015-03-11,26.22,26.65,26.22,26.41,13000,0
2015-03-12,26.93,27.09,26.64,26.98,14400,0
