Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,42.356,42.607,41.776,42.347,73804,0
2015-01-05,41.901,41.901,40.438,40.885,232515,0
2015-01-06,40.875,40.957,39.411,39.884,272992,0
2015-01-07,40.249,40.418,39.849,40.249,101600,0
2015-01-08,40.661,41.036,40.24,40.856,237898,0
2015-01-09,40.83,40.839,39.689,39.725,129403,0
2015-01-12,39.725,40.027,39.009,39.742,132481,0
2015-01-13,40.169,40.509,38.838,39.249,180186,0
2015-01-14,38.58,39.179,38.332,39.135,213845,0
2015-01-15,36.16,38.751,35.616,37.509,480851,0
2015-01-16,36.831,37.456,35.741,37.392,484268,0
2015-01-20,37.5,37.635,35.876,35.957,270783,0
2015-01-21,35.938,36.573,35.731,36.259,180821,0
2015-01-22,36.438,37.045,36.198,36.331,229373,0
2015-01-23,36.208,36.41,35.287,35.349,138782,0
2015-01-26,35.662,35.662,35.072,35.607,364695,0
2015-01-27,35.107,35.804,35.019,35.688,343202,0
2015-01-28,35.885,35.938,35.528,35.652,183438,0
2015-01-29,35.652,35.652,34.83,35.154,339454,0
2015-01-30,34.82,35.168,33.759,34.106,353278,0
2015-02-02,34.106,35.088,34.106,34.902,309762,0
2015-02-03,35.044,35.589,35.044,35.259,378257,0
2015-02-04,35.126,35.233,34.24,34.688,345788,0
2015-02-05,34.733,35.713,34.733,35.537,331124,0
2015-02-06,35.634,35.634,34.795,35.168,320185,0
2015-02-09,35.177,35.616,34.724,34.902,322104,0
2015-02-10,34.82,35.16,32.927,35.044,1236573,0
2015-02-11,34.993,36.223,34.936,35.957,344602,0
2015-02-12,36.331,36.929,36.277,36.616,247544,0
2015-02-13,36.715,37.43,36.678,37.33,171453,0
2015-02-17,37.151,37.589,36.875,37.205,157238,0
2015-02-18,37.242,37.974,37.07,37.937,232148,0
2015-02-19,37.768,38.044,37.384,37.796,194056,0
2015-02-20,37.768,37.974,37.261,37.947,155382,0
2015-02-23,38.117,38.117,37.545,37.919,220469,0
2015-02-24,37.875,38.294,37.715,38.179,313101,0
2015-02-25,38.099,38.447,37.937,38.348,168575,0
2015-02-26,38.5,38.652,37.947,38.322,176481,0
2015-02-27,38.259,39.776,38.081,39.287,451192,0
2015-03-02,38.965,39.438,38.366,39.296,355485,0
2015-03-03,39.036,39.457,38.777,39.277,358621,0
2015-03-04,39.206,39.206,38.332,38.981,330622,0
2015-03-05,37.589,38.037,33.134,33.733,2124067,0
2015-03-06,33.419,33.687,32.749,32.937,830473,0
2015-03-09,32.966,32.974,32.411,32.635,686667,0
2015-03-10,32.463,32.661,32.037,32.313,611403,0
2015-03-11,32.438,32.911,32.009,32.82,782873,0
2015-03-12,33.143,33.596,32.921,33.419,809756,0
